labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,dilution,experiment
E7aIPS,0,0,0,0,0,0,1,E7
E7aINO,0,0,0,0,0,0,1,E7
E7aMNW,3,5,8,1,4.25,15567.7655677656,1,E7
E7aRTY,26,17,23,28,23.5,116915.422885572,1,E7
E7aLNW,6,7,10,7,7.5,85227.2727272727,1,E7
E7aELZ,0,0,0,0,0,0,1,E7
E7aAUZ,21,32,19,26,24.5,145833.333333333,1,E7
E7aFJW,0,0,0,0,0,0,1,E7
E7aALV,0,0,0,0,0,0,1,E7
E7aBJR,0,0,0,2,0.5,2551.02040816327,1,E7
E7aCWZ,0,0,0,0,0,0,1,E7
E7aFHT,0,0,0,0,0,0,1,E7
E7aCRZ,0,0,0,0,0,0,1,E7
E7aEJN,0,0,0,0,0,0,1,E7
E7aLMZ,74,92,97,87,87.5,833333.333333333,1,E7
E7aNSX,66,63,62,70,65.25,552966.101694915,1,E7
E7aBGY,13,6,11,6,9,79646.0176991151,1,E7
E7aESW,55,51,48,44,49.5,375000,1,E7
E7aFHK,0,0,0,0,0,0,1,E7
E7aAIO,0,0,0,0,0,0,1,E7
E7aBIO,0,0,0,0,0,0,1,E7
E7aCNT,0,0,0,0,0,0,1,E7
E7aDKR,0,0,0,0,0,0,1,E7
E7aLUV,0,0,0,0,0,0,1,E7
E7aABG,0,0,0,0,0,0,1,E7
E7aEMW,0,0,0,0,0,0,1,E7
E7aNTU,0,0,0,0,0,0,1,E7
E7aJRZ,93,74,106,129,100.5,656862.745098039,1,E7
E7aCIK,0,0,0,0,0,0,1,E7
E7aBMW,0,0,0,0,0,0,1,E7
E7aCEK,13,15,16,16,15,53380.7829181495,1,E7
E7aGJT,21,21,20,17,19.75,207894.736842105,1,E7
E7aANS,0,0,0,0,0,0,1,E7
E7aCOV,144,134,117,108,125.75,821895.424836601,1,E7
E7aBOY,0,0,0,0,0,0,1,E7
E7aBCE,2,3,3,6,3.5,14644.3514644351,1,E7
E7aGIU,0,0,0,0,0,0,1,E7
E7aBFJ,0,0,0,0,0,0,1,E7
E7aAGP,0,0,0,0,0,0,1,E7
E7aFGH,0,0,0,0,0,0,1,E7
E7aGHN,0,0,0,0,0,0,1,E7
E7aNPW,0,0,0,0,0,0,1,E7
E7aHNS,0,0,0,0,0,0,1,E7
E7aCUY,0,0,0,0,0,0,1,E7
E7aDIW,0,0,0,0,0,0,1,E7
E7aDQW,0,0,0,0,0,0,1,E7
E7aSTU,0,0,0,0,0,0,1,E7
E7aGSV,0,0,0,0,0,0,1,E7
E7aIMQ,0,0,0,0,0,0,1,E7
E7aFKW,0,0,0,0,0,0,1,E7
E7aERY,0,0,0,0,0,0,1,E7
E7aFPQ,0,0,0,0,0,0,1,E7
E7aDUZ,0,0,0,0,0,0,1,E7
E7aIMR,0,0,0,0,0,0,1,E7
E7aJMZ,0,0,0,0,0,0,1,E7
E7aAGX,90,111,114,108,105.75,783333.333333333,1,E7
E7aAHU,64,68,72,67,67.75,396198.830409357,1,E7
E7aEKV,0,0,0,0,0,0,1,E7
E7aAEJ,82,91,98,102,93.25,407205.240174673,1,E7
E7aCET,0,1,0,0,0.25,1086.95652173913,1,E7
E7aJPX,0,0,0,0,0,0,1,E7
E7aGHS,0,0,0,0,0,0,1,E7
E7aBLW,4,10,7,6,6.75,41411.0429447853,1,E7
E7aQUZ,0,0,0,0,0,0,1,E7
E7aDHL,0,0,0,0,0,0,1,E7
E7aFJS,0,0,0,0,0,0,1,E7
E7aEFL,22,47,31,51,37.75,253355.704697987,1,E7
E7aHKM,0,0,0,0,0,0,1,E7
E7aAQY,12,28,23,20,20.75,178879.310344828,1,E7
E7aEHM,0,0,0,0,0,0,1,E7
E7aDTU,1,0,1,0,0.5,5263.15789473684,1,E7
E7aCEO,5,3,6,6,5,52631.5789473684,1,E7
E7aTXZ,0,0,0,0,0,0,1,E7
E7aBHI,0,0,0,0,0,0,1,E7
E7aADG,0,0,0,0,0,0,1,E7
E7aEQV,47,29,38,27,35.25,179846.93877551,1,E7
E7aHKN,77,93,87,60,79.25,566071.428571429,1,E7
E7aFRU,8,4,11,8,7.75,33261.8025751073,1,E7
E7aAGN,0,0,0,0,0,0,1,E7
E7aPRV,0,0,0,0,0,0,1,E7
E7aNRU,54,61,71,55,60.25,424295.774647887,1,E7
E7aGMW,0,0,0,0,0,0,1,E7
E7aKST,49,36,45,45,43.75,533536.585365854,1,E7
E7aNOY,19,22,24,15,20,253164.556962025,1,E7
E7aILM,0,0,0,0,0,0,1,E7
E7aKUZ,0,0,0,0,0,0,1,E7
E7aINU,0,0,0,0,0,0,1,E7
E7aEWY,2,2,4,2,2.5,53191.4893617021,1,E7
E7aGIQ,0,0,0,0,0,0,1,E7
E7aLYZ,22,23,22,20,21.75,157608.695652174,1,E7
E7aHPY,0,0,0,0,0,0,1,E7
E7aLOT,0,0,0,0,0,0,1,E7
E7aJMR,0,0,0,0,0,0,1,E7
E7aGVW,0,0,0,0,0,0,1,E7
E7aIQW,0,0,0,0,0,0,1,E7
E7aMOX,0,0,0,0,0,0,1,E7
E7aEIQ,0,0,0,0,0,0,1,E7
E7aEFQ,0,0,0,0,0,0,1,E7
E7aKMO,0,0,0,0,0,0,1,E7
E7aMQW,4,6,10,5,6.25,40849.6732026144,1,E7
E7aKMQ,0,0,0,0,0,0,1,E7
E7aBDI,0,0,0,0,0,0,1,E7
E7aAVW,7,3,11,6,6.75,64903.8461538461,1,E7
E7aHKW,0,0,0,0,0,0,1,E7
E7aCIW,0,0,0,1,0.25,1798.56115107914,1,E7
E7aEKX,0,0,0,0,0,0,1,E7
E7aACZ,0,0,0,0,0,0,1,E7
E7aJKX,19,24,26,58,31.75,167989.417989418,1,E7
E7aBKM,0,0,0,0,0,0,1,E7
E7aFHS,0,0,0,0,0,0,1,E7
E7aJMX,0,1,0,0,0.25,350.140056022409,1,E7
E7aABO,0,0,0,0,0,0,1,E7
E7aHOY,0,0,0,0,0,0,1,E7
E7aGOV,3,0,0,2,1.25,3148.61460957179,1,E7
E7aBVZ,0,0,0,0,0,0,1,E7
E7aCGT,0,0,0,0,0,0,1,E7
E7aFPV,0,0,0,0,0,0,1,E7
E7aAQW,1,2,0,2,1.25,5364.80686695279,1,E7
E7aQTX,0,0,0,0,0,0,1,E7
E7aAPS,0,2,0,2,1,4000,1,E7
E7aFQX,122,97,146,144,127.25,731321.83908046,1,E7
E7aAFN,0,0,0,0,0,0,1,E7
E7aAFY,0,0,0,0,0,0,1,E7
E7aKOX,15,16,13,21,16.25,123106.060606061,1,E7
E7aAMX,64,58,60,62,61,296116.504854369,1,E7
E7aFJR,0,0,0,0,0,0,1,E7
E7aASZ,0,0,0,0,0,0,1,E7
E7aLNU,0,0,0,0,0,0,1,E7
E7aIMU,0,0,0,0,0,0,1,E7
E7aPSV,1,0,1,1,0.75,2767.52767527675,1,E7
E7aMPU,0,0,0,0,0,0,1,E7
E7aGWZ,20,23,36,32,27.75,163235.294117647,1,E7
E7aFMR,0,0,0,0,0,0,1,E7
E7aCLV,8,10,6,5,7.25,64732.1428571428,1,E7
E7aANV,27,39,39,43,37,284615.384615385,1,E7
E7aEOT,0,0,0,0,0,0,1,E7
