labels,EH_ID,dpi,weight,weightloss,weightRelativeToInfection,fecweight,
IKX,LM0151,4,31.1,NA,NA,1.77,
ACM,LM0152,4,17.6,NA,NA,1,
PUZ,LM0153,4,12.8,NA,NA,0.52,
CFR,LM0154,4,14.3,NA,NA,0.87,
CER,LM0155,4,NA,NA,NA,NA,
AQZ,LM0156,4,17.4,NA,NA,0.98,
ISY,LM0157,4,27.2,NA,NA,1.5,
HIQ,LM0158,4,32.2,NA,NA,1.39,
HQV,LM0159,4,15.2,NA,NA,0.8,
LVW,LM0160,4,NA,NA,NA,NA,
CFN,LM0161,4,37.1,NA,NA,1.33,
JQW,LM0162,4,17.1,NA,NA,1.61,
EVY,LM0163,4,17.6,NA,NA,1.13,
DFV,LM0164,4,23.1,NA,NA,0.79,
DMR,LM0165,4,20.8,NA,NA,1.27,
LNR,LM0166,4,31.5,NA,NA,1.51,
RUZ,LM0167,4,13.1,NA,NA,0.72,
AVX,LM0168,4,27.5,NA,NA,1.54,
DTX,LM0169,4,14.7,NA,NA,0.97,
CGY,LM0170,4,21.9,NA,NA,0.7,
FNR,LM0171,4,13.5,NA,NA,0.63,
MNU,LM0172,4,18.3,NA,NA,1.54,
TVW,LM0173,4,14.8,NA,NA,1.4,
FIT,LM0174,4,17.1,NA,NA,0.83,
JLZ,LM0175,4,26.3,NA,NA,1.63,
AQU,LM0176,4,22.3,NA,NA,0.81,
CLV,LM0177,4,14.6,NA,NA,1.13,
CJW,LM0178,4,17.8,NA,NA,1.24,
PQY,LM0146,5,19.6,NA,NA,1.58,
KSY,LM0147,5,15.3,NA,NA,0.49,
COT,LM0148,5,16.8,NA,NA,0.47,
DHN,LM0149,5,20.8,NA,NA,1.17,
ALV,LM0150,5,18.3,NA,NA,1.71,
DFT,LM0151,5,30.6,NA,NA,1.99,
IMS,LM0152,5,17.6,NA,NA,1.46,
EMP,LM0153,5,12.5,NA,NA,0.36,
ABJ,LM0154,5,13.7,NA,NA,0.4,
DWY,LM0155,5,NA,NA,NA,NA,
NUW,LM0156,5,17.9,NA,NA,1.46,
TUZ,LM0157,5,27,NA,NA,1.6,
DMS,LM0158,5,31.3,NA,NA,1.53,
BNX,LM0159,5,15.1,NA,NA,0.87,
EPX,LM0160,5,NA,NA,NA,NA,
ACQ,LM0161,5,37.7,NA,NA,1.55,
FGX,LM0162,5,17.9,NA,NA,1.76,
NPY,LM0163,5,17,NA,NA,2.08,
CMO,LM0164,5,22.5,NA,NA,0.98,
FPV,LM0165,5,20.7,NA,NA,1.26,
BOT,LM0166,5,31.3,NA,NA,0.87,
CFT,LM0167,5,13.2,NA,NA,0.38,
KQV,LM0168,5,27.1,NA,NA,1.9,
BEK,LM0169,5,14.3,NA,NA,0.31,
INV,LM0170,5,21.7,NA,NA,1.03,
FKW,LM0171,5,13.2,NA,NA,0.27,
COQ,LM0172,5,18.5,NA,NA,1.65,
EHV,LM0173,5,14.4,NA,NA,1.02,
BDH,LM0174,5,15.9,NA,NA,0.8,
AJY,LM0175,5,26.2,NA,NA,1.35,
BVX,LM0176,5,21.9,NA,NA,1.72,
ADH,LM0177,5,14.6,NA,NA,0.6,
BFG,LM0178,5,17,NA,NA,0.8,
JKT,LM0146,6,19.2,NA,NA,1.35,
HJN,LM0147,6,17.1,NA,NA,1.26,
HNW,LM0148,6,17.4,NA,NA,0.82,
MVZ,LM0149,6,20.9,NA,NA,0.91,
AJO,LM0150,6,18.4,NA,NA,0.83,
ABM,LM0151,6,31.8,NA,NA,2.26,
IMP,LM0152,6,17.2,NA,NA,0.87,
NOP,LM0153,6,12.6,NA,NA,0.35,
IXZ,LM0154,6,14,NA,NA,0.66,
JMQ,LM0155,6,NA,NA,NA,NA,
GTW,LM0156,6,17.8,NA,NA,1.93,
EQV,LM0157,6,27,NA,NA,1.2,
DNY,LM0158,6,31.7,NA,NA,0.84,
EQT,LM0159,6,16.1,NA,NA,1.34,
GNW,LM0160,6,NA,NA,NA,NA,
CQR,LM0161,6,37.4,NA,NA,1.33,
JRT,LM0162,6,17.2,NA,NA,1.62,
CTY,LM0163,6,17,NA,NA,1.67,
CEX,LM0164,6,23,NA,NA,0.72,
CJO,LM0165,6,20.4,NA,NA,1.09,
ASZ,LM0166,6,31.6,NA,NA,0.75,
CQT,LM0167,6,13.3,NA,NA,0.72,
LRT,LM0168,6,26.9,NA,NA,1.31,
BPU,LM0169,6,14.4,NA,NA,0.65,
GIS,LM0170,6,21.7,NA,NA,0.81,
ITV,LM0171,6,12.8,NA,NA,0.64,
CTW,LM0172,6,19.7,NA,NA,1.9,
LQS,LM0173,6,14.8,NA,NA,1.59,
SUY,LM0174,6,16.4,NA,NA,0.73,
HTX,LM0175,6,26.6,NA,NA,0.97,
HOU,LM0176,6,22.2,NA,NA,1.18,
DFU,LM0177,6,14.8,NA,NA,0.39,
GOW,LM0178,6,17.9,NA,NA,0.94,
ADT,LM0146,7,19.2,NA,NA,0.99,
JMT,LM0147,7,17.3,NA,NA,1.1,
ISU,LM0148,7,17.9,NA,NA,1.54,
MSX,LM0149,7,21.4,NA,NA,0.79,
EVW,LM0150,7,19,NA,NA,0.71,
JLW,LM0151,7,32,NA,NA,1.03,
EJT,LM0152,7,17.9,NA,NA,0.77,
CPV,LM0153,7,13,NA,NA,0.31,
CLR,LM0154,7,14.2,NA,NA,0.79,
GOV,LM0155,7,NA,NA,NA,NA,
ASW,LM0156,7,17.8,NA,NA,1.19,
BEM,LM0157,7,27,NA,NA,0.94,
INW,LM0158,7,32.7,NA,NA,0.76,
LNZ,LM0159,7,15.9,NA,NA,0.84,
HQZ,LM0160,7,NA,NA,NA,NA,
BHM,LM0161,7,37.4,NA,NA,0.81,
MRU,LM0162,7,17.1,NA,NA,1.23,
EKQ,LM0163,7,18.4,NA,NA,0.75,
NSZ,LM0164,7,22.3,NA,NA,0.68,
CJV,LM0165,7,20.5,NA,NA,0.54,
LRV,LM0166,7,31.6,NA,NA,0.69,
ABL,LM0167,7,13.8,NA,NA,0.58,
AHQ,LM0168,7,27.3,NA,NA,0.77,
GSZ,LM0169,7,14.7,NA,NA,0.7,
CEZ,LM0170,7,21.2,NA,NA,0.8,
ADE,LM0171,7,13.5,NA,NA,0.93,
OPQ,LM0172,7,19.6,NA,NA,0.97,
AGW,LM0173,7,15.1,NA,NA,2.08,
FGV,LM0174,7,17.7,NA,NA,1.04,
IKM,LM0175,7,27.2,NA,NA,1.89,
CIJ,LM0176,7,21.7,NA,NA,0.71,
MNW,LM0177,7,15,NA,NA,0.75,
CGI,LM0178,7,18.7,NA,NA,1.86,
ELZ,LM0146,8,18.8,NA,NA,0.94,
AYZ,LM0147,8,16.8,NA,NA,1.22,
PVZ,LM0148,8,18.1,NA,NA,1.15,
EOW,LM0149,8,22.3,NA,NA,1.05,
BQZ,LM0150,8,18.6,NA,NA,1.31,
DIN,LM0151,8,32.3,NA,NA,1.36,
DJY,LM0152,8,18.3,NA,NA,1.02,
JNU,LM0153,8,13,NA,NA,0.5,
QXY,LM0154,8,14.3,NA,NA,0.88,
MXY,LM0155,8,NA,NA,NA,NA,
ABD,LM0156,8,17.7,NA,NA,1.69,
CPT,LM0157,8,27,NA,NA,1.51,
BDX,LM0158,8,32.7,NA,NA,1.1,
ACL,LM0159,8,15.8,NA,NA,1.23,
DSU,LM0160,8,NA,NA,NA,NA,
CEV,LM0161,8,37.9,NA,NA,1.02,
IMU,LM0162,8,17.2,NA,NA,1.41,
FGT,LM0163,8,17.2,NA,NA,1.44,
FMP,LM0164,8,22.5,NA,NA,0.68,
APY,LM0165,8,18.3,NA,NA,0.62,
GMV,LM0166,8,31.8,NA,NA,0.85,
CFV,LM0167,8,14.1,NA,NA,0.64,
EKS,LM0168,8,26.1,NA,NA,0.87,
NPT,LM0169,8,14.7,NA,NA,0.75,
BIM,LM0170,8,20.9,NA,NA,0.47,
PRX,LM0171,8,14.2,NA,NA,0.57,
DGJ,LM0172,8,18.6,NA,NA,1.85,
GHR,LM0173,8,16.1,NA,NA,1.55,
FHM,LM0174,8,18,NA,NA,1.55,
WYZ,LM0175,8,25,NA,NA,0.49,
FTZ,LM0176,8,21.6,NA,NA,0.95,
GTX,LM0177,8,15.1,NA,NA,0.64,
HRU,LM0178,8,19.7,NA,NA,1.85,
KOZ,LM0146,9,19.5,NA,NA,0.72,
NRZ,LM0147,9,16.7,NA,NA,1.15,
EGO,LM0148,9,18,NA,NA,1.25,
FJN,LM0149,9,21.5,NA,NA,1.32,
ACO,LM0150,9,18.6,NA,NA,0.78,
GMX,LM0151,9,31.8,NA,NA,1.12,
GUY,LM0152,9,18.9,NA,NA,1.05,
DJX,LM0153,9,13.7,NA,NA,0.43,
HIX,LM0154,9,14.4,NA,NA,0.84,
EIX,LM0155,9,NA,NA,NA,NA,
TWX,LM0156,9,17.8,NA,NA,0.97,
JQT,LM0157,9,25,NA,NA,0.76,
MTU,LM0158,9,32.7,NA,NA,1.24,
KRU,LM0159,9,15.7,NA,NA,1.2,
EJU,LM0160,9,NA,NA,NA,NA,
LST,LM0161,9,37.9,NA,NA,1.26,
ILY,LM0162,9,17.2,NA,NA,1.47,
DNW,LM0163,9,17.8,NA,NA,0.69,
ELQ,LM0164,9,22.1,NA,NA,0.86,
BIL,LM0165,9,20.8,NA,NA,1.07,
BHS,LM0166,9,32.2,NA,NA,0.8,
IQZ,LM0167,9,14.1,NA,NA,0.76,
DHJ,LM0168,9,22.4,NA,NA,0.27,
DEK,LM0169,9,14.6,NA,NA,0.86,
DRW,LM0170,9,20.9,NA,NA,0.42,
EWY,LM0171,9,14,NA,NA,0.95,
FLZ,LM0172,9,18.3,NA,NA,1.95,
NPS,LM0173,9,15.4,NA,NA,1.41,
JKZ,LM0174,9,18.3,NA,NA,1.58,
ILS,LM0175,9,26.9,NA,NA,1.16,
CJX,LM0176,9,21.6,NA,NA,0.74,
FHZ,LM0177,9,15.1,NA,NA,0.84,
DTU,LM0178,9,18.6,NA,NA,1.21,
EXY,LM0146,10,18.6,NA,NA,1.04,
PTU,LM0147,10,16.9,NA,NA,1,
DGT,LM0148,10,17.9,NA,NA,1.6,
CGN,LM0149,10,22.2,NA,NA,1.44,
EGW,LM0150,10,19.1,NA,NA,1.15,
GSY,LM0151,10,30.9,NA,NA,0.73,
PVW,LM0152,10,19.3,NA,NA,1.48,
HKT,LM0153,10,13.2,NA,NA,0.48,
BEQ,LM0154,10,14.3,NA,NA,0.7,
ACD,LM0155,10,NA,NA,NA,NA,
JLV,LM0156,10,18.3,NA,NA,0.82,
CEJ,LM0157,10,24.2,NA,NA,0.39,
GKX,LM0158,10,31.5,NA,NA,0.63,
KRT,LM0159,10,15.4,NA,NA,0.9,
ORU,LM0160,10,NA,NA,NA,NA,
BUX,LM0161,10,36.5,NA,NA,1.49,
DEU,LM0162,10,17.3,NA,NA,1.73,
EOR,LM0163,10,17.4,NA,NA,1.12,
BLQ,LM0164,10,22.3,NA,NA,0.89,
HLX,LM0165,10,20.6,NA,NA,1.42,
EMU,LM0166,10,32.1,NA,NA,0.91,
EMT,LM0167,10,14,NA,NA,0.63,
GKP,LM0168,10,19.3,NA,NA,NA,
BMP,LM0169,10,14.7,NA,NA,0.61,
AIW,LM0170,10,21.3,NA,NA,0.77,
AJT,LM0171,10,14.3,NA,NA,0.84,
IJP,LM0172,10,18.7,NA,NA,3.01,
UVY,LM0173,10,15.7,NA,NA,1.29,
EHP,LM0174,10,18.4,NA,NA,1.01,
LNP,LM0175,10,27.4,NA,NA,1.41,
BKZ,LM0176,10,21.3,NA,NA,1.05,
BMO,LM0177,10,15.2,NA,NA,0.67,
DHM,LM0178,10,18.5,NA,NA,1.2,
EIT,LM0146,11,18.5,NA,NA,0.85,
DGQ,LM0147,11,14.8,NA,NA,0.37,
HQT,LM0148,11,17.6,NA,NA,1.65,
EHI,LM0149,11,22.6,NA,NA,0.78,
LOW,LM0150,11,19.6,NA,NA,1.44,
HSV,LM0151,11,30.1,NA,NA,0.88,
CGO,LM0152,11,18.7,NA,NA,0.73,
JSY,LM0153,11,13.3,NA,NA,0.52,
AEG,LM0154,11,14.1,NA,NA,1.17,
DGL,LM0155,11,NA,NA,NA,NA,
EGI,LM0156,11,17.7,NA,NA,1.31,
FOV,LM0157,11,27.7,NA,NA,1.22,
BQS,LM0158,11,33.3,NA,NA,1.05,
GJM,LM0159,11,15.7,NA,NA,1.34,
EKT,LM0160,11,NA,NA,NA,NA,
GQR,LM0161,11,38.3,NA,NA,1.02,
FIZ,LM0162,11,16.7,NA,NA,1.48,
EIN,LM0163,11,17,NA,NA,1.34,
AKU,LM0164,11,22.3,NA,NA,0.79,
KSZ,LM0165,11,20.9,NA,NA,1.22,
BOY,LM0166,11,31.8,NA,NA,0.65,
HNS,LM0167,11,13.9,NA,NA,0.6,
KRW,LM0168,11,NA,NA,NA,NA,
