"","challenge","delta","dpi","EH_ID","Eim_MC","EXP_type","IFNy_CEWE","infHistory","label","OPG","primary","totalOocysts","weight","weight_dpi0","Wchange","Strain","Act_CD8","CD4","CD8","Div_Act_CD8","Div_Th1","Div_Th17","Div_Treg","HybridStatus","IFNy_CD4","IFNy_CD8","IL17A_CD4","Th1","Th17","Treg","Treg_prop","Treg17","Position"
"1","E88",-5.12,8,"LM_0332","pos","CLS",224.33938439495,"Eflab:E88","P3bTBI",0,NA,0,50.6,51.3,98.635477582846,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","E64",-4.27,7,"LM_0333","pos","CLS",223.244833284625,"Eflab:E64","P3bJRF",743718.592964824,NA,1480000,45.5,50,91,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","UNI",-4.94,8,"LM_0334","pos","CLS",47.4564142166688,"Eflab:UNI","P3bRLW",0,NA,0,45.1,47.3,95.3488372093024,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","UNI",-5.57,8,"LM_0335","pos","CLS",23.6249410096919,"E88:UNI","P3bIIT",0,NA,0,45.6,47,97.0212765957447,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","E64",-4.02,7,"LM_0336","pos","CLS",123.779469601635,"E88:E64","P3bBWS",448863.636363636,NA,395000,43.8,52.3,83.7476099426386,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","UNI",-7.09,8,"LM_0337","pos","CLS",33.1153542171992,"E88:UNI","P3bKMJ",3496.5034965035,NA,5000,43.2,44.9,96.2138084632517,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","E88",-1.65,8,"LM_0338","pos","CLS",380.523992986736,"E64:E88","P3bFWG",106666.666666667,NA,160000,48.3,50.2,96.2151394422311,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","E64",-8.94,7,"LM_0339","pos","CLS",76.1230512085418,"E64:E64","P3bUHH",135135.135135135,NA,150000,42,48.5,86.5979381443299,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","UNI",-10.49,8,"LM_0340","pos","CLS",50.9646675101204,"E64:UNI","P3bFLD",0,NA,0,49.7,53.6,92.7238805970149,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","E88",-1.78,8,"LM_0341","pos","CLS",300.31142053042,"E139:E88","P3bNQG",25316.4556962025,NA,20000,52.5,58.1,90.3614457831325,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","E64",-6.11,7,"LM_0342","pos","CLS",26.8867342101947,"E139:E64","P3bXFC",39473.6842105263,NA,45000,46.5,55.6,83.6330935251799,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","UNI",-8.44,8,"LM_0343","neg","CLS",19.2799309525011,"E139:UNI","P3bBQA",0,NA,0,52.9,56.5,93.6283185840708,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","E88",-8.06,3,"LM_0344","pos","CLS",3.67231170010524,"UNI:E88","P3bXAK",NA,NA,NA,NA,48.6,NA,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","E64",-4.38,7,"LM_0345","pos","CLS",176.343595005784,"UNI:E64","P3bFYX",895408.163265306,NA,1755000,54.8,59.2,92.5675675675675,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","UNI",-8.74,8,"LM_0346","pos","CLS",14.9964342922672,"UNI:UNI","P3bVJA",0,NA,0,49.4,53.2,92.8571428571429,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","E88",-8.73,8,"LM_0347","pos","CLS",43.5591598840579,"E88:E88","P3bFMI",5660.37735849057,NA,15000,60.4,69.1,87.4095513748191,"SWISS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","E64",-5.79,8,"LM_0227","pos","WDS",54.4201292769137,"E88:E64","E7aMNW",15567.7655677656,"E88",42500,23.81,23.86,99.79,"BUSNA_STRA",11.5,44.9,14.39,49.52,71.2,46.875,16.205,"inter subsp. hybrids",4.915,21.74,0.415,6.78,0.89,6.385,93.605,13.52,NA
"18","E64",-5.91,8,"LM_0228","pos","WDS",84.9852124920339,"E88:E64","E7aBGY",79646.0176991151,"E88",90000,23.5,21.23,110.69,"STRA_BUSNA",13.205,46.145,13.84,59.09,75.115,42.39,21.365,"inter subsp. hybrids",9.085,27.535,0.385,10.92,1.075,7.005,92.97,11.565,NA
"19","E88",-7.12,8,"LM_0229","neg","WDS",11.9382981889895,"E88:E88","E7aEMW",0,"E88",0,19.01,19.06,99.74,"SCHUNT_SCHUNT",10.915,56.22,10.02,11.535,19.84,30.055,12.455,"parental strains",3.045,41.36,0.575,2.965,1.63,7.15,92.845,9.505,NA
"20","E64",-5.16,8,"LM_0231","pos","WDS",37.5056012557841,"E88:E64","E7aCEK",53380.7829181495,"E88",150000,20.43,20.69,98.74,"PWD_SCHUNT",11.105,40.59,25.305,55.935,81.21,78.305,23.76,"inter subsp. hybrids",9.085,38.165,0.85,9.25,1.705,6.45,93.505,12.78,NA
"21","E88",-6.22,8,"LM_0232","pos","WDS",21.8877741271661,"E88:E88","E7aCUY",0,"E88",0,26.98,26.37,102.31,"BUSNA_STRA",9.815,52.245,17.55,12.83,27.85,27.445,13.465,"inter subsp. hybrids",2.005,19.39,0.25,2.545,1.06,8.695,91.305,14.4,NA
"22","E88",-5.97,8,"LM_0233","neg","WDS",81.662990584743,"E88:E88","E7aSTU",0,"E88",0,29.96,29.77,100.64,"STRA_STRA",5.395,46.895,7.49,21.31,25.52,32.195,13.355,"parental strains",2.795,19.23,0.27,2.9,0.695,6.89,93.11,7.035,NA
"23","E64",-7.89,8,"LM_0234","pos","WDS",112.055644071278,"E88:E64","E7aBLW",41411.0429447853,"E88",67500,32.64,32.76,99.63,"STRA_STRA",8.9,49.47,9.065,55.69,76.515,65.735,24.795,"parental strains",8.455,34.31,0.295,6.87,1.11,6.065,93.935,13.95,NA
"24","E64",-5.84,8,"LM_0235","pos","WDS",53.5403908319353,"E88:E64","E7aDTU",5263.15789473684,"E88",5000,19.51,19.58,99.64,"STRA_SCHUNT",9.2,45.74,13.995,55.97,51.87,40.6,17.115,"outbred hybrids",8.755,28.69,0.28,9.585,1.09,6.52,93.46,8.645,NA
"25","E64",-6.02,8,"LM_0236","pos","WDS",121.105391312534,"E88:E64","E7aFRU",33261.8025751073,"E88",77500,27.05,26.25,103.05,"STRA_STRA",8.375,46.33,8.84,45.895,67.36,65.055,21,"parental strains",12.91,46.265,0.61,7.02,1.615,6.465,93.535,14.54,NA
"26","E64",-4.42,8,"LM_0238","pos","WDS",61.4115394386923,"E88:E64","E7aLYZ",157608.695652174,"E88",217500,20.41,21.39,95.42,"PWD_BUSNA",18.26,43.325,26.505,38.45,79.02,55.835,13.09,"outbred hybrids",4.59,27.8,0.335,7.71,1.185,8.915,91.075,6.825,NA
"27","E88",-6.76,8,"LM_0239","pos","WDS",25.060196364609,"E88:E88","E7aJMR",0,"E88",0,18.47,19.41,95.16,"SCHUNT_SCHUNT",3.785,68.01,13.9,8.985,14.31,33.075,14.11,"parental strains",1.69,13.755,0.385,1.73,0.925,3.63,96.36,14.35,NA
"28","E64",-6.65,8,"LM_0240","pos","WDS",43.3808823861458,"E88:E64","E7aCIW",1798.56115107914,"E88",2500,20.45,20.45,100,"SCHUNT_PWD",13.46,37.435,31.115,38.515,64.37,49.91,20.515,"inter subsp. hybrids",9.6,30.505,0.64,9.1,0.805,9.045,90.935,9.26,NA
"29","E88",-4.68,8,"LM_0247","pos","WDS",15.7742979705957,"E88:E88","E7aJMX",350.140056022409,"E88",2500,25.93,27.13,95.58,"STRA_SCHUNT",3.455,53.25,18.08,8.71,19.19,28.815,7.85,"outbred hybrids",1.95,13.49,0.165,2.505,0.945,6.895,93.1,9.015,NA
"30","E64",-6.92,8,"LM_0248","pos","WDS",31.9834136276131,"E88:E64","E7aAPS",4000,"E88",10000,20.58,23.46,87.72,"STRA_SCHUNT",7.815,43.09,16.055,60.255,60.78,45.325,21.885,"outbred hybrids",8.38,29.545,1.025,7.62,1.415,6.12,93.865,25.48,NA
