labels,EH_ID,weight,weight_dpi0,relative_weight,feces_weight,experiment,dpi
BN,LM0296,48.2,48.2,100,0.66,E8,0
JW,LM0297,48.2,48.2,100,1.32,E8,0
JR,LM0298,46,46,100,1.08,E8,0
JV,LM0299,52.8,52.8,100,1.75,E8,0
PW,LM0300,46.6,46.6,100,0.55,E8,0
JZ,LM0301,60.6,60.6,100,2.18,E8,0
AE,LM0302,51.4,51.4,100,1.05,E8,0
DF,LM0303,47.7,47.7,100,1.08,E8,0
KR,LM0296,46.6,48.2,96.6804979253112,1.33,E8,1
HQ,LM0297,43.6,48.2,90.4564315352697,0.63,E8,1
KY,LM0298,46,46,100,0.8,E8,1
HZ,LM0299,52.5,52.8,99.4318181818182,1.31,E8,1
DU,LM0300,44.9,46.6,96.3519313304721,0.84,E8,1
QZ,LM0301,58.9,60.6,97.1947194719472,1.91,E8,1
DW,LM0302,49.8,51.4,96.8871595330739,1.3,E8,1
OP,LM0303,47,47.7,98.5324947589099,1.55,E8,1
UX,LM0296,45.6,48.2,94.6058091286307,0.54,E8,2
DO,LM0297,43.7,48.2,90.6639004149378,1.36,E8,2
CL,LM0298,46.2,46,100.434782608696,2.13,E8,2
CZ,LM0299,49.7,52.8,94.1287878787879,2.34,E8,2
EH,LM0300,43.9,46.6,94.206008583691,0.9,E8,2
DY,LM0301,57,60.6,94.0594059405941,0.92,E8,2
BZ,LM0302,47.6,51.4,92.6070038910506,1.21,E8,2
AN,LM0303,NA,47.7,#VALUE!,2.05,E8,2
CT,LM0296,45.74,48.2,94.896265560166,1.32,E8,3
MW,LM0297,42.18,48.2,87.5103734439834,1.43,E8,3
HL,LM0298,45.29,46,98.4565217391304,1.98,E8,3
PS,LM0299,49.9,52.8,94.5075757575757,1.56,E8,3
MZ,LM0300,42.92,46.6,92.1030042918455,1.28,E8,3
AO,LM0301,56.47,60.6,93.1848184818482,1.11,E8,3
FZ,LM0302,47.34,51.4,92.1011673151751,0.98,E8,3
DJ,LM0303,46.36,47.7,97.1907756813417,1.95,E8,3
DV,LM0296,45.71,48.2,94.8340248962656,1.49,E8,4
GU,LM0297,43,48.2,89.2116182572614,1.6,E8,4
CG,LM0298,46.04,46,100.086956521739,1.41,E8,4
LM,LM0299,49.54,52.8,93.8257575757576,2.54,E8,4
CM,LM0300,42.82,46.6,91.8884120171674,1.98,E8,4
DG,LM0301,55.97,60.6,92.3597359735973,1.34,E8,4
QV,LM0302,46.56,51.4,90.5836575875486,1.25,E8,4
LW,LM0303,47.01,47.7,98.5534591194969,2.25,E8,4
SU,LM0296,45.6,48.2,94.6058091286307,2.69,E8,5
IU,LM0297,42.2,48.2,87.551867219917,3.42,E8,5
TY,LM0298,46,46,100,2.87,E8,5
IM,LM0299,49.1,52.8,92.9924242424243,3.13,E8,5
SZ,LM0300,42.3,46.6,90.7725321888412,3.2,E8,5
GM,LM0301,56,60.6,92.4092409240924,2.53,E8,5
IZ,LM0302,47.3,51.4,92.0233463035019,3.45,E8,5
RX,LM0303,47.4,47.7,99.3710691823899,2.7,E8,5
CV,LM0296,45.2,48.2,93.7759336099585,1.35,E8,6
VX,LM0297,41.97,48.2,87.0746887966805,1.8,E8,6
AV,LM0298,46.05,46,100.108695652174,1.9,E8,6
DQ,LM0299,48.92,52.8,92.6515151515152,1.68,E8,6
JQ,LM0300,43.24,46.6,92.7896995708155,2.15,E8,6
GJ,LM0301,55.02,60.6,90.7920792079208,2.73,E8,6
BS,LM0302,45.58,51.4,88.6770428015564,2.99,E8,6
GI,LM0303,46.1,47.7,96.6457023060797,2.6,E8,6
,LM0296,45.24,48.2,93.8589211618257,2.9,E8,7
XZ,LM0297,41.68,48.2,86.4730290456432,2.52,E8,7
BX,LM0298,46.17,46,100.369565217391,2.17,E8,7
,LM0299,47.56,52.8,90.0757575757576,1.98,E8,7
LV,LM0300,42.31,46.6,90.793991416309,3.43,E8,7
,LM0301,54.46,60.6,89.8679867986799,2.11,E8,7
DP,LM0302,45.26,51.4,88.0544747081712,1.52,E8,7
VZ,LM0303,46.07,47.7,96.5828092243187,2.55,E8,7
CQ,LM0296,,48.2,0,,E8,8
