Exp_ID,labels,EH_ID,dpi,comment,weight,weightloss,weightRelativeToInfection,fecweight
Exp_003,AK,LM0141,2,,25.4,,,1.96
Exp_003,AR,LM0142,2,,17.2,,,1.39
Exp_003,TY,LM0143,2,,14.3,,,1.65
Exp_003,PY,LM0144,2,,21.2,,,1.27
Exp_003,QR,LM0123,3,,26.5,,,1.75
Exp_003,BO,LM0124,3,,13,,,1.01
Exp_003,GL,LM0125,3,,19.6,,,2.46
Exp_003,BI,LM0126,3,,24,,,2.94
Exp_003,HI,LM0127,3,,18.6,,,1.23
Exp_003,QY,LM0128,3,,22.5,,,1.7
Exp_003,WZ,LM0129,3,,13.6,,,1.64
Exp_003,FZ,LM0130,3,,14.9,,,1.86
Exp_003,DS,LM0131,3,,26.4,,,3.34
Exp_003,LR,LM0132,3,,13.2,,,1.91
Exp_003,HO,LM0133,3,,14.4,,,1.57
Exp_003,AF,LM0134,3,,27.4,,,1.58
Exp_003,LS,LM0135,3,,16.9,,,1.54
Exp_003,BM,LM0136,3,,28.8,,,2.73
Exp_003,VW,LM0137,3,,23.5,,,2.8
Exp_003,DQ,LM0138,3,,15.6,,,1.59
Exp_003,DX,LM0139,3,,14,,,1.91
Exp_003,GM,LM0140,3,,13.7,,,1.27
Exp_003,MX,LM0141,3,,25.9,,,1.61
Exp_003,GT,LM0142,3,,17.8,,,1.93
Exp_003,CL,LM0143,3,,14.1,,,1.62
Exp_003,KO,LM0144,3,,21.6,,,2.35
Exp_003,QX,LM0123,4,,27.1,,,2.5
Exp_003,JT,LM0124,4,,12.8,,,1.29
Exp_003,FW,LM0125,4,,19.1,,,1.86
Exp_003,PR,LM0126,4,,24.1,,,2.86
Exp_003,FY,LM0127,4,,17.5,,,1.5
Exp_003,BS,LM0128,4,,21.7,,,1.64
Exp_003,MN,LM0129,4,,12.7,,,0.45
Exp_003,KX,LM0130,4,,14.2,,,1.18
Exp_003,LY,LM0131,4,,27.4,,,2.45
Exp_003,GX,LM0132,4,,13,,,1.65
Exp_003,JX,LM0133,4,,14,,,1.82
Exp_003,HQ,LM0134,4,,27.1,,,1.86
Exp_003,KW,LM0135,4,,15.6,,,1.73
Exp_003,IT,LM0136,4,,29.2,,,3
Exp_003,EP,LM0137,4,,24.1,,,2.65
Exp_003,DI,LM0138,4,,14.9,,,1.8
Exp_003,MS,LM0139,4,,14,,,1.03
Exp_003,HR,LM0140,4,,13.5,,,1.21
Exp_003,QW,LM0141,4,,26.2,,,2.44
Exp_003,LZ,LM0142,4,,17.6,,,2.15
Exp_003,RY,LM0143,4,,14.1,,,1.67
Exp_003,ET,LM0144,4,,21.6,,,2.29
Exp_003,TX,LM0123,5,,26.5,,,2.34
Exp_003,HL,LM0124,5,,12.8,,,1.11
Exp_003,FI,LM0125,5,,18.1,,,1.43
Exp_003,NR,LM0126,5,,23.2,,,1.33
Exp_003,UV,LM0127,5,,16.7,,,1.15
Exp_003,CK,LM0128,5,,21.5,,,1.72
Exp_003,OW,LM0129,5,,11.9,,,0.79
Exp_003,GO,LM0130,5,,13.6,,,0.87
Exp_003,GS,LM0131,5,,25.2,,,2.24
Exp_003,LM,LM0132,5,,12.6,,,0.63
Exp_003,DF,LM0133,5,,13.5,,,1.02
Exp_003,BN,LM0134,5,,26.7,,,1.96
Exp_003,NU,LM0135,5,,15.4,,,1.28
Exp_003,OV,LM0136,5,,28.9,,,2.42
Exp_003,VZ,LM0137,5,,23.4,,,1.78
Exp_003,NO,LM0138,5,,14.1,,,0.61
Exp_003,EW,LM0139,5,,12.9,,,0.77
Exp_003,WY,LM0140,5,,13.3,,,0.9
Exp_003,BY,LM0141,5,,25.9,,,2.08
Exp_003,AQ,LM0142,5,,17.6,,,2.26
Exp_003,EV,LM0143,5,,13.5,,,1.08
Exp_003,LW,LM0144,5,,20.5,,,2.07
Exp_003,CU,LM0123,6,,26.8,,,1.19
Exp_003,IK,LM0124,6,,13.1,,,1.2
Exp_003,SY,LM0125,6,,18.8,,,1.23
Exp_003,GU,LM0126,6,,23.5,,,1.19
Exp_003,CM,LM0127,6,,17.1,,,0.18
Exp_003,XZ,LM0128,6,,21.5,,,1.14
Exp_003,AD,LM0129,6,,11.7,,,0.48
Exp_003,EQ,LM0130,6,,14.3,,,0.82
Exp_003,QU,LM0131,6,,26.6,,,1.17
Exp_003,NZ,LM0132,6,,12,,,0.37
Exp_003,AU,LM0133,6,,14.2,,,1.05
Exp_003,MU,LM0134,6,,26.3,,,0.98
Exp_003,FL,LM0135,6,,15.9,,,1.66
Exp_003,FS,LM0136,6,,29.9,,,1.81
Exp_003,NQ,LM0137,6,,24.2,,,1.44
Exp_003,UW,LM0138,6,,16.1,,,1.32
Exp_003,KY,LM0139,6,,13.5,,,0.69
Exp_003,DW,LM0140,6,,13.7,,,1.15
Exp_003,CP,LM0141,6,,26.5,,,2.14
Exp_003,CX,LM0142,6,,17.7,,,1.39
Exp_003,YZ,LM0143,6,,14,,,0.47
Exp_003,BH,LM0144,6,,21.2,,,1.09
Exp_003,AV,LM0123,7,,27,,,1.48
Exp_003,DE,LM0124,7,,12.9,,,1.06
Exp_003,LQ,LM0125,7,,19.5,,,1.87
Exp_003,EG,LM0126,7,,24.3,,,1.89
Exp_003,GZ,LM0127,7,,17.9,,,1
Exp_003,BT,LM0128,7,,21.4,,,1.58
Exp_003,DV,LM0129,7,,11.8,,,0.74
Exp_003,FV,LM0130,7,,15.1,,,1.32
Exp_003,OY,LM0131,7,,27.3,,,1.77
Exp_003,BZ,LM0132,7,,12.9,,,0.99
Exp_003,BX,LM0133,7,,15,,,1.72
Exp_003,MV,LM0134,7,,26.9,,,1.08
Exp_003,IY,LM0135,7,,16.7,,,1.77
Exp_003,CD,LM0136,7,,29.8,,,2.83
Exp_003,MR,LM0137,7,,25.3,,,1.51
Exp_003,AO,LM0138,7,,15.6,,,1.34
Exp_003,CJ,LM0139,7,,13.5,,,0.77
Exp_003,FH,LM0140,7,,13.5,,,1.23
Exp_003,DG,LM0141,7,,26.5,,,1.12
Exp_003,AB,LM0142,7,,17.8,,,1.37
Exp_003,CT,LM0143,7,,14,,,1.06
Exp_003,KM,LM0144,7,,21.5,,,1.59
Exp_003,MQ,LM0123,8,,27.5,,,1.64
Exp_003,CN,LM0124,8,,13,,,1
Exp_003,HZ,LM0125,8,,19.1,,,1.16
Exp_003,JZ,LM0126,8,,24.7,,,1.81
Exp_003,JS,LM0127,8,,17.9,,,1.03
Exp_003,LN,LM0128,8,,21.6,,,1.38
Exp_003,GJ,LM0129,8,,12.3,,,0.74
Exp_003,BU,LM0130,8,,15.1,,,0.92
Exp_003,DO,LM0131,8,,27.3,,,1.89
Exp_003,BG,LM0132,8,,13.1,,,1.07
Exp_003,JY,LM0133,8,,14.8,,,1.35
Exp_003,IR,LM0134,8,,26.9,,,1.43
Exp_003,LP,LM0135,8,,16.6,,,1.28
Exp_003,WX,LM0136,8,,30.3,,,2.09
Exp_003,RV,LM0137,8,,25,,,1.64
Exp_003,MZ,LM0138,8,,15.2,,,1.81
Exp_003,MT,LM0139,8,,13.5,,,1.08
Exp_003,IP,LM0140,8,,13.6,,,0.87
Exp_003,OS,LM0141,8,,26.7,,,0.89
Exp_003,GV,LM0142,8,,18.2,,,1
Exp_003,IN,LM0143,8,,14.3,,,0.58
Exp_003,GI,LM0144,8,,21.2,,,1.31
Exp_003,EM,LM0123,9,,27.7,,,1.33
Exp_003,RU,LM0124,9,,13.2,,,0.89
Exp_003,HS,LM0125,9,,19.1,,,0.92
Exp_003,FK,LM0126,9,,24.8,,,1.75
Exp_003,AJ,LM0127,9,,18.5,,,1.1
Exp_003,MP,LM0128,9,,22.2,,,1.77
Exp_003,DY,LM0129,9,,12.6,,,0.84
Exp_003,FG,LM0130,9,,15.1,,,1.13
Exp_003,HV,LM0131,9,,28,,,1.11
Exp_003,EH,LM0132,9,,14,,,1.01
Exp_003,SV,LM0133,9,,14.9,,,1.43
Exp_003,KL,LM0134,9,,27.9,,,1.41
Exp_003,IV,LM0135,9,,16.9,,,1.24
Exp_003,IZ,LM0136,9,,29.9,,,1.64
Exp_003,GR,LM0137,9,,26.3,,,1.42
Exp_003,HM,LM0138,9,,16.5,,,1.43
Exp_003,OX,LM0139,9,,13.9,,,0.85
Exp_003,NY,LM0140,9,,13.8,,,1.24
Exp_003,PU,LM0141,9,,26.6,,,1.19
Exp_003,KU,LM0142,9,,17.9,,,1.02
Exp_003,AN,LM0143,9,,14.7,,,0.98
Exp_003,MY,LM0144,9,,21.5,,,1.02
Exp_003,RS,LM0123,10,,28.4,,,2.36
Exp_003,AX,LM0124,10,,13.2,,,0.85
Exp_003,CS,LM0125,10,,19.1,,,1.46
Exp_003,DN,LM0126,10,,24.7,,,1.53
Exp_003,BL,LM0127,10,,18.6,,,1.26
Exp_003,KN,LM0128,10,,22.5,,,1.48
Exp_003,GP,LM0129,10,,12.8,,,0.8
Exp_003,HX,LM0130,10,,15.3,,,0.92
Exp_003,CY,LM0131,10,,28.6,,,1.57
Exp_003,OZ,LM0132,10,,13.7,,,1.39
Exp_003,CR,LM0133,10,,14.7,,,1.29
Exp_003,FT,LM0134,10,,27.7,,,1.76
Exp_003,EJ,LM0135,10,,16.3,,,1.15
Exp_003,EX,LM0136,10,,30,,,1.96
Exp_003,DU,LM0137,10,,25.6,,,1.06
Exp_003,RT,LM0138,10,,15.7,,,0.85
Exp_003,HN,LM0139,10,,13.8,,,0.98
Exp_003,XY,LM0140,10,,13.7,,,1.29
Exp_003,KV,LM0141,10,,27.1,,,1.32
Exp_003,PT,LM0142,10,,18.3,,,1.31
Exp_003,KP,LM0143,10,,14,,,1.16
Exp_003,QS,LM0144,10,,21.1,,,1.21
Exp_003,PX,LM0123,11,,28.1,,,1.62
Exp_003,EN,LM0124,11,,12.9,,,1.04
Exp_003,IJ,LM0125,11,,19.3,,,1.28
Exp_003,FO,LM0126,11,,24.9,,,1.29
Exp_003,HJ,LM0127,11,,18.4,,,0.89
Exp_003,NS,LM0128,11,,22.5,,,1.43
Exp_003,EU,LM0129,11,,13,,,0.92
Exp_003,FN,LM0130,11,,14.8,,,1
Exp_003,EO,LM0131,11,,29,,,1.42
Exp_003,JM,LM0132,11,,13.8,,,1.02
Exp_003,FM,LM0133,11,,14.8,,,0.95
Exp_003,JU,LM0134,11,,27.9,,,1.28
Exp_003,HP,LM0135,11,,16.3,,,1.09
Exp_003,AT,LM0136,11,,30.5,,,1.32
Exp_003,AC,LM0137,11,,25.8,,,0.71
Exp_003,DM,LM0138,11,,15.8,,,20.84
Exp_003,AE,LM0139,11,,14.6,,,0.6
Exp_003,MO,LM0140,11,,13.8,,,0.97
Exp_003,PW,LM0141,11,,27,,,1.26
Exp_003,IM,LM0142,11,,18,,,1.19
Exp_003,CO,LM0143,11,,14.5,,,1.11
Exp_003,OR,LM0144,11,,21.2,,,1.36
