,EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
66,LM_0333,4,48.5,50,1.84,98,PFK,NA
67,LM_0334,4,46.5,47.3,NA,97.8858350951374,FWC,NA
68,LM_0335,4,46.3,47,NA,98.2978723404255,VWN,NA
69,LM_0336,4,49.9,52.3,2.12,91.9694072657744,INX,NA
70,LM_0337,4,43.4,44.9,NA,98.8864142538975,OCL,NA
71,LM_0338,4,48.6,50.2,NA,99.402390438247,HET,NA
72,LM_0339,4,46.2,48.5,1.65,95.4639175257732,SNM,NA
73,LM_0340,4,52.8,53.6,NA,95.7089552238806,QKK,NA
74,LM_0341,4,54.1,58.1,NA,94.4922547332186,SWG,NA
75,LM_0342,4,52.2,55.6,2.74,92.0863309352518,JAH,NA
76,LM_0343,4,55.1,56.5,NA,95.929203539823,CTS,NA
77,LM_0344,4,NA,48.6,NA,NA,PBP,NA
78,LM_0345,4,56.7,59.2,2.13,97.8040540540541,HYO,NA
79,LM_0346,4,52.3,53.2,NA,96.6165413533835,BZL,NA
80,LM_0347,4,64.4,69.1,NA,92.3299565846599,VIZ,NA
81,LM_0332,5,50.2,51.3,NA,97.8557504873294,AOV,NA
82,LM_0333,5,47.4,50,1.69,97,DGY,NA
83,LM_0334,5,46.9,47.3,1.6,98.3086680761099,QTR,NA
84,LM_0335,5,46.4,47,1.49,98.5106382978723,ZGF,NA
85,LM_0336,5,46,52.3,0.67,95.4110898661568,AGV,NA
86,LM_0337,5,44.2,44.9,1.58,96.6592427616927,NSX,NA
87,LM_0338,5,50,50.2,NA,96.8127490039841,RPF,NA
88,LM_0339,5,44.7,48.5,1.11,95.2577319587629,BUX,NA
89,LM_0340,5,52.3,53.6,1.37,98.5074626865672,QOV,NA
90,LM_0341,5,54.7,58.1,NA,93.1153184165232,LZC,NA
91,LM_0342,5,50.1,55.6,1.9,93.8848920863309,ZBW,NA
92,LM_0343,5,54.6,56.5,1.8,97.5221238938053,LOR,NA
93,LM_0344,5,NA,48.6,NA,96.0905349794239,ZIB,NA
94,LM_0345,5,57.9,59.2,2.02,95.777027027027,OKR,NA
95,LM_0346,5,52.1,53.2,1.04,98.3082706766917,EFI,NA
96,LM_0347,5,63.5,69.1,NA,93.1982633863965,ICF,NA
97,LM_0332,6,49.5,51.3,NA,96.4912280701754,UBY,NA
98,LM_0333,6,46.3,50,0.97,92.6,MUY,NA
99,LM_0334,6,47,47.3,2.25,99.3657505285412,QIT,NA
100,LM_0335,6,46.3,47,1.51,98.5106382978723,RMA,NA
101,LM_0336,6,44.4,52.3,0.78,84.8948374760994,NYU,NA
102,LM_0337,6,44.4,44.9,1.59,98.8864142538975,AHV,NA
103,LM_0338,6,49.5,50.2,NA,98.605577689243,QSG,NA
104,LM_0339,6,44.1,48.5,0.88,90.9278350515464,LBS,NA
105,LM_0340,6,51.2,53.6,1.72,95.5223880597015,LCA,NA
106,LM_0341,6,54.7,58.1,NA,94.1480206540448,EWH,NA
107,LM_0342,6,48.5,55.6,1.21,87.2302158273381,YVL,NA
108,LM_0343,6,54.3,56.5,2.02,96.1061946902655,JVY,NA
109,LM_0344,6,NA,48.6,NA,NA,HSI,NA
110,LM_0345,6,55.3,59.2,1,93.4121621621621,LFC,NA
111,LM_0346,6,51.2,53.2,1.08,96.2406015037594,XYA,NA
112,LM_0347,6,62.6,69.1,2.9,90.5933429811867,UFY,NA
113,LM_0332,7,49.8,51.3,2.9,97.0760233918129,CRA,NA
114,LM_0333,7,45.5,50,1.99,91,JRF,NA
115,LM_0334,7,46.2,47.3,1.59,97.6744186046512,OYV,NA
116,LM_0335,7,46,47,2.44,97.8723404255319,ONI,NA
117,LM_0336,7,43.8,52.3,0.88,83.7476099426386,BWS,NA
118,LM_0337,7,43.9,44.9,1.49,97.7728285077951,QAP,NA
119,LM_0338,7,49.5,50.2,1.48,98.605577689243,XMO,NA
120,LM_0339,7,42,48.5,1.11,86.5979381443299,UHH,NA
121,LM_0340,7,50.9,53.6,1.67,94.9626865671642,FPD,NA
122,LM_0341,7,54.5,58.1,1.98,93.8037865748709,BPO,NA
123,LM_0342,7,46.5,55.6,1.14,83.6330935251799,XFC,NA
124,LM_0343,7,54,56.5,2.25,95.5752212389381,LAV,NA
125,LM_0344,7,NA,48.6,NA,NA,ECK,NA
126,LM_0345,7,54.8,59.2,1.96,92.5675675675675,FYX,NA
127,LM_0346,7,51.2,53.2,1.66,96.2406015037594,VLZ,NA
128,LM_0347,7,63,69.1,2.57,91.1722141823444,LSG,NA
129,LM_0332,8,50.6,51.3,2.4,98.635477582846,TBI,NA
130,LM_0333,8,45.7,50,NA,91.4,BTL,NA
131,LM_0334,8,45.1,47.3,2.15,95.3488372093024,RLW,NA
132,LM_0335,8,45.6,47,1.78,97.0212765957447,IIT,NA
133,LM_0336,8,45.4,52.3,NA,86.8068833652008,XFQ,NA
134,LM_0337,8,43.2,44.9,1.43,96.2138084632517,KMJ,NA
135,LM_0338,8,48.3,50.2,1.5,96.2151394422311,FWG,NA
136,LM_0339,8,43.7,48.5,NA,90.1030927835052,JUN,NA
137,LM_0340,8,49.7,53.6,2.44,92.7238805970149,FLD,NA
138,LM_0341,8,52.5,58.1,0.79,90.3614457831325,NQG,NA
139,LM_0342,8,47.4,55.6,NA,85.2517985611511,EVY,NA
140,LM_0343,8,52.9,56.5,1.62,93.6283185840708,BQA,NA
141,LM_0344,8,NA,48.6,NA,NA,WYF,NA
142,LM_0345,8,52.8,59.2,NA,89.1891891891892,IHD,NA
143,LM_0346,8,49.4,53.2,1.87,92.8571428571429,VJA,NA
144,LM_0347,8,60.4,69.1,2.65,87.4095513748191,FMI,NA
