"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","weight","weight_dpi0","faeces_weight","batch","label.1","totalOocysts"
"11","LM_0334",8,"P3bRLW",-4.94,47.4564142166688,"neg",0,"Eflab:UNI",95.3488372093024,NA,"UNI",0,"SWISS","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","LM_0332",8,"P3bTBI",-5.12,224.33938439495,"pos",0,"Eflab:E88",98.635477582846,NA,"E88",0,"SWISS","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","LM_0339",7,"P3bUHH",-8.94,76.1230512085418,"pos",150000,"E64:E64",86.5979381443299,NA,"E64",135135.135135135,"SWISS","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LM_0346",8,"P3bVJA",-8.74,14.9964342922672,"neg",0,"UNI:UNI",92.8571428571429,NA,"UNI",0,"SWISS","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","LM_0344",3,"P3bXAK",-8.06,3.67231170010524,"pos",NA,"UNI:E88",NA,NA,"E88",NA,"SWISS","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","LM_0342",7,"P3bXFC",-6.11,26.8867342101947,"pos",45000,"E139:E64",83.6330935251799,NA,"E64",39473.6842105263,"SWISS","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","LM_0358",8,"P4bGAB",-5.42953333333333,79.8828764448402,"pos",6507.59219088937,"E88:E64",92.7749360613811,NA,"E64",NA,"SWISS","CLS","mLN",25.4,12,23.2,9.41,9.08,49.7,2.06,52.4,6.14,20.5,22.5,9.13,50.1,43.53,46.92,4.61,"b","P4bGAB",30000
"18","LM_0358",8,"P4bGAB",-5.42953333333333,79.8828764448402,"pos",6507.59219088937,"E88:E64",92.7749360613811,NA,"E64",NA,"SWISS","CLS","Spleen",18.3,20.2,23.1,3.91,28.1,48.4,3.62,59.4,4.4,54.1,21.4,28.2,67.1,43.53,46.92,4.61,"b","P4bGAB",30000
"19","LM_0365",8,"P4bGXY",1.439,875.6170169286,"pos",0,"UNI:E88",77.9348311263205,NA,"E88",NA,"SWISS","CLS","mLN",28.3,16.7,45.1,5.68,7.26,70.2,1.45,47.7,5.79,25.9,62.7,2.7,14.5,52.38,67.21,0.24,"b","P4bGXY",0
"20","LM_0365",8,"P4bGXY",1.439,875.6170169286,"pos",0,"UNI:E88",77.9348311263205,NA,"E88",NA,"SWISS","CLS","Spleen",29.3,28.7,19.5,1.25,16.9,55,2.35,2.31,2.45,22.2,26.4,10.3,22,52.38,67.21,0.24,"b","P4bGXY",0
"21","LM_0353",8,"P4bIFU",3.20803333333334,459.582673472966,"pos",717616.580310881,"E64:E88",92.3392612859097,NA,"E88",NA,"SWISS","CLS","mLN",17.9,11.8,34.5,11.5,13.1,63.5,3.16,64.2,9.98,16.2,22.8,8.4,37.7,40.5,43.86,1.93,"b","P4bIFU",1385000
"22","LM_0353",8,"P4bIFU",3.20803333333334,459.582673472966,"pos",717616.580310881,"E64:E88",92.3392612859097,NA,"E88",NA,"SWISS","CLS","Spleen",12.3,15.9,31,2.47,17.5,47.5,1.79,33,5.02,27,17.3,15.6,34.9,40.5,43.86,1.93,"b","P4bIFU",1385000
"23","LM_0355",8,"P4bKJY",-5.20748333333334,275.954929080042,"neg",0,"E64:UNI",105.496183206107,NA,"UNI",NA,"SWISS","CLS","mLN",52.6,14.4,8.07,3.23,4.83,15.8,1.53,13.3,15.4,13.7,6.07,3.05,21.5,48.37,45.85,2.87,"b","P4bKJY",0
"24","LM_0355",8,"P4bKJY",-5.20748333333334,275.954929080042,"neg",0,"E64:UNI",105.496183206107,NA,"UNI",NA,"SWISS","CLS","Spleen",13.7,15.6,20.2,2.13,15.1,14.7,1.38,12.4,4.29,25.2,4.35,12.9,31,48.37,45.85,2.87,"b","P4bKJY",0
"25","LM_0354",8,"P4bMOP",-7.57086666666667,256.089697167021,"neg",0,"E64:E64",97.2148859543818,NA,"E64",NA,"SWISS","CLS","mLN",27.2,11.5,25.6,9.05,4.78,54.9,2.17,42.7,8.93,12.4,30.6,2.85,23.7,40.49,41.65,3.03,"b","P4bMOP",0
