"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","weight","weight_dpi0","faeces_weight","batch","label.1","totalOocysts"
"77","LM_0273",8,"E7bKQW",-10.42,16.5237749733482,"neg",0,"E64:E88",100.5069124,"E64","E88",0,"STRA_SCHUNT","WDS","mLN",52.1,5.205,31.795,18.21,2.74,21.99,0.73,27.275,18.26,2.81,15.015,2.01,8.88,NA,NA,NA,NA,NA,NA
"78","LM_0275",8,"E7bMNW",4.14,6.05707055172943,"neg",0,"E64:E88",107.8732597,"E64","E88",0,"SCHUNT_PWD","WDS","mLN",48.705,11.315,19.245,7.59,3.11,35.555,1.435,39.995,26.645,17.735,27.745,3.215,34.27,NA,NA,NA,NA,NA,NA
"79","LM_0276",8,"E7bBGY",-10.61,37.2475522517456,"neg",0,"E64:E88",104.9003042,"E64","E88",0,"STRA_STRA","WDS","mLN",42.07,5.53,31.595,9.75,3.055,29.22,0.84,30.17,7.725,6.5,18.93,3.605,22.265,NA,NA,NA,NA,NA,NA
"80","LM_0277",8,"E7bCEK",-10.39,14.6670411958386,"neg",0,"E64:E88",98.91122278,"E64","E88",0,"BUSNA_STRA","WDS","mLN",55.005,4.635,17.73,12.165,1.51,28.17,0.66,9.7,21.5,3.325,12.075,0.41,3.605,NA,NA,NA,NA,NA,NA
"81","LM_0278",8,"E7bDTU",-10.99,27.8926078147264,"neg",0,"E64:E88",106.51341,"E64","E88",0,"SCHUNT_PWD","WDS","mLN",55.135,4.955,19.55,6.445,1.305,27.14,0.485,19.2,27.155,3.9,6.5,1.02,7.42,NA,NA,NA,NA,NA,NA
"82","LM_0279",8,"E7bFPV",-9.18,8.41303699477307,"pos",5000,"E64:E64",99.62529274,"E64","E64",4545.45454545455,"BUSNA_BUSNA","WDS","mLN",48.92,14.3,52.62,14.605,7.425,79.505,1.73,69.7,21.09,21.605,36.21,2.315,14.775,NA,NA,NA,NA,NA,NA
"83","LM_0280",8,"E7bMRZ",-7.12,54.1465789028593,"pos",0,"E64:E64",105.2931133,"E64","E64",0,"SCHUNT_SCHUNT","WDS","mLN",60.705,3.74,36.475,18.505,5.28,48.67,1.94,24.22,18.575,8.135,46.22,2.31,17.46,NA,NA,NA,NA,NA,NA
"84","LM_0282",8,"E7bFRU",-12.69,23.307649530542,"neg",0,"E64:E88",116.4506481,"E64","E88",0,"STRA_STRA","WDS","mLN",49.85,4.7,26.94,8.94,3.02,22.305,1.4,21.805,10.375,6.72,17.135,2.78,18.35,NA,NA,NA,NA,NA,NA
"85","LM_0283",8,"E7bLYZ",-10.57,33.822275433801,"neg",0,"E64:E88",101.3089005,"E64","E88",0,"PWD_PWD","WDS","mLN",53.755,9.235,19.495,6.415,1.375,27.52,0.83,28.285,29.465,4.22,16.695,0.83,9.825,NA,NA,NA,NA,NA,NA
"86","LM_0284",8,"E7bLRS",-6.19,48.3675947493746,"pos",2500,"E64:E64",105.1808843,"E64","E64",1666.66666666667,"STRA_BUSNA","WDS","mLN",48.38,6.965,36.775,9.39,4.13,60.855,0.68,27.71,24.34,7.41,46.67,1.325,4.5,NA,NA,NA,NA,NA,NA
"87","LM_0285",8,"E7bBMX",-3.11,52.2081651889237,"pos",120000,"E64:E64",101.1837365,"E64","E64",85714.2857142857,"PWD_PWD","WDS","mLN",46.695,9.31,34.995,6.33,2.81,76.265,0.635,46.69,28.86,7.46,43.7,1.455,7.31,NA,NA,NA,NA,NA,NA
"88","LM_0286",8,"E7bCWZ",-9.21,19.5159265822312,"neg",0,"E64:E88",107.0267436,"E64","E88",0,"PWD_BUSNA","WDS","mLN",58.17,7.095,12.905,5.325,1.33,22.6,0.63,23.055,33.33,8.91,6.915,0.4,5.01,NA,NA,NA,NA,NA,NA
"89","LM_0287",8,"E7bPRZ",-6.34,52.366947921615,"pos",2500,"E64:E64",110.7275624,"E64","E64",1968.50393700787,"BUSNA_PWD","WDS","mLN",50.8,9.805,35.235,8.23,5.48,76.185,1.43,59.04,34.585,15.035,35.205,1.54,9.265,NA,NA,NA,NA,NA,NA
"90","LM_0288",8,"E7bCIW",-8.79,32.5857551761345,"neg",0,"E64:E88",101.1651469,"E64","E88",0,"PWD_BUSNA","WDS","mLN",57.615,5.52,13.72,5.7,1.235,29.35,0.59,20.91,32.53,7.58,9.96,0.43,4.315,NA,NA,NA,NA,NA,NA
"91","LM_0289",8,"E7bPSV",-9.18,11.1755693464102,"neg",0,"E64:E88",91.64229001,"E64","E88",0,"SCHUNT_SCHUNT","WDS","mLN",67.755,3.245,22.775,17.04,1.835,15.255,1.08,12.22,14.995,5.16,6.565,1.07,9.73,NA,NA,NA,NA,NA,NA
"92","LM_0291",8,"E7bBQY",1.21,110.035712563026,"pos",55000,"E64:E64",NA,"E64","E64",52884.6153846154,"PWD_BUSNA","WDS","mLN",42.085,9.84,37.85,8.35,7.57,71.14,1.005,41.105,30.975,27.805,38.4,3.785,12.825,NA,NA,NA,NA,NA,NA
"93","LM_0292",8,"E7bMOR",-7.97,22.3339434737452,"neg",0,"E64:E88",101.3995485,"E64","E88",0,"BUSNA_PWD","WDS","mLN",54.71,7,17.57,9.18,1.315,26.475,0.925,25.815,26.945,9.665,10.63,0.665,7.805,NA,NA,NA,NA,NA,NA
"94","LM_0294",8,"E7bFLN",11.61,177.312730924564,"pos",37500,"E64:E64",97.94359577,"E64","E64",37500,"PWD_PWD","WDS","mLN",48.125,10.595,33.98,5.645,4.17,58.705,0.52,39.065,28.025,12.985,49.65,2.52,14.905,NA,NA,NA,NA,NA,NA
