"dpi_max.OPG,EH_ID,infection_isolate,labels"
"10,LM0255,Brandenburg88 (E. falciformis),DGJ"
"11,LM0249,Brandenburg88 (E. falciformis),AIP"
"4,LM0244,Brandenburg88 (E. falciformis),HJW"
"5,LM0141,Brandenburg139 (E. ferrisi),BY"
"5,LM0144,Brandenburg64 (E. ferrisi),LW"
"5,LM0146,Brandenburg139 (E. ferrisi),PQY"
"5,LM0165,Brandenburg139 (E. ferrisi),FPV"
"5,LM0172,Brandenburg139 (E. ferrisi),COQ"
"5,LM0175,Brandenburg64 (E. ferrisi),AJY"
"5,LM0176,Brandenburg139 (E. ferrisi),BVX"
"5,LM0230,Brandenburg88 (E. falciformis),FJN"
"5,LM0258,Brandenburg64 (E. ferrisi),ILP"
"5,LM0259,Brandenburg64 (E. ferrisi),BUW"
"5,LM0260,Brandenburg64 (E. ferrisi),GUZ"
"5,LM0262,Brandenburg64 (E. ferrisi),PSW"
"6,LM0124,Brandenburg64 (E. ferrisi),IK"
"6,LM0125,Brandenburg64 (E. ferrisi),SY"
"6,LM0126,Brandenburg139 (E. ferrisi),GU"
"6,LM0130,Brandenburg139 (E. ferrisi),EQ"
"6,LM0133,Brandenburg64 (E. ferrisi),AU"
"6,LM0135,Brandenburg64 (E. ferrisi),FL"
"6,LM0136,Brandenburg64 (E. ferrisi),FS"
"6,LM0137,Brandenburg139 (E. ferrisi),NQ"
"6,LM0138,Brandenburg139 (E. ferrisi),UW"
"6,LM0142,Brandenburg64 (E. ferrisi),CX"
"6,LM0143,Brandenburg64 (E. ferrisi),YZ"
"6,LM0147,Brandenburg64 (E. ferrisi),HJN"
"6,LM0148,Brandenburg64 (E. ferrisi),HNW"
"6,LM0149,Brandenburg64 (E. ferrisi),MVZ"
"6,LM0150,Brandenburg139 (E. ferrisi),AJO"
"6,LM0151,Brandenburg64 (E. ferrisi),ABM"
"6,LM0152,Brandenburg64 (E. ferrisi),IMP"
"6,LM0154,Brandenburg139 (E. ferrisi),IXZ"
"6,LM0156,Brandenburg139 (E. ferrisi),GTW"
"6,LM0157,Brandenburg139 (E. ferrisi),EQV"
"6,LM0158,Brandenburg64 (E. ferrisi),DNY"
"6,LM0159,Brandenburg139 (E. ferrisi),EQT"
"6,LM0161,Brandenburg64 (E. ferrisi),CQR"
"6,LM0162,Brandenburg64 (E. ferrisi),JRT"
"6,LM0163,Brandenburg64 (E. ferrisi),CTY"
"6,LM0166,Brandenburg139 (E. ferrisi),ASZ"
"6,LM0167,Brandenburg64 (E. ferrisi),CQT"
"6,LM0168,Brandenburg139 (E. ferrisi),LRT"
"6,LM0170,Brandenburg139 (E. ferrisi),GIS"
"6,LM0171,Brandenburg64 (E. ferrisi),ITV"
"6,LM0173,Brandenburg64 (E. ferrisi),LQS"
"6,LM0174,Brandenburg64 (E. ferrisi),SUY"
"6,LM0178,Brandenburg64 (E. ferrisi),GOW"
"6,LM0187,Brandenburg88 (E. falciformis),FPR"
"6,LM0204,Brandenburg64 (E. ferrisi),AKU"
"6,LM0206,Brandenburg64 (E. ferrisi),BEM"
"6,LM0207,Brandenburg64 (E. ferrisi),KTU"
"6,LM0209,Brandenburg64 (E. ferrisi),DHQ"
"6,LM0212,Brandenburg64 (E. ferrisi),ABY"
"6,LM0213,Brandenburg64 (E. ferrisi),ABM"
"6,LM0214,Brandenburg64 (E. ferrisi),OTZ"
"6,LM0215,Brandenburg64 (E. ferrisi),GMX"
"6,LM0216,Brandenburg64 (E. ferrisi),BFX"
"6,LM0217,Brandenburg64 (E. ferrisi),DFN"
"6,LM0219,Brandenburg64 (E. ferrisi),CGL"
"6,LM0220,Brandenburg64 (E. ferrisi),AKR"
"6,LM0224,Brandenburg64 (E. ferrisi),IMR"
"6,LM0261,Brandenburg64 (E. ferrisi),GOS"
"6,LM0263,Brandenburg64 (E. ferrisi),MNQ"
"6,LM0264,Brandenburg64 (E. ferrisi),BGP"
"6,LM0265,Brandenburg64 (E. ferrisi),MRW"
"6,LM0266,Brandenburg64 (E. ferrisi),BLS"
"6,LM0267,Brandenburg64 (E. ferrisi),GOR"
"6,LM0268,Brandenburg64 (E. ferrisi),DKL"
"6,LM0269,Brandenburg64 (E. ferrisi),GNS"
"6,LM0270,Brandenburg64 (E. ferrisi),KQS"
"6,LM0272,Brandenburg64 (E. ferrisi),BHL"
"6,LM0273,Brandenburg64 (E. ferrisi),ALO"
