Exp_ID,EH_ID,weight,weightloss,fecweight,dpi,infection_isolate,sex,Neubauer1,Neubauer2,Neubauer3,Neubauer4,dilution_ml
Exp_002,1,32.3,0,0,0,EfLab,female,0,0,0,0,1
Exp_002,2,37,0,0,0,EfLab,female,0,0,0,0,1
Exp_002,3,42.6,0,0,0,EfLab,male,0,0,0,0,1
Exp_002,4,40.8,0,0,0,EfLab,male,0,0,0,0,1
Exp_002,5,41.4,0,0,0,EfLab,male,0,0,0,0,1
Exp_002,6,37.8,0,0,0,EfLab,male,0,0,0,0,1
Exp_002,7,40.7,0,0,0,E64,male,0,0,0,0,1
Exp_002,8,42.6,0,0,0,E64,male,0,0,0,0,1
Exp_002,9,40.7,0,0,0,E64,male,0,0,0,0,1
Exp_002,10,30.4,0,0,0,E64,female,0,0,0,0,1
Exp_002,11,34,0,0,0,E64,female,0,0,0,0,1
Exp_002,12,27.8,0,0,0,E64,female,0,0,0,0,1
Exp_002,13,38.4,0,0,0,E88,male,0,0,0,0,1
Exp_002,14,42.8,0,0,0,E88,male,0,0,0,0,1
Exp_002,15,41.6,0,0,0,E88,male,0,0,0,0,1
Exp_002,16,36.2,0,0,0,E88,female,0,0,0,0,1
Exp_002,17,34.6,0,0,0,E88,female,0,0,0,0,1
Exp_002,18,33.4,0,0,0,E88,female,0,0,0,0,1
Exp_002,19,40.3,0,0,0,E139,male,0,0,0,0,1
Exp_002,20,44.4,0,0,0,E139,male,0,0,0,0,1
Exp_002,21,33.2,0,0,0,E139,female,0,0,0,0,1
Exp_002,22,35.2,0,0,0,E139,female,0,0,0,0,1
Exp_002,23,35.5,0,0,0,E139,female,0,0,0,0,1
Exp_002,1,33.5,0,2.26,1,EfLab,female,0,0,0,0,1
Exp_002,2,36.8,0.54,1.32,1,EfLab,female,0,0,0,0,1
Exp_002,3,42.2,0.94,1.8,1,EfLab,male,0,0,0,0,1
Exp_002,4,41.3,0,1.67,1,EfLab,male,0,0,0,0,1
Exp_002,5,42,0,3.1,1,EfLab,male,0,0,0,0,1
Exp_002,6,38.3,0,2.42,1,EfLab,male,0,0,0,0,1
Exp_002,7,40.4,0.74,1.92,1,E64,male,0,0,0,0,1
Exp_002,8,42.6,0,1.78,1,E64,male,0,0,0,0,1
Exp_002,9,40.9,0,2.21,1,E64,male,0,0,0,0,1
Exp_002,10,30.8,0,1.13,1,E64,female,0,0,0,0,1
Exp_002,11,33.6,1.17,1.96,1,E64,female,0,0,0,0,1
Exp_002,12,28.2,0,1.3,1,E64,female,0,0,0,0,1
Exp_002,13,38,1.04,1.63,1,E88,male,0,0,0,0,1
Exp_002,14,40.5,5.55,2.55,1,E88,male,0,0,0,0,1
Exp_002,15,41.3,0.72,2.04,1,E88,male,0,0,0,0,1
Exp_002,16,36,0.55,0.86,1,E88,female,0,0,0,0,1
Exp_002,17,34.4,0.57,1.04,1,E88,female,0,0,0,0,1
Exp_002,18,33,1.2,0.84,1,E88,female,0,0,0,0,1
Exp_002,19,40,0.74,2.69,1,E139,male,0,0,0,0,1
