OD,Conc
1.42,2000
1.414,2000
1.405,2000
1.481,2000
1.476,2000
1.473,2000
0.841,1000
0.841,1000
0.841,1000
0.883,1000
0.882,1000
0.88,1000
0.471,500
0.473,500
0.475,500
0.541,500
0.537,500
0.535,500
0.324,250
0.324,250
0.323,250
0.287,250
0.289,250
0.29,250
0.145,125
0.145,125
0.146,125
0.159,125
0.156,125
0.155,125
0.091,62.5
0.09,62.5
0.09,62.5
0.1,62.5
0.1,62.5
0.098,62.5
0.067,31.25
0.066,31.25
0.065,31.25
0.081,31.25
0.079,31.25
0.078,31.25
-0.006,0
-0.006,0
-0.007,0
0.006,0
0.006,0
0.007,0
