experiment,EH_ID,weight,weightloss,feces_weight,dpi,primary_infection,sex,oocyst_sq1,oocyst_sq2,oocys_sq3,oocyst_sq4,dilution,relative_weight,weight_dpi0
Exp_002,1,32.3,0,0,0,EfLab,female,0,0,0,0,1,100,32.3
Exp_002,2,37,0,0,0,EfLab,female,0,0,0,0,1,100,37
Exp_002,3,42.6,0,0,0,EfLab,male,0,0,0,0,1,100,42.6
Exp_002,4,40.8,0,0,0,EfLab,male,0,0,0,0,1,100,40.8
Exp_002,5,41.4,0,0,0,EfLab,male,0,0,0,0,1,100,41.4
Exp_002,6,37.8,0,0,0,EfLab,male,0,0,0,0,1,100,37.8
Exp_002,7,40.7,0,0,0,E64,male,0,0,0,0,1,100,40.7
Exp_002,8,42.6,0,0,0,E64,male,0,0,0,0,1,100,42.6
Exp_002,9,40.7,0,0,0,E64,male,0,0,0,0,1,100,40.7
Exp_002,10,30.4,0,0,0,E64,female,0,0,0,0,1,100,30.4
Exp_002,11,34,0,0,0,E64,female,0,0,0,0,1,100,34
Exp_002,12,27.8,0,0,0,E64,female,0,0,0,0,1,100,27.8
Exp_002,13,38.4,0,0,0,E88,male,0,0,0,0,1,100,38.4
Exp_002,14,42.8,0,0,0,E88,male,0,0,0,0,1,100,42.8
Exp_002,15,41.6,0,0,0,E88,male,0,0,0,0,1,100,41.6
Exp_002,16,36.2,0,0,0,E88,female,0,0,0,0,1,100,36.2
Exp_002,17,34.6,0,0,0,E88,female,0,0,0,0,1,100,34.6
Exp_002,18,33.4,0,0,0,E88,female,0,0,0,0,1,100,33.4
Exp_002,19,40.3,0,0,0,E139,male,0,0,0,0,1,100,40.3
Exp_002,20,44.4,0,0,0,E139,male,0,0,0,0,1,100,44.4
Exp_002,21,33.2,0,0,0,E139,female,0,0,0,0,1,100,33.2
Exp_002,22,35.2,0,0,0,E139,female,0,0,0,0,1,100,35.2
Exp_002,23,35.5,0,0,0,E139,female,0,0,0,0,1,100,35.5
Exp_002,1,33.5,0,2.26,1,EfLab,female,0,0,0,0,1,103.715170278638,32.3
Exp_002,2,36.8,0.54,1.32,1,EfLab,female,0,0,0,0,1,99.4594594594595,37
Exp_002,3,42.2,0.94,1.8,1,EfLab,male,0,0,0,0,1,99.0610328638498,42.6
Exp_002,4,41.3,0,1.67,1,EfLab,male,0,0,0,0,1,101.225490196078,40.8
Exp_002,5,42,0,3.1,1,EfLab,male,0,0,0,0,1,101.449275362319,41.4
Exp_002,6,38.3,0,2.42,1,EfLab,male,0,0,0,0,1,101.322751322751,37.8
Exp_002,7,40.4,0.74,1.92,1,E64,male,0,0,0,0,1,99.2628992628993,40.7
Exp_002,8,42.6,0,1.78,1,E64,male,0,0,0,0,1,100,42.6
Exp_002,9,40.9,0,2.21,1,E64,male,0,0,0,0,1,100.4914004914,40.7
Exp_002,10,30.8,0,1.13,1,E64,female,0,0,0,0,1,101.315789473684,30.4
Exp_002,11,33.6,1.17,1.96,1,E64,female,0,0,0,0,1,98.8235294117647,34
Exp_002,12,28.2,0,1.3,1,E64,female,0,0,0,0,1,101.438848920863,27.8
Exp_002,13,38,1.04,1.63,1,E88,male,0,0,0,0,1,98.9583333333333,38.4
Exp_002,14,40.5,5.55,2.55,1,E88,male,0,0,0,0,1,94.6261682242991,42.8
Exp_002,15,41.3,0.72,2.04,1,E88,male,0,0,0,0,1,99.2788461538462,41.6
Exp_002,16,36,0.55,0.86,1,E88,female,0,0,0,0,1,99.4475138121547,36.2
Exp_002,17,34.4,0.57,1.04,1,E88,female,0,0,0,0,1,99.4219653179191,34.6
Exp_002,18,33,1.2,0.84,1,E88,female,0,0,0,0,1,98.8023952095808,33.4
Exp_002,19,40,0.74,2.69,1,E139,male,0,0,0,0,1,99.2555831265509,40.3
Exp_002,20,44.3,0.22,2.28,1,E139,male,0,0,0,0,1,99.7747747747748,44.4
Exp_002,21,32.7,1.5,1.95,1,E139,female,0,0,0,0,1,98.4939759036145,33.2
Exp_002,22,34.8,1.13,1.1,1,E139,female,0,0,0,0,1,98.8636363636364,35.2
Exp_002,23,35.4,0.28,1.67,1,E139,female,0,0,0,0,1,99.7183098591549,35.5
Exp_002,1,33.8,0,1.66,2,EfLab,female,0,0,0,0,1,104.643962848297,32.3
Exp_002,2,36.9,0.27,2.36,2,EfLab,female,0,0,0,0,1,99.7297297297297,37
Exp_002,3,41.2,3.33,2.69,2,EfLab,male,0,0,0,0,1,96.7136150234742,42.6
Exp_002,4,39.9,2.22,1.82,2,EfLab,male,0,0,0,0,1,97.7941176470588,40.8
Exp_002,5,40.9,1.2,2.93,2,EfLab,male,0,0,0,0,1,98.792270531401,41.4
Exp_002,6,38.4,0,2.61,2,EfLab,male,0,0,0,0,1,101.587301587302,37.8
Exp_002,7,39.9,2,3.53,2,E64,male,0,0,0,0,1,98.034398034398,40.7
Exp_002,8,42.6,0,2.85,2,E64,male,0,0,0,0,1,100,42.6
Exp_002,9,40.7,0,2.63,2,E64,male,0,0,0,0,1,100,40.7
Exp_002,10,30.2,0.65,1.19,2,E64,female,0,0,0,0,1,99.3421052631579,30.4
Exp_002,11,32.2,5.55,1.62,2,E64,female,0,0,0,0,1,94.7058823529412,34
Exp_002,12,27.8,0,2.44,2,E64,female,0,0,0,0,1,100,27.8
Exp_002,13,38,1.04,1.36,2,E88,male,0,0,0,0,1,98.9583333333333,38.4
Exp_002,14,39.4,8,2.67,2,E88,male,0,0,0,0,1,92.0560747663551,42.8
Exp_002,15,41.3,0.72,3.64,2,E88,male,0,0,0,0,1,99.2788461538462,41.6
Exp_002,16,35.4,2.22,1.73,2,E88,female,0,0,0,0,1,97.7900552486188,36.2
Exp_002,17,34.7,0,2.07,2,E88,female,0,0,0,0,1,100.28901734104,34.6
Exp_002,18,33.4,0,2.09,2,E88,female,0,0,0,0,1,100,33.4
Exp_002,19,39.4,2.27,2.34,2,E139,male,0,0,0,0,1,97.7667493796526,40.3
Exp_002,20,44.3,0.22,2.66,2,E139,male,0,0,0,0,1,99.7747747747748,44.4
Exp_002,21,32,3.7,2.11,2,E139,female,0,0,0,0,1,96.3855421686747,33.2
Exp_002,22,34.3,2.56,1.55,2,E139,female,0,0,0,0,1,97.4431818181818,35.2
Exp_002,23,34.8,2,2.19,2,E139,female,0,0,0,0,1,98.0281690140845,35.5
Exp_002,1,33.5,0,2.96,3,EfLab,female,0,0,0,0,1,103.715170278638,32.3
Exp_002,2,38,0,2.85,3,EfLab,female,0,0,0,0,1,102.702702702703,37
Exp_002,3,41.1,3.5,3.67,3,EfLab,male,0,0,0,0,1,96.4788732394366,42.6
Exp_002,4,40.4,0.98,2.94,3,EfLab,male,0,0,0,0,1,99.0196078431373,40.8
Exp_002,5,41.5,0,3.05,3,EfLab,male,0,0,0,0,1,100.24154589372,41.4
Exp_002,6,37.8,0,4.12,3,EfLab,male,0,0,0,0,1,100,37.8
Exp_002,7,40.1,1.49,3.26,3,E64,male,0,0,0,0,1,98.5257985257985,40.7
Exp_002,8,42.6,0,2.58,3,E64,male,0,0,0,0,1,100,42.6
Exp_002,9,40.5,0.49,2.71,3,E64,male,0,0,0,0,1,99.5085995085995,40.7
Exp_002,10,30.4,0,2.82,3,E64,female,0,0,0,0,1,100,30.4
Exp_002,11,31.8,6.66,2.18,3,E64,female,0,0,0,0,1,93.5294117647059,34
Exp_002,12,27.8,0,2.29,3,E64,female,0,0,0,0,1,100,27.8
Exp_002,13,37.5,2.38,3.94,3,E88,male,0,0,0,0,1,97.65625,38.4
Exp_002,14,38.7,10,2.35,3,E88,male,0,0,0,0,1,90.4205607476636,42.8
Exp_002,15,41.4,1.36,3.86,3,E88,male,0,0,0,0,1,99.5192307692308,41.6
Exp_002,16,35,3.33,2.13,3,E88,female,0,0,0,0,1,96.6850828729282,36.2
Exp_002,17,34.4,0.57,2.11,3,E88,female,0,0,0,0,1,99.4219653179191,34.6
Exp_002,18,33.9,0,2,3,E88,female,0,0,0,0,1,101.497005988024,33.4
Exp_002,19,39.4,2.27,3.82,3,E139,male,0,0,0,0,1,97.7667493796526,40.3
Exp_002,20,43.3,2.5,2.52,3,E139,male,0,0,0,0,1,97.5225225225225,44.4
Exp_002,21,31.6,5,2.49,3,E139,female,0,0,0,0,1,95.1807228915663,33.2
Exp_002,22,33.1,6.25,2.46,3,E139,female,0,0,0,0,1,94.0340909090909,35.2
Exp_002,23,34.8,2,2.27,3,E139,female,0,0,0,0,1,98.0281690140845,35.5
Exp_002,1,32.8,0,3.36,4,EfLab,female,0,0,0,0,1,101.547987616099,32.3
Exp_002,2,38.9,0,3.56,4,EfLab,female,0,0,0,0,1,105.135135135135,37
Exp_002,3,40.8,4.34,3.72,4,EfLab,male,0,0,0,0,1,95.7746478873239,42.6
Exp_002,4,39.8,2.45,2.82,4,EfLab,male,0,0,0,0,1,97.5490196078431,40.8
Exp_002,5,41,0.96,3.29,4,EfLab,male,0,0,0,0,1,99.0338164251208,41.4
Exp_002,6,37.5,0.8,4.13,4,EfLab,male,0,0,0,0,1,99.2063492063492,37.8
Exp_002,7,40.1,1.49,3.43,4,E64,male,0,0,0,0,1,98.5257985257985,40.7
Exp_002,8,42.1,1.17,3.59,4,E64,male,0,0,0,0,1,98.8262910798122,42.6
Exp_002,9,40.5,0.49,3.2,4,E64,male,0,0,0,0,1,99.5085995085995,40.7
Exp_002,10,29.8,2,3.65,4,E64,female,0,0,0,0,1,98.0263157894737,30.4
Exp_002,11,32,5.88,3.24,4,E64,female,0,0,0,0,1,94.1176470588235,34
Exp_002,12,27.3,1.79,3.05,4,E64,female,0,1,0,1,1,98.2014388489209,27.8
Exp_002,13,37.3,2.94,2.85,4,E88,male,0,0,0,0,1,97.1354166666667,38.4
Exp_002,14,38.2,11.11,2.78,4,E88,male,0,0,0,0,1,89.2523364485981,42.8
Exp_002,15,41.4,0.48,3.11,4,E88,male,0,0,0,0,1,99.5192307692308,41.6
Exp_002,16,36.1,0.27,2.8,4,E88,female,0,0,0,0,1,99.7237569060773,36.2
Exp_002,17,34.6,0,2.96,4,E88,female,0,0,0,0,1,100,34.6
Exp_002,18,34.4,0,2.71,4,E88,female,0,0,0,0,1,102.994011976048,33.4
Exp_002,19,39,3.22,3.75,4,E139,male,0,0,0,0,1,96.7741935483871,40.3
Exp_002,20,43.7,1.58,2.71,4,E139,male,0,0,0,0,1,98.4234234234234,44.4
Exp_002,21,30.6,8.33,2.79,4,E139,female,0,0,0,0,1,92.1686746987952,33.2
Exp_002,22,32.6,7.69,1.78,4,E139,female,0,0,0,0,1,92.6136363636364,35.2
Exp_002,23,35.5,0,3.49,4,E139,female,0,0,0,0,1,100,35.5
Exp_002,1,32.9,NA,2.63,5,EfLab,female,0,0,0,0,1,101.857585139319,32.3
Exp_002,2,38.2,NA,3.45,5,EfLab,female,0,0,0,0,1,103.243243243243,37
Exp_002,3,41.5,NA,3.35,5,EfLab,male,0,0,0,0,1,97.4178403755868,42.6
