Exp_ID,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
Exp_003,AB,4,2,2,5,1
Exp_003,AC,0,0,0,0,1
Exp_003,AD,17,19,22,20,1
Exp_003,AE,1,0,1,0,1
Exp_003,AF,0,0,0,0,1
Exp_003,AJ,0,0,0,0,1
Exp_003,AK,0,0,1,0,1
Exp_003,AM,0,0,0,0,1
Exp_003,AN,2,0,0,0,1
Exp_003,AO,10,7,9,6,1
Exp_003,AQ,6,4,8,9,1
Exp_003,AR,0,0,0,0,1
Exp_003,AS,0,0,0,0,1
Exp_003,AT,0,0,0,0,1
Exp_003,AU,55,57,78,60,1
Exp_003,AV,76,93,83,117,1
Exp_003,AX,0,0,0,0,1
Exp_003,AY,0,0,0,0,1
Exp_003,BC,0,0,0,0,1
Exp_003,BD,0,0,1,0,1
Exp_003,BF,0,0,0,0,1
Exp_003,BG,2,0,5,2,1
Exp_003,BH,24,11,14,15,1
Exp_003,BI,0,0,0,0,1
Exp_003,BJ,0,0,0,0,1
Exp_003,BL,0,0,0,0,1
Exp_003,BM,0,0,0,0,1
Exp_003,BN,151,182,133,219,1
Exp_003,BO,0,0,0,0,1
Exp_003,BS,0,0,0,0,1
Exp_003,BT,51,65,74,69,1
Exp_003,BU,4,3,4,9,1
Exp_003,BW,0,0,0,0,1
Exp_003,BX,80,73,90,101,1
Exp_003,BY,137,120,146,120,1
Exp_003,BZ,117,104,206,172,1
Exp_003,CD,60,74,93,71,1
Exp_003,CE,0,0,0,0,1
Exp_003,CH,0,0,0,0,1
Exp_003,CJ,27,44,62,77,1
Exp_003,CK,2,4,1,2,1
Exp_003,CL,0,0,0,0,1
Exp_003,CM,15,8,8,9,1
Exp_003,CN,3,1,2,2,1
Exp_003,CO,0,0,0,0,1
Exp_003,CP,80,78,90,86,1
Exp_003,CR,1,0,1,1,1
Exp_003,CS,1,0,1,0,1
Exp_003,CT,44,72,101,48,1
Exp_003,CU,20,30,33,30,1
Exp_003,CX,50,29,27,31,1
Exp_003,CY,2,0,3,0,1
Exp_003,DE,24,25,26,26,1
Exp_003,DF,43,31,46,32,1
Exp_003,DG,0,1,3,4,1
Exp_003,DH,0,0,0,0,1
Exp_003,DI,0,1,0,0,1
Exp_003,DJ,0,0,0,0,1
Exp_003,DK,0,0,0,0,1
Exp_003,DM,0,0,0,0,1
Exp_003,DN,0,0,0,0,1
Exp_003,DO,2,5,4,5,1
Exp_003,DQ,0,0,0,0,1
Exp_003,DS,0,0,0,0,1
Exp_003,DU,0,0,0,0,1
Exp_003,DV,23,46,54,51,1
Exp_003,DW,63,73,62,51,1
Exp_003,DX,0,0,0,0,1
Exp_003,DY,1,1,7,5,1
Exp_003,DZ,0,0,0,0,1
Exp_003,EG,61,47,59,46,1
Exp_003,EH,2,1,2,2,1
Exp_003,EI,0,0,0,0,1
Exp_003,EJ,0,2,1,2,1
Exp_003,EL,0,0,0,0,1
Exp_003,EM,2,2,2,1,1
Exp_003,EN,0,0,0,0,1
Exp_003,EO,0,0,0,0,1
Exp_003,EP,0,0,0,0,1
Exp_003,EQ,36,25,24,33,1
Exp_003,ER,0,0,0,0,1
Exp_003,ET,3,0,3,2,1
Exp_003,EU,1,1,0,3,1
Exp_003,EV,16,25,26,27,1
Exp_003,EW,3,4,4,8,1
Exp_003,EX,0,0,0,0,1
Exp_003,EZ,0,0,0,0,1
Exp_003,FG,2,0,1,0,1
Exp_003,FH,118,100,105,119,1
Exp_003,FI,6,28,18,16,1
Exp_003,FJ,0,0,0,0,1
Exp_003,FK,0,0,0,0,1
Exp_003,FL,236,279,245,265,1
Exp_003,FM,1,0,0,0,1
Exp_003,FN,0,1,0,1,1
Exp_003,FO,0,0,0,0,1
Exp_003,FP,0,0,0,0,1
Exp_003,FS,233,236,155,195,1
Exp_003,FT,0,0,0,0,1
Exp_003,FV,42,44,51,41,1
Exp_003,FW,0,0,0,0,1
Exp_003,FY,0,0,0,0,1
Exp_003,FZ,0,0,0,0,1
Exp_003,GI,3,3,2,1,1
Exp_003,GJ,5,5,6,2,1
Exp_003,GK,0,0,0,0,1
Exp_003,GL,0,0,0,0,1
Exp_003,GM,0,0,0,0,1
