"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution","OPG"
"1","E11bCES","","","","","","",""
"2","E11bACW","","","","","","",""
"3","E11bITU","","","","","","",""
"4","E11bIKX","","","","","","",""
"5","E11bEFN","","","","","","",""
"6","E11bHKS","","","","","","",""
"7","E11bDGZ","","","","","","",""
"8","E11bEJV","","","","","","",""
"9","E11bEIJ","","","","","","",""
"10","E11bIUX","","","","","","",""
"11","E11bDOQ","","","","","","",""
"12","E11bGHN","","","","","","",""
"13","E11bDLV","","","","","","",""
"14","E11bFLZ","","","","","","",""
"15","E11bLPU","","","","","","",""
"16","E11bHUY","","","","","","",""
"17","E11bHMY","","","","","","",""
"18","E11bQSV","","","","","","",""
"19","E11bIKP","","","","","","",""
"20","E11bFGU","","","","","","",""
"21","E11bBNS","","","","","","",""
"22","E11bBDZ","","","","","","",""
"23","E11bBOT","","","","","","",""
"24","E11bCFI","","","","","","",""
"25","E11bACT","","","","","","",""
"26","E11bHOV","","","","","","",""
"27","E11bNTX","","","","","","",""
"28","E11bISU","","","","","","",""
"29","E11bAIY","","","","","","",""
"30","E11bJSX","","","","","","",""
"31","E11bEQW","","","","","","",""
"32","E11bKSV","","","","","","",""
"33","E11bAMQ","","","","","","",""
"34","E11bIVZ","","","","","","",""
"35","E11bHKO","","","","","","",""
"36","E11bHOQ","","","","","","",""
"37","E11bKMS","","","","","","",""
"38","E11bAOW","","","","","","",""
"39","E11bGHL","","","","","","",""
"40","E11bMRU","","","","","","",""
"41","E11bLTX","","","","","","",""
"42","E11bEMO","","","","","","",""
"43","E11bANS","","","","","","",""
"44","E11bOPU","","","","","","",""
"45","E11bGJM","","","","","","",""
"46","E11bCPU","","","","","","",""
"47","E11bFIL","","","","","","",""
"48","E11bBSW","","","","","","",""
"49","E11bDOU","","","","","","",""
"50","E11bCQZ","","","","","","",""
"51","E11bCUV","","","","","","",""
"52","E11bLRS","","","","","","",""
"53","E11bDEN","","","","","","",""
"54","E11bMUX","","","","","","",""
"55","E11bEPW","","","","","","",""
"56","E11bBHQ","","","","","","",""
"57","E11bCDH","","","","","","",""
"58","E11bEQU","","","","","","",""
"59","E11bJPW","","","","","","",""
"60","E11bKSX","","","","","","",""
"61","E11bBCV","","","","","","",""
"62","E11bHPT","","","","","","",""
"63","E11bCOQ","","","","","","",""
"64","E11bAFS","","","","","","",""
"65","E11bCKM","","","","","","",""
"66","E11bADM","","","","","","",""
"67","E11bBOZ","","","","","","",""
"68","E11bHNO","","","","","","",""
"69","E11bERW","","","","","","",""
"70","E11bJSZ","","","","","","",""
"71","E11bBTX","","","","","","",""
"72","E11bLSV","","","","","","",""
"73","E11bGNV","","","","","","",""
"74","E11bLUZ","","","","","","",""
"75","E11bSUV","","","","","","",""
"76","E11bGSY","","","","","","",""
"77","E11bDEZ","","","","","","",""
"78","E11bJMP","","","","","","",""
"79","E11bAEY","","","","","","",""
"80","E11bFKZ","","","","","","",""
"81","E11bAEZ","","","","","","",""
"82","E11bEUY","","","","","","",""
"83","E11bFJU","","","","","","",""
"84","E11bEOW","","","","","","",""
"85","E11bDIV","","","","","","",""
"86","E11bIJV","","","","","","",""
"87","E11bBPQ","","","","","","",""
"88","E11bDIP","","","","","","",""
"89","E11bDHJ","","","","","","",""
"90","E11bJLQ","","","","","","",""
"91","E11bEGI","","","","","","",""
"92","E11bLWX","","","","","","",""
"93","E11bBKM","","","","","","",""
"94","E11bDRS","","","","","","",""
"95","E11bKLS","","","","","","",""
"96","E11bKOX","","","","","","",""
"97","E11bBNQ","","","","","","",""
"98","E11bFKQ","","","","","","",""
"99","E11bHKX","","","","","","",""
"100","E11bBEZ","","","","","","",""
"101","E11bJNW","","","","","","",""
"102","E11bDGN","","","","","","",""
"103","E11bMNU","","","","","","",""
"104","E11bLPV","","","","","","",""
"105","E11bIRU","","","","","","",""
"106","E11bDVZ","","","","","","",""
"107","E11bEKT","","","","","","",""
"108","E11bILX","","","","","","",""
"109","E11bEKN","","","","","","",""
"110","E11bETV","","","","","","",""
"111","E11bJOW","","","","","","",""
"112","E11bCJS","","","","","","",""
"113","E11bRWX","","","","","","",""
"114","E11bJPS","","","","","","",""
"115","E11bMNZ","","","","","","",""
"116","E11bEJW","","","","","","",""
"117","E11bHIV","","","","","","",""
"118","E11bUWZ","","","","","","",""
"119","E11bCEH","","","","","","",""
"120","E11bMPQ","","","","","","",""
"121","E11bEFK","","","","","","",""
"122","E11bAOP","","","","","","",""
"123","E11bGOQ","","","","","","",""
"124","E11bDOP","","","","","","",""
"125","E11bBUY","","","","","","",""
"126","E11bBJO","","","","","","",""
"127","E11bDNW","","","","","","",""
"128","E11bADY","","","","","","",""
"129","E11bNOS","","","","","","",""
"130","E11bLQT","","","","","","",""
"131","E11bJMZ","","","","","","",""
"132","E11bCMQ","","","","","","",""
"133","E11bELX","","","","","","",""
"134","E11bCQW","","","","","","",""
"135","E11bNPV","","","","","","",""
