EH_ID,cDNA_conc,260/280,260/230,Date and Time,dilution_1000ng/µl,h2o_to_standard,cDNA_to_25µl_standard,h2o_to_25µl_standard
22,1501.2,1.74,1.76,18/4/2019 09:25:34,0.666,0.334,16.653,8.347
23,1649.8,1.72,1.85,19/4/2019 09:26:12,0.606,0.394,15.153,9.847
24,1225,1.72,1.76,20/4/2019 09:27:46,0.816,0.184,20.408,4.592
25,1411.8,1.73,1.79,21/4/2019 09:29:03,0.708,0.292,17.708,7.292
22,1300.5,1.76,1.8,3/11/2019 23:56:39,0.769,0.231,19.223,5.777
23,1334.8,1.74,1.83,3/11/2019 23:57:51,0.749,0.251,18.729,6.271
24,1255.7,1.71,1.54,3/11/2019 23:58:23,0.796,0.204,19.909,5.091
26,1419.7,1.74,1.67,3/11/2019 23:59:03,0.704,0.296,17.609,7.391
41,1484.3,1.74,1.73,3/11/2019 23:59:39,0.674,0.326,16.843,8.157
76,2452.8,1.77,1.82,3/12/2019 00:00:19,0.408,0.592,10.192,14.808
39,1504.3,1.74,1.71,3/12/2019 00:00:50,0.665,0.335,16.619,8.381
44,1105.2,1.71,1.53,3/12/2019 00:01:22,0.905,0.095,22.620,2.380
69,1498.1,1.74,1.76,3/12/2019 00:02:01,0.668,0.332,16.688,8.312
86,2270.9,1.78,1.95,3/12/2019 00:02:43,0.440,0.560,11.009,13.991
67,1680.3,1.73,1.76,3/12/2019 00:03:12,0.595,0.405,14.878,10.122
81,1614.7,1.73,1.82,3/12/2019 00:03:47,0.619,0.381,15.483,9.517
40,1532.2,1.74,1.74,3/12/2019 00:04:17,0.653,0.347,16.316,8.684
63,2449.7,1.78,1.92,3/12/2019 00:04:41,0.408,0.592,10.205,14.795
57,1590,1.74,1.74,3/12/2019 00:05:09,0.629,0.371,15.723,9.277
51,1314.8,1.74,1.7,3/12/2019 00:05:40,0.761,0.239,19.014,5.986
58,1321.8,1.69,1.55,3/12/2019 00:06:15,0.757,0.243,18.914,6.086
42,1277.2,1.73,1.71,3/12/2019 00:06:39,0.783,0.217,19.574,5.426
37,2538.2,1.77,1.98,3/12/2019 00:07:16,0.394,0.606,9.849,15.151
29,1110.6,1.72,1.52,3/12/2019 00:07:39,0.900,0.100,22.510,2.490
88,1228.8,1.74,1.67,3/12/2019 00:08:05,0.814,0.186,20.345,4.655
83,1207.7,1.68,1.1,3/12/2019 00:08:29,0.828,0.172,20.701,4.299
62,1368.9,1.74,1.69,3/12/2019 00:08:51,0.731,0.269,18.263,6.737
82,1254.5,1.72,1.77,3/12/2019 00:09:24,0.797,0.203,19.928,5.072
54,1053.7,1.71,1.59,3/12/2019 00:11:25,0.949,0.051,23.726,1.274
59,1210.8,1.7,1.47,3/12/2019 00:11:50,0.826,0.174,20.648,4.352
43,1666.4,1.72,1.82,3/12/2019 00:12:15,0.600,0.400,15.002,9.998
93,1570.9,1.69,1.3,3/12/2019 00:13:41,0.637,0.363,15.914,9.086
77,1451.2,1.72,1.76,3/12/2019 00:14:07,0.689,0.311,17.227,7.773
61,1513.4,1.73,1.75,3/12/2019 00:14:32,0.661,0.339,16.519,8.481
64,985,1.72,1.68,3/12/2019 00:14:58,1.015,-0.015,25.381,-0.381
90,996.8,1.71,1.53,3/12/2019 00:15:37,1.003,-0.003,25.080,-0.080
68,1166.1,1.73,1.69,3/12/2019 00:16:22,0.858,0.142,21.439,3.561
76,1110.4,1.72,1.74,3/12/2019 00:17:07,0.901,0.099,22.514,2.486
50,1422.3,1.74,1.79,3/12/2019 00:17:32,0.703,0.297,17.577,7.423
95,2043.8,1.77,1.95,3/12/2019 00:18:04,0.489,0.511,12.232,12.768
75,1308.5,1.72,1.71,3/12/2019 00:18:31,0.764,0.236,19.106,5.894
47,1231.9,1.67,1.17,3/12/2019 00:18:56,0.812,0.188,20.294,4.706
57,1081.5,1.73,1.66,3/12/2019 00:19:27,0.925,0.075,23.116,1.884
55,1270.3,1.73,1.76,3/12/2019 00:19:56,0.787,0.213,19.680,5.320
C,1746.1,1.7,1.68,3/12/2019 00:20:25,0.573,0.427,14.318,10.682
38,2193,1.71,1.75,3/12/2019 00:20:59,0.456,0.544,11.400,13.600
36,2383.2,1.72,1.81,3/12/2019 00:21:25,0.420,0.580,10.490,14.510
27,2236.5,1.75,1.85,3/12/2019 00:21:52,0.447,0.553,11.178,13.822
35,1744,1.69,1.7,3/12/2019 00:22:15,0.573,0.427,14.335,10.665
25,2249.8,1.74,1.81,3/12/2019 00:23:35,0.444,0.556,11.112,13.888
91,1752.5,1.69,1.67,3/12/2019 00:23:58,0.571,0.429,14.265,10.735
33,2020.4,1.73,1.79,3/12/2019 00:24:28,0.495,0.505,12.374,12.626
89,1717,1.7,1.72,3/12/2019 00:24:46,0.582,0.418,14.560,10.440
28,1680.1,1.7,1.71,3/12/2019 00:25:09,0.595,0.405,14.880,10.120
30,2117.3,1.73,1.75,3/12/2019 00:25:35,0.472,0.528,11.807,13.193
80,1686.8,1.7,1.69,3/12/2019 00:25:55,0.593,0.407,14.821,10.179
85,2127.7,1.73,1.88,3/12/2019 00:26:20,0.470,0.530,11.750,13.250
73,2256.5,1.76,1.85,3/12/2019 00:26:48,0.443,0.557,11.079,13.921
66,1270.8,1.66,1.42,3/12/2019 00:27:08,0.787,0.213,19.673,5.327
84,2480.2,1.74,1.87,3/12/2019 00:27:33,0.403,0.597,10.080,14.920
60,2054.5,1.75,1.85,3/12/2019 00:27:54,0.487,0.513,12.168,12.832
79,2040,1.74,1.81,3/12/2019 00:28:14,0.490,0.510,12.255,12.745
46,1690.8,1.72,1.81,3/12/2019 00:28:35,0.591,0.409,14.786,10.214
29,1163.5,1.7,1.64,3/12/2019 00:28:54,0.859,0.141,21.487,3.513
74,2127.7,1.75,1.81,3/12/2019 00:29:20,0.470,0.530,11.750,13.250
56,2124.7,1.74,1.81,3/12/2019 00:29:43,0.471,0.529,11.766,13.234
65,2156.3,1.73,1.8,3/12/2019 00:30:06,0.464,0.536,11.594,13.406
54,2049.4,1.73,1.73,3/12/2019 00:30:27,0.488,0.512,12.199,12.801
