experiment,labels,EH_ID,dpi,weight,relative_weight,feces_weight,weight_dpi0,dpi_dissection
E3,NA,LM0123,-7,25.9,94.5255474452555,NA,27.4,
E3,NA,LM0124,-7,14.8,104.964539007092,NA,14.1,
E3,NA,LM0125,-7,21.4,110.880829015544,NA,19.3,
E3,NA,LM0126,-7,25.3,102.429149797571,NA,24.7,
E3,NA,LM0127,-7,19.1,101.595744680851,NA,18.8,
E3,NA,LM0128,-7,24.5,103.813559322034,NA,23.6,
E3,NA,LM0129,-7,14.2,105.185185185185,NA,13.5,
E3,NA,LM0130,-7,16.4,107.894736842105,NA,15.2,
E3,NA,LM0131,-7,25,97.65625,NA,25.6,
E3,NA,LM0132,-7,15.1,109.420289855072,NA,13.8,
E3,NA,LM0133,-7,14.8,100.680272108844,NA,14.7,
E3,NA,LM0134,-7,28,100,NA,28,
E3,NA,LM0135,-7,17.7,105.988023952096,NA,16.7,
E3,NA,LM0136,-7,28.7,98.2876712328767,NA,29.2,
E3,NA,LM0137,-7,23,104.072398190045,NA,22.1,
E3,NA,LM0138,-7,16.8,107.692307692308,NA,15.6,
E3,NA,LM0139,-7,15.5,109.929078014184,NA,14.1,
E3,NA,LM0140,-7,16.8,124.444444444444,NA,13.5,
E3,NA,LM0141,-7,23.8,95.9677419354839,NA,24.8,
E3,NA,LM0142,-7,19.6,120.987654320988,NA,16.2,
E3,NA,LM0143,-7,16.3,110.135135135135,NA,14.8,
E3,NA,LM0144,-7,24,112.676056338028,NA,21.3,
E3,NA,LM0123,-1,27.3,99.6350364963504,NA,27.4,
E3,NA,LM0124,-1,13.9,98.5815602836879,NA,14.1,
E3,NA,LM0125,-1,20.3,105.181347150259,NA,19.3,
E3,NA,LM0126,-1,23.8,96.3562753036437,NA,24.7,
E3,NA,LM0127,-1,18.6,98.936170212766,NA,18.8,
E3,NA,LM0128,-1,24.6,104.237288135593,NA,23.6,
E3,NA,LM0129,-1,14.6,108.148148148148,NA,13.5,
E3,NA,LM0130,-1,16.2,106.578947368421,NA,15.2,
E3,NA,LM0131,-1,24.5,95.703125,NA,25.6,
E3,NA,LM0132,-1,13.6,98.5507246376812,NA,13.8,
E3,NA,LM0133,-1,14.7,100,NA,14.7,
E3,NA,LM0134,-1,27.3,97.5,NA,28,
E3,NA,LM0135,-1,16.8,100.59880239521,NA,16.7,
E3,NA,LM0136,-1,28.6,97.9452054794521,NA,29.2,
E3,NA,LM0137,-1,17.6,79.6380090497738,NA,22.1,
