labels,oocyst_1,oocyst_2,oocyst_3,oocyst_4,AVG
FFH,0,0,0,0,0
CXA,0,0,0,0,0
KHJ,0,0,0,0,0
YAM,0,0,0,0,0
QMT,0,0,0,0,0
UCA,0,0,0,0,0
OJF,1,0,0,1,0.5
FST,1,0,0,0,0.25
YED,0,1,0,0,0.25
BPY,2,0,0,1,0.75
HUH,0,0,0,0,0
IGA,0,0,0,0,0
ETM,0,0,0,0,0
UGP,0,0,0,0,0
XKE,0,0,0,0,0
MFY,0,0,0,0,0
QPN,0,0,0,0,0
QVI,0,0,0,0,0
VQC,0,0,0,0,0
PQW,0,0,0,0,0
QBT,0,0,0,0,0
AXB,0,0,0,0,0
DAP,0,0,0,0,0
CLB,0,0,0,0,0
TQA,0,0,0,0,0
HBQ,1,1,0,0,0.5
TDW,1,0,1,0,0.5
LNT,1,0,0,0,0.25
LLW,1,0,0,1,0.5
UDZ,1,0,1,0,0.5
CRR,1,0,0,0,0.25
UGT,0,0,0,0,0
OYZ,0,0,0,0,0
QKW,0,0,0,0,0
EJC,0,0,0,0,0
NJI,0,0,0,0,0
ZFS,1,0,0,0,0.25
KBV,0,1,0,0,0.25
VMI,0,0,0,0,0
ZCH,0,1,0,0,0.25
GSL,0,0,0,0,0
EER,0,0,0,0,0
XEZ,0,0,0,0,0
WDD,0,0,0,0,0
OAW,1,0,1,0,0.5
WPM,0,0,0,1,0.25
PPC,1,0,2,0,0.75
NGT,0,0,1,2,0.75
PXS,0,1,0,0,0.25
OBO,2,0,1,1,1
JKC,0,1,0,2,0.75
ERQ,0,2,0,0,0.5
SOS,0,0,0,0,0
SRU,0,0,0,0,0
NGR,0,0,0,0,0
CFB,0,0,0,0,0
AKA,0,0,0,0,0
ZFI,1,0,0,0,0.25
EOW,0,0,0,0,0
NZF,1,1,0,0,0.5
UGV,1,0,0,0,0.25
SBT,0,0,0,0,0
OUM,0,0,0,0,0
NDF,0,0,0,0,0
GTB,0,0,0,0,0
VPK,0,0,0,0,0
JQX,0,0,0,0,0
CLL,0,0,0,0,0
QEA,0,0,0,0,0
BBE,0,0,0,0,0
LDK,0,0,0,0,0
IYI,0,0,0,0,0
ARF,0,0,0,0,0
CNZ,12,13,9,4,9.5
MDE,6,4,3,3,4
IUD,3,4,4,3,3.5
SWD,6,4,3,5,4.5
BIO,12,9,6,6,8.25
JTL,82,71,63,74,72.5
BRM,74,79,81,64,74.5
LBB,26,30,24,21,25.25
HQE,48,36,39,44,41.75
RKJ,31,28,23,24,26.5
MDM,3,0,0,2,1.25
BID,0,1,0,0,0.25
CUI,12,18,14,11,13.75
ZBG,4,4,3,3,3.5
UAQ,3,4,3,1,2.75
FCS,7,9,4,5,6.25
NXU,0,0,0,0,0
URG,0,0,0,0,0
QAO,0,0,0,0,0
QYP,0,0,0,0,0
HPG,83,94,87,79,85.75
GAU,7,11,8,9,8.75
VCF,9,4,8,7,7
BPT,67,68,65,63,65.75
MGT,94,61,72,81,77
OWQ,58,63,68,64,63.25
DHR,148,151,131,137,141.75
EWQ,19,21,17,19,19
ZZO,77,71,68,79,73.75
TUY,114,121,109,102,111.5
EVI,148,162,158,155,155.75
EAQ,11,9,10,14,11
FOM,17,14,15,13,14.75
PSG,6,4,3,6,4.75
AQN,17,17,22,19,18.75
GEH,0,0,0,0,0
GAV,0,0,0,0,0
EOB,0,0,0,0,0
CXE,0,0,0,0,0
MRT,17,12,11,15,13.75
MRP,1,0,2,0,0.75
CZD,8,7,5,4,6
PBV,81,92,77,84,83.5
ULK,71,69,72,77,72.25
LGU,17,19,21,15,18
EWR,9,9,10,8,9
BIO,25,41,29,33,32
AAA,12,21,17,19,17.25
SWK,62,58,49,57,56.5
OZG,25,23,26,22,24
RBY,5,6,7,6,6
KCF,6,7,4,5,5.5
VCP,129,125,131,117,125.5
ETW,21,25,22,19,21.75
NOU,0,0,0,0,0
ONQ,0,0,0,0,0
UAE,0,0,0,0,0
HQG,0,0,0,0,0
CNF,8,6,5,7,6.5
FDT,7,8,7,6,7
FGV,1,3,4,2,2.5
LWB,8,7,6,3,6
YSI,106,109,111,121,111.75
BWK,45,41,52,47,46.25
IVI,5,7,4,6,5.5
FXB,70,64,82,79,73.75
BFV,91,108,92,88,94.75
DTP,29,31,27,24,27.75
CPI,130,121,133,129,128.25
IJK,0,0,0,0,0
EDT,0,0,0,0,0
OWI,0,0,0,0,0
KBE,0,0,0,0,0
PBX,2,1,0,1,1
NWE,0,0,0,0,0
ENX,0,1,1,0,0.5
NJL,0,0,0,0,0
EXA,104,97,109,102,103
WYZ,44,41,38,42,41.25
SNC,6,3,4,3,4
ULF,12,9,11,10,10.5
FTM,158,161,174,147,160
RDV,98,112,102,107,104.75
PUM,7,6,5,6,6
JRE,0,0,0,0,0
VLF,0,0,0,0,0
RFT,0,0,0,0,0
IJQ,0,0,0,0,0
XIJ,0,0,0,0,0
EBU,0,0,0,0,0
DYG,0,0,0,0,0
CPK,0,0,0,0,0
MMF,18,17,19,12,16.5
YSZ,6,4,3,4,4.25
XYX,7,8,5,6,6.5
RHX,3,3,4,2,3
BGC,0,1,0,0,0.25
DAQ,11,13,9,7,10
ZRL,38,29,41,24,33
KFE,0,0,0,0,0
XTX,0,0,0,0,0
PWL,0,0,0,0,0
KPL,0,0,0,0,0
PVF,0,0,0,0,0
IJW,3,6,4,5,4.5
EER,4,2,0,2,2
ZCH,1,2,0,2,1.25
NDH,0,1,1,0,0.5
QMF,1,2,1,0,1
KUB,0,0,0,0,0
HRY,0,0,1,0,0.25
GZU,0,0,0,0,0
GFH,4,6,5,7,5.5
