"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","EXP","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","Wchange","weight","weight_dpi0"
"40",NA,NA,NA,7,"LM_0339",NA,"P3",1.93,NA,NA,NA,NA,"E64:E64",NA,"P3aCXA",1103626.94300518,"E64","SWISS",93.9516129032258,46.6,49.6
"41",NA,NA,NA,8,"LM_0342",NA,"P3",NA,NA,NA,NA,NA,"E139:E64",NA,"P3aCXB",NA,"E139","SWISS",92.280701754386,52.6,57
"42",NA,NA,NA,5,"LM_0344",NA,"P3",3.15,NA,NA,0,NA,"UNI:E88",NA,"P3aDAL",0,"UNI","SWISS",98.6381322957199,50.7,51.4
"43",NA,NA,NA,1,"LM_0336",NA,"P3",NA,NA,NA,NA,NA,"E88:E64",NA,"P3aDGB",NA,"E88","SWISS",89.7880539499037,46.6,51.9
"44",NA,NA,NA,6,"LM_0336",NA,"P3",NA,NA,NA,NA,NA,"E88:E64",NA,"P3aDHR",NA,"E88","SWISS",95.5684007707129,49.6,51.9
"45",NA,NA,NA,7,"LM_0343",NA,"P3",1.13,NA,NA,296.748537396371,NA,"E139:UNI",NA,"P3aDJM",79646.0176991151,"E139","SWISS",85.2842809364548,51,59.8
"46",NA,NA,NA,4,"LM_0344",NA,"P3",NA,NA,NA,NA,NA,"UNI:E88",NA,"P3aDNK",NA,"UNI","SWISS",99.6108949416343,51.2,51.4
"47",NA,NA,NA,6,"LM_0337",NA,"P3",NA,NA,NA,NA,NA,"E88:UNI",NA,"P3aDQQ",NA,"E88","SWISS",100.671140939597,45,44.7
"48",NA,NA,NA,1,"LM_0346",NA,"P3",NA,NA,NA,NA,NA,"UNI:UNI",NA,"P3aDSK",NA,"UNI","SWISS",101.855287569573,54.9,53.9
"49",NA,NA,NA,4,"LM_0343",NA,"P3",2.77,NA,NA,0,NA,"E139:UNI",NA,"P3aDTY",0,"E139","SWISS",93.9799331103679,56.2,59.8
"50",NA,NA,NA,7,"LM_0347",NA,"P3",3.75,NA,NA,26.2920556868341,NA,"E88:E88",NA,"P3aDUN",364000,"E88","SWISS",91.6083916083916,65.5,71.5
"51",NA,NA,NA,0,"LM_0334",NA,"P3",NA,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aDWK",NA,"Eflab","SWISS",100,50.7,50.7
"52",NA,NA,NA,7,"LM_0338",NA,"P3",2.61,NA,NA,0,NA,"E64:E88",NA,"P3aDWO",174329.501915709,"E64","SWISS",90.448343079922,46.4,51.3
"53",NA,NA,NA,8,"LM_0346",NA,"P3",3.7,NA,NA,NA,NA,"UNI:UNI",NA,"P3aDXD",0,"UNI","SWISS",97.2170686456401,52.4,53.9
"54",NA,NA,NA,8,"LM_0341",NA,"P3",NA,NA,NA,NA,NA,"E139:E88",NA,"P3aDYV",NA,"E139","SWISS",86.9712351945854,51.4,59.1
"55",NA,NA,NA,4,"LM_0347",NA,"P3",NA,NA,NA,NA,NA,"E88:E88",NA,"P3aEDH",NA,"E88","SWISS",95.1048951048951,68,71.5
"56",NA,NA,NA,5,"LM_0338",NA,"P3",1.94,NA,NA,71.4308186448006,NA,"E64:E88",NA,"P3aEEZ",275773.195876289,"E64","SWISS",90.448343079922,46.4,51.3
"57",NA,NA,NA,11,"LM_0333",NA,"P3",1.45,NA,NA,NA,NA,"Eflab:E64",NA,"P3aENK",0,"Eflab","SWISS",81.9734345351044,43.2,52.7
"58",NA,NA,NA,7,"LM_0337",NA,"P3",3.44,NA,NA,NA,NA,"E88:UNI",NA,"P3aETL",75581.3953488372,"E88","SWISS",100,44.7,44.7
"59",NA,NA,NA,1,"LM_0333",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E64",NA,"P3aEWW",NA,"Eflab","SWISS",98.292220113852,51.8,52.7
"60",NA,NA,NA,2,"LM_0346",NA,"P3",NA,NA,NA,NA,NA,"UNI:UNI",NA,"P3aEXU",NA,"UNI","SWISS",99.2578849721707,53.5,53.9
"61",NA,NA,NA,7,"LM_0346",NA,"P3",3.12,NA,NA,0,NA,"UNI:UNI",NA,"P3aFJS",0,"UNI","SWISS",97.7736549165121,52.7,53.9
"62",NA,NA,NA,3,"LM_0345",NA,"P3",NA,NA,NA,NA,NA,"UNI:E64",NA,"P3aFKH",NA,"UNI","SWISS",96.3756177924217,58.5,60.7
"63",NA,NA,NA,9,"LM_0335",NA,"P3",2.8,NA,NA,NA,NA,"E88:UNI",NA,"P3aFLM",119642.857142857,"E88","SWISS",88.2591093117409,43.6,49.4
"64",NA,NA,NA,11,"LM_0332",NA,"P3",0.49,NA,NA,NA,NA,"Eflab:E88",NA,"P3aFOK",20408.1632653061,"Eflab","SWISS",75,45.9,61.2
"65",NA,NA,NA,10,"LM_0340",NA,"P3",NA,NA,NA,NA,NA,"E64:UNI",NA,"P3aFRB",NA,"E64","SWISS",94.3119266055046,51.4,54.5
"66",NA,NA,NA,0,"LM_0332",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E88",NA,"P3aFRJ",NA,"Eflab","SWISS",100,61.2,61.2
"67",NA,NA,NA,8,"LM_0343",NA,"P3",NA,NA,NA,NA,NA,"E139:UNI",NA,"P3aFUN",NA,"E139","SWISS",84.2809364548495,50.4,59.8
"68",NA,NA,NA,0,"LM_0336",NA,"P3",NA,NA,NA,NA,NA,"E88:E64",NA,"P3aGBL",NA,"E88","SWISS",100,51.9,51.9
"69",NA,NA,NA,4,"LM_0345",NA,"P3",NA,NA,NA,NA,NA,"UNI:E64",NA,"P3aGFF",NA,"UNI","SWISS",95.5518945634267,58,60.7
"70",NA,NA,NA,10,"LM_0341",NA,"P3",NA,NA,NA,NA,NA,"E139:E88",NA,"P3aGPG",NA,"E139","SWISS",89.8477157360406,53.1,59.1
"71",NA,NA,NA,5,"LM_0337",NA,"P3",NA,NA,NA,NA,NA,"E88:UNI",NA,"P3aGTO",NA,"E88","SWISS",99.5525727069351,44.5,44.7
"72",NA,NA,NA,2,"LM_0343",NA,"P3",NA,NA,NA,NA,NA,"E139:UNI",NA,"P3aHAT",NA,"E139","SWISS",94.8160535117057,56.7,59.8
"73",NA,NA,NA,3,"LM_0333",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E64",NA,"P3aHEM",NA,"Eflab","SWISS",98.1024667931689,51.7,52.7
"74",NA,NA,NA,10,"LM_0338",NA,"P3",NA,NA,NA,NA,NA,"E64:E88",NA,"P3aHEN",NA,"E64","SWISS",95.7115009746589,49.1,51.3
"75",NA,NA,NA,0,"LM_0345",NA,"P3",NA,NA,NA,NA,NA,"UNI:E64",NA,"P3aHHB",NA,"UNI","SWISS",100,60.7,60.7
"76",NA,NA,NA,3,"LM_0339",NA,"P3",2.62,NA,NA,5.92617647133014,NA,"E64:E64",NA,"P3aHIX",0,"E64","SWISS",97.7822580645161,48.5,49.6
"77",NA,NA,NA,8,"LM_0340",NA,"P3",NA,NA,NA,NA,NA,"E64:UNI",NA,"P3aHYV",NA,"E64","SWISS",93.0275229357798,50.7,54.5
"78",NA,NA,NA,5,"LM_0333",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E64",NA,"P3aIAK",NA,"Eflab","SWISS",97.7229601518027,51.5,52.7
"79",NA,NA,NA,4,"LM_0333",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E64",NA,"P3aIFD",NA,"Eflab","SWISS",99.4307400379507,52.4,52.7
"80",NA,NA,NA,2,"LM_0347",NA,"P3",NA,NA,NA,NA,NA,"E88:E88",NA,"P3aIWZ",NA,"E88","SWISS",96.0839160839161,68.7,71.5
"81",NA,NA,NA,9,"LM_0344",NA,"P3",1.5,NA,NA,NA,NA,"UNI:E88",NA,"P3aIZU",0,"UNI","SWISS",97.2762645914397,50,51.4
"82",NA,NA,NA,6,"LM_0345",NA,"P3",2.58,NA,NA,0,NA,"UNI:E64",NA,"P3aJGV",0,"UNI","SWISS",93.4102141680395,56.7,60.7
"83",NA,NA,NA,5,"LM_0347",NA,"P3",NA,NA,NA,NA,NA,"E88:E88",NA,"P3aJGW",NA,"E88","SWISS",93.7062937062937,67,71.5
"84",NA,NA,NA,11,"LM_0334",NA,"P3",0.85,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aJIH",0,"Eflab","SWISS",77.7120315581854,39.4,50.7
"85",NA,NA,NA,7,"LM_0334",NA,"P3",2.07,NA,NA,1.13376266139588,NA,"Eflab:UNI",NA,"P3aJIX",41062.8019323672,"Eflab","SWISS",93.491124260355,47.4,50.7
"86",NA,NA,NA,5,"LM_0341",NA,"P3",1.95,NA,NA,279.378503473262,NA,"E139:E88",NA,"P3aJJH",194871.794871795,"E139","SWISS",86.6328257191202,51.2,59.1
"87",NA,NA,NA,1,"LM_0337",NA,"P3",NA,NA,NA,NA,NA,"E88:UNI",NA,"P3aJLL",NA,"E88","SWISS",98.8814317673378,44.2,44.7
"88",NA,NA,NA,10,"LM_0333",NA,"P3",0.6,NA,NA,NA,NA,"Eflab:E64",NA,"P3aJOI",33333.3333333333,"Eflab","SWISS",81.2144212523719,42.8,52.7
"89",NA,NA,NA,10,"LM_0339",NA,"P3",NA,NA,NA,NA,NA,"E64:E64",NA,"P3aJQD",NA,"E64","SWISS",94.758064516129,47,49.6
"90",NA,NA,NA,0,"LM_0333",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E64",NA,"P3aJRA",NA,"Eflab","SWISS",100,52.7,52.7
"91",NA,NA,NA,1,"LM_0343",NA,"P3",NA,NA,NA,NA,NA,"E139:UNI",NA,"P3aJRY",NA,"E139","SWISS",94.9832775919733,56.8,59.8
"92",NA,NA,NA,10,"LM_0334",NA,"P3",0.57,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aJVR",17543.8596491228,"Eflab","SWISS",79.2899408284024,40.2,50.7
"93",NA,NA,NA,0,"LM_0347",NA,"P3",NA,NA,NA,NA,NA,"E88:E88",NA,"P3aJZP",NA,"E88","SWISS",100,71.5,71.5
"94",NA,NA,NA,9,"LM_0334",NA,"P3",1.06,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aKEG",117924.528301887,"Eflab","SWISS",83.4319526627219,42.3,50.7
"95",NA,NA,NA,3,"LM_0337",NA,"P3",NA,NA,NA,NA,NA,"E88:UNI",NA,"P3aKIB",NA,"E88","SWISS",99.3288590604027,44.4,44.7
"96",NA,NA,NA,6,"LM_0332",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E88",NA,"P3aKIQ",NA,"Eflab","SWISS",96.078431372549,58.8,61.2
"97",NA,NA,NA,3,"LM_0343",NA,"P3",1.06,NA,NA,9.62578621607662,NA,"E139:UNI",NA,"P3aKPZ",0,"E139","SWISS",95.819397993311,57.3,59.8
"98",NA,NA,NA,7,"LM_0342",NA,"P3",2.2,NA,NA,2.1253529448919,NA,"E139:E64",NA,"P3aKUB",75000,"E139","SWISS",93.6842105263158,53.4,57
"99",NA,NA,NA,1,"LM_0344",NA,"P3",NA,NA,NA,NA,NA,"UNI:E88",NA,"P3aKUI",NA,"UNI","SWISS",100.583657587549,51.7,51.4
"100",NA,NA,NA,7,"LM_0344",NA,"P3",1.35,NA,NA,NA,NA,"UNI:E88",NA,"P3aKXD",0,"UNI","SWISS",97.4708171206226,50.1,51.4
"101",NA,NA,NA,9,"LM_0340",NA,"P3",NA,NA,NA,NA,NA,"E64:UNI",NA,"P3aKYD",NA,"E64","SWISS",96.3302752293578,52.5,54.5
"102",NA,NA,NA,4,"LM_0334",NA,"P3",NA,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aKYE",NA,"Eflab","SWISS",96.6469428007889,49,50.7
"103",NA,NA,NA,7,"LM_0341",NA,"P3",2.86,NA,NA,6.93375628339634,NA,"E139:E88",NA,"P3aLKM",298951.048951049,"E139","SWISS",85.2791878172589,50.4,59.1
"104",NA,NA,NA,2,"LM_0334",NA,"P3",NA,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aLMT",NA,"Eflab","SWISS",88.1656804733728,44.7,50.7
"105",NA,NA,NA,5,"LM_0332",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E88",NA,"P3aLRK",NA,"Eflab","SWISS",95.9150326797386,58.7,61.2
"106",NA,NA,NA,0,"LM_0343",NA,"P3",NA,NA,NA,NA,NA,"E139:UNI",NA,"P3aLTM",NA,"E139","SWISS",100,59.8,59.8
"107",NA,NA,NA,2,"LM_0342",NA,"P3",NA,NA,NA,NA,NA,"E139:E64",NA,"P3aLTV",NA,"E139","SWISS",94.0350877192983,53.6,57
"108",NA,NA,NA,7,"LM_0340",NA,"P3",1.82,NA,NA,27.682622433774,NA,"E64:UNI",NA,"P3aMAO",516483.516483516,"E64","SWISS",92.6605504587156,50.5,54.5
"109",NA,NA,NA,0,"LM_0338",NA,"P3",NA,NA,NA,NA,NA,"E64:E88",NA,"P3aMCD",NA,"E64","SWISS",100,51.3,51.3
"110",NA,NA,NA,11,"LM_0347",NA,"P3",7.28,NA,NA,NA,NA,"E88:E88",NA,"P3aMCE",9615.38461538462,"E88","SWISS",88.3916083916084,63.2,71.5
"111",NA,NA,NA,5,"LM_0342",NA,"P3",3.7,NA,NA,4.29589113725598,NA,"E139:E64",NA,"P3aMNQ",212162.162162162,"E139","SWISS",93.1578947368421,53.1,57
"112",NA,NA,NA,4,"LM_0342",NA,"P3",2.5,NA,NA,0,NA,"E139:E64",NA,"P3aMVU",2000,"E139","SWISS",97.5438596491228,55.6,57
"113",NA,NA,NA,5,"LM_0336",NA,"P3",NA,NA,NA,NA,NA,"E88:E64",NA,"P3aNGT",NA,"E88","SWISS",97.8805394990366,50.8,51.9
"114",NA,NA,NA,2,"LM_0338",NA,"P3",NA,NA,NA,NA,NA,"E64:E88",NA,"P3aNJU",NA,"E64","SWISS",98.2456140350877,50.4,51.3
"115",NA,NA,NA,5,"LM_0339",NA,"P3",1.74,NA,NA,358.082663728646,NA,"E64:E64",NA,"P3aNLI",186781.609195402,"E64","SWISS",89.1129032258064,44.2,49.6
"116",NA,NA,NA,5,"LM_0345",NA,"P3",4.04,NA,NA,0,NA,"UNI:E64",NA,"P3aNMF",0,"UNI","SWISS",94.3986820428336,57.3,60.7
"117",NA,NA,NA,2,"LM_0333",NA,"P3",NA,NA,NA,NA,NA,"Eflab:E64",NA,"P3aNRV",NA,"Eflab","SWISS",97.9127134724858,51.6,52.7
"118",NA,NA,NA,6,"LM_0341",NA,"P3",0.52,NA,NA,0,NA,"E139:E88",NA,"P3aNYG",1038461.53846154,"E139","SWISS",85.1099830795262,50.3,59.1
