"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","EXP","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","Wchange","weight","weight_dpi0"
"621","E88",-9.66,-10.61,8,"LM_0276","neg","E7",1,"parental strains",37.2475522517456,NA,-6.19,"E64:E88",-3.74,"E7bBGY",0,NA,"STRA_STRA",104.9003042,31.04,29.59
"622","E64",NA,NA,4,"LM_0279",NA,"E7",0.68,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bBHX",0,NA,"BUSNA_BUSNA",101.3583138,21.64,21.35
"623","E64",NA,NA,4,"LM_0263",NA,"E7",0.98,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bBIJ",0,NA,"PWD_SCHUNT",105.2705882,22.37,21.25
"624","E88",NA,NA,6,"LM_0277",NA,"E7",1.9,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bBIN",0,NA,"BUSNA_STRA",101.3819095,24.21,23.88
"625","E64",NA,NA,2,"LM_0285",NA,"E7",1.33,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bBIT",0,NA,"PWD_PWD",98.04426145,19.05,19.43
"626","E64",NA,NA,0,"LM_0269",NA,"E7",1,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bBIW",0,NA,"STRA_SCHUNT",100,21.6,21.6
"627","E64",NA,NA,4,"LM_0262",NA,"E7",1.04,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bBKV",0,NA,"BUSNA_BUSNA",108.660672,22.96,21.13
"628","E64",NA,NA,2,"LM_0265",NA,"E7",2.54,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bBKY",0,NA,"BUSNA_STRA",99.5081347,26.3,26.43
"629","E88",NA,NA,1,"LM_0292",NA,"E7",1.26,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bBLW",0,NA,"BUSNA_PWD",98.8261851,21.89,22.15
"630","E88",NA,NA,3,"LM_0283",NA,"E7",1.12,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bBMR",0,NA,"PWD_PWD",98.84816754,18.88,19.1
"631","E64",NA,NA,5,"LM_0279",NA,"E7",1.32,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bBMS",39772.7272727273,NA,"BUSNA_BUSNA",97.70491803,20.86,21.35
"632","E64",-1.455,-3.11,8,"LM_0285","pos","E7",1.4,"parental strains",52.2081651889237,NA,-5.26499999999999,"E64:E64",NA,"E7bBMX",85714.2857142857,NA,"PWD_PWD",101.1837365,19.66,19.43
"633","E64",NA,NA,0,"LM_0279",NA,"E7",1.09,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bBNQ",0,NA,"BUSNA_BUSNA",100,21.35,21.35
"634","E88",NA,NA,4,"LM_0286",NA,"E7",1.36,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bBNT",0,NA,"PWD_BUSNA",101.5207132,19.36,19.07
"635","E88",NA,NA,4,"LM_0293",NA,"E7",0.81,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bBNW",0,NA,"BUSNA_BUSNA",100.096432,20.76,20.74
"636","E88",NA,NA,4,"LM_0273",NA,"E7",1.43,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bBQV",0,NA,"STRA_SCHUNT",102.1658986,22.17,21.7
"637","E64",NA,1.21,8,"LM_0291","pos","E7",1.04,"outbred hybrids",110.035712563026,NA,NA,"E64:E64",NA,"E7bBQY",52884.6153846154,NA,"PWD_BUSNA",NA,NA,24.85
"638","E88",NA,NA,2,"LM_0277",NA,"E7",1.54,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bBRZ",0,NA,"BUSNA_STRA",100.4606365,23.99,23.88
"639","E88",NA,NA,5,"LM_0292",NA,"E7",1.41,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bBTV",0,NA,"BUSNA_PWD",94.58239278,20.95,22.15
"640","E64",NA,NA,4,"LM_0270",NA,"E7",1.75,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bBTZ",0,NA,"SCHUNT_STRA",94.60025115,22.6,23.89
"641","E88",-10.64,-10.39,8,"LM_0277","neg","E7",1.52,"inter subsp. hybrids",14.6670411958386,NA,-6.145,"E64:E88",-3.945,"E7bCEK",0,NA,"BUSNA_STRA",98.91122278,23.62,23.88
"642","E88",NA,NA,3,"LM_0289",NA,"E7",2.22,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bCER",0,NA,"SCHUNT_SCHUNT",94.69285416,22.66,23.93
"643","E88",NA,NA,6,"LM_0293",NA,"E7",1.47,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bCFU",0,NA,"BUSNA_BUSNA",99.18032787,20.57,20.74
"644","E64",NA,NA,2,"LM_0262",NA,"E7",1.65,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCFV",0,NA,"BUSNA_BUSNA",103.8807383,21.95,21.13
"645","E64",NA,NA,2,"LM_0295",NA,"E7",2.07,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bCGI",0,NA,"SCHUNT_PWD",96.24589395,20.51,21.31
"646","E88",NA,NA,4,"LM_0283",NA,"E7",1.05,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bCGR",0,NA,"PWD_PWD",102.3036649,19.54,19.1
"647","E64",NA,NA,0,"LM_0294",NA,"E7",0.92,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCHL",0,NA,"PWD_PWD",100,17.02,17.02
"648","E64",NA,NA,5,"LM_0263",NA,"E7",1.66,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bCHM",191265.060240964,NA,"PWD_SCHUNT",103.7647059,22.05,21.25
"649","E64",NA,NA,3,"LM_0285",NA,"E7",2.01,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCHZ",0,NA,"PWD_PWD",101.2866701,19.68,19.43
"650","E88",NA,NA,5,"LM_0278",NA,"E7",2.53,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bCIM",0,NA,"SCHUNT_PWD",101.0057471,21.09,20.88
"651","E88",-10.505,-8.79,8,"LM_0288","neg","E7",1.37,"outbred hybrids",32.5857551761345,NA,-8.07,"E64:E88",-5.495,"E7bCIW",0,NA,"PWD_BUSNA",101.1651469,19.97,19.74
"652","E88",NA,NA,2,"LM_0272",NA,"E7",1.68,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bCKS",0,NA,"BUSNA_STRA",101.6249451,23.14,22.77
"653","E64",NA,NA,0,"LM_0260",NA,"E7",1.21,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCKT",0,NA,"SCHUNT_SCHUNT",100,29.02,29.02
"654","E64",NA,NA,6,"LM_0285",NA,"E7",1,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCLV",255000,NA,"PWD_PWD",99.69119918,19.37,19.43
"655","E88",NA,NA,3,"LM_0273",NA,"E7",1.82,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bCLX",0,NA,"STRA_SCHUNT",98.94009217,21.47,21.7
"656","E64",NA,NA,4,"LM_0285",NA,"E7",0.77,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCMQ",0,NA,"PWD_PWD",98.86773031,19.21,19.43
"657","E88",NA,NA,0,"LM_0288",NA,"E7",2.29,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bCOP",0,NA,"PWD_BUSNA",100,19.74,19.74
"658","E64",NA,NA,8,"LM_0295",NA,"E7",1.87,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bCOW",2673.79679144385,NA,"SCHUNT_PWD",NA,NA,21.31
"659","E64",NA,NA,7,"LM_0291",NA,"E7",1.95,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bCPW",128205.128205128,NA,"PWD_BUSNA",97.22334004,24.16,24.85
"660","E64",NA,NA,0,"LM_0285",NA,"E7",1.49,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bCRV",0,NA,"PWD_PWD",100,19.43,19.43
"661","E64",NA,NA,2,"LM_0284",NA,"E7",2.2,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bCRX",0,NA,"STRA_BUSNA",100.1786512,22.43,22.39
"662","E88",NA,NA,4,"LM_0272",NA,"E7",1.17,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bCTU",0,NA,"BUSNA_STRA",101.6249451,23.14,22.77
"663","E88",-6.12,-9.21,8,"LM_0286","neg","E7",1.44,"outbred hybrids",19.5159265822312,NA,-4.235,"E64:E88",-1.42,"E7bCWZ",0,NA,"PWD_BUSNA",107.0267436,20.41,19.07
"664","E64",NA,NA,0,"LM_0295",NA,"E7",1.14,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bDEK",0,NA,"SCHUNT_PWD",100,21.31,21.31
"665","E64",NA,NA,1,"LM_0287",NA,"E7",1.46,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bDFL",0,NA,"BUSNA_PWD",101.0090281,19.02,18.83
"666","E88",NA,NA,2,"LM_0286",NA,"E7",2.42,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bDFQ",0,NA,"PWD_BUSNA",102.045097,19.46,19.07
"667","E88",NA,NA,1,"LM_0286",NA,"E7",2.2,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bDGQ",0,NA,"PWD_BUSNA",102.0975354,19.47,19.07
"668","E64",NA,NA,2,"LM_0263",NA,"E7",1.67,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bDHI",0,NA,"PWD_SCHUNT",104.8470588,22.28,21.25
"669","E88",NA,NA,2,"LM_0288",NA,"E7",3.54,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bDHV",0,NA,"PWD_BUSNA",103.3941236,20.41,19.74
"670","E88",NA,NA,6,"LM_0278",NA,"E7",1.77,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bDHY",0,NA,"SCHUNT_PWD",108.1896552,22.59,20.88
"671","E88",NA,NA,0,"LM_0289",NA,"E7",1.61,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bDIP",0,NA,"SCHUNT_SCHUNT",100,23.93,23.93
"672","E88",NA,NA,7,"LM_0273",NA,"E7",1.94,"outbred hybrids",NA,1.70480602443531,NA,"E64:E88",NA,"E7bDIS",0,NA,"STRA_SCHUNT",100.0921659,21.72,21.7
"673","E64",NA,NA,0,"LM_0265",NA,"E7",1.39,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bDKM",0,NA,"BUSNA_STRA",100,26.43,26.43
"674","E88",NA,NA,3,"LM_0286",NA,"E7",1.57,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bDKV",0,NA,"PWD_BUSNA",106.4499213,20.3,19.07
"675","E64",NA,NA,3,"LM_0295",NA,"E7",1.82,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bDMR",0,NA,"SCHUNT_PWD",95.21351478,20.29,21.31
"676","E64",NA,NA,5,"LM_0291",NA,"E7",2.3,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bDMZ",180434.782608696,NA,"PWD_BUSNA",99.43661972,24.71,24.85
"677","E64",NA,NA,4,"LM_0295",NA,"E7",1.07,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bDRT",0,NA,"SCHUNT_PWD",94.79117785,20.2,21.31
"678","E88",-9.91,-10.99,8,"LM_0278","neg","E7",1.17,"inter subsp. hybrids",27.8926078147264,NA,-8.825,"E64:E88",-5.355,"E7bDTU",0,NA,"SCHUNT_PWD",106.51341,22.24,20.88
"679","E88",NA,NA,7,"LM_0276",NA,"E7",2.6,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bDTV",0,NA,"STRA_STRA",105.6775938,31.27,29.59
"680","E88",NA,NA,7,"LM_0286",NA,"E7",1.14,"outbred hybrids",NA,0,NA,"E64:E88",NA,"E7bDUY",0,NA,"PWD_BUSNA",105.6109072,20.14,19.07
"681","E64",NA,NA,7,"LM_0280",NA,"E7",1.17,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bDVW",23504.2735042735,NA,"SCHUNT_SCHUNT",106.089926,18.64,17.57
"682","E88",NA,NA,7,"LM_0277",NA,"E7",1.13,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bEFU",0,NA,"BUSNA_STRA",100.921273,24.1,23.88
"683","E88",NA,NA,0,"LM_0292",NA,"E7",1.24,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bEGK",0,NA,"BUSNA_PWD",100,22.15,22.15
"684","E88",NA,NA,2,"LM_0292",NA,"E7",2.58,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bEHI",0,NA,"BUSNA_PWD",97.6523702,21.63,22.15
"685","E88",NA,NA,5,"LM_0276",NA,"E7",3.5,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bEHR",0,NA,"STRA_STRA",102.9739777,30.47,29.59
"686","E64",NA,NA,3,"LM_0265",NA,"E7",1.47,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bEIS",0,NA,"BUSNA_STRA",99.92432841,26.41,26.43
"687","E64",NA,NA,2,"LM_0269",NA,"E7",1.61,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bEIV",0,NA,"STRA_SCHUNT",100.2314815,21.65,21.6
"688","E88",NA,NA,6,"LM_0292",NA,"E7",1.24,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bEJO",0,NA,"BUSNA_PWD",99.77426637,22.1,22.15
"689","E64",NA,NA,7,"LM_0270",NA,"E7",1.4,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bEKV",23214.2857142857,NA,"SCHUNT_STRA",94.68396819,22.62,23.89
"690","E88",NA,NA,0,"LM_0277",NA,"E7",0.78,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bELQ",0,NA,"BUSNA_STRA",100,23.88,23.88
"691","E64",NA,NA,2,"LM_0287",NA,"E7",1.43,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bELU",0,NA,"BUSNA_PWD",106.0010621,19.96,18.83
"692","E64",NA,NA,1,"LM_0291",NA,"E7",1.69,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bEMP",0,NA,"PWD_BUSNA",99.79879276,24.8,24.85
"693","E64",NA,NA,4,"LM_0287",NA,"E7",0.88,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bEPQ",0,NA,"BUSNA_PWD",105.6293149,19.89,18.83
"694","E88",NA,NA,3,"LM_0276",NA,"E7",2.38,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bESY",0,NA,"STRA_STRA",108.4825955,32.1,29.59
"695","E88",NA,NA,1,"LM_0272",NA,"E7",1.83,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bEWX",0,NA,"BUSNA_STRA",99.2534036,22.6,22.77
"696","E64",NA,NA,7,"LM_0295",NA,"E7",1.43,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bFGH",29720.2797202797,NA,"SCHUNT_PWD",95.72970436,20.4,21.31
"697","E64",NA,NA,4,"LM_0265",NA,"E7",1.09,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bFGW",0,NA,"BUSNA_STRA",98.03253878,25.91,26.43
"698","E88",NA,NA,4,"LM_0282",NA,"E7",1.75,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bFGZ",0,NA,"STRA_STRA",110.1694915,33.15,30.09
"699","E64",NA,NA,7,"LM_0262",NA,"E7",1.58,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bFHK",6329.11392405063,NA,"BUSNA_BUSNA",105.3951727,22.27,21.13
"700","E88",NA,NA,6,"LM_0288",NA,"E7",1.51,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bFIJ",0,NA,"PWD_BUSNA",100.810537,19.9,19.74
"701","E88",NA,NA,2,"LM_0283",NA,"E7",1.7,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bFJN",0,NA,"PWD_PWD",96.43979058,18.42,19.1
"702","E64",NA,NA,2,"LM_0280",NA,"E7",3.1,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bFJY",0,NA,"SCHUNT_SCHUNT",109.0495162,19.16,17.57
"703","E64",-10.5775,11.61,8,"LM_0294","pos","E7",1,"parental strains",177.312730924564,NA,-5.0975,"E64:E64",-3.1975,"E7bFLN",37500,NA,"PWD_PWD",97.94359577,16.67,17.02
"704","E64",NA,NA,7,"LM_0287",NA,"E7",1.27,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bFLY",19685.0393700787,NA,"BUSNA_PWD",107.8066914,20.3,18.83
"705","E64",NA,NA,1,"LM_0284",NA,"E7",1.86,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bFMN",0,NA,"STRA_BUSNA",97.72219741,21.88,22.39
"706","E64",NA,NA,3,"LM_0284",NA,"E7",1.95,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bFMV",0,NA,"STRA_BUSNA",101.6525234,22.76,22.39
"707","E88",NA,NA,7,"LM_0289",NA,"E7",1.93,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bFNS",0,NA,"SCHUNT_SCHUNT",90.13790221,21.57,23.93
"708","E64",-12.4775,-9.18,8,"LM_0279","pos","E7",1.1,"parental strains",8.41303699477307,NA,-8.6525,"E64:E64",-12.0475,"E7bFPV",4545.45454545455,NA,"BUSNA_BUSNA",99.62529274,21.27,21.35
"709","E88",-5.255,-12.69,8,"LM_0282","neg","E7",1.96,"parental strains",23.307649530542,NA,-5.85,"E64:E88",-11.83,"E7bFRU",0,NA,"STRA_STRA",116.4506481,35.04,30.09
"710","E64",NA,NA,4,"LM_0291",NA,"E7",1.03,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bFXZ",0,NA,"PWD_BUSNA",104.4668008,25.96,24.85
"711","E88",NA,NA,7,"LM_0292",NA,"E7",1.67,"outbred hybrids",NA,2.03752363066968,NA,"E64:E88",NA,"E7bGHL",0,NA,"BUSNA_PWD",99.503386,22.04,22.15
"712","E64",-11.615,-11.9,8,"LM_0260","neg","E7",3.14,"parental strains",11.2982790313474,NA,-6.305,"E64:E64",-3.91,"E7bGHV",0,NA,"SCHUNT_SCHUNT",93.24603722,27.06,29.02
"713","E64",NA,NA,0,"LM_0291",NA,"E7",1.76,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bGIR",0,NA,"PWD_BUSNA",100,24.85,24.85
"714","E64",NA,NA,4,"LM_0260",NA,"E7",1.03,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bGIT",0,NA,"SCHUNT_SCHUNT",97.00206754,28.15,29.02
"715","E88",NA,NA,1,"LM_0282",NA,"E7",2.34,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bGLS",0,NA,"STRA_STRA",101.7613825,30.62,30.09
"716","E64",NA,NA,5,"LM_0269",NA,"E7",1.9,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bGPR",25000,NA,"STRA_SCHUNT",98.7962963,21.34,21.6
"717","E88",NA,NA,1,"LM_0275",NA,"E7",1.01,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bGPT",0,NA,"SCHUNT_PWD",103.8406145,21.63,20.83
"718","E64",NA,NA,0,"LM_0270",NA,"E7",1.91,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bGQU",0,NA,"SCHUNT_STRA",100,23.89,23.89
"719","E64",NA,NA,7,"LM_0265",NA,"E7",1.35,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bGSV",20370.3703703704,NA,"BUSNA_STRA",98.18388195,25.95,26.43
"720","E88",NA,NA,2,"LM_0273",NA,"E7",1.82,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bGTV",0,NA,"STRA_SCHUNT",95.25345622,20.67,21.7
"721","E88",NA,NA,4,"LM_0278",NA,"E7",1.12,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bGVY",0,NA,"SCHUNT_PWD",106.0823755,22.15,20.88
"722","E88",NA,NA,0,"LM_0286",NA,"E7",2.27,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bGXY",0,NA,"PWD_BUSNA",100,19.07,19.07
"723","E64",NA,NA,1,"LM_0279",NA,"E7",1.46,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bHIY",0,NA,"BUSNA_BUSNA",97.70491803,20.86,21.35
"724","E64",NA,NA,1,"LM_0269",NA,"E7",1.05,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bHJW",0,NA,"STRA_SCHUNT",102.8240741,22.21,21.6
"725","E64",NA,NA,4,"LM_0280",NA,"E7",1.07,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bHKN",0,NA,"SCHUNT_SCHUNT",103.1303358,18.12,17.57
"726","E64",NA,NA,1,"LM_0262",NA,"E7",1.38,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bHKS",0,NA,"BUSNA_BUSNA",101.8930431,21.53,21.13
"727","E64",NA,NA,0,"LM_0287",NA,"E7",0.95,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bHKV",0,NA,"BUSNA_PWD",100,18.83,18.83
"728","E64",NA,NA,6,"LM_0294",NA,"E7",1,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bHKX",1e+05,NA,"PWD_PWD",98.2373678,16.72,17.02
"729","E88",NA,NA,6,"LM_0275",NA,"E7",1.24,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bHLP",0,NA,"SCHUNT_PWD",106.8170907,22.25,20.83
"730","E64",NA,NA,3,"LM_0291",NA,"E7",1.45,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bHLV",0,NA,"PWD_BUSNA",104.9899396,26.09,24.85
"731","E88",NA,NA,6,"LM_0282",NA,"E7",2.13,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bHNO",0,NA,"STRA_STRA",113.3599202,34.11,30.09
"732","E64",NA,NA,0,"LM_0262",NA,"E7",1.08,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bHQZ",0,NA,"BUSNA_BUSNA",100,21.13,21.13
"733","E88",NA,NA,7,"LM_0293",NA,"E7",1.34,"parental strains",NA,0,NA,"E64:E88",NA,"E7bHVX",0,NA,"BUSNA_BUSNA",98.7463838,20.48,20.74
"734","E88",NA,NA,6,"LM_0272",NA,"E7",1.92,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bHWY",0,NA,"BUSNA_STRA",102.1519543,23.26,22.77
"735","E88",NA,NA,0,"LM_0275",NA,"E7",1.2,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bIJP",0,NA,"SCHUNT_PWD",100,20.83,20.83
"736","E64",NA,NA,5,"LM_0285",NA,"E7",1.37,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bIKL",281021.897810219,NA,"PWD_PWD",97.27225939,18.9,19.43
"737","E88",NA,NA,7,"LM_0288",NA,"E7",1.49,"outbred hybrids",NA,1.51108378897958,NA,"E64:E88",NA,"E7bIKT",0,NA,"PWD_BUSNA",100.7598784,19.89,19.74
"738","E88",NA,NA,0,"LM_0293",NA,"E7",1.38,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bILQ",0,NA,"BUSNA_BUSNA",100,20.74,20.74
"739","E88",NA,NA,0,"LM_0278",NA,"E7",2,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bILR",0,NA,"SCHUNT_PWD",100,20.88,20.88
"740","E64",NA,NA,0,"LM_0280",NA,"E7",1.28,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bIMP",0,NA,"SCHUNT_SCHUNT",100,17.57,17.57
"741","E64",-5.5275,-11.42,8,"LM_0265","neg","E7",2.45,"inter subsp. hybrids",24.5913139705393,NA,-6.5675,"E64:E64",-15.3325,"E7bIMQ",1020.40816326531,NA,"BUSNA_STRA",99.77298524,26.37,26.43
"742","E88",NA,NA,5,"LM_0282",NA,"E7",2.84,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bIOZ",0,NA,"STRA_STRA",107.9096045,32.47,30.09
"743","E64",NA,NA,7,"LM_0269",NA,"E7",1.78,"outbred hybrids",NA,NA,NA,"E64:E64",NA,"E7bIQW",7022.47191011236,NA,"STRA_SCHUNT",96.52777778,20.85,21.6
"744","E88",NA,NA,4,"LM_0289",NA,"E7",2.03,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bIRU",0,NA,"SCHUNT_SCHUNT",93.77350606,22.44,23.93
"745","E64",NA,NA,3,"LM_0260",NA,"E7",1.61,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bITX",0,NA,"SCHUNT_SCHUNT",101.1716058,29.36,29.02
"746","E64",NA,NA,5,"LM_0260",NA,"E7",2.65,"parental strains",NA,NA,NA,"E64:E64",NA,"E7bJKZ",109433.962264151,NA,"SCHUNT_SCHUNT",99.06960717,28.75,29.02
"747","E88",NA,NA,0,"LM_0283",NA,"E7",1.31,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bJMO",0,NA,"PWD_PWD",100,19.1,19.1
"748","E88",NA,NA,2,"LM_0293",NA,"E7",1.39,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bJNY",0,NA,"BUSNA_BUSNA",96.33558341,19.98,20.74
"749","E88",NA,NA,4,"LM_0288",NA,"E7",0.94,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bJOZ",0,NA,"PWD_BUSNA",102.9888551,20.33,19.74
"750","E88",-7.65,-5.02,8,"LM_0293","neg","E7",1.24,"parental strains",0.225145312864292,NA,-8.98,"E64:E88",-11.33,"E7bJQU",0,NA,"BUSNA_BUSNA",95.75699132,19.86,20.74
"751","E88",NA,NA,5,"LM_0272",NA,"E7",2.28,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bJQZ",0,NA,"BUSNA_STRA",98.94598155,22.53,22.77
"752","E64",NA,NA,6,"LM_0263",NA,"E7",1.82,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bJRZ",177197.802197802,NA,"PWD_SCHUNT",95.67058824,20.33,21.25
"753","E64",NA,NA,7,"LM_0284",NA,"E7",1.29,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bKLQ",29069.7674418605,NA,"STRA_BUSNA",100.0446628,22.4,22.39
"754","E64",NA,NA,4,"LM_0284",NA,"E7",1.26,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bKLT",0,NA,"STRA_BUSNA",100.7592675,22.56,22.39
"755","E88",NA,NA,3,"LM_0278",NA,"E7",1.11,"inter subsp. hybrids",NA,NA,NA,"E64:E88",NA,"E7bKMP",0,NA,"SCHUNT_PWD",103.591954,21.63,20.88
"756","E64",-10.955,-9.75,8,"LM_0270","neg","E7",1.58,"outbred hybrids",19.7264528663963,NA,-8.01,"E64:E64",-5.455,"E7bKMQ",0,NA,"SCHUNT_STRA",96.3164504,23.01,23.89
"757","E64",NA,NA,6,"LM_0284",NA,"E7",1.98,"inter subsp. hybrids",NA,NA,NA,"E64:E64",NA,"E7bKOX",122474.747474747,NA,"STRA_BUSNA",103.3943725,23.15,22.39
"758","E88",NA,NA,1,"LM_0283",NA,"E7",1.5,"parental strains",NA,NA,NA,"E64:E88",NA,"E7bKPU",0,NA,"PWD_PWD",101.5706806,19.4,19.1
"759","E88",NA,NA,6,"LM_0273",NA,"E7",1.49,"outbred hybrids",NA,NA,NA,"E64:E88",NA,"E7bKPZ",0,NA,"STRA_SCHUNT",102.6267281,22.27,21.7
