,EH_ID,labels,experiment,weight,weight_dpi0,relative_weight,feces_weight,dpi,infection
38,LM_0356,P4aDYE,P4,37.78,40.7,92.8255528255528,1.29,7,primary
39,LM_0354,P4aDYG,P4,41.57,45,92.3777777777778,3.22,10,primary
40,LM_0360,P4aEAQ,P4,36.15,42.1,85.8669833729216,0.18,6,primary
41,LM_0353,P4aEBU,P4,41.47,45.1,91.9512195121951,3.04,10,primary
42,LM_0360,P4aECQ,P4,NA,42.1,NA,NA,10,primary
43,LM_0365,P4aEDT,P4,58.41,59.2,98.6655405405405,2.15,9,primary
44,LM_0359,P4aEER,P4,40.96,46.7,87.7087794432548,2.2,11,primary
45,LM_0359,P4aEJC,P4,43.03,46.7,92.1413276231263,0.61,2,primary
46,LM_0354,P4aENX,P4,42.09,45,93.5333333333334,2.13,9,primary
47,LM_0366,P4aEOB,P4,45.14,48.1,93.8461538461538,1.32,7,primary
48,LM_0349,P4aEOW,P4,44.81,50.5,88.7326732673267,1.92,4,primary
49,LM_0355,P4aERQ,P4,43.56,43.9,99.2255125284738,1.55,3,primary
50,LM_0357,P4aETM,P4,41.82,42.8,97.7102803738318,1.64,1,primary
51,LM_0363,P4aETW,P4,39.58,46.7,84.7537473233405,1.17,7,primary
52,LM_0362,P4aEUW,P4,NA,51.1,NA,NA,11,primary
53,LM_0359,P4aEVI,P4,41.93,46.7,89.7858672376874,1.65,6,primary
54,LM_0364,P4aEVZ,P4,41.6,41.6,100,NA,0,primary
55,LM_0356,P4aEWQ,P4,39.42,40.7,96.8550368550369,1.98,6,primary
56,LM_0354,P4aEWR,P4,40.88,45,90.8444444444445,2.34,7,primary
57,LM_0356,P4aEXA,P4,34.55,40.7,84.8894348894349,1.12,9,primary
58,LM_0351,P4aEZC,P4,43.6,43.6,100,NA,0,primary
59,LM_0363,P4aFCS,P4,42.13,46.7,90.2141327623126,0.99,5,primary
60,LM_0352,P4aFDT,P4,40.24,40.6,99.1133004926108,2.52,8,primary
61,LM_0364,P4aFFH,P4,40.53,41.6,97.4278846153846,1.44,1,primary
62,LM_0353,P4aFFO,P4,40.67,45.1,90.1773835920177,1.84,4,primary
63,LM_0354,P4aFGV,P4,42.2,45,93.7777777777778,2.98,8,primary
64,LM_0349,P4aFNW,P4,50.5,50.5,100,NA,0,primary
65,LM_0361,P4aFOM,P4,37.42,46.1,81.1713665943601,0.3,6,primary
66,LM_0354,P4aFQG,P4,45,45,100,NA,0,primary
67,LM_0349,P4aFST,P4,48.05,50.5,95.1485148514852,2.79,1,primary
68,LM_0361,P4aFTM,P4,39.36,46.1,85.3796095444685,2.23,9,primary
69,LM_0359,P4aFXB,P4,40.73,46.7,87.2162740899358,2.37,8,primary
70,LM_0359,P4aGAQ,P4,42.69,46.7,91.4132762312634,0.93,3,primary
71,LM_0348,P4aGAU,P4,35.53,44.4,80.0225225225225,0.29,6,primary
72,LM_0365,P4aGAV,P4,57.94,59.2,97.8716216216216,2.24,7,primary
73,LM_0348,P4aGCN,P4,NA,44.4,NA,NA,8,primary
74,LM_0353,P4aGDW,P4,45.1,45.1,100,NA,0,primary
75,LM_0364,P4aGEH,P4,43.65,41.6,104.927884615385,2.34,7,primary
76,LM_0355,P4aGFH,P4,45.33,43.9,103.257403189066,1.6,11,primary
77,LM_0364,P4aGSL,P4,41.45,41.6,99.6394230769231,1.77,3,primary
78,LM_0359,P4aGTB,P4,42.35,46.7,90.6852248394004,1.04,4,primary
79,LM_0350,P4aGUJ,P4,NA,54.5,NA,NA,8,primary
80,LM_0350,P4aGWH,P4,NA,54.5,NA,NA,10,primary
81,LM_0354,P4aGZU,P4,42.05,45,93.4444444444445,1.98,11,primary
82,LM_0349,P4aHBW,P4,47.76,50.5,94.5742574257426,1.86,2,primary
83,LM_0351,P4aHDF,P4,NA,43.6,NA,NA,10,primary
84,LM_0349,P4aHEA,P4,NA,50.5,NA,NA,8,primary
85,LM_0360,P4aHGF,P4,NA,42.1,NA,NA,11,primary
86,LM_0354,P4aHIS,P4,41.55,45,92.3333333333333,1.72,4,primary
87,LM_0349,P4aHPG,P4,40.02,50.5,79.2475247524753,1.07,6,primary
88,LM_0356,P4aHQE,P4,39,40.7,95.8230958230958,1.77,5,primary
89,LM_0367,P4aHQG,P4,46.51,49.6,93.7701612903226,0.98,8,primary
90,LM_0353,P4aHRY,P4,41.23,45.1,91.4190687361419,2.03,11,primary
91,LM_0349,P4aHTT,P4,NA,50.5,NA,NA,9,primary
92,LM_0352,P4aHUH,P4,40.05,40.6,98.6453201970443,1.63,1,primary
93,LM_0362,P4aIAF,P4,47.67,51.1,93.2876712328767,0.77,3,primary
94,LM_0355,P4aIGA,P4,43.34,43.9,98.7243735763098,1.57,1,primary
95,LM_0364,P4aIJK,P4,43.82,41.6,105.336538461538,2.83,9,primary
96,LM_0367,P4aIJQ,P4,46.57,49.6,93.8911290322581,1.31,10,primary
97,LM_0361,P4aIJW,P4,40.68,46.1,88.2429501084599,2.11,11,primary
98,LM_0360,P4aILN,P4,42.27,42.1,100.403800475059,1.35,3,primary
99,LM_0360,P4aIQD,P4,NA,42.1,NA,NA,8,primary
100,LM_0348,P4aIUD,P4,37.6,44.4,84.6846846846847,0.47,5,primary
101,LM_0363,P4aIUQ,P4,46.7,46.7,100,NA,0,primary
102,LM_0358,P4aIVI,P4,39.7,49.5,80.2020202020202,0.5,8,primary
103,LM_0366,P4aIYI,P4,45.3,48.1,94.1787941787942,1.29,5,primary
104,LM_0357,P4aJDE,P4,42.8,42.8,100,NA,0,primary
105,LM_0352,P4aJGW,P4,37.6,40.6,92.6108374384237,1.56,4,primary
106,LM_0354,P4aJKC,P4,42.67,45,94.8222222222222,1.43,3,primary
107,LM_0350,P4aJKL,P4,44.79,54.5,82.1834862385321,0,6,primary
108,LM_0348,P4aJKY,P4,NA,44.4,NA,NA,9,primary
109,LM_0361,P4aJLK,P4,42.09,46.1,91.3015184381779,0.92,3,primary
110,LM_0361,P4aJQX,P4,40.79,46.1,88.4815618221258,1.48,4,primary
111,LM_0365,P4aJRE,P4,57.82,59.2,97.6689189189189,3.13,10,primary
112,LM_0352,P4aJTL,P4,36.72,40.6,90.4433497536946,0.76,5,primary
113,LM_0367,P4aKBE,P4,46.55,49.6,93.8508064516129,1.7,9,primary
114,LM_0361,P4aKBV,P4,42.3,46.1,91.7570498915401,0.54,2,primary
115,LM_0362,P4aKCF,P4,41.52,51.1,81.252446183953,0.52,7,primary
116,LM_0367,P4aKFE,P4,45.94,49.6,92.6209677419355,1.59,11,primary
117,LM_0366,P4aKHJ,P4,46.28,48.1,96.2162162162162,1.05,1,primary
118,LM_0365,P4aKPL,P4,57.91,59.2,97.8209459459459,1.64,11,primary
119,LM_0352,P4aKUB,P4,40.76,40.6,100.394088669951,2.09,11,primary
120,LM_0351,P4aKXK,P4,NA,43.6,NA,NA,8,primary
121,LM_0355,P4aLBB,P4,39.9,43.9,90.8883826879271,1,5,primary
122,LM_0365,P4aLDK,P4,58.04,59.2,98.0405405405405,1.92,5,primary
123,LM_0357,P4aLGU,P4,37.33,42.8,87.2196261682243,1.02,7,primary
124,LM_0353,P4aLLW,P4,42.9,45.1,95.1219512195122,1.63,2,primary
125,LM_0351,P4aLNT,P4,43.3,43.6,99.3119266055046,1.56,2,primary
126,LM_0359,P4aLSH,P4,46.7,46.7,100,NA,0,primary
127,LM_0348,P4aLSL,P4,NA,44.4,NA,NA,11,primary
128,LM_0355,P4aLWB,P4,43.85,43.9,99.8861047835991,2.36,8,primary
129,LM_0350,P4aMDE,P4,46,54.5,84.4036697247707,0.07,5,primary
130,LM_0358,P4aMDM,P4,43.9,49.5,88.6868686868687,1.07,5,primary
131,LM_0359,P4aMFY,P4,44.65,46.7,95.610278372591,0.98,1,primary
132,LM_0353,P4aMGT,P4,35.3,45.1,78.270509977827,0.32,6,primary
133,LM_0351,P4aMHC,P4,NA,43.6,NA,NA,11,primary
134,LM_0356,P4aMMF,P4,35.87,40.7,88.1326781326781,1.41,10,primary
135,LM_0362,P4aMOX,P4,51.1,51.1,100,NA,0,primary
136,LM_0349,P4aMRP,P4,37.04,50.5,73.3465346534653,0.25,7,primary
137,LM_0348,P4aMRT,P4,33.09,44.4,74.527027027027,0.35,7,primary
138,LM_0348,P4aMTY,P4,44.4,44.4,100,NA,0,primary
139,LM_0358,P4aNDF,P4,45.99,49.5,92.9090909090909,1.4,4,primary
140,LM_0356,P4aNDH,P4,37.51,40.7,92.1621621621621,2.17,11,primary
141,LM_0366,P4aNGR,P4,46.39,48.1,96.4449064449064,1.81,4,primary
142,LM_0349,P4aNGT,P4,48.13,50.5,95.3069306930693,2.67,3,primary
143,LM_0358,P4aNJI,P4,46.28,49.5,93.4949494949495,1.06,2,primary
144,LM_0355,P4aNJL,P4,44.58,43.9,101.548974943052,2.08,9,primary
145,LM_0367,P4aNLQ,P4,49.6,49.6,100,NA,0,primary
146,LM_0364,P4aNOU,P4,44.04,41.6,105.865384615385,2.67,8,primary
147,LM_0358,P4aNRK,P4,49.5,49.5,100,NA,0,primary
148,LM_0353,P4aNWE,P4,40.79,45.1,90.4434589800443,2.55,9,primary
149,LM_0364,P4aNXU,P4,43.86,41.6,105.432692307692,2.02,6,primary
150,LM_0350,P4aNZF,P4,49.41,54.5,90.6605504587156,1.33,4,primary
151,LM_0348,P4aOAW,P4,43.45,44.4,97.8603603603604,2.14,3,primary
152,LM_0353,P4aOBO,P4,42.24,45.1,93.6585365853659,3.17,3,primary
153,LM_0360,P4aOBV,P4,42.1,42.1,100,NA,0,primary
154,LM_0356,P4aODF,P4,40.7,40.7,100,NA,0,primary
155,LM_0363,P4aOEA,P4,43.11,46.7,92.3126338329764,1.15,4,primary
156,LM_0348,P4aOJF,P4,43.31,44.4,97.5450450450451,1.44,1,primary
157,LM_0365,P4aONQ,P4,58,59.2,97.972972972973,1.95,8,primary
158,LM_0357,P4aOUM,P4,41.58,42.8,97.1495327102804,2.18,4,primary
159,LM_0366,P4aOWI,P4,45.02,48.1,93.5966735966736,3.13,9,primary
160,LM_0348,P4aOWL,P4,NA,44.4,NA,NA,10,primary
161,LM_0354,P4aOWQ,P4,40.65,45,90.3333333333333,1.72,6,primary
162,LM_0359,P4aOZG,P4,40.3,46.7,86.2955032119914,1.27,7,primary
163,LM_0352,P4aPBV,P4,38.61,40.6,95.0985221674877,2,7,primary
164,LM_0352,P4aPBX,P4,40.14,40.6,98.8669950738916,2.84,9,primary
165,LM_0350,P4aPPC,P4,52.5,54.5,96.3302752293578,1.91,3,primary
166,LM_0363,P4aPQW,P4,45.56,46.7,97.558886509636,1.17,1,primary
167,LM_0351,P4aPRH,P4,NA,43.6,NA,NA,9,primary
168,LM_0362,P4aPSG,P4,43.1,51.1,84.3444227005871,0.44,6,primary
169,LM_0362,P4aPUM,P4,37.92,51.1,74.2074363992172,0.3,9,primary
170,LM_0363,P4aPVF,P4,41.75,46.7,89.4004282655246,1.76,11,primary
171,LM_0364,P4aPWL,P4,43.76,41.6,105.192307692308,2.09,11,primary
172,LM_0352,P4aPXS,P4,39.15,40.6,96.4285714285714,1.39,3,primary
173,LM_0366,P4aQAO,P4,45.24,48.1,94.0540540540541,1.86,6,primary
174,LM_0366,P4aQBT,P4,47.25,48.1,98.2328482328482,0.71,2,primary
175,LM_0356,P4aQKW,P4,39.08,40.7,96.019656019656,1.15,2,primary
176,LM_0357,P4aQMF,P4,34.71,42.8,81.0981308411215,1.74,11,primary
177,LM_0351,P4aQMT,P4,44.38,43.6,101.788990825688,1.99,1,primary
178,LM_0360,P4aQPN,P4,42.08,42.1,99.9524940617577,1.8,1,primary
179,LM_0361,P4aQVI,P4,43.17,46.1,93.644251626898,0.47,1,primary
180,LM_0367,P4aQYP,P4,47.66,49.6,96.0887096774193,2.75,6,primary
181,LM_0357,P4aQYZ,P4,41.55,42.8,97.0794392523365,1.32,2,primary
182,LM_0360,P4aRBY,P4,32.8,42.1,77.9097387173397,0.12,7,primary
183,LM_0363,P4aRDV,P4,40.07,46.7,85.8029978586724,1.75,9,primary
184,LM_0364,P4aRFT,P4,44.51,41.6,106.995192307692,1.7,10,primary
185,LM_0358,P4aRHX,P4,39.37,49.5,79.5353535353535,0.9,10,primary
186,LM_0357,P4aRKJ,P4,40.25,42.8,94.0420560747664,1.64,5,primary
187,LM_0352,P4aRPB,P4,40.6,40.6,100,NA,0,primary
188,LM_0356,P4aSBT,P4,40.44,40.7,99.3611793611793,1.71,4,primary
189,LM_0363,P4aSHF,P4,44.81,46.7,95.9528907922912,1.09,3,primary
190,LM_0358,P4aSNC,P4,37.64,49.5,76.040404040404,0.48,9,primary
191,LM_0356,P4aSOS,P4,40.44,40.7,99.3611793611793,1.4,3,primary
192,LM_0365,P4aSRU,P4,57.53,59.2,97.1790540540541,2.28,4,primary
193,LM_0351,P4aSWD,P4,37.95,43.6,87.0412844036697,0.14,5,primary
194,LM_0358,P4aSWK,P4,42.22,49.5,85.2929292929293,0.9,7,primary
195,LM_0360,P4aSYQ,P4,NA,42.1,NA,NA,9,primary
196,LM_0350,P4aTDW,P4,51.8,54.5,95.045871559633,1.75,2,primary
197,LM_0348,P4aTQA,P4,42.15,44.4,94.9324324324324,1.65,2,primary
198,LM_0358,P4aTUY,P4,43.82,49.5,88.5252525252525,0.98,6,primary
199,LM_0355,P4aTYQ,P4,43.9,43.9,100,NA,0,primary
200,LM_0366,P4aUAE,P4,45.73,48.1,95.0727650727651,2,8,primary
201,LM_0362,P4aUAQ,P4,44.93,51.1,87.9256360078278,0.8,5,primary
202,LM_0350,P4aUCA,P4,52.5,54.5,96.3302752293578,1.75,1,primary
203,LM_0352,P4aUDZ,P4,39.2,40.6,96.551724137931,1.28,2,primary
204,LM_0356,P4aUGP,P4,39.49,40.7,97.027027027027,1.22,1,primary
205,LM_0354,P4aUGT,P4,43.13,45,95.8444444444445,0.77,2,primary
206,LM_0351,P4aUGV,P4,41.38,43.6,94.908256880734,1.52,4,primary
207,LM_0359,P4aULF,P4,40.27,46.7,86.2312633832977,1.27,9,primary
208,LM_0353,P4aULK,P4,37.07,45.1,82.1951219512195,1.79,7,primary
209,LM_0365,P4aURG,P4,58.6,59.2,98.9864864864865,2.85,6,primary
210,LM_0349,P4aUYW,P4,NA,50.5,NA,NA,11,primary
211,LM_0351,P4aVCF,P4,36.67,43.6,84.105504587156,0.12,6,primary
212,LM_0361,P4aVCP,P4,37.94,46.1,82.2993492407809,1.44,7,primary
213,LM_0366,P4aVLF,P4,44.88,48.1,93.3056133056133,2.23,10,primary
214,LM_0363,P4aVMI,P4,44.35,46.7,94.9678800856531,0.76,2,primary
215,LM_0360,P4aVPK,P4,41.63,42.1,98.8836104513064,2.12,4,primary
216,LM_0362,P4aVQC,P4,49.41,51.1,96.692759295499,1.21,1,primary
217,LM_0367,P4aWDD,P4,46.64,49.6,94.0322580645161,0.82,3,primary
218,LM_0366,P4aWGN,P4,48.1,48.1,100,NA,0,primary
219,LM_0351,P4aWPM,P4,44.14,43.6,101.238532110092,3.1,3,primary
220,LM_0365,P4aWTF,P4,59.2,59.2,100,NA,0,primary
221,LM_0357,P4aWYZ,P4,34.12,42.8,79.7196261682243,0.72,9,primary
222,LM_0358,P4aXBA,P4,47.07,49.5,95.0909090909091,1.5,3,primary
223,LM_0366,P4aXEZ,P4,46.5,48.1,96.6735966735967,0.83,3,primary
224,LM_0352,P4aXIJ,P4,40.8,40.6,100.492610837438,2.39,10,primary
225,LM_0361,P4aXJK,P4,46.1,46.1,100,NA,0,primary
226,LM_0358,P4aXKE,P4,47.91,49.5,96.7878787878788,0.66,1,primary
227,LM_0355,P4aXLA,P4,40.38,43.9,91.9817767653759,1.36,4,primary
228,LM_0366,P4aXTX,P4,44.75,48.1,93.035343035343,2.6,11,primary
229,LM_0359,P4aXYX,P4,39.74,46.7,85.0963597430407,1.59,10,primary
230,LM_0367,P4aYAM,P4,47.74,49.6,96.25,1.25,1,primary
231,LM_0354,P4aYED,P4,43.82,45,97.3777777777778,1.04,1,primary
232,LM_0356,P4aYSI,P4,36.43,40.7,89.5085995085995,0.54,8,primary
233,LM_0357,P4aYSZ,P4,34.55,42.8,80.7242990654206,0.12,10,primary
234,LM_0361,P4aZBG,P4,38.91,46.1,84.4034707158351,0.86,5,primary
235,LM_0358,P4aZCB,P4,39.94,49.5,80.6868686868687,2.22,11,primary
236,LM_0362,P4aZCH,P4,48.12,51.1,94.1682974559687,0.56,2,primary
237,LM_0362,P4aZCH,P4,48.12,51.1,94.1682974559687,0.56,2,primary
238,LM_0348,P4aZFI,P4,40.01,44.4,90.1126126126126,1.17,4,primary
239,LM_0360,P4aZFS,P4,41.56,42.1,98.7173396674584,1.32,2,primary
240,LM_0361,P4aZRL,P4,40.04,46.1,86.8546637744035,3.47,10,primary
241,LM_0357,P4aZZO,P4,40.53,42.8,94.696261682243,1.31,6,primary
242,LM_0350,P4bBAT,P4,NA,NA,NA,NA,6,challenge
243,LM_0349,P4bBAX,P4,NA,NA,NA,NA,2,challenge
244,LM_0359,P4bBBB,P4,41.64,42.12,98.8603988603989,1.48,6,challenge
245,LM_0351,P4bBBH,P4,NA,NA,NA,NA,0,challenge
246,LM_0349,P4bBFB,P4,NA,NA,NA,NA,1,challenge
247,LM_0362,P4bBHX,P4,NA,NA,NA,NA,2,challenge
248,LM_0348,P4bBOI,P4,NA,NA,NA,NA,1,challenge
249,LM_0356,P4bBSE,P4,39.94,39.94,100,NA,0,challenge
250,LM_0350,P4bBTZ,P4,NA,NA,NA,NA,2,challenge
251,LM_0359,P4bBUU,P4,41.22,42.12,97.8632478632479,1.66,4,challenge
252,LM_0348,P4bBZP,P4,NA,NA,NA,NA,8,challenge
253,LM_0349,P4bCCI,P4,NA,NA,NA,NA,4,challenge
254,LM_0356,P4bCES,P4,40.01,39.94,100.175262894342,1.79,4,challenge
255,LM_0353,P4bCQB,P4,44.18,43.86,100.729594163247,2.28,1,challenge
256,LM_0353,P4bCSP,P4,43.68,43.86,99.5896032831737,1.86,2,challenge
257,LM_0350,P4bCUJ,P4,NA,NA,NA,NA,5,challenge
258,LM_0362,P4bDAR,P4,NA,NA,NA,NA,8,challenge
259,LM_0358,P4bDGJ,P4,42.3,46.92,90.153452685422,1.8,5,challenge
260,LM_0354,P4bDJM,P4,41.81,41.65,100.384153661465,1.18,3,challenge
261,LM_0365,P4bDRA,P4,67.21,67.21,100,NA,0,challenge
262,LM_0366,P4bDXC,P4,NA,47.77,NA,NA,8,challenge
263,LM_0360,P4bDXI,P4,NA,NA,NA,NA,7,challenge
264,LM_0357,P4bEBR,P4,42.52,42.76,99.4387277829748,1.89,2,challenge
265,LM_0364,P4bEES,P4,43.51,46.82,92.930371636053,1.5,5,challenge
266,LM_0364,P4bEJB,P4,41.83,46.82,89.3421614694575,0.99,7,challenge
267,LM_0357,P4bEWJ,P4,39.58,42.76,92.5631431244153,1.89,5,challenge
268,LM_0352,P4bFFV,P4,41.48,42.12,98.4805318138652,1.56,2,challenge
269,LM_0364,P4bFMM,P4,45.53,46.82,97.2447671935071,1.23,1,challenge
270,LM_0349,P4bFPG,P4,NA,NA,NA,NA,6,challenge
271,LM_0360,P4bFPJ,P4,NA,NA,NA,NA,4,challenge
272,LM_0362,P4bFUA,P4,NA,NA,NA,NA,7,challenge
273,LM_0351,P4bFYX,P4,NA,NA,NA,NA,2,challenge
274,LM_0358,P4bGAB,P4,43.53,46.92,92.7749360613811,4.61,8,challenge
275,LM_0358,P4bGAB,P4,43.53,46.92,92.7749360613811,4.61,8,challenge
276,LM_0348,P4bGBX,P4,NA,NA,NA,NA,5,challenge
277,LM_0354,P4bGEE,P4,39.66,41.65,95.2220888355342,1.52,4,challenge
278,LM_0350,P4bGIQ,P4,NA,NA,NA,NA,1,challenge
279,LM_0364,P4bGTM,P4,45.13,46.82,96.3904314395557,0.86,2,challenge
280,LM_0365,P4bGXY,P4,52.38,67.21,77.9348311263205,0.24,8,challenge
281,LM_0365,P4bGXY,P4,52.38,67.21,77.9348311263205,0.24,8,challenge
282,LM_0360,P4bGYV,P4,NA,NA,NA,NA,2,challenge
283,LM_0348,P4bHGX,P4,NA,NA,NA,NA,3,challenge
284,LM_0361,P4bHHA,P4,35.36,43.11,82.0227325446532,0.8,7,challenge
285,LM_0367,P4bHNX,P4,48.55,48.55,100,NA,0,challenge
286,LM_0367,P4bHOK,P4,48.02,48.55,98.908341915551,1.82,1,challenge
287,LM_0349,P4bHVW,P4,NA,NA,NA,NA,8,challenge
288,LM_0359,P4bHXA,P4,42.12,42.12,100,NA,0,challenge
289,LM_0349,P4bHXN,P4,NA,NA,NA,NA,5,challenge
290,LM_0359,P4bHYK,P4,42.43,42.12,100.735992402659,1.39,2,challenge
291,LM_0359,P4bIAM,P4,41.58,42.12,98.7179487179487,0.9,7,challenge
292,LM_0363,P4bIAN,P4,43.52,43.11,100.951055439573,2.15,1,challenge
293,LM_0360,P4bIBH,P4,NA,NA,NA,NA,6,challenge
294,LM_0360,P4bICB,P4,NA,NA,NA,NA,0,challenge
295,LM_0367,P4bICV,P4,47.38,48.55,97.5901132852729,1.93,4,challenge
296,LM_0353,P4bIFU,P4,40.5,43.86,92.3392612859097,1.93,8,challenge
297,LM_0353,P4bIFU,P4,40.5,43.86,92.3392612859097,1.93,8,challenge
298,LM_0348,P4bIKC,P4,NA,NA,NA,NA,6,challenge
299,LM_0352,P4bIMU,P4,39.94,42.12,94.8243114909782,1.33,3,challenge
300,LM_0361,P4bIOZ,P4,39.93,43.11,92.6235212247738,2.29,5,challenge
301,LM_0351,P4bISP,P4,NA,NA,NA,NA,5,challenge
302,LM_0362,P4bISV,P4,NA,NA,NA,NA,4,challenge
303,LM_0359,P4bIWL,P4,42.01,42.12,99.7388414055081,1.65,1,challenge
304,LM_0361,P4bIXP,P4,42.68,43.11,99.002551612155,1.41,2,challenge
305,LM_0363,P4bIYG,P4,42.38,43.11,98.306657388077,2.17,5,challenge
306,LM_0367,P4bJAT,P4,47.86,48.55,98.5787847579815,1.96,3,challenge
307,LM_0352,P4bJEY,P4,39.9,42.12,94.7293447293447,2.79,7,challenge
308,LM_0353,P4bJIL,P4,40.74,43.86,92.8864569083448,1.57,7,challenge
309,LM_0358,P4bJKP,P4,46.8,46.92,99.7442455242967,1.16,2,challenge
310,LM_0365,P4bJOV,P4,64.63,67.21,96.1612855229877,2.29,2,challenge
311,LM_0351,P4bJQG,P4,NA,NA,NA,NA,8,challenge
312,LM_0355,P4bJRA,P4,46.45,45.85,101.308615049073,2.3,1,challenge
313,LM_0358,P4bJWS,P4,44.39,46.92,94.6078431372549,1.73,4,challenge
314,LM_0353,P4bJZP,P4,43.25,43.86,98.609211126311,2.01,4,challenge
315,LM_0355,P4bKAB,P4,46.84,45.85,102.159214830971,2.58,6,challenge
316,LM_0353,P4bKBF,P4,40.94,43.86,93.3424532603739,1.62,6,challenge
317,LM_0367,P4bKDS,P4,47.37,48.55,97.5695159629248,2.38,5,challenge
318,LM_0363,P4bKGL,P4,42.17,43.11,97.8195314312225,2.44,7,challenge
319,LM_0355,P4bKHA,P4,46.23,45.85,100.82878953108,2.01,3,challenge
320,LM_0355,P4bKJY,P4,48.37,45.85,105.496183206107,2.87,8,challenge
321,LM_0355,P4bKJY,P4,48.37,45.85,105.496183206107,2.87,8,challenge
322,LM_0348,P4bKSX,P4,NA,NA,NA,NA,2,challenge
323,LM_0363,P4bLHZ,P4,42.11,43.11,97.6803525864069,2.51,4,challenge
324,LM_0354,P4bLKJ,P4,42.12,41.65,101.128451380552,1.57,1,challenge
325,LM_0353,P4bLUN,P4,42.52,43.86,96.9448244414045,2.25,5,challenge
326,LM_0354,P4bLVS,P4,40.1,41.65,96.2785114045618,1.75,7,challenge
327,LM_0357,P4bLZA,P4,41.63,42.76,97.3573433115061,1.7,3,challenge
328,LM_0365,P4bMCM,P4,63.64,67.21,94.6882904329713,1.44,3,challenge
329,LM_0353,P4bMLG,P4,43.01,43.86,98.062015503876,1.91,3,challenge
330,LM_0352,P4bMLZ,P4,41.73,42.12,99.0740740740741,1.2,1,challenge
331,LM_0354,P4bMOP,P4,40.49,41.65,97.2148859543818,3.03,8,challenge
332,LM_0354,P4bMOP,P4,40.49,41.65,97.2148859543818,3.03,8,challenge
333,LM_0361,P4bNCD,P4,43.11,43.11,100,NA,0,challenge
334,LM_0351,P4bNLQ,P4,NA,NA,NA,NA,3,challenge
335,LM_0352,P4bNRH,P4,39.05,42.12,92.7113010446344,1.44,6,challenge
336,LM_0354,P4bNUP,P4,42.96,41.65,103.145258103241,1.27,2,challenge
