"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"122","E57aMOV","E5",NA,NA,NA,NA,NA,1
"123","E57aSUW","E5",NA,NA,NA,NA,NA,1
"124","E57aENZ","E5",NA,NA,NA,NA,NA,1
"125","E57aBCR","E5",NA,NA,NA,NA,NA,1
"126","E57aCJS","E5",NA,NA,NA,NA,NA,1
"127","E57aRSW","E5",NA,NA,NA,NA,NA,1
"128","E57aINR","E5",NA,NA,NA,NA,NA,1
"129","E57aBCJ","E5",NA,NA,NA,NA,NA,1
"130","E57aNRX","E5",NA,NA,NA,NA,NA,1
"131","E57aNWZ","E5",NA,NA,NA,NA,NA,1
"132","E57aEQU","E5",NA,NA,NA,NA,NA,1
"133","E57aMNP","E5",NA,NA,NA,NA,NA,1
"134","E57aJOS","E5",NA,NA,NA,NA,NA,1
"135","E57aCQT","E5",NA,NA,NA,NA,NA,1
"136","E57aGHU","E5",NA,NA,NA,NA,NA,1
"137","E57aGNQ","E5",NA,NA,NA,NA,NA,1
"138","E57aTVX","E5",NA,NA,NA,NA,NA,1
"139","E57aCJK","E5",NA,NA,NA,NA,NA,1
"140","E57aGOP","E5",NA,NA,NA,NA,NA,1
"141","E57aILQ","E5",NA,NA,NA,NA,NA,1
"142","E57aERU","E5",NA,NA,NA,NA,NA,1
"143","E57aFNU","E5",NA,NA,NA,NA,NA,1
"144","E57aDIT","E5",NA,NA,NA,NA,NA,1
"145","E57aFOZ","E5",NA,NA,NA,NA,NA,1
"146","E57aBTY","E5",NA,NA,NA,NA,NA,1
"147","E57aFPY","E5",NA,NA,NA,NA,NA,1
"148","E57aGHT","E5",NA,NA,NA,NA,NA,1
"149","E57aORX","E5",NA,NA,NA,NA,NA,1
"150","E57aFLM","E5",NA,NA,NA,NA,NA,1
"151","E57aGMN","E5",NA,NA,NA,NA,NA,1
"152","E57aSVY","E5",NA,NA,NA,NA,NA,1
"153","E57aOTY","E5",NA,NA,NA,NA,NA,1
"154","E57aEFV","E5",NA,NA,NA,NA,NA,1
"155","E57aALS","E5",NA,NA,NA,NA,NA,1
"156","E57aDGN","E5",NA,NA,NA,NA,NA,1
"157","E57aOTW","E5",NA,NA,NA,NA,NA,1
"158","E57aPQV","E5",NA,NA,NA,NA,NA,1
"159","E57aKOQ","E5",NA,NA,NA,NA,NA,1
"160","E57aEMQ","E5",NA,NA,NA,NA,NA,1
"161","E57aDUX","E5",NA,NA,NA,NA,NA,1
"162","E57aBXY","E5",NA,NA,NA,NA,NA,1
"163","E57aJMP","E5",NA,NA,NA,NA,NA,1
"164","E57aMWY","E5",NA,NA,NA,NA,NA,1
"165","E57aEKT","E5",NA,NA,NA,NA,NA,1
"166","E57aDWX","E5",NA,NA,NA,NA,NA,1
"167","E57aDRV","E5",NA,NA,NA,NA,NA,1
"168","E57aCQX","E5",NA,NA,NA,NA,NA,1
"169","E57aBCL","E5",NA,NA,NA,NA,NA,1
"170","E57aOQR","E5",NA,NA,NA,NA,NA,1
"171","E57aJVX","E5",NA,NA,NA,NA,NA,1
"172","E57aRVW","E5",NA,NA,NA,NA,NA,1
"173","E57aDSX","E5",NA,NA,NA,NA,NA,1
"174","E57aFQV","E5",NA,NA,NA,NA,NA,1
"175","E57aDEK","E5",NA,NA,NA,NA,NA,1
"176","E57aFLQ","E5",NA,NA,NA,NA,NA,1
"177","E57aHOS","E5",NA,NA,NA,NA,NA,1
"178","E57aIMY","E5",NA,NA,NA,NA,NA,1
"179","E57aRSZ","E5",NA,NA,NA,NA,NA,1
"180","E57aALY","E5",NA,NA,NA,NA,NA,1
"181","E57aBRZ","E5",NA,NA,NA,NA,NA,1
"182","E57aAKO","E5",NA,NA,NA,NA,NA,1
"183","E57aGLM","E5",NA,NA,NA,NA,NA,1
"184","E57aCMW","E5",NA,NA,NA,NA,NA,1
"185","E57aFVY","E5",NA,NA,NA,NA,NA,1
"186","E57aDUZ","E5",NA,NA,NA,NA,NA,1
"187","E57aADK","E5",NA,NA,NA,NA,NA,1
"188","E57aOWX","E5",NA,NA,NA,NA,NA,1
"189","E57aDEJ","E5",NA,NA,NA,NA,NA,1
"190","E57aATW","E5",NA,NA,NA,NA,NA,1
"191","E57aGMY","E5",NA,NA,NA,NA,NA,1
"192","E57aGLZ","E5",NA,NA,NA,NA,NA,1
"193","E57aCLV","E5",NA,NA,NA,NA,NA,1
"194","E57aGLU","E5",NA,NA,NA,NA,NA,1
"195","E57aCRU","E5",NA,NA,NA,NA,NA,1
"196","E57aLUX","E5",NA,NA,NA,NA,NA,1
"197","E57aCHT","E5",NA,NA,NA,NA,NA,1
"198","E57aKTV","E5",NA,NA,NA,NA,NA,1
"199","E57aTVZ","E5",NA,NA,NA,NA,NA,1
"200","E57aNSX","E5",NA,NA,NA,NA,NA,1
"201","E57aGPZ","E5",NA,NA,NA,NA,NA,1
"202","E57aDPQ","E5",NA,NA,NA,NA,NA,1
"203","E57aITZ","E5",NA,NA,NA,NA,NA,1
"204","E57aEJR","E5",NA,NA,NA,NA,NA,1
"205","E57aBCU","E5",NA,NA,NA,NA,NA,1
"206","E57aJTZ","E5",NA,NA,NA,NA,NA,1
"207","E57aCEU","E5",NA,NA,NA,NA,NA,1
"208","E57aCNY","E5",NA,NA,NA,NA,NA,1
"209","E57aEMU","E5",NA,NA,NA,NA,NA,1
"210","E57aTUZ","E5",NA,NA,NA,NA,NA,1
"211","E57aFKX","E5",NA,NA,NA,NA,NA,1
"212","E57aCRZ","E5",NA,NA,NA,NA,NA,1
"213","E57aEXY","E5",NA,NA,NA,NA,NA,1
"214","E57aIKU","E5",NA,NA,NA,NA,NA,1
"215","E57aJOR","E5",NA,NA,NA,NA,NA,1
"216","E57aHKQ","E5",NA,NA,NA,NA,NA,1
"217","E57aJMN","E5",NA,NA,NA,NA,NA,1
"218","E57aEOS","E5",NA,NA,NA,NA,NA,1
