labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,experiment,oocyst_mean
ABD,0,0,0,1,1,E4,0.25
ABJ,3,5,4,0,2,E4,3
ABL,23,27,33,24,1,E4,26.75
ABM,59,47,51,45,2,E4,50.5
ACD,NA,NA,NA,NA,NA,E4,NA
ACL,1,5,5,2,1,E4,3.25
ACM,0,0,0,0,2,E4,0
ACO,0,0,0,0,2,E4,0
ACQ,5,5,7,8,1,E4,6.25
ADE,21,24,37,21,1,E4,25.75
ADG,0,0,0,0,2,E4,0
ADH,10,7,12,15,1,E4,11
ADM,0,0,0,0,2,E4,0
ADT,1,1,1,1,1,E4,1
AEG,0,0,2,1,2,E4,0.75
AFM,0,0,0,0,2,E4,0
AFO,0,0,0,0,2,E4,0
AGW,4,5,6,15,1,E4,7.5
AHQ,19,19,14,17,1,E4,17.25
AHT,0,0,0,0,2,E4,0
AIQ,0,0,0,0,2,E4,0
AIW,0,0,0,0,2,E4,0
AJO,35,15,29,22,2,E4,25.25
AJT,0,0,0,0,2,E4,0
AJX,0,0,0,0,2,E4,0
AJY,112,127,135,118,1,E4,123
AKU,0,0,0,0,2,E4,0
AKY,0,0,0,0,2,E4,0
ALV,8,5,2,6,2,E4,5.25
ANP,0,0,0,0,2,E4,0
ANR,0,0,0,0,2,E4,0
AOQ,0,0,0,0,2,E4,0
APV,0,0,0,0,2,E4,0
APX,0,0,2,1,2,E4,0.75
APY,0,0,0,0,2,E4,0
AQU,0,0,0,0,2,E4,0
AQZ,0,0,0,0,2,E4,0
ARS,0,0,0,0,2,E4,0
ASW,3,3,1,2,1,E4,2.25
ASZ,51,29,28,30,2,E4,34.5
ATW,0,0,0,0,2,E4,0
AVX,1,0,0,1,2,E4,0.5
AYZ,3,1,3,0,2,E4,1.75
BCK,0,0,0,0,1,E4,0
BCP,0,0,0,0,2,E4,0
BDH,18,15,18,16,1,E4,16.75
BDJ,0,0,0,0,2,E4,0
BDX,13,14,7,9,2,E4,10.75
BEK,12,4,10,8,2,E4,8.5
BEM,2,3,3,4,1,E4,3
BEQ,0,0,0,0,2,E4,0
BEX,0,0,0,0,2,E4,0
BEY,0,0,0,0,2,E4,0
BEZ,0,0,0,0,2,E4,0
BFG,10,12,32,20,1,E4,18.5
BGN,0,0,0,0,2,E4,0
BHL,0,0,3,1,2,E4,1
BHM,11,5,7,7,1,E4,7.5
BHS,0,0,0,0,2,E4,0
BHY,0,0,0,0,2,E4,0
BIL,0,0,0,0,2,E4,0
BIM,0,0,1,2,2,E4,0.75
BJK,0,0,0,0,2,E4,0
BJL,0,0,0,0,2,E4,0
BJP,0,0,0,0,2,E4,0
BJY,1,0,1,2,2,E4,1
BKN,0,0,0,0,2,E4,0
BKS,0,0,0,0,2,E4,0
BKZ,0,0,0,0,2,E4,0
BLQ,0,0,0,0,2,E4,0
BMO,0,0,0,0,2,E4,0
BMP,0,0,0,0,2,E4,0
BNX,25,22,21,32,1,E4,25
BNZ,0,0,0,0,2,E4,0
BOT,18,21,26,33,1,E4,24.5
BOY,0,0,0,0,2,E4,0
BPU,31,18,17,51,2,E4,29.25
BQS,0,0,0,0,2,E4,0
BQZ,1,0,1,0,2,E4,0.5
BUX,0,0,0,0,2,E4,0
BVX,109,99,121,106,1.5,E4,108.75
CDZ,0,0,0,0,2,E4,0
CEJ,0,0,0,0,2,E4,0
CEL,0,0,0,0,2,E4,0
CER,NA,NA,NA,NA,NA,E4,NA
CEV,0,0,0,0,1,E4,0
CEX,0,0,0,0,2,E4,0
CEZ,41,31,42,46,1,E4,40
CFJ,1,0,0,0,2,E4,0.25
CFN,0,0,0,0,2,E4,0
CFR,0,0,0,0,2,E4,0
CFT,3,11,6,9,1,E4,7.25
CFV,3,9,8,8,1,E4,7
CGI,21,22,37,26,1,E4,26.5
CGN,2,0,1,0,2,E4,0.75
CGO,0,0,0,0,2,E4,0
CGY,0,0,0,0,2,E4,0
CHI,0,0,0,0,2,E4,0
CHR,0,0,0,0,2,E4,0
CHV,0,0,0,0,2,E4,0
CHX,0,0,0,0,2,E4,0
CIJ,1,5,4,3,1,E4,3.25
CIL,0,0,0,0,2,E4,0
CIV,0,0,0,0,2,E4,0
CJO,8,7,7,6,2,E4,7
CJV,0,0,0,1,1,E4,0.25
CJW,0,0,0,2,2,E4,0.5
CJX,0,1,0,0,2,E4,0.25
CLR,14,4,5,8,1,E4,7.75
CLV,0,0,0,0,2,E4,0
CMO,8,6,2,9,2,E4,6.25
COP,0,0,0,0,2,E4,0
COQ,17,28,21,32,1,E4,24.5
COT,7,8,10,4,2,E4,7.25
CPT,3,0,3,3,2,E4,2.25
CPV,38,48,44,37,1,E4,41.75
CQR,13,17,20,15,2,E4,16.25
CQT,108,61,107,65,2,E4,85.25
CRX,0,0,0,0,2,E4,0
CRY,0,0,0,0,2,E4,0
CTU,0,0,0,0,2,E4,0
CTW,17,12,7,17,2,E4,13.25
CTY,38,45,35,29,2,E4,36.75
DEK,6,4,0,1,2,E4,2.75
DEO,0,0,0,0,2,E4,0
DEU,0,0,0,0,2,E4,0
DFL,0,0,0,0,2,E4,0
DFM,0,0,0,0,2,E4,0
DFR,0,0,0,0,2,E4,0
DFT,11,12,8,4,2,E4,8.75
DFU,10,8,5,8,2,E4,7.75
DFV,0,0,0,0,2,E4,0
DFW,0,0,0,0,1,E4,0
DGJ,2,0,0,0,1,E4,0.5
DGL,NA,NA,NA,NA,NA,E4,NA
DGM,0,0,0,0,1,E4,0
DGQ,0,0,0,0,2,E4,0
DGT,2,0,3,0,2,E4,1.25
DGW,0,0,0,0,2,E4,0
DHJ,0,0,0,0,2,E4,0
DHK,0,0,0,0,2,E4,0
DHM,3,1,1,1,2,E4,1.5
DHN,33,55,45,45,2,E4,44.5
DIN,9,5,7,11,1,E4,8
DJX,0,1,1,0,2,E4,0.5
DJY,3,5,3,5,1,E4,4
DKO,0,0,0,0,2,E4,0
DKP,0,0,0,0,2,E4,0
DMR,0,0,0,0,2,E4,0
DMS,79,88,65,79,2,E4,77.75
DMU,0,0,0,0,3,E4,0
DNW,0,0,0,0,2,E4,0
DNY,81,62,76,68,2,E4,71.75
DPX,0,0,0,0,2,E4,0
DQV,NA,NA,NA,NA,NA,E4,NA
DRW,0,0,0,1,2,E4,0.25
DSU,NA,NA,NA,NA,NA,E4,NA
DTU,2,5,1,4,2,E4,3
DTX,1,0,0,0,2,E4,0.25
DVX,0,0,0,0,2,E4,0
DWY,NA,NA,NA,NA,NA,E4,NA
EFO,0,0,0,0,2,E4,0
EFQ,0,0,0,0,2,E4,0
EGI,0,0,0,0,2,E4,0
EGO,1,4,4,1,2,E4,2.5
EGW,0,0,0,0,2,E4,0
EHI,0,0,0,0,2,E4,0
EHP,0,0,0,0,2,E4,0
EHR,0,0,0,0,2,E4,0
EHV,24,22,27,31,1,E4,26
EIN,1,0,0,0,2,E4,0.25
EIT,0,0,0,0,2,E4,0
EIX,NA,NA,NA,NA,NA,E4,NA
EJT,7,5,6,7,1,E4,6.25
EJU,NA,NA,NA,NA,NA,E4,NA
EKQ,2,0,0,1,1,E4,0.75
EKS,5,1,2,5,1,E4,3.25
EKT,NA,NA,NA,NA,NA,E4,NA
