"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1","name","value"
"1","7dip","Eflab","LM0075",2,97.5,"Day.1_.g",40
"2","7dip","Eflab","LM0075",2,97.5,"Day2_.g",39
"3","7dip","Eflab","LM0075",2,97.5,"Day3_.g",39
"4","7dip","Eflab","LM0075",2,97.5,"Day4_.g",40
"5","7dip","Eflab","LM0075",2,97.5,"Day5_.g",40
"6","7dip","Eflab","LM0075",2,97.5,"Day6_.g",39
"7","7dip","Eflab","LM0075",2,97.5,"Day7_.g",NA
"8","7dip","Eflab","LM0075",2,97.5,"Day8_.g",NA
"9","7dip","Eflab","LM0075",2,97.5,"Day9_.g",NA
"10","7dip","Eflab","LM0075",2,97.5,"Day10_.g",NA
"11","7dip","Eflab","LM0075",2,97.5,"Day11_.g",NA
"12","7dip","Efwild","LM0094",2,94.9554896142433,"Day.1_.g",33.7
"13","7dip","Efwild","LM0094",2,94.9554896142433,"Day2_.g",32
"14","7dip","Efwild","LM0094",2,94.9554896142433,"Day3_.g",32
"15","7dip","Efwild","LM0094",2,94.9554896142433,"Day4_.g",32.3
"16","7dip","Efwild","LM0094",2,94.9554896142433,"Day5_.g",33
"17","7dip","Efwild","LM0094",2,94.9554896142433,"Day6_.g",32.9
"18","7dip","Efwild","LM0094",2,94.9554896142433,"Day7_.g",NA
"19","7dip","Efwild","LM0094",2,94.9554896142433,"Day8_.g",NA
"20","7dip","Efwild","LM0094",2,94.9554896142433,"Day9_.g",NA
"21","7dip","Efwild","LM0094",2,94.9554896142433,"Day10_.g",NA
"22","7dip","Efwild","LM0094",2,94.9554896142433,"Day11_.g",NA
"23","7dip","EI64","LM0029",2,98.2456140350877,"Day.1_.g",39.9
"24","7dip","EI64","LM0029",2,98.2456140350877,"Day2_.g",39.2
"25","7dip","EI64","LM0029",2,98.2456140350877,"Day3_.g",38
"26","7dip","EI64","LM0029",2,98.2456140350877,"Day4_.g",35
"27","7dip","EI64","LM0029",2,98.2456140350877,"Day5_.g",34.5
"28","7dip","EI64","LM0029",2,98.2456140350877,"Day6_.g",36.8
"29","7dip","EI64","LM0029",2,98.2456140350877,"Day7_.g",NA
"30","7dip","EI64","LM0029",2,98.2456140350877,"Day8_.g",NA
"31","7dip","EI64","LM0029",2,98.2456140350877,"Day9_.g",NA
"32","7dip","EI64","LM0029",2,98.2456140350877,"Day10_.g",NA
"33","7dip","EI64","LM0029",2,98.2456140350877,"Day11_.g",NA
"34","7dip","Uninf","LM0085",2,96.7914438502674,"Day.1_.g",37.4
"35","7dip","Uninf","LM0085",2,96.7914438502674,"Day2_.g",36.2
"36","7dip","Uninf","LM0085",2,96.7914438502674,"Day3_.g",35.2
"37","7dip","Uninf","LM0085",2,96.7914438502674,"Day4_.g",33.4
"38","7dip","Uninf","LM0085",2,96.7914438502674,"Day5_.g",36.8
"39","7dip","Uninf","LM0085",2,96.7914438502674,"Day6_.g",36.2
"40","7dip","Uninf","LM0085",2,96.7914438502674,"Day7_.g",NA
"41","7dip","Uninf","LM0085",2,96.7914438502674,"Day8_.g",NA
"42","7dip","Uninf","LM0085",2,96.7914438502674,"Day9_.g",NA
"43","7dip","Uninf","LM0085",2,96.7914438502674,"Day10_.g",NA
"44","7dip","Uninf","LM0085",2,96.7914438502674,"Day11_.g",NA
"45","7dip","Eflab","LM0079",2,99.7118155619597,"Day.1_.g",34.7
"46","7dip","Eflab","LM0079",2,99.7118155619597,"Day2_.g",34.6
"47","7dip","Eflab","LM0079",2,99.7118155619597,"Day3_.g",34.5
"48","7dip","Eflab","LM0079",2,99.7118155619597,"Day4_.g",36.6
