"","EH_ID","dpi","labels","weight","weight_dpi0","relative_weight","feces_weight","mouse_strain","experiment"
"139","LM_0398",7,"E10bRJY",19.06,18.42,103.474484256243,1.18,"SCHUNT","E10"
"140","LM_0399",7,"E10bZAK",15.78,17.67,89.3039049235993,0.86,"PWD","E10"
"141","LM_0368",8,"E10bBWZ",19.67,20.55,95.7177615571776,1.37,"SCHUNT","E10"
"142","LM_0369",8,"E10bQBG",18.14,19.86,91.3393756294058,1.13,"SCHUNT","E10"
"143","LM_0370",8,"E10bVIV",18.05,18.21,99.1213618890719,1.18,"PWD","E10"
"144","LM_0372",8,"E10bAHH",21.3,24.73,86.1302062272543,0.8,"SCHUNT","E10"
"145","LM_0373",8,"E10bEJZ",21.75,27.22,79.9044819985305,0.13,"SCHUNT","E10"
"146","LM_0375",8,"E10bLFS",12.66,15.77,80.2790107799619,0.26,"PWD","E10"
"147","LM_0376",8,"E10bMVN",19.66,18.89,104.076230809952,1.11,"SCHUNT","E10"
"148","LM_0377",8,"E10bLQS",17.77,18.51,96.0021609940572,1.63,"SCHUNT","E10"
"149","LM_0379",8,"E10bTSD",17.21,16.59,103.737191078963,0.68,"PWD","E10"
"150","LM_0380",8,"E10bVKF",17.8,19.44,91.5637860082305,1.01,"SCHUNT","E10"
"151","LM_0385",8,"E10bPNK",15.88,16.83,94.3553178847297,1.64,"SCHUNT","E10"
"152","LM_0389",8,"E10bVXW",19.64,18.91,103.86039132734,1.07,"SCHUNT","E10"
"153","LM_0392",8,"E10bYZU",28.74,28.98,99.1718426501035,1.54,"SCHUNT","E10"
"154","LM_0393",8,"E10bOET",19.55,19.68,99.3394308943089,1.16,"SCHUNT","E10"
"155","LM_0394",8,"E10bXCZ",19.11,18.23,104.827207899067,1.08,"PWD","E10"
"156","LM_0395",8,"E10bPON",17.74,16.91,104.908338261384,0.91,"PWD","E10"
"157","LM_0396",8,"E10bLCS",19.85,19.59,101.327207759061,1.05,"SCHUNT","E10"
"158","LM_0397",8,"E10bIFF",20.45,20.16,101.438492063492,1.11,"PWD","E10"
"159","LM_0398",8,"E10bQSC.1",18.48,18.42,100.325732899023,0.9,"SCHUNT","E10"
"160","LM_0399",8,"E10bPSW",14.35,17.67,81.2110922467459,0.26,"PWD","E10"
