EH_ID;Eim_MC;;
LM_0227;pos;;
LM_0228;pos;;
LM_0229;neg;;
LM_0231;pos;;
LM_0232;pos;;
LM_0233;pos;;
LM_0234;pos;;
LM_0235;pos;;
LM_0236;pos;;
LM_0238;pos;;
LM_0239;pos;;
LM_0240;pos;;
LM_0247;pos;;
LM_0248;pos;;
LM_0249;pos;;
LM_0251;pos;;
LM_0254;neg;;
LM_0255;pos;;
LM_0256;neg;;
LM_0257;pos;;
LM_0258;pos;;
LM_0259;neg;;
LM_0260;neg;;
LM_0261;neg;;
LM_0262;neg;;
LM_0263;neg;;
LM_0264;neg;;
LM_0265;neg;;
LM_0265;neg;;
LM_0266;neg;;
LM_0268;neg;;
LM_0269;pos;fal or fer;75 degree
LM_0270;neg;;
LM_0271;neg;;
LM_0272;neg;;
LM_0273;neg;;
LM_0275;neg;;
LM_0276;neg;;
LM_0277;neg;;
LM_0278;neg;;
LM_0279;pos;?;
LM_0280;pos;;
LM_0282;neg;;
LM_0283;neg;;
LM_0284;pos;fal or fer;75 degree
LM_0285;pos;fal or fer;75 degree
LM_0286;neg;;
LM_0287;pos;fal or fer;74 degree
LM_0288;neg;;
LM_0289;neg;;
LM_0291;pos;fal or fer;74 degree
LM_0292;neg;;
LM_0293;neg;;
LM_0294;pos;fal or fer;74 degree
LM_0332;pos;fal or fer;75 degree
LM_0333;pos;;
LM_0334;pos;fal or fer;75
LM_0335;pos;;
LM_0336;pos;;
LM_0337;pos;;
LM_0338;pos;;
LM_0339;pos;;
LM_0340;pos;fal or fer;74
LM_0341;pos;fal ro fer;74
LM_0342;pos;;
LM_0343;neg;;
LM_0344;pos;;
LM_0345;pos;fal or fer;75
LM_0346;pos;;
LM_0347;pos;;
