labels,EH_ID,dpi,weight,weight_dpi0,Wchange,fecweight
SYZ,LM0292,3,22.06,22.15,99.59367946,1.12
SXY,LM0292,4,22.3,22.15,100.6772009,1.14
SWZ,LM0277,4,24.13,23.88,101.0469012,1.48
SUZ,LM0269,4,21.51,21.6,99.58333333,0.94
STZ,LM0279,2,21.49,21.35,100.6557377,1.67
RXZ,LM0276,6,31.62,29.59,106.8604258,1.79
RWZ,LM0282,0,30.09,30.09,100,2.25
RWX,LM0282,2,31.29,30.09,103.9880359,2.35
RTX,LM0260,2,29.31,29.02,100.9993108,1.27
RSW,LM0294,1,17.06,17.02,100.2350176,1
RSU,LM0260,1,29.82,29.02,102.7567195,1.82
QVX,LM0278,2,21.56,20.88,103.256705,2.62
QSV,LM0279,3,21.12,21.35,98.92271663,1.4
QRT,LM0263,3,21.82,21.25,102.6823529,1.48
QRS,LM0283,5,18.4,19.1,96.33507853,1.81
PXY,LM0291,2,24.8,24.85,99.79879276,2.38
PVZ,LM0276,4,32.25,29.59,108.9895235,1.17
PVX,LM0291,6,24.24,24.85,97.54527163,1.66
PSV,LM0289,8,21.93,23.93,91.64229001,2.23
PRZ,LM0287,8,20.85,18.83,110.7275624,1.27
PQZ,LM0294,7,16.65,17.02,97.82608696,1.97
PQY,LM0265,1,26.11,26.43,98.78925463,2.34
PQT,LM0276,0,29.59,29.59,100,1.74
OSZ,LM0270,1,22.92,23.89,95.93972373,1.62
OSY,LM0280,1,17.68,17.57,100.6260672,2.67
OSX,LM0273,1,20.87,21.7,96.17511521,2.07
NXY,LM0280,3,18.57,17.57,105.6915196,1.18
NUY,LM0295,6,20.06,21.31,94.13420929,3.19
NUW,LM0289,6,22.62,23.93,94.52569996,1.8
NTU,LM0260,7,27.42,29.02,94.48656099,2.37
NSX,LM0262,6,20.91,21.13,98.95882631,1.79
NRV,LM0262,3,22.13,21.13,104.7326077,0.94
NRU,LM0270,6,22.5,23.89,94.18166597,1.38
NPY,LM0287,6,20.17,18.83,107.1163038,1.7
NPX,LM0286,5,18.75,19.07,98.32197168,2.61
NPW,LM0263,7,22.03,21.25,103.6705882,1.27
NOY,LM0279,6,21.42,21.35,100.3278689,1.89
NOU,LM0275,5,21.34,20.83,102.4483917,1.27
NOQ,LM0294,3,16.81,17.02,98.76615746,0.84
MRZ,LM0280,8,18.5,17.57,105.2931133,1.42
MQS,LM0278,7,22.31,20.88,106.848659,1.26
MPW,LM0273,5,20.96,21.7,96.58986175,2.94
MOR,LM0292,8,22.46,22.15,101.3995485,1.29
MNW,LM0275,8,22.47,20.83,107.8732597,1.19
MNP,LM0269,3,21.5,21.6,99.53703704,1.31
LYZ,LM0283,8,19.35,19.1,101.3089005,1.49
LVZ,LM0272,7,22.87,22.77,100.4391744,1.27
LRS,LM0284,8,23.55,22.39,105.1808843,1.5
LQW,LM0272,3,22.5,22.77,98.81422925,1.28
LQU,LM0280,5,18.96,17.57,107.9112123,1.64
LPZ,LM0284,5,22.52,22.39,100.5806163,1.13
LPW,LM0288,1,19.7,19.74,99.79736575,1.9
LPQ,LM0294,4,17.14,17.02,100.7050529,0.54
LOT,LM0269,8,21.19,21.6,98.10185185,1.22
LOR,LM0284,0,22.39,22.39,100,1.27
LNT,LM0279,7,20.41,21.35,95.5971897,1.7
LNO,LM0263,0,21.25,21.25,100,1.45
LMZ,LM0263,8,21.26,21.25,100.0470588,1.56
LMV,LM0278,1,21.71,20.88,103.9750958,1.67
LMS,LM0287,5,19.29,18.83,102.4429102,1.42
UWZ,LM0275,3,21.81,20.83,104.7047528,1.56
KTZ,LM0294,5,16.75,17.02,98.41363102,0.95
KQZ,LM0289,2,22.84,23.93,95.44504806,1.81
KQW,LM0273,8,21.81,21.7,100.5069124,2
KPZ,LM0273,6,22.27,21.7,102.6267281,1.49
KPU,LM0283,1,19.4,19.1,101.5706806,1.5
KOX,LM0284,6,23.15,22.39,103.3943725,1.98
KMQ,LM0270,8,23.01,23.89,96.3164504,1.58
KMP,LM0278,3,21.63,20.88,103.591954,1.11
KLT,LM0284,4,22.56,22.39,100.7592675,1.26
KLQ,LM0284,7,22.4,22.39,100.0446628,1.29
JRZ,LM0263,6,20.33,21.25,95.67058824,1.82
JQZ,LM0272,5,22.53,22.77,98.94598155,2.28
JQU,LM0293,8,19.86,20.74,95.75699132,1.24
JOZ,LM0288,4,20.33,19.74,102.9888551,0.94
JNY,LM0293,2,19.98,20.74,96.33558341,1.39
JMO,LM0283,0,19.1,19.1,100,1.31
JKZ,LM0260,5,28.75,29.02,99.06960717,2.65
ITX,LM0260,3,29.36,29.02,101.1716058,1.61
IRU,LM0289,4,22.44,23.93,93.77350606,2.03
IQW,LM0269,7,20.85,21.6,96.52777778,1.78
IOZ,LM0282,5,32.47,30.09,107.9096045,2.84
IMQ,LM0265,8,26.37,26.43,99.77298524,2.45
IMP,LM0280,0,17.57,17.57,100,1.28
ILR,LM0278,0,20.88,20.88,100,2
ILQ,LM0293,0,20.74,20.74,100,1.38
IKT,LM0288,7,19.89,19.74,100.7598784,1.49
IKL,LM0285,5,18.9,19.43,97.27225939,1.37
IJP,LM0275,0,20.83,20.83,100,1.2
HWY,LM0272,6,23.26,22.77,102.1519543,1.92
HVX,LM0293,7,20.48,20.74,98.7463838,1.34
HQZ,LM0262,0,21.13,21.13,100,1.08
HNO,LM0282,6,34.11,30.09,113.3599202,2.13
HLV,LM0291,3,26.09,24.85,104.9899396,1.45
HLP,LM0275,6,22.25,20.83,106.8170907,1.24
HKX,LM0294,6,16.72,17.02,98.2373678,1
HKV,LM0287,0,18.83,18.83,100,0.95
HKS,LM0262,1,21.53,21.13,101.8930431,1.38
HKN,LM0280,4,18.12,17.57,103.1303358,1.07
HJW,LM0269,1,22.21,21.6,102.8240741,1.05
HIY,LM0279,1,20.86,21.35,97.70491803,1.46
GXY,LM0286,0,19.07,19.07,100,2.27
GVY,LM0278,4,22.15,20.88,106.0823755,1.12
GTV,LM0273,2,20.67,21.7,95.25345622,1.82
GSV,LM0265,7,25.95,26.43,98.18388195,1.35
GQU,LM0270,0,23.89,23.89,100,1.91
GPT,LM0275,1,21.63,20.83,103.8406145,1.01
GPR,LM0269,5,21.34,21.6,98.7962963,1.9
GLS,LM0282,1,30.62,30.09,101.7613825,2.34
GIT,LM0260,4,28.15,29.02,97.00206754,1.03
GIR,LM0291,0,24.85,24.85,100,1.76
GHV,LM0260,8,27.06,29.02,93.24603722,3.14
GHL,LM0292,7,22.04,22.15,99.503386,1.67
FXZ,LM0291,4,25.96,24.85,104.4668008,1.03
FRU,LM0282,8,35.04,30.09,116.4506481,1.96
FPV,LM0279,8,21.27,21.35,99.62529274,1.1
FNS,LM0289,7,21.57,23.93,90.13790221,1.93
FMV,LM0284,3,22.76,22.39,101.6525234,1.95
FMN,LM0284,1,21.88,22.39,97.72219741,1.86
FLY,LM0287,7,20.3,18.83,107.8066914,1.27
FLN,LM0294,8,16.67,17.02,97.94359577,1
FJY,LM0280,2,19.16,17.57,109.0495162,3.1
FJN,LM0283,2,18.42,19.1,96.43979058,1.7
FIJ,LM0288,6,19.9,19.74,100.810537,1.51
FHK,LM0262,7,22.27,21.13,105.3951727,1.58
FGZ,LM0282,4,33.15,30.09,110.1694915,1.75
