"EH_ID","labels","dpi","OPG","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","CD4","Treg","Div_Treg","Treg17","Treg_prop","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","experiment"
"LM_0227","E7aMNW",8,15567.7655677656,7.02526117343341,54.4201292769137,"pos",-5.79,-10.535,-4.425,-9.13,44.9,6.385,16.205,13.52,93.605,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,0.415,21.74,"E57"
"LM_0228","E7aBGY",8,79646.0176991151,4.99875306588759,84.9852124920339,"pos",-5.91,-8.9125,-4.3925,-6.9325,46.145,7.005,21.365,11.565,92.97,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,0.385,27.535,"E57"
"LM_0229","E7aEMW",8,0,1.65664455658793,11.9382981889895,"neg",-7.12,-7.4325,-3.1225,-4.6475,56.22,7.15,12.455,9.505,92.845,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,0.575,41.36,"E57"
"LM_0231","E7aCEK",8,53380.7829181495,0.887669072138454,37.5056012557841,"pos",-5.16,-9.3825,-4.3125,-6.8575,40.59,6.45,23.76,12.78,93.505,9.25,81.21,1.705,78.305,25.305,11.105,55.935,9.085,0.85,38.165,"E57"
"LM_0232","E7aCUY",8,0,1.77673412685823,21.8877741271661,"pos",-6.22,-10.55,-3.01,-5.435,52.245,8.695,13.465,14.4,91.305,2.545,27.85,1.06,27.445,17.55,9.815,12.83,2.005,0.25,19.39,"E57"
"LM_0233","E7aSTU",8,0,4.86923097297706,81.662990584743,"neg",-5.97,-11.1725,NA,-6.1225,46.895,6.89,13.355,7.035,93.11,2.9,25.52,0.695,32.195,7.49,5.395,21.31,2.795,0.27,19.23,"E57"
"LM_0234","E7aBLW",8,41411.0429447853,5.98219397547729,112.055644071278,"pos",-7.89,NA,NA,NA,49.47,6.065,24.795,13.95,93.935,6.87,76.515,1.11,65.735,9.065,8.9,55.69,8.455,0.295,34.31,"E57"
"LM_0235","E7aDTU",8,5263.15789473684,2.12034089731856,53.5403908319353,"pos",-5.84,-8.6925,-3.0275,-5.5975,45.74,6.52,17.115,8.645,93.46,9.585,51.87,1.09,40.6,13.995,9.2,55.97,8.755,0.28,28.69,"E57"
"LM_0236","E7aFRU",8,33261.8025751073,0.939915392134487,121.105391312534,"pos",-6.02,NA,NA,NA,46.33,6.465,21,14.54,93.535,7.02,67.36,1.615,65.055,8.84,8.375,45.895,12.91,0.61,46.265,"E57"
"LM_0238","E7aLYZ",8,157608.695652174,3.47981538698723,61.4115394386923,"pos",-4.42,-10.3425,-4.3375,-6.3925,43.325,8.915,13.09,6.825,91.075,7.71,79.02,1.185,55.835,26.505,18.26,38.45,4.59,0.335,27.8,"E57"
"LM_0239","E7aJMR",8,0,5.68730891054033,25.060196364609,"pos",-6.76,NA,NA,NA,68.01,3.63,14.11,14.35,96.36,1.73,14.31,0.925,33.075,13.9,3.785,8.985,1.69,0.385,13.755,"E57"
"LM_0240","E7aCIW",8,1798.56115107914,5.61738807203253,43.3808823861458,"pos",-6.65,-8.47,-2.455,-5.66,37.435,9.045,20.515,9.26,90.935,9.1,64.37,0.805,49.91,31.115,13.46,38.515,9.6,0.64,30.505,"E57"
"LM_0247","E7aJMX",8,350.140056022409,5.74965573181054,15.7742979705957,"pos",-4.68,-11.1375,-3.9525,-6.0825,53.25,6.895,7.85,9.015,93.1,2.505,19.19,0.945,28.815,18.08,3.455,8.71,1.95,0.165,13.49,"E57"
"LM_0248","E7aAPS",8,4000,4.43651968737429,31.9834136276131,"pos",-6.92,NA,NA,NA,43.09,6.12,21.885,25.48,93.865,7.62,60.78,1.415,45.325,16.055,7.815,60.255,8.38,1.025,29.545,"E57"
"LM_0249","E7aPSV",8,2767.52767527675,1.62435853414336,25.5475919853859,"pos",-5.96,-9.7675,-4.1475,-6.6525,47.34,6.465,16.775,13.315,93.51,4.84,54.635,0.97,35.275,19.235,4.93,44.24,4.355,0.73,23.725,"E57"
"LM_0251","E7aEOT",8,0,10.7285610680602,1.71942881541789,"pos",-4.73,-8.835,-4.365,-6.47,61.525,5.65,12.71,9.66,94.33,1.875,29.575,0.535,21.155,17.08,4.755,15.41,1.81,0.38,11.825,"E57"
"LM_0254","E7aBCD",8,0,6.3485357460407,23.1158022243411,"neg",-8.48,NA,NA,NA,51.475,6.69,12.11,7.535,93.29,1.455,21.435,0.55,22.92,28.36,5.64,6.335,1.65,0.27,16.1,"E57"
"LM_0255","E7aMOR",8,65602.8368794326,7.0619457854202,87.5850373523195,"pos",-2.73,-10.875,-3.245,-6.495,36.155,8.875,24.11,8.97,91.015,11.54,90.78,4.05,67.78,24.175,20.5,29.365,3.24,1.075,27.11,"E57"
"LM_0256","E7aJVZ",8,0,3.4229556011352,14.6139889944201,"neg",-8.9,-8.5175,-2.1375,-4.0625,54.575,5.11,13.005,9.13,94.87,1.835,22.3,1.075,30.89,11.41,4.455,12.675,2.58,0.48,22.56,"E57"
"LM_0257","E7aJQU",8,11986.301369863,6.97024477714995,21.2530814946465,"pos",-6.93,-10.995,-3.45,-5.385,58.92,5.075,16.575,15.28,94.905,4.445,48.205,0.795,28.355,17.805,7.63,39.93,4.845,0.42,26.83,"E57"
"LM_0258","E7aHVW",8,34836.0655737705,2.83376840524125,22.5199587596992,"pos",-5.75,-8.295,-2.285,-5.855,49.925,7.915,15.795,4.28,92.06,3.71,75.72,0.765,46.72,33.62,13.385,33.365,1.74,0.515,16.375,"E57"
"LM_0259","E7aGHI",8,2906.97674418605,4.45462750530078,41.1760044409716,"neg",-8,-9.505,-3.07,-5.27,43.27,7.155,16.365,10.45,92.795,5.485,65.425,1.17,29.27,10.565,11.43,47.355,3.415,0.5,26.765,"E57"
"LM_0260","E7bGHV",8,0,NA,11.2982790313474,"neg",-11.9,-11.615,-3.91,-6.305,53.24,5.215,41.605,11.28,94.73,6.795,59.59,1.225,36.96,12.14,10.91,47.475,2.62,0.6,16.955,"E57"
"LM_0261","E7aKOP",8,0,0,22.7925981911959,"neg",-5.9,-10.8875,-6.3575,-9.9775,49.35,9.015,8.26,4.37,90.95,1.535,22.665,0.58,19.23,26.665,4.74,7.56,1.76,0.25,14.625,"E57"
"LM_0262","E7bABO",8,1760.56338028169,NA,0.225145312864292,"neg",-10.06,-12.8075,-5.5025,-7.7025,28.295,27.23,38.21,8.875,72.66,5.925,65.7,1.935,41.455,35.575,19.175,31.745,3.055,0.46,19.105,"E57"
"LM_0263","E7bLMZ",8,32051.2820512821,NA,15.5470128102051,"pos",-8.38,-4.88,-12.735,-6.165,53.27,6.67,23.525,7.885,93.26,3.54,53.2,1.36,24.045,17.865,11.125,29.02,2.9,0.76,23.535,"E57"
