"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","weight","weight_dpi0","Wchange","EXP","currentInf"
"136","E64",NA,NA,6,"LM_0342",NA,1.21,NA,NA,NA,NA,"E139:E64",NA,"P3bYVL",148760.330578512,"E139","SWISS",48.5,55.6,87.2302158273381,"P3","E64"
"137","E64",NA,NA,5,"LM_0342",NA,1.9,NA,NA,NA,NA,"E139:E64",NA,"P3bZBW",250000,"E139","SWISS",50.1,55.6,93.8848920863309,"P3","E64"
"138","UNI",NA,NA,5,"LM_0335",NA,1.49,NA,NA,NA,NA,"E88:UNI",NA,"P3bZGF",0,"E88","SWISS",46.4,47,98.5106382978723,"P3","UNI"
"139","E64",NA,NA,2,"LM_0227",NA,1.09,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aALV",0,"E88","BUSNA_STRA",23.75,23.86,99.54,"E7","E88"
"140","E64",NA,NA,7,"LM_0227",NA,1.68,"inter subsp. hybrids",NA,8.75517711765294,NA,"E88:E64",NA,"E7aAUZ",145833.333333333,"E88","BUSNA_STRA",23.24,23.86,97.4,"E7","E88"
"141","E64",NA,NA,4,"LM_0227",NA,2.23,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aELZ",0,"E88","BUSNA_STRA",22.88,23.86,95.89,"E7","E88"
"142","E64",NA,NA,1,"LM_0227",NA,0.76,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aFJW",0,"E88","BUSNA_STRA",23.8,23.86,99.75,"E7","E88"
"143","E64",NA,NA,0,"LM_0227",NA,2.11,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aINO",0,"E88","BUSNA_STRA",23.86,23.86,100,"E7","E88"
"144","E64",NA,NA,3,"LM_0227",NA,1.5,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aIPS",0,"E88","BUSNA_STRA",23.8,23.86,99.75,"E7","E88"
"145","E64",NA,NA,6,"LM_0227",NA,0.88,"inter subsp. hybrids",NA,5.28962689128332,NA,"E88:E64",NA,"E7aLNW",85227.2727272727,"E88","BUSNA_STRA",22.94,23.86,96.14,"E7","E88"
"146","E64",-10.535,-5.79,8,"LM_0227","pos",2.73,"inter subsp. hybrids",537.333333333333,7.02526117343341,-9.13,"E88:E64",-4.425,"E7aMNW",15567.7655677656,"E88","BUSNA_STRA",23.81,23.86,99.79,"E7","E88"
"147","E64",NA,NA,5,"LM_0227",NA,2.01,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aRTY",116915.422885572,"E88","BUSNA_STRA",23.12,23.86,96.9,"E7","E88"
"148","E64",-8.9125,-5.91,8,"LM_0228","pos",1.13,"inter subsp. hybrids",841.333333333333,4.99875306588759,-6.9325,"E88:E64",-4.3925,"E7aBGY",79646.0176991151,"E88","STRA_BUSNA",23.5,21.23,110.69,"E7","E88"
"149","E64",NA,NA,4,"LM_0228",NA,1.96,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aBJR",2551.02040816327,"E88","STRA_BUSNA",24.01,21.23,113.09,"E7","E88"
"150","E64",NA,NA,2,"LM_0228",NA,1.2,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aCRZ",0,"E88","STRA_BUSNA",24.14,21.23,113.71,"E7","E88"
"151","E64",NA,NA,3,"LM_0228",NA,1.69,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aCWZ",0,"E88","STRA_BUSNA",24.85,21.23,117.05,"E7","E88"
"152","E64",NA,NA,0,"LM_0228",NA,1.24,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aEJN",0,"E88","STRA_BUSNA",21.23,21.23,100,"E7","E88"
"153","E64",NA,NA,5,"LM_0228",NA,1.32,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aESW",375000,"E88","STRA_BUSNA",23.47,21.23,110.55,"E7","E88"
"154","E64",NA,NA,1,"LM_0228",NA,1.28,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aFHT",0,"E88","STRA_BUSNA",23.4,21.23,110.22,"E7","E88"
"155","E64",NA,NA,6,"LM_0228",NA,1.05,"inter subsp. hybrids",NA,3.90463796942712,NA,"E88:E64",NA,"E7aLMZ",833333.333333333,"E88","STRA_BUSNA",22.29,21.23,104.99,"E7","E88"
"156","E64",NA,NA,6,"LM_0228",NA,1.05,"inter subsp. hybrids",NA,52.2741183942562,NA,"E88:E64",NA,"E7aLMZ",833333.333333333,"E88","STRA_BUSNA",22.29,21.23,104.99,"E7","E88"
"157","E64",NA,NA,7,"LM_0228",NA,1.18,"inter subsp. hybrids",NA,8.22027140098512,NA,"E88:E64",NA,"E7aNSX",552966.101694915,"E88","STRA_BUSNA",22.92,21.23,107.96,"E7","E88"
"158","E88",NA,NA,1,"LM_0229",NA,1.63,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aABG",0,"E88","SCHUNT_SCHUNT",18.38,19.06,96.43,"E7","E88"
"159","E88",NA,NA,3,"LM_0229",NA,2.07,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aAIO",0,"E88","SCHUNT_SCHUNT",18.85,19.06,98.9,"E7","E88"
"160","E88",NA,NA,2,"LM_0229",NA,1.23,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aBIO",0,"E88","SCHUNT_SCHUNT",18.88,19.06,99.06,"E7","E88"
"161","E88",NA,NA,5,"LM_0229",NA,3.34,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aCNT",0,"E88","SCHUNT_SCHUNT",19.88,19.06,104.3,"E7","E88"
"162","E88",NA,NA,0,"LM_0229",NA,1.4,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aDKR",0,"E88","SCHUNT_SCHUNT",19.06,19.06,100,"E7","E88"
"163","E88",-7.4325,-7.12,8,"LM_0229","neg",2.36,"parental strains",113.833333333333,1.65664455658793,-4.6475,"E88:E88",-3.1225,"E7aEMW",0,"E88","SCHUNT_SCHUNT",19.01,19.06,99.74,"E7","E88"
"164","E88",NA,NA,6,"LM_0229",NA,1.48,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aFHK",0,"E88","SCHUNT_SCHUNT",19.55,19.06,102.57,"E7","E88"
"165","E88",NA,NA,4,"LM_0229",NA,2.35,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aLUV",0,"E88","SCHUNT_SCHUNT",18.78,19.06,98.53,"E7","E88"
"166","E88",NA,NA,7,"LM_0229",NA,1.98,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aNTU",0,"E88","SCHUNT_SCHUNT",18.67,19.06,97.95,"E7","E88"
"167","E64",NA,NA,2,"LM_0231",NA,1.4,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aANS",0,"E88","PWD_SCHUNT",22.57,20.69,109.09,"E7","E88"
"168","E64",NA,NA,4,"LM_0231",NA,2.39,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aBCE",14644.3514644351,"E88","PWD_SCHUNT",21.45,20.69,103.67,"E7","E88"
"169","E64",NA,NA,3,"LM_0231",NA,2.09,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aBMW",0,"E88","PWD_SCHUNT",22,20.69,106.33,"E7","E88"
"170","E64",NA,NA,0,"LM_0231",NA,2.11,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aBOY",0,"E88","PWD_SCHUNT",20.69,20.69,100,"E7","E88"
"171","E64",-9.3825,-5.16,8,"LM_0231","pos",2.81,"inter subsp. hybrids",363.666666666667,0.887669072138454,-6.8575,"E88:E64",-4.3125,"E7aCEK",53380.7829181495,"E88","PWD_SCHUNT",20.43,20.69,98.74,"E7","E88"
"172","E64",NA,NA,1,"LM_0231",NA,1.13,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aCIK",0,"E88","PWD_SCHUNT",21.41,20.69,103.48,"E7","E88"
"173","E64",NA,NA,5,"LM_0231",NA,1.53,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aCOV",821895.424836601,"E88","PWD_SCHUNT",20.95,20.69,101.26,"E7","E88"
"174","E64",NA,NA,6,"LM_0231",NA,0.95,"inter subsp. hybrids",NA,7.9440078523568,NA,"E88:E64",NA,"E7aGJT",207894.736842105,"E88","PWD_SCHUNT",20.52,20.69,99.18,"E7","E88"
"175","E64",NA,NA,7,"LM_0231",NA,1.53,"inter subsp. hybrids",NA,6.18310779757597,NA,"E88:E64",NA,"E7aJRZ",656862.745098039,"E88","PWD_SCHUNT",20.66,20.69,99.86,"E7","E88"
"176","E88",NA,NA,2,"LM_0232",NA,1.21,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aAGP",0,"E88","BUSNA_STRA",27.32,26.37,103.6,"E7","E88"
"177","E88",NA,NA,4,"LM_0232",NA,1.92,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aBFJ",0,"E88","BUSNA_STRA",26.65,26.37,101.06,"E7","E88"
"178","E88",-10.55,-6.22,8,"LM_0232","pos",2.15,"inter subsp. hybrids",206.666666666667,1.77673412685823,-5.435,"E88:E88",-3.01,"E7aCUY",0,"E88","BUSNA_STRA",26.98,26.37,102.31,"E7","E88"
"179","E88",NA,NA,0,"LM_0232",NA,1.1,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aDIW",0,"E88","BUSNA_STRA",26.37,26.37,100,"E7","E88"
"180","E88",NA,NA,7,"LM_0232",NA,1.67,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aFGH",0,"E88","BUSNA_STRA",27.02,26.37,102.46,"E7","E88"
"181","E88",NA,NA,5,"LM_0232",NA,2.07,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aGHN",0,"E88","BUSNA_STRA",27.26,26.37,103.38,"E7","E88"
"182","E88",NA,NA,3,"LM_0232",NA,1.35,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aGIU",0,"E88","BUSNA_STRA",27,26.37,102.39,"E7","E88"
"183","E88",NA,NA,1,"LM_0232",NA,2.18,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aHNS",0,"E88","BUSNA_STRA",27.09,26.37,102.73,"E7","E88"
"184","E88",NA,NA,6,"LM_0232",NA,1.11,"inter subsp. hybrids",NA,NA,NA,"E88:E88",NA,"E7aNPW",0,"E88","BUSNA_STRA",26.56,26.37,100.72,"E7","E88"
"185","E88",NA,NA,2,"LM_0233",NA,1.21,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aDQW",0,"E88","STRA_STRA",30.76,29.77,103.33,"E7","E88"
"186","E88",NA,NA,0,"LM_0233",NA,2.85,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aDUZ",0,"E88","STRA_STRA",29.77,29.77,100,"E7","E88"
"187","E88",NA,NA,3,"LM_0233",NA,1.66,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aERY",0,"E88","STRA_STRA",30.71,29.77,103.16,"E7","E88"
"188","E88",NA,NA,1,"LM_0233",NA,1.92,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aFKW",0,"E88","STRA_STRA",29.75,29.77,99.93,"E7","E88"
"189","E88",NA,NA,5,"LM_0233",NA,2.16,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aFPQ",0,"E88","STRA_STRA",31.52,29.77,105.88,"E7","E88"
"190","E88",NA,NA,6,"LM_0233",NA,1.19,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aGSV",0,"E88","STRA_STRA",30.61,29.77,102.82,"E7","E88"
"191","E88",NA,NA,7,"LM_0233",NA,1.51,"parental strains",NA,5.05934066252274,NA,"E88:E88",NA,"E7aIMQ",0,"E88","STRA_STRA",31.24,29.77,104.94,"E7","E88"
"192","E88",NA,NA,4,"LM_0233",NA,3.05,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aIMR",0,"E88","STRA_STRA",31.02,29.77,104.2,"E7","E88"
"193","E88",-11.1725,-5.97,8,"LM_0233","neg",1.75,"parental strains",809.333333333333,4.86923097297706,-6.1225,"E88:E88",NA,"E7aSTU",0,"E88","STRA_STRA",29.96,29.77,100.64,"E7","E88"
"194","E64",NA,NA,5,"LM_0234",NA,2.29,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aAEJ",407205.240174673,"E88","STRA_STRA",32.15,32.76,98.14,"E7","E88"
"195","E64",NA,NA,6,"LM_0234",NA,1.35,"parental strains",NA,76.3038260324638,NA,"E88:E64",NA,"E7aAGX",783333.333333333,"E88","STRA_STRA",32.61,32.76,99.54,"E7","E88"
"196","E64",NA,NA,7,"LM_0234",NA,1.71,"parental strains",NA,6.31105921837141,NA,"E88:E64",NA,"E7aAHU",396198.830409357,"E88","STRA_STRA",33.04,32.76,100.85,"E7","E88"
"197","E64",NA,-7.89,8,"LM_0234","pos",1.63,"parental strains",1090.33333333333,5.98219397547729,NA,"E88:E64",NA,"E7aBLW",41411.0429447853,"E88","STRA_STRA",32.64,32.76,99.63,"E7","E88"
"198","E64",NA,NA,4,"LM_0234",NA,2.3,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aCET",1086.95652173913,"E88","STRA_STRA",33.03,32.76,100.82,"E7","E88"
"199","E64",NA,NA,3,"LM_0234",NA,1.46,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aEKV",0,"E88","STRA_STRA",33,32.76,100.73,"E7","E88"
"200","E64",NA,NA,1,"LM_0234",NA,1.93,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aGHS",0,"E88","STRA_STRA",32.07,32.76,97.89,"E7","E88"
"201","E64",NA,NA,2,"LM_0234",NA,1.26,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aJMZ",0,"E88","STRA_STRA",32.68,32.76,99.76,"E7","E88"
"202","E64",NA,NA,0,"LM_0234",NA,1.36,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aJPX",0,"E88","STRA_STRA",32.76,32.76,100,"E7","E88"
"203","E64",NA,NA,7,"LM_0235",NA,1.16,"outbred hybrids",NA,8.68133585129729,NA,"E88:E64",NA,"E7aAQY",178879.310344828,"E88","STRA_SCHUNT",19.43,19.58,99.23,"E7","E88"
"204","E64",NA,NA,6,"LM_0235",NA,0.95,"outbred hybrids",NA,29.159559843424,NA,"E88:E64",NA,"E7aCEO",52631.5789473684,"E88","STRA_SCHUNT",19.5,19.58,99.59,"E7","E88"
"205","E64",NA,NA,4,"LM_0235",NA,1.9,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aDHL",0,"E88","STRA_SCHUNT",19.17,19.58,97.91,"E7","E88"
"206","E64",-8.6925,-5.84,8,"LM_0235","pos",0.95,"outbred hybrids",528.333333333333,2.12034089731856,-5.5975,"E88:E64",-3.0275,"E7aDTU",5263.15789473684,"E88","STRA_SCHUNT",19.51,19.58,99.64,"E7","E88"
"207","E64",NA,NA,5,"LM_0235",NA,1.49,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aEFL",253355.704697987,"E88","STRA_SCHUNT",19.81,19.58,101.17,"E7","E88"
"208","E64",NA,NA,2,"LM_0235",NA,1.11,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aEHM",0,"E88","STRA_SCHUNT",19.35,19.58,98.83,"E7","E88"
"209","E64",NA,NA,0,"LM_0235",NA,0.99,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aFJS",0,"E88","STRA_SCHUNT",19.58,19.58,100,"E7","E88"
"210","E64",NA,NA,1,"LM_0235",NA,0.86,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aHKM",0,"E88","STRA_SCHUNT",19.41,19.58,99.13,"E7","E88"
"211","E64",NA,NA,3,"LM_0235",NA,1.12,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aQUZ",0,"E88","STRA_SCHUNT",19.13,19.58,97.7,"E7","E88"
"212","E64",NA,NA,3,"LM_0236",NA,2.11,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aADG",0,"E88","STRA_STRA",27.45,26.25,104.57,"E7","E88"
"213","E64",NA,NA,0,"LM_0236",NA,1.21,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aAGN",0,"E88","STRA_STRA",26.25,26.25,100,"E7","E88"
"214","E64",NA,NA,4,"LM_0236",NA,2.32,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aBHI",0,"E88","STRA_STRA",26.94,26.25,102.63,"E7","E88"
"215","E64",NA,NA,5,"LM_0236",NA,1.96,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aEQV",179846.93877551,"E88","STRA_STRA",25.72,26.25,97.98,"E7","E88"
"216","E64",NA,-6.02,8,"LM_0236","pos",2.33,"parental strains",1168.66666666667,0.939915392134487,NA,"E88:E64",NA,"E7aFRU",33261.8025751073,"E88","STRA_STRA",27.05,26.25,103.05,"E7","E88"
"217","E64",NA,NA,6,"LM_0236",NA,1.4,"parental strains",NA,26.5545715029539,NA,"E88:E64",NA,"E7aHKN",566071.428571429,"E88","STRA_STRA",27.05,26.25,103.05,"E7","E88"
"218","E64",NA,NA,7,"LM_0236",NA,1.42,"parental strains",NA,18.4540538108344,NA,"E88:E64",NA,"E7aNRU",424295.774647887,"E88","STRA_STRA",28.03,26.25,106.78,"E7","E88"
"219","E64",NA,NA,2,"LM_0236",NA,1.15,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aPRV",0,"E88","STRA_STRA",26.92,26.25,102.55,"E7","E88"
"220","E64",NA,NA,1,"LM_0236",NA,1.7,"parental strains",NA,NA,NA,"E88:E64",NA,"E7aTXZ",0,"E88","STRA_STRA",23.35,26.25,88.95,"E7","E88"
"221","E64",NA,NA,6,"LM_0238",NA,0.47,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aEWY",53191.4893617021,"E88","PWD_BUSNA",20.47,21.39,95.7,"E7","E88"
"222","E64",NA,NA,1,"LM_0238",NA,1.58,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aGIQ",0,"E88","PWD_BUSNA",21.56,21.39,100.79,"E7","E88"
"223","E64",NA,NA,2,"LM_0238",NA,1.36,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aGMW",0,"E88","PWD_BUSNA",22.14,21.39,103.51,"E7","E88"
"224","E64",NA,NA,0,"LM_0238",NA,3.28,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aILM",0,"E88","PWD_BUSNA",27.39,27.39,100,"E7","E88"
"225","E64",NA,NA,4,"LM_0238",NA,1.32,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aINU",0,"E88","PWD_BUSNA",21.13,21.39,98.78,"E7","E88"
"226","E64",NA,NA,5,"LM_0238",NA,0.82,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aKST",533536.585365854,"E88","PWD_BUSNA",20.84,21.39,97.43,"E7","E88"
"227","E64",NA,NA,3,"LM_0238",NA,1.46,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aKUZ",0,"E88","PWD_BUSNA",21.42,21.39,100.14,"E7","E88"
"228","E64",-10.3425,-4.42,8,"LM_0238","pos",1.38,"outbred hybrids",608.5,3.47981538698723,-6.3925,"E88:E64",-4.3375,"E7aLYZ",157608.695652174,"E88","PWD_BUSNA",20.41,21.39,95.42,"E7","E88"
"229","E64",NA,NA,7,"LM_0238",NA,0.79,"outbred hybrids",NA,9.79093082430209,NA,"E88:E64",NA,"E7aNOY",253164.556962025,"E88","PWD_BUSNA",20.09,21.39,93.92,"E7","E88"
"230","E88",NA,NA,3,"LM_0239",NA,1.99,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aEFQ",0,"E88","SCHUNT_SCHUNT",19.33,19.41,99.59,"E7","E88"
"231","E88",NA,NA,0,"LM_0239",NA,1.94,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aEIQ",0,"E88","SCHUNT_SCHUNT",19.41,19.41,100,"E7","E88"
"232","E88",NA,NA,1,"LM_0239",NA,1.82,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aGVW",0,"E88","SCHUNT_SCHUNT",19.84,19.41,102.22,"E7","E88"
"233","E88",NA,NA,2,"LM_0239",NA,1.14,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aHPY",0,"E88","SCHUNT_SCHUNT",19.56,19.41,100.77,"E7","E88"
"234","E88",NA,NA,6,"LM_0239",NA,3.15,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aIQW",0,"E88","SCHUNT_SCHUNT",18.8,19.41,96.86,"E7","E88"
"235","E88",NA,-6.76,8,"LM_0239","pos",2.87,"parental strains",237.833333333333,5.68730891054033,NA,"E88:E88",NA,"E7aJMR",0,"E88","SCHUNT_SCHUNT",18.47,19.41,95.16,"E7","E88"
"236","E88",NA,NA,4,"LM_0239",NA,3.74,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aKMO",0,"E88","SCHUNT_SCHUNT",19.28,19.41,99.33,"E7","E88"
"237","E88",NA,NA,7,"LM_0239",NA,1.84,"parental strains",NA,3.3566626029832,NA,"E88:E88",NA,"E7aLOT",0,"E88","SCHUNT_SCHUNT",19.04,19.41,98.09,"E7","E88"
"238","E88",NA,NA,5,"LM_0239",NA,2.81,"parental strains",NA,NA,NA,"E88:E88",NA,"E7aMOX",0,"E88","SCHUNT_SCHUNT",19.6,19.41,100.98,"E7","E88"
"239","E64",NA,NA,2,"LM_0240",NA,1.56,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aACZ",0,"E88","SCHUNT_PWD",21.09,20.45,103.13,"E7","E88"
"240","E64",NA,NA,7,"LM_0240",NA,1.04,"inter subsp. hybrids",NA,7.77838821324282,NA,"E88:E64",NA,"E7aAVW",64903.8461538461,"E88","SCHUNT_PWD",22.16,20.45,108.36,"E7","E88"
"241","E64",NA,NA,1,"LM_0240",NA,2.3,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aBDI",0,"E88","SCHUNT_PWD",20.89,20.45,102.15,"E7","E88"
"242","E64",-8.47,-6.65,8,"LM_0240","pos",1.39,"inter subsp. hybrids",424,5.61738807203253,-5.66,"E88:E64",-2.455,"E7aCIW",1798.56115107914,"E88","SCHUNT_PWD",20.45,20.45,100,"E7","E88"
"243","E64",NA,NA,3,"LM_0240",NA,1.6,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aEKX",0,"E88","SCHUNT_PWD",21.24,20.45,103.86,"E7","E88"
"244","E64",NA,NA,0,"LM_0240",NA,1.03,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aHKW",0,"E88","SCHUNT_PWD",20.45,20.45,100,"E7","E88"
"245","E64",NA,NA,6,"LM_0240",NA,1.89,"inter subsp. hybrids",NA,18.4540538108344,NA,"E88:E64",NA,"E7aJKX",167989.417989418,"E88","SCHUNT_PWD",21.6,20.45,105.62,"E7","E88"
"246","E64",NA,NA,4,"LM_0240",NA,2.41,"inter subsp. hybrids",NA,4.95382855404714,NA,"E88:E64",NA,"E7aKMQ",0,"E88","SCHUNT_PWD",21.14,20.45,103.37,"E7","E88"
"247","E64",NA,NA,5,"LM_0240",NA,1.53,"inter subsp. hybrids",NA,NA,NA,"E88:E64",NA,"E7aMQW",40849.6732026144,"E88","SCHUNT_PWD",21.48,20.45,105.04,"E7","E88"
"248","E88",NA,NA,6,"LM_0247",NA,2.61,"outbred hybrids",NA,4.72077067076603,NA,"E88:E88",NA,"E7aABO",0,"E88","STRA_SCHUNT",26.18,27.13,96.5,"E7","E88"
"249","E88",NA,NA,3,"LM_0247",NA,2.77,"outbred hybrids",NA,NA,NA,"E88:E88",NA,"E7aBKM",0,"E88","STRA_SCHUNT",26.04,27.13,95.98,"E7","E88"
"250","E88",NA,NA,0,"LM_0247",NA,3.22,"outbred hybrids",NA,NA,NA,"E88:E88",NA,"E7aBVZ",0,"E88","STRA_SCHUNT",27.13,27.13,100,"E7","E88"
"251","E88",NA,NA,5,"LM_0247",NA,2.86,"outbred hybrids",NA,NA,NA,"E88:E88",NA,"E7aCGT",0,"E88","STRA_SCHUNT",26.78,27.13,98.71,"E7","E88"
"252","E88",NA,NA,2,"LM_0247",NA,1.73,"outbred hybrids",NA,NA,NA,"E88:E88",NA,"E7aFHS",0,"E88","STRA_SCHUNT",26.45,27.13,97.49,"E7","E88"
"253","E88",NA,NA,7,"LM_0247",NA,2.88,"outbred hybrids",NA,0,NA,"E88:E88",NA,"E7aFPV",0,"E88","STRA_SCHUNT",26.75,27.13,98.6,"E7","E88"
"254","E88",NA,NA,4,"LM_0247",NA,3.97,"outbred hybrids",NA,NA,NA,"E88:E88",NA,"E7aGOV",3148.61460957179,"E88","STRA_SCHUNT",26.54,27.13,97.83,"E7","E88"
"255","E88",NA,NA,1,"LM_0247",NA,3.74,"outbred hybrids",NA,NA,NA,"E88:E88",NA,"E7aHOY",0,"E88","STRA_SCHUNT",26.69,27.13,98.38,"E7","E88"
"256","E88",-11.1375,-4.68,8,"LM_0247","pos",7.14,"outbred hybrids",148.5,5.74965573181054,-6.0825,"E88:E88",-3.9525,"E7aJMX",350.140056022409,"E88","STRA_SCHUNT",25.93,27.13,95.58,"E7","E88"
"257","E64",NA,NA,1,"LM_0248",NA,0.92,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aAFN",0,"E88","STRA_SCHUNT",23.14,23.46,98.64,"E7","E88"
"258","E64",NA,NA,0,"LM_0248",NA,0.67,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aAFY",0,"E88","STRA_SCHUNT",23.46,23.46,100,"E7","E88"
"259","E64",NA,NA,5,"LM_0248",NA,2.06,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aAMX",296116.504854369,"E88","STRA_SCHUNT",22.23,23.46,94.76,"E7","E88"
"260","E64",NA,-6.92,8,"LM_0248","pos",2.5,"outbred hybrids",307.333333333333,4.43651968737429,NA,"E88:E64",NA,"E7aAPS",4000,"E88","STRA_SCHUNT",20.58,23.46,87.72,"E7","E88"
"261","E64",NA,NA,4,"LM_0248",NA,2.33,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aAQW",5364.80686695279,"E88","STRA_SCHUNT",21.73,23.46,92.63,"E7","E88"
"262","E64",NA,NA,2,"LM_0248",NA,1,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aFJR",0,"E88","STRA_SCHUNT",22.28,23.46,94.97,"E7","E88"
"263","E64",NA,NA,6,"LM_0248",NA,1.74,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aFQX",731321.83908046,"E88","STRA_SCHUNT",20.95,23.46,89.3,"E7","E88"
"264","E64",NA,NA,7,"LM_0248",NA,1.32,"outbred hybrids",NA,5.45343908205199,NA,"E88:E64",NA,"E7aKOX",123106.060606061,"E88","STRA_SCHUNT",21.72,23.46,92.58,"E7","E88"
"265","E64",NA,NA,3,"LM_0248",NA,1.57,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aQTX",0,"E88","STRA_SCHUNT",22.06,23.46,94.03,"E7","E88"
"266","E64",NA,NA,6,"LM_0249",NA,1.3,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aANV",284615.384615385,"E88","SCHUNT_STRA",23.77,26.1,91.07,"E7","E88"
"267","E64",NA,NA,0,"LM_0249",NA,0.74,"outbred hybrids",NA,NA,NA,"E88:E64",NA,"E7aASZ",0,"E88","SCHUNT_STRA",26.1,26.1,100,"E7","E88"
