"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","HybridStatus","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","Strain","weight","weight_dpi0","Wchange","EXP","currentInf"
"25","UNI",NA,NA,4,"LM_0343",NA,2.77,NA,NA,0,NA,"E139:UNI",NA,"P3aDTY",0,"E139","SWISS",56.2,59.8,93.9799331103679,"P3","E139"
"26","E88",NA,NA,7,"LM_0347",NA,3.75,NA,NA,26.2920556868341,NA,"E88:E88",NA,"P3aDUN",364000,"E88","SWISS",65.5,71.5,91.6083916083916,"P3","E88"
"27","E88",NA,NA,7,"LM_0338",NA,2.61,NA,NA,0,NA,"E64:E88",NA,"P3aDWO",174329.501915709,"E64","SWISS",46.4,51.3,90.448343079922,"P3","E64"
"28","UNI",NA,NA,8,"LM_0346",NA,3.7,NA,NA,NA,NA,"UNI:UNI",NA,"P3aDXD",0,"UNI","SWISS",52.4,53.9,97.2170686456401,"P3","UNI"
"29","E88",NA,NA,5,"LM_0338",NA,1.94,NA,NA,71.4308186448006,NA,"E64:E88",NA,"P3aEEZ",275773.195876289,"E64","SWISS",46.4,51.3,90.448343079922,"P3","E64"
"30","E64",NA,NA,11,"LM_0333",NA,1.45,NA,NA,NA,NA,"Eflab:E64",NA,"P3aENK",0,"Eflab","SWISS",43.2,52.7,81.9734345351044,"P3","Eflab"
"31","UNI",NA,NA,7,"LM_0337",NA,3.44,NA,NA,NA,NA,"E88:UNI",NA,"P3aETL",75581.3953488372,"E88","SWISS",44.7,44.7,100,"P3","E88"
"32","UNI",NA,NA,7,"LM_0346",NA,3.12,NA,NA,0,NA,"UNI:UNI",NA,"P3aFJS",0,"UNI","SWISS",52.7,53.9,97.7736549165121,"P3","UNI"
"33","UNI",NA,NA,9,"LM_0335",NA,2.8,NA,NA,NA,NA,"E88:UNI",NA,"P3aFLM",119642.857142857,"E88","SWISS",43.6,49.4,88.2591093117409,"P3","E88"
"34","E88",NA,NA,11,"LM_0332",NA,0.49,NA,NA,NA,NA,"Eflab:E88",NA,"P3aFOK",20408.1632653061,"Eflab","SWISS",45.9,61.2,75,"P3","Eflab"
"35","E64",NA,NA,3,"LM_0339",NA,2.62,NA,NA,5.92617647133014,NA,"E64:E64",NA,"P3aHIX",0,"E64","SWISS",48.5,49.6,97.7822580645161,"P3","E64"
"36","E88",NA,NA,9,"LM_0344",NA,1.5,NA,NA,NA,NA,"UNI:E88",NA,"P3aIZU",0,"UNI","SWISS",50,51.4,97.2762645914397,"P3","UNI"
"37","E64",NA,NA,6,"LM_0345",NA,2.58,NA,NA,0,NA,"UNI:E64",NA,"P3aJGV",0,"UNI","SWISS",56.7,60.7,93.4102141680395,"P3","UNI"
"38","UNI",NA,NA,11,"LM_0334",NA,0.85,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aJIH",0,"Eflab","SWISS",39.4,50.7,77.7120315581854,"P3","Eflab"
"39","UNI",NA,NA,7,"LM_0334",NA,2.07,NA,NA,1.13376266139588,NA,"Eflab:UNI",NA,"P3aJIX",41062.8019323672,"Eflab","SWISS",47.4,50.7,93.491124260355,"P3","Eflab"
"40","E88",NA,NA,5,"LM_0341",NA,1.95,NA,NA,279.378503473262,NA,"E139:E88",NA,"P3aJJH",194871.794871795,"E139","SWISS",51.2,59.1,86.6328257191202,"P3","E139"
"41","E64",NA,NA,10,"LM_0333",NA,0.6,NA,NA,NA,NA,"Eflab:E64",NA,"P3aJOI",33333.3333333333,"Eflab","SWISS",42.8,52.7,81.2144212523719,"P3","Eflab"
"42","UNI",NA,NA,10,"LM_0334",NA,0.57,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aJVR",17543.8596491228,"Eflab","SWISS",40.2,50.7,79.2899408284024,"P3","Eflab"
"43","UNI",NA,NA,9,"LM_0334",NA,1.06,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aKEG",117924.528301887,"Eflab","SWISS",42.3,50.7,83.4319526627219,"P3","Eflab"
"44","UNI",NA,NA,3,"LM_0343",NA,1.06,NA,NA,9.62578621607662,NA,"E139:UNI",NA,"P3aKPZ",0,"E139","SWISS",57.3,59.8,95.819397993311,"P3","E139"
"45","E64",NA,NA,7,"LM_0342",NA,2.2,NA,NA,2.1253529448919,NA,"E139:E64",NA,"P3aKUB",75000,"E139","SWISS",53.4,57,93.6842105263158,"P3","E139"
"46","E88",NA,NA,7,"LM_0344",NA,1.35,NA,NA,NA,NA,"UNI:E88",NA,"P3aKXD",0,"UNI","SWISS",50.1,51.4,97.4708171206226,"P3","UNI"
"47","E88",NA,NA,7,"LM_0341",NA,2.86,NA,NA,6.93375628339634,NA,"E139:E88",NA,"P3aLKM",298951.048951049,"E139","SWISS",50.4,59.1,85.2791878172589,"P3","E139"
"48","UNI",NA,NA,7,"LM_0340",NA,1.82,NA,NA,27.682622433774,NA,"E64:UNI",NA,"P3aMAO",516483.516483516,"E64","SWISS",50.5,54.5,92.6605504587156,"P3","E64"
"49","E88",NA,NA,11,"LM_0347",NA,7.28,NA,NA,NA,NA,"E88:E88",NA,"P3aMCE",9615.38461538462,"E88","SWISS",63.2,71.5,88.3916083916084,"P3","E88"
"50","E64",NA,NA,5,"LM_0342",NA,3.7,NA,NA,4.29589113725598,NA,"E139:E64",NA,"P3aMNQ",212162.162162162,"E139","SWISS",53.1,57,93.1578947368421,"P3","E139"
"51","E64",NA,NA,4,"LM_0342",NA,2.5,NA,NA,0,NA,"E139:E64",NA,"P3aMVU",2000,"E139","SWISS",55.6,57,97.5438596491228,"P3","E139"
"52","E64",NA,NA,5,"LM_0339",NA,1.74,NA,NA,358.082663728646,NA,"E64:E64",NA,"P3aNLI",186781.609195402,"E64","SWISS",44.2,49.6,89.1129032258064,"P3","E64"
"53","E64",NA,NA,5,"LM_0345",NA,4.04,NA,NA,0,NA,"UNI:E64",NA,"P3aNMF",0,"UNI","SWISS",57.3,60.7,94.3986820428336,"P3","UNI"
"54","E88",NA,NA,6,"LM_0341",NA,0.52,NA,NA,0,NA,"E139:E88",NA,"P3aNYG",1038461.53846154,"E139","SWISS",50.3,59.1,85.1099830795262,"P3","E139"
"55","E88",NA,NA,3,"LM_0341",NA,0.85,NA,NA,0,NA,"E139:E88",NA,"P3aOML",0,"E139","SWISS",54,59.1,91.3705583756345,"P3","E139"
"56","E88",NA,NA,4,"LM_0338",NA,2.17,NA,NA,55.7513039998587,NA,"E64:E88",NA,"P3aOMQ",0,"E64","SWISS",49.6,51.3,96.6861598440546,"P3","E64"
"57","E88",NA,NA,10,"LM_0347",NA,5.52,NA,NA,NA,NA,"E88:E88",NA,"P3aOOZ",48913.0434782609,"E88","SWISS",63.9,71.5,89.3706293706294,"P3","E88"
"58","E88",NA,NA,9,"LM_0347",NA,4.15,NA,NA,NA,NA,"E88:E88",NA,"P3aOSC",327710.843373494,"E88","SWISS",65.2,71.5,91.1888111888112,"P3","E88"
"59","E64",NA,NA,8,"LM_0345",NA,2.72,NA,NA,NA,NA,"UNI:E64",NA,"P3aPEE",0,"UNI","SWISS",57.6,60.7,94.8929159802306,"P3","UNI"
"60","E64",NA,NA,9,"LM_0333",NA,0.85,NA,NA,NA,NA,"Eflab:E64",NA,"P3aPFK",76470.5882352941,"Eflab","SWISS",45.8,52.7,86.9070208728653,"P3","Eflab"
"61","E64",NA,NA,7,"LM_0333",NA,3.46,NA,NA,0,NA,"Eflab:E64",NA,"P3aPLG",56358.3815028902,"Eflab","SWISS",51,52.7,96.7741935483871,"P3","Eflab"
"62","E64",NA,NA,4,"LM_0339",NA,3.03,NA,NA,418.105036595285,NA,"E64:E64",NA,"P3aQBP",0,"E64","SWISS",47,49.6,94.758064516129,"P3","E64"
"63","UNI",NA,NA,10,"LM_0337",NA,1.81,NA,NA,NA,NA,"E88:UNI",NA,"P3aQEC",11049.7237569061,"E88","SWISS",39.3,44.7,87.9194630872483,"P3","E88"
"64","E88",NA,NA,8,"LM_0344",NA,1.14,NA,NA,NA,NA,"UNI:E88",NA,"P3aQEO",0,"UNI","SWISS",50,51.4,97.2762645914397,"P3","UNI"
"65","UNI",NA,NA,6,"LM_0340",NA,1.14,NA,NA,0,NA,"E64:UNI",NA,"P3aREI",258771.929824561,"E64","SWISS",49,54.5,89.908256880734,"P3","E64"
"66","E64",NA,NA,7,"LM_0345",NA,4.4,NA,NA,0,NA,"UNI:E64",NA,"P3aRJA",0,"UNI","SWISS",56.7,60.7,93.4102141680395,"P3","UNI"
"67","E88",NA,NA,8,"LM_0332",NA,0.76,NA,NA,NA,NA,"Eflab:E88",NA,"P3aRRF",361842.105263158,"Eflab","SWISS",53.8,61.2,87.9084967320261,"P3","Eflab"
"68","UNI",NA,NA,9,"LM_0346",NA,3.81,NA,NA,NA,NA,"UNI:UNI",NA,"P3aSBV",0,"UNI","SWISS",52.5,53.9,97.4025974025974,"P3","UNI"
"69","E64",NA,NA,11,"LM_0336",NA,2.91,NA,NA,NA,NA,"E88:E64",NA,"P3aSMX",6872.85223367698,"E88","SWISS",44.6,51.9,85.9344894026975,"P3","E88"
"70","E64",NA,NA,6,"LM_0339",NA,1.17,NA,NA,321.44271867591,NA,"E64:E64",NA,"P3aSQC",1623931.62393162,"E64","SWISS",44.2,49.6,89.1129032258064,"P3","E64"
"71","UNI",NA,NA,5,"LM_0340",NA,1.45,NA,NA,80.4682673343534,NA,"E64:UNI",NA,"P3aSRE",637931.034482759,"E64","SWISS",48.8,54.5,89.5412844036697,"P3","E64"
"72","E64",NA,NA,10,"LM_0336",NA,0.81,NA,NA,NA,NA,"E88:E64",NA,"P3aSVD",67901.2345679012,"E88","SWISS",43.6,51.9,84.0077071290944,"P3","E88"
"73","E88",NA,NA,4,"LM_0341",NA,1.68,NA,NA,56.5514684871042,NA,"E139:E88",NA,"P3aSVZ",0,"E139","SWISS",53.7,59.1,90.8629441624366,"P3","E139"
"74","UNI",NA,NA,5,"LM_0346",NA,4.04,NA,NA,0,NA,"UNI:UNI",NA,"P3aSWK",0,"UNI","SWISS",52.3,53.9,97.0315398886828,"P3","UNI"
"75","E88",NA,NA,6,"LM_0344",NA,1.4,NA,NA,0,NA,"UNI:E88",NA,"P3aTOW",0,"UNI","SWISS",50.2,51.4,97.6653696498055,"P3","UNI"
"76","E88",NA,NA,7,"LM_0332",NA,1.46,NA,NA,NA,NA,"Eflab:E88",NA,"P3aTQH",0,"Eflab","SWISS",57.4,61.2,93.7908496732026,"P3","Eflab"
"77","UNI",NA,NA,8,"LM_0337",NA,2.76,NA,NA,NA,NA,"E88:UNI",NA,"P3aTQK",603260.869565217,"E88","SWISS",42.3,44.7,94.6308724832215,"P3","E88"
"78","UNI",NA,NA,7,"LM_0335",NA,1.9,NA,NA,NA,NA,"E88:UNI",NA,"P3aTSI",236842.105263158,"E88","SWISS",47,49.4,95.1417004048583,"P3","E88"
"79","UNI",NA,NA,6,"LM_0343",NA,0.86,NA,NA,151.400530521322,NA,"E139:UNI",NA,"P3aTSY",1505813.95348837,"E139","SWISS",51.6,59.8,86.2876254180602,"P3","E139"
"80","UNI",NA,NA,4,"LM_0340",NA,2.56,NA,NA,9.40265410976475,NA,"E64:UNI",NA,"P3aTVC",0,"E64","SWISS",50.2,54.5,92.1100917431193,"P3","E64"
"81","UNI",NA,NA,8,"LM_0335",NA,2.37,NA,NA,NA,NA,"E88:UNI",NA,"P3aUAS",179324.894514768,"E88","SWISS",45.1,49.4,91.2955465587045,"P3","E88"
"82","UNI",NA,NA,8,"LM_0334",NA,0.95,NA,NA,NA,NA,"Eflab:UNI",NA,"P3aURW",126315.789473684,"Eflab","SWISS",44.6,50.7,87.9684418145957,"P3","Eflab"
"83","E88",NA,NA,3,"LM_0338",NA,2.4,NA,NA,30.5064882715071,NA,"E64:E88",NA,"P3aUWS",0,"E64","SWISS",50.4,51.3,98.2456140350877,"P3","E64"
"84","E64",NA,NA,8,"LM_0336",NA,2.75,NA,NA,NA,NA,"E88:E64",NA,"P3aUXG",249090.909090909,"E88","SWISS",47.9,51.9,92.2928709055877,"P3","E88"
"85","UNI",NA,NA,3,"LM_0340",NA,1.16,NA,NA,0,NA,"E64:UNI",NA,"P3aUZT",4310.34482758621,"E64","SWISS",52.7,54.5,96.697247706422,"P3","E64"
"86","UNI",NA,NA,9,"LM_0337",NA,1.4,NA,NA,NA,NA,"E88:UNI",NA,"P3aVKX",582142.857142857,"E88","SWISS",39.7,44.7,88.8143176733781,"P3","E88"
"87","UNI",NA,NA,5,"LM_0343",NA,1.8,NA,NA,32.2562706625771,NA,"E139:UNI",NA,"P3aWMM",227777.777777778,"E139","SWISS",53.3,59.8,89.1304347826087,"P3","E139"
"88","UNI",NA,NA,10,"LM_0335",NA,1.54,NA,NA,NA,NA,"E88:UNI",NA,"P3aWSE",51948.0519480519,"E88","SWISS",42.5,49.4,86.0323886639676,"P3","E88"
