labels,EH_ID,dpi,weight,weightloss,relative_weight,feces_weight,,weight_dpi0
EGO,LM0148,9,18,NA,102.272727272727,1.25,,17.6
FJN,LM0149,9,21.5,NA,103.864734299517,1.32,,20.7
ACO,LM0150,9,18.6,NA,96.3730569948187,0.78,,19.3
GMX,LM0151,9,31.8,NA,107.796610169492,1.12,,29.5
GUY,LM0152,9,18.9,NA,104.419889502762,1.05,,18.1
DJX,LM0153,9,13.7,NA,107.874015748032,0.43,,12.7
HIX,LM0154,9,14.4,NA,96,0.84,,15
EIX,LM0155,9,NA,NA,NA,NA,,NA
TWX,LM0156,9,17.8,NA,101.136363636364,0.97,,17.6
JQT,LM0157,9,25,NA,96.5250965250965,0.76,,25.9
MTU,LM0158,9,32.7,NA,108.637873754153,1.24,,30.1
KRU,LM0159,9,15.7,NA,99.3670886075949,1.2,,15.8
EJU,LM0160,9,NA,NA,NA,NA,,12.4
LST,LM0161,9,37.9,NA,103.551912568306,1.26,,36.6
ILY,LM0162,9,17.2,NA,99.4219653179191,1.47,,17.3
DNW,LM0163,9,17.8,NA,102.890173410405,0.69,,17.3
ELQ,LM0164,9,22.1,NA,92.8571428571429,0.86,,23.8
BIL,LM0165,9,20.8,NA,102.463054187192,1.07,,20.3
BHS,LM0166,9,32.2,NA,106.622516556291,0.8,,30.2
IQZ,LM0167,9,14.1,NA,104.444444444444,0.76,,13.5
DHJ,LM0168,9,22.4,NA,82.962962962963,0.27,,27
DEK,LM0169,9,14.6,NA,99.3197278911565,0.86,,14.7
DRW,LM0170,9,20.9,NA,93.3035714285714,0.42,,22.4
EWY,LM0171,9,14,NA,100,0.95,,14
FLZ,LM0172,9,18.3,NA,96.3157894736842,1.95,,19
NPS,LM0173,9,15.4,NA,100.653594771242,1.41,,15.3
JKZ,LM0174,9,18.3,NA,108.284023668639,1.58,,16.9
ILS,LM0175,9,26.9,NA,101.509433962264,1.16,,26.5
CJX,LM0176,9,21.6,NA,96,0.74,,22.5
FHZ,LM0177,9,15.1,NA,102.027027027027,0.84,,14.8
DTU,LM0178,9,18.6,NA,102.762430939227,1.21,,18.1
EXY,LM0146,10,18.6,NA,93.9393939393939,1.04,,19.8
PTU,LM0147,10,16.9,NA,108.333333333333,1,,15.6
DGT,LM0148,10,17.9,NA,101.704545454545,1.6,,17.6
CGN,LM0149,10,22.2,NA,107.246376811594,1.44,,20.7
EGW,LM0150,10,19.1,NA,98.9637305699482,1.15,,19.3
GSY,LM0151,10,30.9,NA,104.745762711864,0.73,,29.5
PVW,LM0152,10,19.3,NA,106.629834254144,1.48,,18.1
HKT,LM0153,10,13.2,NA,103.937007874016,0.48,,12.7
BEQ,LM0154,10,14.3,NA,95.3333333333334,0.7,,15
ACD,LM0155,10,NA,NA,NA,NA,,NA
JLV,LM0156,10,18.3,NA,103.977272727273,0.82,,17.6
CEJ,LM0157,10,24.2,NA,93.4362934362934,0.39,,25.9
GKX,LM0158,10,31.5,NA,104.651162790698,0.63,,30.1
KRT,LM0159,10,15.4,NA,97.4683544303798,0.9,,15.8
ORU,LM0160,10,NA,NA,NA,NA,,12.4
BUX,LM0161,10,36.5,NA,99.7267759562842,1.49,,36.6
DEU,LM0162,10,17.3,NA,100,1.73,,17.3
EOR,LM0163,10,17.4,NA,100.578034682081,1.12,,17.3
BLQ,LM0164,10,22.3,NA,93.6974789915966,0.89,,23.8
HLX,LM0165,10,20.6,NA,101.477832512315,1.42,,20.3
EMU,LM0166,10,32.1,NA,106.291390728477,0.91,,30.2
EMT,LM0167,10,14,NA,103.703703703704,0.63,,13.5
GKP,LM0168,10,19.3,NA,71.4814814814815,NA,,27
BMP,LM0169,10,14.7,NA,100,0.61,,14.7
AIW,LM0170,10,21.3,NA,95.0892857142857,0.77,,22.4
AJT,LM0171,10,14.3,NA,102.142857142857,0.84,,14
IJP,LM0172,10,18.7,NA,98.4210526315789,3.01,,19
UVY,LM0173,10,15.7,NA,102.614379084967,1.29,,15.3
EHP,LM0174,10,18.4,NA,108.87573964497,1.01,,16.9
LNP,LM0175,10,27.4,NA,103.396226415094,1.41,,26.5
BKZ,LM0176,10,21.3,NA,94.6666666666667,1.05,,22.5
BMO,LM0177,10,15.2,NA,102.702702702703,0.67,,14.8
DHM,LM0178,10,18.5,NA,102.209944751381,1.2,,18.1
EIT,LM0146,11,18.5,NA,93.4343434343434,0.85,,19.8
DGQ,LM0147,11,14.8,NA,94.8717948717949,0.37,,15.6
