labels,experiment,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,dilution
P3aOMQ,P3,0,0,0,0,0,0,1
P3aOOZ,P3,8,13,13,20,13.5,48913.0434782609,1
P3aOSC,P3,78,63,64,67,68,327710.843373494,1
P3aOTL,P3,NA,NA,NA,NA,NA,NA,NA
P3aPEE,P3,0,0,0,0,0,0,1
P3aPFK,P3,3,2,3,5,3.25,76470.5882352941,1
P3aPJX,P3,NA,NA,NA,NA,NA,NA,NA
P3aPLG,P3,7,7,11,14,9.75,56358.3815028902,1
P3aPUD,P3,NA,NA,NA,NA,NA,NA,NA
P3aQAG,P3,NA,NA,NA,NA,NA,NA,NA
P3aQBP,P3,0,0,0,0,0,0,1
P3aQDW,P3,NA,NA,NA,NA,NA,NA,NA
P3aQEC,P3,1,0,2,1,1,11049.7237569061,1
P3aQEO,P3,0,0,0,0,0,0,1
P3aQGP,P3,NA,NA,NA,NA,NA,NA,NA
P3aQJU,P3,NA,NA,NA,NA,NA,NA,NA
P3aREI,P3,16,15,14,14,14.75,258771.929824561,1
P3aREY,P3,NA,NA,NA,NA,NA,NA,NA
P3aRIY,P3,NA,NA,NA,NA,NA,NA,NA
P3aRJA,P3,0,0,0,0,0,0,1
P3aRPG,P3,NA,NA,NA,NA,NA,NA,NA
P3aRRF,P3,14,15,12,14,13.75,361842.105263158,1
P3aRVL,P3,NA,NA,NA,NA,NA,NA,NA
P3aRWR,P3,NA,NA,NA,NA,NA,NA,NA
P3aRWU,P3,NA,NA,NA,NA,NA,NA,NA
P3aRZE,P3,NA,NA,NA,NA,NA,NA,NA
P3aSBV,P3,0,0,0,0,0,0,1
P3aSHB,P3,NA,NA,NA,NA,NA,NA,NA
P3aSMP,P3,NA,NA,NA,NA,NA,NA,NA
P3aSMX,P3,1,2,0,1,1,6872.85223367698,1
P3aSNB,P3,NA,NA,NA,NA,NA,NA,NA
P3aSOX,P3,NA,NA,NA,NA,NA,NA,NA
P3aSQC,P3,100,70,102,108,95,1623931.62393162,1
P3aSRB,P3,NA,NA,NA,NA,NA,NA,NA
P3aSRE,P3,42,47,51,45,46.25,637931.034482759,1
