"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0079.Day4_.p","7dip","Eflab","LM0079",4,105.475504322767
"LM0024.Day4_.p","7dip","Efwild","LM0024",4,99.2665036674817
"LM0084.Day4_.p","7dip","EI64","LM0084",4,91.8994413407821
"LM0042.Day4_.p","7dip","Uninf","LM0042",4,93.75
"LM0059.Day4_.p","7dip","Eflab","LM0059",4,96.3917525773196
"LM0046.Day4_.p","7dip","Efwild","LM0046",4,95.771144278607
"LM0043.Day4_.p","7dip","EI64","LM0043",4,90.5236907730673
"LM0065.Day4_.p","7dip","Uninf","LM0065",4,96.8523002421308
"LM0033.Day4_.p","9dpi","Eflab","LM0033",4,97.2916666666667
"LM0045.Day4_.p","9dpi","Efwild","LM0045",4,94.5
"LM0056.Day4_.p","9dpi","EI64","LM0056",4,83.855421686747
"LM0091.Day4_.p","9dpi","Uninf","LM0091",4,104.225352112676
"LM0073.Day4_.p","9dpi","Eflab","LM0073",4,99.3506493506494
"LM0028.Day4_.p","9dpi","Efwild","LM0028",4,100.561797752809
"LM0035.Day4_.p","9dpi","EI64","LM0035",4,89.9159663865546
"LM0023.Day4_.p","9dpi","Uninf","LM0023",4,103.77358490566
"LM0080.Day4_.p","9dpi","Eflab","LM0080",4,99.23273657289
"LM0030.Day4_.p","9dpi","Efwild","LM0030",4,98.9130434782609
"LM0066.Day4_.p","9dpi","EI64","LM0066",4,94.0476190476191
"LM0089.Day4_.p","9dpi","Uninf","LM0089",4,90
"LM0021.Day4_.p","11dpi","Eflab","LM0021",4,97.7777777777778
"LM0048.Day4_.p","11dpi","Efwild","LM0048",4,101.129943502825
"LM0072.Day4_.p","11dpi","EI64","LM0072",4,89.8203592814371
"LM0032.Day4_.p","11dpi","Uninf","LM0032",4,100
"LM0025.Day4_.p","11dpi","Eflab","LM0025",4,97.6190476190476
"LM0027.Day4_.p","11dpi","Efwild","LM0027",4,97.8260869565217
"LM0078.Day4_.p","11dpi","EI64","LM0078",4,98.2658959537572
"LM0049.Day4_.p","11dpi","Uninf","LM0049",4,100
"LM0031.Day4_.p","11dpi","Eflab","LM0031",4,98.1651376146789
"LM0054.Day4_.p","11dpi","Efwild","LM0054",4,98.0645161290323
"LM0071.Day4_.p","11dpi","EI64","LM0071",4,84.375
"LM0053.Day4_.p","11dpi","Uninf","LM0053",4,103.896103896104
"LM0075.Day5_.p","7dip","Eflab","LM0075",5,100
"LM0094.Day5_.p","7dip","Efwild","LM0094",5,97.9228486646884
"LM0029.Day5_.p","7dip","EI64","LM0029",5,86.4661654135338
"LM0085.Day5_.p","7dip","Uninf","LM0085",5,98.3957219251337
"LM0079.Day5_.p","7dip","Eflab","LM0079",5,104.034582132565
"LM0024.Day5_.p","7dip","Efwild","LM0024",5,99.5110024449878
"LM0084.Day5_.p","7dip","EI64","LM0084",5,89.6648044692737
"LM0042.Day5_.p","7dip","Uninf","LM0042",5,89.5
"LM0059.Day5_.p","7dip","Eflab","LM0059",5,97.9381443298969
"LM0046.Day5_.p","7dip","Efwild","LM0046",5,98.7562189054726
"LM0043.Day5_.p","7dip","EI64","LM0043",5,93.7655860349127
"LM0065.Day5_.p","7dip","Uninf","LM0065",5,98.0629539951574
"LM0033.Day5_.p","9dpi","Eflab","LM0033",5,93.75
"LM0045.Day5_.p","9dpi","Efwild","LM0045",5,95.5
"LM0056.Day5_.p","9dpi","EI64","LM0056",5,93.9759036144578
"LM0091.Day5_.p","9dpi","Uninf","LM0091",5,101.408450704225
"LM0073.Day5_.p","9dpi","Eflab","LM0073",5,100.324675324675
"LM0028.Day5_.p","9dpi","Efwild","LM0028",5,98.314606741573
"LM0035.Day5_.p","9dpi","EI64","LM0035",5,95.7983193277311
"LM0023.Day5_.p","9dpi","Uninf","LM0023",5,106.918238993711
"LM0080.Day5_.p","9dpi","Eflab","LM0080",5,100
"LM0030.Day5_.p","9dpi","Efwild","LM0030",5,97.554347826087
"LM0066.Day5_.p","9dpi","EI64","LM0066",5,91.9642857142857
"LM0089.Day5_.p","9dpi","Uninf","LM0089",5,87.5
"LM0021.Day5_.p","11dpi","Eflab","LM0021",5,96.6666666666667
"LM0048.Day5_.p","11dpi","Efwild","LM0048",5,99.7175141242938
"LM0072.Day5_.p","11dpi","EI64","LM0072",5,83.8323353293413
"LM0032.Day5_.p","11dpi","Uninf","LM0032",5,100
"LM0025.Day5_.p","11dpi","Eflab","LM0025",5,97.6190476190476
"LM0027.Day5_.p","11dpi","Efwild","LM0027",5,102.898550724638
"LM0078.Day5_.p","11dpi","EI64","LM0078",5,94.2196531791908
"LM0049.Day5_.p","11dpi","Uninf","LM0049",5,100
"LM0031.Day5_.p","11dpi","Eflab","LM0031",5,100.611620795107
"LM0054.Day5_.p","11dpi","Efwild","LM0054",5,99.3548387096774
"LM0071.Day5_.p","11dpi","EI64","LM0071",5,75
"LM0053.Day5_.p","11dpi","Uninf","LM0053",5,103.896103896104
