"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"1","P4aAAA",25,41,29,33,1
"2","P4aAKA",0,0,0,0,1
"3","P4aAKJ",NA,NA,NA,NA,1
"4","P4aAMK",0,0,0,0,1
"5","P4aAQN",17,17,22,19,1
"6","P4aARF",0,0,0,0,1
"7","P4aAXB",0,0,0,0,1
"8","P4aBBE",0,0,0,0,1
"9","P4aBDZ",NA,NA,NA,NA,1
"10","P4aBFV",91,108,92,88,1
"11","P4aBGC",0,1,0,0,1
"12","P4aBID",0,1,0,0,1
"13","P4aBIO",12,9,6,6,1
"14","P4aBPT",67,68,65,63,1
"15","P4aBPY",2,0,0,1,1
"16","P4aBRM",74,79,81,64,1
"17","P4aBWK",45,41,52,47,1
"18","P4aCCC",0,0,0,0,1
"19","P4aCFB",0,0,0,0,1
"20","P4aCLB",0,0,0,0,1
"21","P4aCLL",0,0,0,0,1
"22","P4aCNF",8,6,5,7,1
"23","P4aCNZ",12,13,9,4,1
"24","P4aCPI",130,121,133,129,1
"25","P4aCPK",0,0,0,0,1
"26","P4aCRR",1,0,0,0,1
"27","P4aCUI",12,18,14,11,1
"28","P4aCXA",0,0,0,0,1
"29","P4aCXE",0,0,0,0,1
"30","P4aCZD",8,7,5,4,1
"31","P4aDAP",0,0,0,0,1
"32","P4aDAQ",11,13,9,7,1
"33","P4aDFW",NA,NA,NA,NA,1
"34","P4aDHR",148,151,131,137,1
"35","P4aDIW",NA,NA,NA,NA,1
"36","P4aDTP",29,31,27,24,1
"37","P4aDUE",NA,NA,NA,NA,1
"38","P4aDYE",12,21,17,19,1
"39","P4aDYG",0,0,0,0,1
"40","P4aEAQ",11,9,10,14,1
"41","P4aEBU",0,0,0,0,1
"42","P4aECQ",NA,NA,NA,NA,1
"43","P4aEDT",0,0,0,0,1
"44","P4aEER",4,2,0,2,1
"45","P4aEJC",0,0,0,0,1
"46","P4aENX",0,1,1,0,1
"47","P4aEOB",0,0,0,0,1
"48","P4aEOW",0,0,0,0,1
"49","P4aERQ",0,2,0,0,1
"50","P4aETM",0,0,0,0,1
"51","P4aETW",21,25,22,19,1
"52","P4aEUW",NA,NA,NA,NA,1
"53","P4aEVI",148,162,158,155,1
"54","P4aEVZ",NA,NA,NA,NA,1
"55","P4aEWQ",19,21,17,19,1
"56","P4aEWR",9,9,10,8,1
"57","P4aEXA",104,97,109,102,1
"58","P4aEZC",NA,NA,NA,NA,1
"59","P4aFCS",7,9,4,5,1
"60","P4aFDT",7,8,7,6,1
"61","P4aFFH",0,0,0,0,1
"62","P4aFFO",0,0,0,0,1
"63","P4aFGV",1,3,4,2,1
"64","P4aFNW",NA,NA,NA,NA,1
"65","P4aFOM",17,14,15,13,1
"66","P4aFQG",NA,NA,NA,NA,1
"67","P4aFST",1,0,0,0,1
"68","P4aFTM",158,161,174,147,1
"69","P4aFXB",70,64,82,79,1
"70","P4aGAQ",0,0,0,0,1
"71","P4aGAU",7,11,8,9,1
"72","P4aGAV",0,0,0,0,1
"73","P4aGCN",NA,NA,NA,NA,1
"74","P4aGDW",NA,NA,NA,NA,1
"75","P4aGEH",0,0,0,0,1
"76","P4aGFH",4,6,5,7,1
"77","P4aGSL",0,0,0,0,1
"78","P4aGTB",0,0,0,0,1
"79","P4aGUJ",NA,NA,NA,NA,1
"80","P4aGWH",NA,NA,NA,NA,1
"81","P4aGZU",0,0,0,0,1
"82","P4aHBW",1,1,0,0,1
"83","P4aHDF",NA,NA,NA,NA,1
"84","P4aHEA",NA,NA,NA,NA,1
"85","P4aHGF",NA,NA,NA,NA,1
"86","P4aHIS",0,2,0,1,1
"87","P4aHPG",83,94,87,79,1
"88","P4aHQE",48,36,39,44,1
"89","P4aHQG",0,0,0,0,1
"90","P4aHRY",0,0,1,0,1
"91","P4aHTT",NA,NA,NA,NA,1
"92","P4aHUH",0,0,0,0,1
"93","P4aIAF",0,0,0,0,1
"94","P4aIGA",0,0,0,0,1
"95","P4aIJK",0,0,0,0,1
"96","P4aIJQ",0,0,0,0,1
"97","P4aIJW",3,6,4,5,1
"98","P4aILN",0,0,0,0,1
"99","P4aIQD",NA,NA,NA,NA,1
"100","P4aIUD",3,4,4,3,1
"101","P4aIUQ",NA,NA,NA,NA,1
"102","P4aIVI",5,7,4,6,1
"103","P4aIYI",0,0,0,0,1
"104","P4aJDE",NA,NA,NA,NA,1
"105","P4aJGW",2,1,0,1,1
"106","P4aJKC",0,1,0,2,1
"107","P4aJKL",NA,NA,NA,NA,1
"108","P4aJKY",NA,NA,NA,NA,1
"109","P4aJLK",0,0,0,0,1
"110","P4aJQX",0,0,0,0,1
"111","P4aJRE",0,0,0,0,1
"112","P4aJTL",82,71,63,74,1
"113","P4aKBE",0,0,0,0,1
"114","P4aKBV",0,1,0,0,1
"115","P4aKCF",6,7,4,5,1
"116","P4aKFE",0,0,0,0,1
"117","P4aKHJ",0,0,0,0,1
"118","P4aKPL",0,0,0,0,1
"119","P4aKUB",0,0,0,0,1
"120","P4aKXK",NA,NA,NA,NA,1
"121","P4aLBB",26,30,24,21,1
"122","P4aLDK",0,0,0,0,1
"123","P4aLGU",17,19,21,15,1
"124","P4aLLW",1,0,0,1,1
"125","P4aLNT",1,0,0,0,1
"126","P4aLSH",NA,NA,NA,NA,1
"127","P4aLSL",NA,NA,NA,NA,1
"128","P4aLWB",8,7,6,3,1
"129","P4aMDE",6,4,3,3,1
"130","P4aMDM",3,0,0,2,1
"131","P4aMFY",0,0,0,0,1
"132","P4aMGT",94,61,72,81,1
"133","P4aMHC",NA,NA,NA,NA,1
"134","P4aMMF",18,17,19,12,1
"135","P4aMOX",NA,NA,NA,NA,1
"136","P4aMRP",1,0,2,0,1
"137","P4aMRT",17,12,11,15,1
"138","P4aMTY",NA,NA,NA,NA,1
"139","P4aNDF",0,0,0,0,1
"140","P4aNDH",0,1,1,0,1
"141","P4aNGR",0,0,0,0,1
"142","P4aNGT",0,0,1,2,1
"143","P4aNJI",0,0,0,0,1
"144","P4aNJL",0,0,0,0,1
"145","P4aNLQ",NA,NA,NA,NA,1
"146","P4aNOU",0,0,0,0,1
"147","P4aNRK",NA,NA,NA,NA,1
"148","P4aNWE",0,0,0,0,1
"149","P4aNXU",0,0,0,0,1
"150","P4aNZF",1,1,0,0,1
"151","P4aOAW",1,0,1,0,1
