"","EH_ID","labels","dpi","experiment","OPG","relative_weight","mouse_strain","primary_infection","challenge_infection","infection_history","batch","delta","IFNy_CEWE","Eim_MC","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8"
"30","LM0181","IRX",2,"E7a",NA,101.6,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","LM0181","JLY",6,"E7a",0,99.8857142857143,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","LM0181","KMS",5,"E7a",0,96.6285714285714,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","LM0181","LPT",8,"E7a",2388888.88888889,84.6285714285714,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","LM0181","MQR",1,"E7a",NA,104.114285714286,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","LM0181","PSY",4,"E7a",0,100.857142857143,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","LM0181","QTW",3,"E7a",NA,99.4857142857143,"BUSNA_BUSNA","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","LM0182","ABD",4,"E7a",0,102.420306965762,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","LM0182","ACW",8,"E7a",102822.580645161,107.319952774498,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","LM0182","BOR",2,"E7a",NA,103.010625737898,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","LM0182","CLT",0,"E7a",0,100,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","LM0182","DMZ",10,"E7a",54924.2424242424,103.955135773318,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","LM0182","ESV",1,"E7a",NA,103.18772136954,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","LM0182","FSW",7,"E7a",0,102.538370720189,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","LM0182","HIS",3,"E7a",NA,105.253837072019,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","LM0182","HNX",11,"E7a",5244.75524475525,106.788665879575,"SCHUNT_PWD","E88",NA,NA,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
