"IFNy","EH_ID","experiment"
12.6543617317481,"LM_0264","E57"
31.9834136276131,"LM_0248","E57"
23.1158022243411,"LM_0254","E57"
84.9852124920339,"LM_0228","E57"
112.055644071278,"LM_0234","E57"
37.5056012557841,"LM_0231","E57"
43.3808823861458,"LM_0240","E57"
21.8877741271661,"LM_0232","E57"
53.5403908319353,"LM_0235","E57"
11.9382981889895,"LM_0229","E57"
1.71942881541789,"LM_0251","E57"
121.105391312534,"LM_0236","E57"
41.1760044409716,"LM_0259","E57"
22.2297969084074,"LM_0268","E57"
22.5199587596992,"LM_0258","E57"
1.04028249056332,"LM_0266","E57"
25.060196364609,"LM_0239","E57"
15.7742979705957,"LM_0247","E57"
21.2530814946465,"LM_0257","E57"
14.6139889944201,"LM_0256","E57"
22.7925981911959,"LM_0261","E57"
61.4115394386923,"LM_0238","E57"
54.4201292769137,"LM_0227","E57"
87.5850373523195,"LM_0255","E57"
11.5962495992721,"LM_0271","E57"
25.5475919853859,"LM_0249","E57"
81.662990584743,"LM_0233","E57"
0.225145312864292,"LM_0262","E57"
NA,"LM_0272","E57"
37.2475522517456,"LM_0276","E57"
52.2081651889237,"LM_0285","E57"
110.035712563026,"LM_0291","E57"
14.6670411958386,"LM_0277","E57"
32.5857551761345,"LM_0288","E57"
19.5159265822312,"LM_0286","E57"
27.8926078147264,"LM_0278","E57"
177.312730924564,"LM_0294","E57"
8.41303699477307,"LM_0279","E57"
23.307649530542,"LM_0282","E57"
11.2982790313474,"LM_0260","E57"
24.5913139705393,"LM_0265","E57"
0.225145312864292,"LM_0293","E57"
19.7264528663963,"LM_0270","E57"
16.5237749733482,"LM_0273","E57"
15.5470128102051,"LM_0263","E57"
28.0476364972057,"LM_0269","E57"
48.3675947493746,"LM_0284","E57"
33.822275433801,"LM_0283","E57"
6.05707055172943,"LM_0275","E57"
22.3339434737452,"LM_0292","E57"
54.1465789028593,"LM_0280","E57"
52.366947921615,"LM_0287","E57"
11.1755693464102,"LM_0289","E57"
