"","IFNy"
"1DTY",0
"1QBP",418.105036595285
"1OMQ",55.7513039998587
"1HIX",5.92617647133014
"1UZT",0
"1OML",0
"1KPZ",9.62578621607662
"1XYE",4.06682666577567
"1UWS",30.5064882715071
"1SWK",0
"1JJH",279.378503473262
"1WMM",32.2562706625771
"1NMF",0
"1NLI",358.082663728646
"1MNQ",4.29589113725598
"1MVU",0
"1TVC",9.40265410976475
"1SVZ",56.5514684871042
"1SRE",80.4682673343534
"1EEZ",71.4308186448006
"1DAL",0
"1REI",0
"1TSY",151.400530521322
"1SQC",321.44271867591
"1YNS",25.4754716010109
"1NYG",0
"1TOW",0
"1ZTI",264.226489898267
"1JGV",0
"1ZQY",247.11678102021
"1PLG",0
"1LKM",6.93375628339634
"1DWO",0
"1RJA",0
"1MAO",27.682622433774
"1JIX",1.13376266139588
"1FJS",0
"1DJM",296.748537396371
"1DUN",26.2920556868341
"1KUB",2.1253529448919
