"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","Strain","EXP_type","OPG","weight","weight_dpi0","faeces_weight","batch","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","label.1","totalOocysts"
"11","LM_0228",1,"E7aFHT",NA,NA,NA,0,"E88:E64",110.22,"E88","E64","STRA_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","LM_0228",2,"E7aCRZ",NA,NA,NA,0,"E88:E64",113.71,"E88","E64","STRA_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","LM_0228",3,"E7aCWZ",NA,NA,NA,0,"E88:E64",117.05,"E88","E64","STRA_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","LM_0228",4,"E7aBJR",NA,NA,NA,5000,"E88:E64",113.09,"E88","E64","STRA_BUSNA","WDS",2551.02040816327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","LM_0228",5,"E7aESW",NA,NA,NA,495000,"E88:E64",110.55,"E88","E64","STRA_BUSNA","WDS",375000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","LM_0228",6,"E7aLMZ",NA,NA,NA,875000,"E88:E64",104.99,"E88","E64","STRA_BUSNA","WDS",833333.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","LM_0228",6,"E7aLMZ",NA,NA,NA,875000,"E88:E64",104.99,"E88","E64","STRA_BUSNA","WDS",833333.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","LM_0228",7,"E7aNSX",NA,NA,NA,652500,"E88:E64",107.96,"E88","E64","STRA_BUSNA","WDS",552966.101694915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","LM_0228",8,"E7aBGY",-5.91,84.9852124920339,"pos",90000,"E88:E64",110.69,"E88","E64","STRA_BUSNA","WDS",79646.0176991151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","LM_0229",0,"E7aDKR",NA,NA,NA,0,"E88:E88",100,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
