"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"126","CJS","E5",NA,NA,NA,NA,NA,"1"
"127","RSW","E5",NA,NA,NA,NA,NA,"1"
"128","INR","E5",NA,NA,NA,NA,NA,"1"
"129","BCJ","E5",NA,NA,NA,NA,NA,"1"
"130","NRX","E5",NA,NA,NA,NA,NA,"1"
"131","NWZ","E5",NA,NA,NA,NA,NA,"1"
"132","EQU","E5",NA,NA,NA,NA,NA,"1"
"133","MNP","E5",NA,NA,NA,NA,NA,"1"
"134","JOS","E5",NA,NA,NA,NA,NA,"1"
"135","CQT","E5",NA,NA,NA,NA,NA,"1"
"136","GHU","E5",NA,NA,NA,NA,NA,"1"
"137","GNQ","E5",NA,NA,NA,NA,NA,"1"
"138","TVX","E5",NA,NA,NA,NA,NA,"1"
"139","CJK","E5",NA,NA,NA,NA,NA,"1"
"140","GOP","E5",NA,NA,NA,NA,NA,"1"
"141","ILQ","E5",NA,NA,NA,NA,NA,"1"
"142","ERU","E5",NA,NA,NA,NA,NA,"1"
"143","FNU","E5",NA,NA,NA,NA,NA,"1"
"144","DIT","E5",NA,NA,NA,NA,NA,"1"
"145","FOZ","E5",NA,NA,NA,NA,NA,"1"
"146","BTY","E5",NA,NA,NA,NA,NA,"1"
"147","FPY","E5",NA,NA,NA,NA,NA,"1"
"148","GHT","E5",NA,NA,NA,NA,NA,"1"
"149","ORX","E5",NA,NA,NA,NA,NA,"1"
"150","FLM","E5",NA,NA,NA,NA,NA,"1"
"151","GMN","E5",NA,NA,NA,NA,NA,"1"
"152","SVY","E5",NA,NA,NA,NA,NA,"1"
"153","OTY","E5",NA,NA,NA,NA,NA,"1"
"154","EFV","E5",NA,NA,NA,NA,NA,"1"
"155","ALS","E5",NA,NA,NA,NA,NA,"1"
"156","DGN","E5",NA,NA,NA,NA,NA,"1"
"157","OTW","E5",NA,NA,NA,NA,NA,"1"
"158","PQV","E5",NA,NA,NA,NA,NA,"1"
"159","KOQ","E5",NA,NA,NA,NA,NA,"1"
"160","EMQ","E5",NA,NA,NA,NA,NA,"1"
"161","DUX","E5",NA,NA,NA,NA,NA,"1"
"162","BXY","E5",NA,NA,NA,NA,NA,"1"
"163","JMP","E5",NA,NA,NA,NA,NA,"1"
"164","MWY","E5",NA,NA,NA,NA,NA,"1"
"165","EKT","E5",NA,NA,NA,NA,NA,"1"
"166","DWX","E5",NA,NA,NA,NA,NA,"1"
"167","DRV","E5",NA,NA,NA,NA,NA,"1"
"168","CQX","E5",NA,NA,NA,NA,NA,"1"
"169","BCL","E5",NA,NA,NA,NA,NA,"1"
"170","OQR","E5",NA,NA,NA,NA,NA,"1"
"171","JVX","E5",NA,NA,NA,NA,NA,"1"
"172","RVW","E5",NA,NA,NA,NA,NA,"1"
"173","DSX","E5",NA,NA,NA,NA,NA,"1"
"174","FQV","E5",NA,NA,NA,NA,NA,"1"
"175","DEK","E5",NA,NA,NA,NA,NA,"1"
"176","FLQ","E5",NA,NA,NA,NA,NA,"1"
"177","HOS","E5",NA,NA,NA,NA,NA,"1"
"178","IMY","E5",NA,NA,NA,NA,NA,"1"
"179","RSZ","E5",NA,NA,NA,NA,NA,"1"
"180","ALY","E5",NA,NA,NA,NA,NA,"1"
"181","BRZ","E5",NA,NA,NA,NA,NA,"1"
"182","AKO","E5",NA,NA,NA,NA,NA,"1"
"183","GLM","E5",NA,NA,NA,NA,NA,"1"
