labels,EH_ID,dpi,weight,weight_dpi0,relative_weight,feces_weight,dpi_dissect
E11bCIO,LM0403,5,,,,,
E11bERS,LM0414,5,,,,,
E11bDLQ,LM0418,5,,,,,
E11bUVY,LM0419,5,,,,,
E11bBQY,LM0409,5,,,,,
E11bEGM,LM0416,5,,,,,
E11bDHK,LM0426,5,,,,,
E11bGQU,LM0402,5,,,,,
E11bFMW,LM0412,5,,,,,
E11bKMX,LM0421,5,,,,,
E11bIXY,LM0406,5,,,,,
E11bJKO,LM0407,5,,,,,
E11bNQR,LM0415,5,,,,,
E11bLTV,LM0401,5,,,,,
E11bHIL,LM0425,5,,,,,
E11bHTY,LM0430,5,,,,,
E11bHKZ,LM0400,6,,,,,
E11bAQT,LM0404,6,,,,,
E11bCKL,LM0410,6,,,,,
E11bCPW,LM0431,6,,,,,
E11bGJS,LM0408,6,,,,,
E11bCJO,LM0411,6,,,,,
E11bPTW,LM0417,6,,,,,
E11bEIY,LM0422,6,,,,,
E11bASW,LM0413,6,,,,,
E11bFNT,LM0424,6,,,,,
E11bGWZ,LM0427,6,,,,,
E11bCOV,LM0405,6,,,,,
E11bDTY,LM0420,6,,,,,
E11bAEU,LM0423,6,,,,,
E11bHOW,LM0428,6,,,,,
E11bHJY,LM0429,6,,,,,
E11bASZ,LM0403,6,,,,,
E11bLOV,LM0414,6,,,,,
E11bKNQ,LM0418,6,,,,,
E11bANV,LM0419,6,,,,,
E11bABV,LM0409,6,,,,,
E11bDQR,LM0416,6,,,,,
E11bIMW,LM0426,6,,,,,
E11bIMR,LM0402,6,,,,,
E11bCGP,LM0412,6,,,,,
E11bGOP,LM0421,6,,,,,
E11bBER,LM0406,6,,,,,
E11bBDE,LM0407,6,,,,,
E11bBGK,LM0415,6,,,,,
E11bAPZ,LM0401,6,,,,,
E11bADP,LM0425,6,,,,,
E11bBMT,LM0430,6,,,,,
E11bIUY,LM0400,7,,,,,
E11bGIP,LM0404,7,,,,,
E11bGWX,LM0410,7,,,,,
E11bEJY,LM0431,7,,,,,
E11bBIV,LM0408,7,,,,,
E11bFHU,LM0411,7,,,,,
E11bNOW,LM0417,7,,,,,
E11bEOY,LM0422,7,,,,,
E11bFHR,LM0413,7,,,,,
E11bJPU,LM0424,7,,,,,
E11bBCF,LM0427,7,,,,,
E11bHIR,LM0405,7,,,,,
E11bNWZ,LM0420,7,,,,,
E11bMNO,LM0423,7,,,,,
E11bSWY,LM0428,7,,,,,
E11bAMV,LM0429,7,,,,,
E11bDLR,LM0403,7,,,,,
E11bILR,LM0414,7,,,,,
E11bMQX,LM0418,7,,,,,
E11bKPY,LM0419,7,,,,,
E11bIJX,LM0409,7,,,,,
E11bANW,LM0416,7,,,,,
E11bFIT,LM0426,7,,,,,
E11bHQT,LM0402,7,,,,,
E11bLXY,LM0412,7,,,,,
E11bFQY,LM0421,7,,,,,
E11bDMR,LM0406,7,,,,,
E11bINO,LM0407,7,,,,,
E11bAEO,LM0415,7,,,,,
E11bEGJ,LM0401,7,,,,,
E11bBUV,LM0425,7,,,,,
E11bBDY,LM0430,7,,,,,
E11bIJQ,LM0400,8,,,,,
E11bBSZ,LM0404,8,,,,,
E11bOTY,LM0410,8,,,,,
E11bOSZ,LM0431,8,,,,,
E11bINQ,LM0408,8,,,,,
E11bBNU,LM0411,8,,,,,
E11bAEM,LM0417,8,,,,,
E11bELU,LM0422,8,,,,,
E11bPWY,LM0413,8,,,,,
E11bGQZ,LM0424,8,,,,,
E11bBLP,LM0427,8,,,,,
E11bBOV,LM0405,8,,,,,
E11bABD,LM0420,8,,,,,
E11bDEP,LM0423,8,,,,,
E11bJOR,LM0428,8,,,,,
E11bGQS,LM0429,8,,,,,
E11bGJQ,LM0403,8,,,,,
E11bDMU,LM0414,8,,,,,
E11bAGI,LM0418,8,,,,,
E11bUVX,LM0419,8,,,,,
E11bMNY,LM0409,8,,,,,
E11bLMY,LM0416,8,,,,,
E11bAYZ,LM0426,8,,,,,
E11bDLP,LM0402,8,,,,,
E11bEFU,LM0412,8,,,,,
E11bEIZ,LM0421,8,,,,,
E11bJVY,LM0406,8,,,,,
E11bAOS,LM0407,8,,,,,
E11bDGH,LM0415,8,,,,,
E11bAHY,LM0401,8,,,,,
E11bBFZ,LM0425,8,,,,,
E11bJLX,LM0430,8,,,,,
