,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
313,LM_0346,0,P3bIAU,b,P3,100,NA,UNI,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,LM_0347,0,P3aJZP,a,P3,100,NA,E88,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,LM_0347,0,P3bHSH,b,P3,100,NA,E88,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,LM_0348,0,P4aMTY,a,P4,100,NA,E139,NA,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,LM_0348,0,P4bUMM,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,LM_0349,0,P4aFNW,a,P4,100,NA,E139,NA,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,LM_0349,0,P4bUMN,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,LM_0350,0,P4aDFW,a,P4,100,NA,E139,NA,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,LM_0350,0,P4bVMP,b,P4,NA,NA,NA,E64,SWISS,NA,NA,NA,E139:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,LM_0351,0,P4aEZC,a,P4,100,NA,E139,NA,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,LM_0351,0,P4bBBH,b,P4,NA,NA,NA,UNI,SWISS,NA,NA,NA,E139:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,LM_0352,0,P4aRPB,a,P4,100,NA,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,LM_0352,0,P4bTMO,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,LM_0353,0,P4aGDW,a,P4,100,NA,E64,NA,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,LM_0353,0,P4bSTT,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,E64:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,LM_0354,0,P4aFQG,a,P4,100,NA,E64,NA,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,LM_0354,0,P4bPSE,b,P4,100,NA,NA,E64,SWISS,NA,NA,NA,E64:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,LM_0355,0,P4aTYQ,a,P4,100,NA,E64,NA,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,LM_0355,0,P4bVAG,b,P4,100,NA,NA,UNI,SWISS,NA,NA,NA,E64:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,LM_0356,0,P4aODF,a,P4,100,NA,E88,NA,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,LM_0356,0,P4bBSE,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,LM_0357,0,P4aJDE,a,P4,100,NA,E88,NA,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,LM_0357,0,P4bPWF,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
612,LM_0358,0,P4aNRK,a,P4,100,NA,E88,NA,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
613,LM_0358,0,P4bXNG,b,P4,100,NA,NA,E64,SWISS,NA,NA,NA,E88:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
636,LM_0359,0,P4aLSH,a,P4,100,NA,E88,NA,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,LM_0359,0,P4bHXA,b,P4,100,NA,NA,UNI,SWISS,NA,NA,NA,E88:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,LM_0360,0,P4aOBV,a,P4,100,NA,Eflab,NA,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661,LM_0360,0,P4bICB,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,LM_0361,0,P4aXJK,a,P4,100,NA,Eflab,NA,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,LM_0361,0,P4bNCD,b,P4,100,NA,NA,E88,SWISS,NA,NA,NA,Eflab:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,LM_0362,0,P4aMOX,a,P4,100,NA,Eflab,NA,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,LM_0362,0,P4bYHW,b,P4,NA,NA,NA,E64,SWISS,NA,NA,NA,Eflab:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
