"","EH_ID","labels","dpi","Strain","HybridStatus","primary","challenge","weight","Wchange","OPG","infHistory","IFNy_FEC","IFNy_CEWE","Caecum","delta","CXCR3","IRG6","IL.12","CD4","Treg","Div_Treg","Treg17","Treg_prop","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8"
"1","LM_0227","E7aMNW",8,"BUSNA_STRA","inter subsp. hybrids","E88","E64",23.81,99.79,15567.7655677656,"E88:E64",7.02526117343341,54.4201292769137,"pos",-5.79,-10.535,-4.425,-9.13,44.9,6.385,16.205,13.52,93.605,6.78,71.2,0.89,46.875,14.39,11.5,49.52,4.915,0.415,21.74
"2","LM_0228","E7aBGY",8,"STRA_BUSNA","inter subsp. hybrids","E88","E64",23.5,110.69,79646.0176991151,"E88:E64",4.99875306588759,84.9852124920339,"pos",-5.91,-8.9125,-4.3925,-6.9325,46.145,7.005,21.365,11.565,92.97,10.92,75.115,1.075,42.39,13.84,13.205,59.09,9.085,0.385,27.535
"3","LM_0229","E7aEMW",8,"SCHUNT_SCHUNT","parental strains","E88","E88",19.01,99.74,0,"E88:E88",1.65664455658793,11.9382981889895,"neg",-7.12,-7.4325,-3.1225,-4.6475,56.22,7.15,12.455,9.505,92.845,2.965,19.84,1.63,30.055,10.02,10.915,11.535,3.045,0.575,41.36
"4","LM_0231","E7aCEK",8,"PWD_SCHUNT","inter subsp. hybrids","E88","E64",20.43,98.74,53380.7829181495,"E88:E64",0.887669072138454,37.5056012557841,"pos",-5.16,-9.3825,-4.3125,-6.8575,40.59,6.45,23.76,12.78,93.505,9.25,81.21,1.705,78.305,25.305,11.105,55.935,9.085,0.85,38.165
"5","LM_0232","E7aCUY",8,"BUSNA_STRA","inter subsp. hybrids","E88","E88",26.98,102.31,0,"E88:E88",1.77673412685823,21.8877741271661,"pos",-6.22,-10.55,-3.01,-5.435,52.245,8.695,13.465,14.4,91.305,2.545,27.85,1.06,27.445,17.55,9.815,12.83,2.005,0.25,19.39
"6","LM_0233","E7aSTU",8,"STRA_STRA","parental strains","E88","E88",29.96,100.64,0,"E88:E88",4.86923097297706,81.662990584743,"neg",-5.97,-11.1725,NA,-6.1225,46.895,6.89,13.355,7.035,93.11,2.9,25.52,0.695,32.195,7.49,5.395,21.31,2.795,0.27,19.23
"7","LM_0234","E7aBLW",8,"STRA_STRA","parental strains","E88","E64",32.64,99.63,41411.0429447853,"E88:E64",5.98219397547729,112.055644071278,"pos",-7.89,NA,NA,NA,49.47,6.065,24.795,13.95,93.935,6.87,76.515,1.11,65.735,9.065,8.9,55.69,8.455,0.295,34.31
"8","LM_0235","E7aDTU",8,"STRA_SCHUNT","outbred hybrids","E88","E64",19.51,99.64,5263.15789473684,"E88:E64",2.12034089731856,53.5403908319353,"pos",-5.84,-8.6925,-3.0275,-5.5975,45.74,6.52,17.115,8.645,93.46,9.585,51.87,1.09,40.6,13.995,9.2,55.97,8.755,0.28,28.69
"9","LM_0236","E7aFRU",8,"STRA_STRA","parental strains","E88","E64",27.05,103.05,33261.8025751073,"E88:E64",0.939915392134487,121.105391312534,"pos",-6.02,NA,NA,NA,46.33,6.465,21,14.54,93.535,7.02,67.36,1.615,65.055,8.84,8.375,45.895,12.91,0.61,46.265
"10","LM_0238","E7aLYZ",8,"PWD_BUSNA","outbred hybrids","E88","E64",20.41,95.42,157608.695652174,"E88:E64",3.47981538698723,61.4115394386923,"pos",-4.42,-10.3425,-4.3375,-6.3925,43.325,8.915,13.09,6.825,91.075,7.71,79.02,1.185,55.835,26.505,18.26,38.45,4.59,0.335,27.8
