labels,EH_ID,dpi,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,OPG,comment,dilution,batch
BEF,LM0257,1,0,0,0,0,0,,,1,a
OPZ,LM0258,1,0,0,0,0,0,,,1,a
FGV,LM0259,1,0,0,0,0,0,,,1,a
CLZ,LM0261,1,0,0,0,0,0,,,1,a
AJT,LM0264,1,0,0,0,0,0,,,1,a
JTV,LM0266,1,0,0,0,0,0,,,1,a
CPW,LM0268,1,0,0,0,0,0,,,1,a
HKT,LM0271,1,0,0,0,0,0,,,1,a
ALV,LM0227,2,0,0,0,0,0,,,1,a
CRZ,LM0228,2,0,0,0,0,0,,,1,a
BIO,LM0229,2,0,0,0,0,0,,,1,a
ANS,LM0231,2,0,0,0,0,0,,,1,a
AGP,LM0232,2,0,0,0,0,0,,,1,a
DQW,LM0233,2,0,0,0,0,0,,,1,a
JMZ,LM0234,2,0,0,0,0,0,,,1,a
EHM,LM0235,2,0,0,0,0,0,,,1,a
PRV,LM0236,2,0,0,0,0,0,,,1,a
GMW,LM0238,2,0,0,0,0,0,,,1,a
HPY,LM0239,2,0,0,0,0,0,,,1,a
ACZ,LM0240,2,0,0,0,0,0,,,1,a
FHS,LM0247,2,0,0,0,0,0,,,1,a
FJR,LM0248,2,0,0,0,0,0,,,1,a
FMR,LM0249,2,0,0,0,0,0,,,1,a
DOT,LM0251,2,0,0,0,0,0,,,1,a
BQR,LM0254,2,0,0,0,0,0,,,1,a
FGM,LM0255,2,0,0,0,0,0,,,1,a
BSU,LM0256,2,0,0,0,0,0,,,1,a
EJP,LM0257,2,0,0,0,0,0,,,1,a
CGS,LM0258,2,0,0,0,0,0,,,1,a
AFV,LM0259,2,0,0,0,0,0,,,1,a
DMN,LM0261,2,0,0,0,0,0,,,1,a
OQT,LM0264,2,0,0,0,0,0,,,1,a
JUV,LM0266,2,0,0,0,0,0,,,1,a
EIU,LM0268,2,0,0,0,0,0,,,1,a
BEW,LM0271,2,1,0,0,0,0.25,,,1,a
IPS,LM0227,3,0,0,0,0,0,,,1,a
CWZ,LM0228,3,0,0,0,0,0,,,1,a
AIO,LM0229,3,0,0,0,0,0,,,1,a
BMW,LM0231,3,0,0,0,0,0,,,1,a
GIU,LM0232,3,0,0,0,0,0,,,1,a
ERY,LM0233,3,0,0,0,0,0,,,1,a
EKV,LM0234,3,0,0,0,0,0,,,1,a
QUZ,LM0235,3,0,0,0,0,0,,,1,a
ADG,LM0236,3,0,0,0,0,0,,,1,a
KUZ,LM0238,3,0,0,0,0,0,,,1,a
EFQ,LM0239,3,0,0,0,0,0,,,1,a
EKX,LM0240,3,0,0,0,0,0,,,1,a
BKM,LM0247,3,0,0,0,0,0,,,1,a
QTX,LM0248,3,0,0,0,0,0,,,1,a
LNU,LM0249,3,0,0,0,0,0,,,1,a
GLO,LM0251,3,0,0,0,0,0,,,1,a
CHI,LM0254,3,0,0,0,0,0,,,1,a
DFU,LM0255,3,0,0,0,0,0,,,1,a
KNQ,LM0256,3,0,0,0,0,0,,,1,a
LOW,LM0257,3,0,0,0,0,0,,,1,a
FYZ,LM0258,3,0,0,0,0,0,,,1,a
GTW,LM0259,3,0,0,0,0,0,,,1,a
DTW,LM0261,3,0,0,0,0,0,,,1,a
ENV,LM0264,3,0,0,0,0,0,,,1,a
GRV,LM0266,3,0,0,0,0,0,,,1,a
AWZ,LM0268,3,0,0,0,0,0,,,1,a
ACO,LM0271,3,0,0,0,0,0,,,1,a
ELZ,LM0227,4,0,0,0,0,0,,,1,a
BJR,LM0228,4,0,0,0,2,0.5,,,1,a
LUV,LM0229,4,0,0,0,0,0,,,1,a
BCE,LM0231,4,2,3,3,6,3.5,,,1,a
BFJ,LM0232,4,0,0,0,0,0,,,1,a
IMR,LM0233,4,0,0,0,0,0,,,1,a
CET,LM0234,4,0,1,0,0,0.25,,,1,a
DHL,LM0235,4,0,0,0,0,0,,,1,a
BHI,LM0236,4,0,0,0,0,0,,,1,a
INU,LM0238,4,0,0,0,0,0,,,1,a
KMO,LM0239,4,0,0,0,0,0,,,1,a
KMQ,LM0240,4,0,0,0,0,0,,,1,a
GOV,LM0247,4,3,0,0,2,1.25,,,1,a
AQW,LM0248,4,1,2,0,2,1.25,,,1,a
MPU,LM0249,4,0,0,0,0,0,,,1,a
AMS,LM0251,4,0,0,0,0,0,,,1,a
DMP,LM0254,4,0,0,0,0,0,,,1,a
CHX,LM0255,4,0,0,1,2,0.75,,,1,a
JRX,LM0256,4,0,0,0,0,0,,,1,a
DHX,LM0257,4,0,0,0,0,0,,,1,a
AEQ,LM0258,4,0,0,0,0,0,,,1,a
DKW,LM0259,4,0,0,0,0,0,,,1,a
CFZ,LM0261,4,0,0,0,0,0,,,1,a
IJR,LM0264,4,0,0,0,0,0,,,1,a
FLN,LM0266,4,0,0,0,0,0,,,1,a
DGZ,LM0268,4,0,0,0,0,0,,,1,a
AGI,LM0271,4,0,0,0,0,0,,,1,a
RTY,LM0227,5,26,17,23,28,23.5,,,1,a
ESW,LM0228,5,55,51,48,44,49.5,,,1,a
CNT,LM0229,5,0,0,0,0,0,,,1,a
COV,LM0231,5,144,134,117,108,125.75,,,1,a
GHN,LM0232,5,0,0,0,0,0,,,1,a
FPQ,LM0233,5,0,0,0,0,0,,,1,a
AEJ,LM0234,5,82,91,98,102,93.25,,,1,a
EFL,LM0235,5,22,47,31,51,37.75,,,1,a
EQV,LM0236,5,47,29,38,27,35.25,,,1,a
KST,LM0238,5,49,36,45,45,43.75,,,1,a
MOX,LM0239,5,0,0,0,0,0,,,1,a
MQW,LM0240,5,4,6,10,5,6.25,,,1,a
CGT,LM0247,5,0,0,0,0,0,,,1,a
AMX,LM0248,5,64,58,60,62,61,,,1,a
GWZ,LM0249,5,20,23,36,32,27.75,,,1,a
ADV,LM0251,5,0,0,0,0,0,,,1,a
JRW,LM0254,5,0,0,0,0,0,,,1,a
BWZ,LM0255,5,24,39,37,23,30.75,,,1,a
AOX,LM0256,5,0,0,0,0,0,,,1,a
TUV,LM0257,5,28,23,24,38,28.25,,,1,a
JXZ,LM0258,5,13,16,14,10,13.25,,,1,a
CLS,LM0259,5,33,42,29,31,33.75,,,1,a
CNO,LM0261,5,0,0,0,0,0,,,1,a
DIJ,LM0264,5,0,0,0,0,0,,,1,a
DKO,LM0266,5,0,0,0,0,0,,,1,a
ERS,LM0268,5,0,0,0,0,0,,,1,a
FHQ,LM0271,5,0,0,0,0,0,,,1,a
LNW,LM0227,6,6,7,10,7,7.5,,,1,a
LMZ,LM0228,6,74,92,97,87,87.5,,,1,a
FHK,LM0229,6,0,0,0,0,0,,,1,a
GJT,LM0231,6,21,21,20,17,19.75,,,1,a
NPW,LM0232,6,0,0,0,0,0,,,1,a
GSV,LM0233,6,0,0,0,0,0,,,1,a
AGX,LM0234,6,90,111,114,108,105.75,,,1,a
CEO,LM0235,6,5,3,6,6,5,,,1,a
HKN,LM0236,6,77,93,87,60,79.25,,,1,a
EWY,LM0238,6,2,2,4,2,2.5,,,1,a
IQW,LM0239,6,0,0,0,0,0,,,1,a
JKX,LM0240,6,19,24,26,58,31.75,,,1,a
ABO,LM0247,6,0,0,0,0,0,,,1,a
FQX,LM0248,6,122,97,146,144,127.25,,,1,a
ANV,LM0249,6,27,39,39,43,37,,,1,a
LNT,LM0251,6,0,0,0,0,0,,,1,a
DVW,LM0254,6,0,0,0,0,0,,,1,a
GOW,LM0255,6,28,23,37,29,29.25,,,1,a
KLQ,LM0256,6,0,0,0,0,0,,,1,a
UVY,LM0257,6,14,14,11,15,13.5,,,1,a
KMS,LM0258,6,5,14,5,9,8.25,,,1,a
GHL,LM0259,6,67,55,71,65,64.5,,,1,a
FGZ,LM0261,6,0,0,0,0,0,,,1,a
BEV,LM0264,6,0,0,0,0,0,,,1,a
FLY,LM0266,6,0,0,0,0,0,,,1,a
GHV,LM0268,6,0,0,0,0,0,,,1,a
PQZ,LM0271,6,0,0,0,0,0,,,1,a
AUZ,LM0227,7,21,32,19,26,24.5,,,1,a
NSX,LM0228,7,66,63,62,70,65.25,,,1,a
NTU,LM0229,7,0,0,0,0,0,,,1,a
JRZ,LM0231,7,93,74,106,129,100.5,,,1,a
