labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
E11aDOY,,,,,,,
E11aCFJ,,,,,,,
E11aDJT,,,,,,,
E11aBGU,,,,,,,
E11aLMN,,,,,,,
E11aGWX,,,,,,,
E11aNVZ,,,,,,,
E11aEHL,,,,,,,
E11aARX,,,,,,,
E11aLWY,,,,,,,
E11aKLX,,,,,,,
E11aHLR,,,,,,,
E11aERT,,,,,,,
E11aEPT,,,,,,,
E11aDOQ,,,,,,,
E11aBLT,,,,,,,
E11aCFU,,,,,,,
E11aDHT,,,,,,,
E11aCDF,,,,,,,
E11aFOX,,,,,,,
E11aEIX,,,,,,,
E11aAHJ,,,,,,,
E11aDPY,,,,,,,
E11aCMO,,,,,,,
E11aJMP,,,,,,,
E11aAXY,,,,,,,
E11aIMS,,,,,,,
E11aAQT,,,,,,,
E11aAEO,,,,,,,
E11aNST,,,,,,,
E11aBCJ,,,,,,,
E11aDHU,,,,,,,
E11aESV,,,,,,,
E11aBTZ,,,,,,,
E11aAHO,,,,,,,
E11aELP,,,,,,,
E11aDLP,,,,,,,
E11aLOP,,,,,,,
E11aIJZ,,,,,,,
E11aEUX,,,,,,,
E11aCEO,,,,,,,
E11aBMW,,,,,,,
E11aBQT,,,,,,,
E11aMOW,,,,,,,
E11aEKP,,,,,,,
E11aBVY,,,,,,,
E11aGMS,,,,,,,
E11aDKV,,,,,,,
E11aMTW,,,,,,,
E11aFNU,,,,,,,
E11aHKN,,,,,,,
E11aCDW,,,,,,,
E11aBIT,,,,,,,
E11aCNW,,,,,,,
E11aHRU,,,,,,,
E11aNOY,,,,,,,
E11aAJO,,,,,,,
E11aJOX,,,,,,,
E11aEGV,,,,,,,
E11aBWZ,,,,,,,
E11aDFT,,,,,,,
E11aJNW,,,,,,,
E11aBDG,,,,,,,
E11aRUY,,,,,,,
E11aHLX,,,,,,,
E11aQVX,,,,,,,
E11aDEP,,,,,,,
E11aKQY,,,,,,,
E11aQTV,,,,,,,
E11aBRZ,,,,,,,
E11aIVW,,,,,,,
E11aBCV,,,,,,,
E11aLQS,,,,,,,
E11aAFR,,,,,,,
E11aAMR,,,,,,,
E11aBGK,,,,,,,
E11aGUZ,,,,,,,
E11aCDY,,,,,,,
E11aAIV,,,,,,,
E11aJPQ,,,,,,,
E11aLOS,,,,,,,
E11aMWY,,,,,,,
E11aBJL,,,,,,,
E11aAKL,,,,,,,
E11aCPU,,,,,,,
E11aAIY,,,,,,,
E11aANT,,,,,,,
E11aDJX,,,,,,,
E11aRTX,,,,,,,
E11aFGZ,,,,,,,
E11aPWX,,,,,,,
E11aACS,,,,,,,
E11aDGN,,,,,,,
E11aPRV,,,,,,,
E11aGHV,,,,,,,
E11aCSX,,,,,,,
E11aCHT,,,,,,,
E11aDEN,,,,,,,
E11aBLS,,,,,,,
E11aFRU,,,,,,,
E11aFOT,,,,,,,
E11aJWZ,,,,,,,
E11aCDZ,,,,,,,
E11aKSU,,,,,,,
E11aDHJ,,,,,,,
E11aEOW,,,,,,,
E11aFWY,,,,,,,
E11aIWX,,,,,,,
E11aBMP,,,,,,,
E11aDIN,,,,,,,
E11aAMS,,,,,,,
E11aBQZ,,,,,,,
E11aCET,,,,,,,
E11aQSY,,,,,,,
E11aDJQ,,,,,,,
E11aNQZ,,,,,,,
E11aIOT,,,,,,,
E11aBDI,,,,,,,
E11aELR,,,,,,,
E11aHOV,,,,,,,
E11aIVX,,,,,,,
E11aEHQ,,,,,,,
E11aAPU,,,,,,,
E11aJPV,,,,,,,
E11aBPX,,,,,,,
E11aATV,,,,,,,
E11aDHQ,,,,,,,
E11aDFY,,,,,,,
E11aKMQ,,,,,,,
E11aSVY,,,,,,,
E11aGHM,,,,,,,
E11aTUW,,,,,,,
E11aGTZ,,,,,,,
E11aCDM,,,,,,,
E11aAVY,,,,,,,
E11aBCF,,,,,,,
E11aGVW,,,,,,,
E11aJLT,,,,,,,
E11aAFW,,,,,,,
E11aGMO,,,,,,,
E11aCPQ,,,,,,,
E11aIOY,,,,,,,
E11aKPQ,,,,,,,
E11aMNO,,,,,,,
E11aDIM,,,,,,,
E11aJLN,,,,,,,
E11aAJQ,,,,,,,
E11aACR,,,,,,,
E11aCTV,,,,,,,
E11aAMT,,,,,,,
E11aHUW,,,,,,,
E11aFIQ,,,,,,,
E11aKQW,,,,,,,
E11aJLO,,,,,,,
E11aPQY,,,,,,,
E11aEOS,,,,,,,
E11aDUV,,,,,,,
E11aCDP,,,,,,,
E11aADT,,,,,,,
E11aHLQ,,,,,,,
E11aBHT,,,,,,,
E11aRWZ,,,,,,,
E11aEGU,,,,,,,
E11aKQX,,,,,,,
E11aMOR,,,,,,,
E11aJSX,,,,,,,
E11aEWZ,,,,,,,
E11aCDE,,,,,,,
E11aBRT,,,,,,,
E11aJOR,,,,,,,
E11aDJZ,,,,,,,
E11aBPQ,,,,,,,
E11aBGZ,,,,,,,
E11aCKR,,,,,,,
E11aBIO,,,,,,,
E11aCPT,,,,,,,
E11aDMZ,,,,,,,
E11aALV,,,,,,,
E11aEQZ,,,,,,,
E11aKRW,,,,,,,
E11aKVW,,,,,,,
E11aFMZ,,,,,,,
E11aCEH,,,,,,,
E11aBCL,,,,,,,
E11aLPY,,,,,,,
E11aNQX,,,,,,,
E11aFTZ,,,,,,,
E11aCKQ,,,,,,,
E11aFVZ,,,,,,,
E11aINX,,,,,,,
E11aHRZ,,,,,,,
E11aLNT,,,,,,,
E11aBLU,,,,,,,
E11aDSZ,,,,,,,
E11aBMN,,,,,,,
E11aMUX,,,,,,,
E11aCLM,,,,,,,
E11aILW,,,,,,,
E11aNPT,,,,,,,
E11aENX,,,,,,,
E11aFVX,,,,,,,
E11aEIW,,,,,,,
E11aMNT,,,,,,,
E11aDHM,,,,,,,
E11aBEY,,,,,,,
E11aFOW,,,,,,,
E11aBHX,,,,,,,
E11aJPX,,,,,,,
E11aEMX,,,,,,,
E11aALX,,,,,,,
E11aGIW,,,,,,,
E11aEIU,,,,,,,
E11aGJU,,,,,,,
E11aNPS,,,,,,,
E11aBIZ,,,,,,,
E11aDNW,,,,,,,
E11aAPV,,,,,,,
E11aFIT,,,,,,,
E11aQRZ,,,,,,,
E11aLMP,,,,,,,
E11aQSZ,,,,,,,
E11aAHT,,,,,,,
E11aIJT,,,,,,,
E11aBFS,,,,,,,
E11aCFM,,,,,,,
E11aASW,,,,,,,
E11aIKT,,,,,,,
E11aAHQ,,,,,,,
E11aERS,,,,,,,
E11aBKP,,,,,,,
E11aRVX,,,,,,,
E11aCLO,,,,,,,
E11aTVX,,,,,,,
E11aOWZ,,,,,,,
E11aJOT,,,,,,,
E11aHPY,,,,,,,
E11aJMQ,,,,,,,
E11aIOW,,,,,,,
E11aDFJ,,,,,,,
E11aHIM,,,,,,,
E11aSVZ,,,,,,,
E11aKYZ,,,,,,,
E11aKPW,,,,,,,
E11aCUV,,,,,,,
E11aHOU,,,,,,,
E11aHKY,,,,,,,
E11aLUV,,,,,,,
E11aAHX,,,,,,,
E11aQRY,0,0,0,0,,,
E11aLWX,,,,,,,
E11aBEG,,,,,,,
E11aVXY,,,,,,,
E11aAHU,,,,,,,
E11aORY,,,,,,,
E11aAGO,0,0,0,0,,,
E11aOTW,,,,,,,
E11aBEQ,0,0,0,0,,,
E11aLRU,0,0,0,0,,,
E11aNRS,,,,,,,
E11aHMV,,,,,,,
E11aGIN,,,,,,,
E11aADR,,,,,,,
E11aCNO,0,0,0,0,,,
E11aFHO,0,0,0,0,,,
E11aEHI,0,0,0,0,,,
E11aEHT,,,,,,,
E11aBDP,,,,,,,
E11aEMV,,,,,,,
E11aABO,,,,,,,
E11aCFX,,,,,,,
E11aDQZ,10,12,15,18,,,
E11aACT,26,24,17,21,,,
E11aQRT,,,,,,,
E11aGRW,,,,,,,
E11aCOX,,,,,,,
E11aJLU,,,,,,,
E11aEIK,,,,,,,
E11aSUY,72,50,45,55,,,
E11aNOR,,,,,,,
E11aCLS,,,,,,,
E11aCMU,,,,,,,
E11aCNR,0,0,0,0,,,
E11aDOX,,,,,,,
E11aPSW,,,,,,,
E11aKQR,,,,,,,
E11aDGL,,,,,,,
E11aKQS,,,,,,,
E11aHJU,,,,,,,
E11aFPR,,,,,,,
E11aOTV,,,,,,,
E11aLPX,,,,,,,
E11aSTU,,,,,,,
E11aAKV,,,,,,,
E11aCJK,,,,,,,
E11aJNO,,,,,,,
E11aLTW,,,,,,,
E11aHLW,,,,,,,
E11aKRX,,,,,,,
E11aFGU,,,,,,,
E11aGJR,,,,,,,
E11aACM,,,,,,,
E11aNTU,,,,,,,
E11aAJL,,,,,,,
E11aJRZ,,,,,,,
E11aGXZ,,,,,,,
E11aJRU,,,,,,,
E11aDJV,,,,,,,
E11aBEJ,,,,,,,
E11aIPS,,,,,,,
E11aQRV,,,,,,,
E11aDWX,,,,,,,
E11aBRY,,,,,,,
E11aBMS,,,,,,,
E11aHKX,0,0,0,0,,,
E11aSVX,,,,,,,
E11aABM,0,0,0,0,,,
E11aELT,0,0,0,0,,,
E11aJTU,0,0,0,0,,,
E11aFMY,0,0,0,0,,,
E11aABU,,,,,,,
E11aCLR,,,,,,,
E11aIMO,,,,,,,
E11aCPZ,,,,,,,
E11aAOP,,,,,,,
E11aHJT,,,,,,,
E11aCQZ,,,,,,,
E11aCHS,,,,,,,
E11aEJT,,,,,,,
E11aDHN,,,,,,,
E11aIJR,,,,,,,
E11aALP,,,,,,,
E11aLSX,,,,,,,
E11aDFU,,,,,,,
E11aCEU,,,,,,,
E11aNPW,,,,,,,
E11aJUZ,,,,,,,
E11aDJP,,,,,,,
E11aKLR,,,,,,,
E11aFOQ,,,,,,,
E11aCEY,,,,,,,
E11aFIK,,,,,,,
E11aBQU,,,,,,,
E11aDRS,,,,,,,
E11aCEP,,,,,,,
E11aAOV,,,,,,,
E11aDMX,,,,,,,
E11aIJQ,,,,,,,
E11aDFI,,,,,,,
E11aGPU,,,,,,,
E11aPUY,,,,,,,
E11aDOS,,,,,,,
E11aALR,,,,,,,
