EH_ID,labels,weight,weight_dpi0,relative_weight,feces_weight,experiment
LM_0227,E7aIPS,23.8,23.86,99.75,1.5,E7
LM_0227,E7aINO,23.86,23.86,100,2.11,E7
LM_0227,E7aMNW,23.81,23.86,99.79,2.73,E7
LM_0227,E7aRTY,23.12,23.86,96.9,2.01,E7
LM_0227,E7aLNW,22.94,23.86,96.14,0.88,E7
LM_0227,E7aELZ,22.88,23.86,95.89,2.23,E7
LM_0227,E7aAUZ,23.24,23.86,97.4,1.68,E7
LM_0227,E7aFJW,23.8,23.86,99.75,0.76,E7
LM_0227,E7aALV,23.75,23.86,99.54,1.09,E7
LM_0228,E7aBJR,24.01,21.23,113.09,1.96,E7
LM_0228,E7aCWZ,24.85,21.23,117.05,1.69,E7
LM_0228,E7aFHT,23.4,21.23,110.22,1.28,E7
LM_0228,E7aCRZ,24.14,21.23,113.71,1.2,E7
LM_0228,E7aEJN,21.23,21.23,100,1.24,E7
LM_0228,E7aLMZ,22.29,21.23,104.99,1.05,E7
LM_0228,E7aNSX,22.92,21.23,107.96,1.18,E7
LM_0228,E7aBGY,23.5,21.23,110.69,1.13,E7
LM_0228,E7aESW,23.47,21.23,110.55,1.32,E7
LM_0229,E7aFHK,19.55,19.06,102.57,1.48,E7
LM_0229,E7aAIO,18.85,19.06,98.9,2.07,E7
LM_0229,E7aBIO,18.88,19.06,99.06,1.23,E7
LM_0229,E7aCNT,19.88,19.06,104.3,3.34,E7
LM_0229,E7aDKR,19.06,19.06,100,1.4,E7
LM_0229,E7aLUV,18.78,19.06,98.53,2.35,E7
LM_0229,E7aABG,18.38,19.06,96.43,1.63,E7
LM_0229,E7aEMW,19.01,19.06,99.74,2.36,E7
LM_0229,E7aNTU,18.67,19.06,97.95,1.98,E7
LM_0231,E7aJRZ,20.66,20.69,99.86,1.53,E7
LM_0231,E7aCIK,21.41,20.69,103.48,1.13,E7
LM_0231,E7aBMW,22,20.69,106.33,2.09,E7
LM_0231,E7aCEK,20.43,20.69,98.74,2.81,E7
LM_0231,E7aGJT,20.52,20.69,99.18,0.95,E7
LM_0231,E7aANS,22.57,20.69,109.09,1.4,E7
LM_0231,E7aCOV,20.95,20.69,101.26,1.53,E7
LM_0231,E7aBOY,20.69,20.69,100,2.11,E7
LM_0231,E7aBCE,21.45,20.69,103.67,2.39,E7
LM_0232,E7aGIU,27,26.37,102.39,1.35,E7
LM_0232,E7aBFJ,26.65,26.37,101.06,1.92,E7
LM_0232,E7aAGP,27.32,26.37,103.6,1.21,E7
LM_0232,E7aFGH,27.02,26.37,102.46,1.67,E7
LM_0232,E7aGHN,27.26,26.37,103.38,2.07,E7
LM_0232,E7aNPW,26.56,26.37,100.72,1.11,E7
LM_0232,E7aHNS,27.09,26.37,102.73,2.18,E7
LM_0232,E7aCUY,26.98,26.37,102.31,2.15,E7
LM_0232,E7aDIW,26.37,26.37,100,1.1,E7
LM_0233,E7aDQW,30.76,29.77,103.33,1.21,E7
LM_0233,E7aSTU,29.96,29.77,100.64,1.75,E7
LM_0233,E7aGSV,30.61,29.77,102.82,1.19,E7
LM_0233,E7aIMQ,31.24,29.77,104.94,1.51,E7
LM_0233,E7aFKW,29.75,29.77,99.93,1.92,E7
LM_0233,E7aERY,30.71,29.77,103.16,1.66,E7
LM_0233,E7aFPQ,31.52,29.77,105.88,2.16,E7
LM_0233,E7aDUZ,29.77,29.77,100,2.85,E7
LM_0233,E7aIMR,31.02,29.77,104.2,3.05,E7
LM_0234,E7aJMZ,32.68,32.76,99.76,1.26,E7
LM_0234,E7aAGX,32.61,32.76,99.54,1.35,E7
LM_0234,E7aAHU,33.04,32.76,100.85,1.71,E7
LM_0234,E7aEKV,33,32.76,100.73,1.46,E7
LM_0234,E7aAEJ,32.15,32.76,98.14,2.29,E7
LM_0234,E7aCET,33.03,32.76,100.82,2.3,E7
LM_0234,E7aJPX,32.76,32.76,100,1.36,E7
LM_0234,E7aGHS,32.07,32.76,97.89,1.93,E7
LM_0234,E7aBLW,32.64,32.76,99.63,1.63,E7
LM_0235,E7aQUZ,19.13,19.58,97.7,1.12,E7
LM_0235,E7aDHL,19.17,19.58,97.91,1.9,E7
LM_0235,E7aFJS,19.58,19.58,100,0.99,E7
LM_0235,E7aEFL,19.81,19.58,101.17,1.49,E7
LM_0235,E7aHKM,19.41,19.58,99.13,0.86,E7
LM_0235,E7aAQY,19.43,19.58,99.23,1.16,E7
LM_0235,E7aEHM,19.35,19.58,98.83,1.11,E7
LM_0235,E7aDTU,19.51,19.58,99.64,0.95,E7
LM_0235,E7aCEO,19.5,19.58,99.59,0.95,E7
LM_0236,E7aTXZ,23.35,26.25,88.95,1.7,E7
LM_0236,E7aBHI,26.94,26.25,102.63,2.32,E7
LM_0236,E7aADG,27.45,26.25,104.57,2.11,E7
LM_0236,E7aEQV,25.72,26.25,97.98,1.96,E7
LM_0236,E7aHKN,27.05,26.25,103.05,1.4,E7
LM_0236,E7aFRU,27.05,26.25,103.05,2.33,E7
LM_0236,E7aAGN,26.25,26.25,100,1.21,E7
LM_0236,E7aPRV,26.92,26.25,102.55,1.15,E7
LM_0236,E7aNRU,28.03,26.25,106.78,1.42,E7
LM_0238,E7aGMW,22.14,21.39,103.51,1.36,E7
LM_0238,E7aKST,20.84,21.39,97.43,0.82,E7
LM_0238,E7aNOY,20.09,21.39,93.92,0.79,E7
LM_0238,E7aILM,27.39,27.39,100,3.28,E7
LM_0238,E7aKUZ,21.42,21.39,100.14,1.46,E7
LM_0238,E7aINU,21.13,21.39,98.78,1.32,E7
LM_0238,E7aEWY,20.47,21.39,95.7,0.47,E7
LM_0238,E7aGIQ,21.56,21.39,100.79,1.58,E7
LM_0238,E7aLYZ,20.41,21.39,95.42,1.38,E7
LM_0239,E7aHPY,19.56,19.41,100.77,1.14,E7
LM_0239,E7aLOT,19.04,19.41,98.09,1.84,E7
LM_0239,E7aJMR,18.47,19.41,95.16,2.87,E7
LM_0239,E7aGVW,19.84,19.41,102.22,1.82,E7
LM_0239,E7aIQW,18.8,19.41,96.86,3.15,E7
LM_0239,E7aMOX,19.6,19.41,100.98,2.81,E7
LM_0239,E7aEIQ,19.41,19.41,100,1.94,E7
LM_0239,E7aEFQ,19.33,19.41,99.59,1.99,E7
LM_0239,E7aKMO,19.28,19.41,99.33,3.74,E7
LM_0240,E7aMQW,21.48,20.45,105.04,1.53,E7
LM_0240,E7aKMQ,21.14,20.45,103.37,2.41,E7
LM_0240,E7aBDI,20.89,20.45,102.15,2.3,E7
LM_0240,E7aAVW,22.16,20.45,108.36,1.04,E7
LM_0240,E7aHKW,20.45,20.45,100,1.03,E7
LM_0240,E7aCIW,20.45,20.45,100,1.39,E7
LM_0240,E7aEKX,21.24,20.45,103.86,1.6,E7
LM_0240,E7aACZ,21.09,20.45,103.13,1.56,E7
LM_0240,E7aJKX,21.6,20.45,105.62,1.89,E7
LM_0247,E7aBKM,26.04,27.13,95.98,2.77,E7
LM_0247,E7aFHS,26.45,27.13,97.49,1.73,E7
LM_0247,E7aJMX,25.93,27.13,95.58,7.14,E7
LM_0247,E7aABO,26.18,27.13,96.5,2.61,E7
LM_0247,E7aHOY,26.69,27.13,98.38,3.74,E7
LM_0247,E7aGOV,26.54,27.13,97.83,3.97,E7
LM_0247,E7aBVZ,27.13,27.13,100,3.22,E7
LM_0247,E7aCGT,26.78,27.13,98.71,2.86,E7
LM_0247,E7aFPV,26.75,27.13,98.6,2.88,E7
LM_0248,E7aAQW,21.73,23.46,92.63,2.33,E7
LM_0248,E7aQTX,22.06,23.46,94.03,1.57,E7
LM_0248,E7aAPS,20.58,23.46,87.72,2.5,E7
LM_0248,E7aFQX,20.95,23.46,89.3,1.74,E7
LM_0248,E7aAFN,23.14,23.46,98.64,0.92,E7
LM_0248,E7aAFY,23.46,23.46,100,0.67,E7
LM_0248,E7aKOX,21.72,23.46,92.58,1.32,E7
LM_0248,E7aAMX,22.23,23.46,94.76,2.06,E7
LM_0248,E7aFJR,22.28,23.46,94.97,1,E7
LM_0249,E7aASZ,26.1,26.1,100,0.74,E7
LM_0249,E7aLNU,25.92,26.1,99.31,1.86,E7
LM_0249,E7aIMU,26.09,26.1,99.96,1.62,E7
LM_0249,E7aPSV,24.4,26.1,93.49,2.71,E7
LM_0249,E7aMPU,25.53,26.1,97.82,3.25,E7
LM_0249,E7aGWZ,24.36,26.1,93.33,1.7,E7
