EH_ID,OD
423,2.53916666666667
370,0.41
368,0.4425
372,0.706166666666667
375,0.814666666666667
397,0.387
419,0.292166666666667
398,1.04716666666667
405,1.4975
418,0.756666666666667
382,0.448
366,1.60666666666667
414,0.775666666666667
383,1.76516666666667
388,0.597833333333333
387,0.2725
371,0.950166666666667
403,0.294166666666667
374,0.656833333333333
421,0.657833333333333
389,0.682
406,0.531
429,1.21033333333333
409,0.4145
390,1.02283333333333
378,0.4305
386,0.428166666666667
381,0.876666666666667
391,2.09516666666667
385,0.167833333333333
399,0.561333333333333
369,0.107833333333333
376,0.259166666666667
395,0.845166666666667
394,0.317833333333333
393,0.557333333333333
379,0.846
373,0.715333333333333
377,0.1285
392,0.473833333333333
