"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"27","LM0206","E57aKOX","E5",16.97,16.97,"100",0,0,"primary"
"28","LM0207","E57aCPY","E5",17.27,17.27,"100",0.23,0,"primary"
"29","LM0208","E57aGQU","E5",22.82,22.82,"100",0.21,0,"primary"
"30","LM0209","E57aHPQ","E5",22.09,22.09,"100",0.93,0,"primary"
"31","LM0210","E57aBOU","E5",15.65,15.65,"100",0.34,0,"primary"
"32","LM0211","E57aBKT","E5",17.42,17.42,"100",1.28,0,"primary"
"33","LM0212","E57aHJQ","E5",21.58,21.58,"100",0.87,0,"primary"
"34","LM0213","E57aFHV","E5",15.39,15.39,"100",0,0,"primary"
"35","LM0214","E57aDES","E5",27.43,27.43,"100",0,0,"primary"
"36","LM0215","E57aELT","E5",23.9,23.9,"100",1.18,0,"primary"
"37","LM0216","E57aNSU","E5",18.37,18.37,"100",0,0,"primary"
"38","LM0217","E57aFKY","E5",17.74,17.74,"100",1.09,0,"primary"
"39","LM0218","E57aJLZ","E5",20.36,20.36,"100",2.51,0,"primary"
"40","LM0219","E57aCHN","E5",19,19,"100",1.24,0,"primary"
"41","LM0220","E57aAGO","E5",19.72,19.72,"100",1.32,0,"primary"
"42","LM0221","E57aFQS","E5",19.73,19.73,"100",1.14,0,"primary"
"43","LM0222","E57aCRW","E5",23.99,23.99,"100",1.61,0,"primary"
"44","LM0223","E57aRXY","E5",20.73,20.73,"100",1.43,0,"primary"
"45","LM0224","E57aKVZ","E5",19.21,19.21,"100",0,0,"primary"
"46","LM0225","E57aFGT","E5",28.05,28.05,"100",1.52,0,"primary"
"47","LM0226","E57aKNO","E5",15.16,15.16,"100",0.96,0,"primary"
"48","LM0227","E57aFGW","E5",20.03,20.03,"100",0,0,"primary"
"49","LM0228","E57aFRW","E5",18.56,18.56,"100",1.3,0,"primary"
"50","LM0229","E57aIJQ","E5",15.82,15.82,"100",0,0,"primary"
"51","LM0230","E57aERW","E5",15.87,15.87,"100",1.03,0,"primary"
"52","LM0231","E57aAFW","E5",18.71,18.71,"100",0.12,0,"primary"
"53","LM0232","E57aBGK","E5",24.14,24.14,"100",0,0,"primary"
"54","LM0233","E57aAJW","E5",24.55,24.55,"100",0.82,0,"primary"
"55","LM0234","E57aDMN","E5",28.55,28.55,"100",0.76,0,"primary"
"56","LM0235","E57aMOY","E5",17.03,17.03,"100",0.8,0,"primary"
"57","LM0236","E57aANT","E5",23.64,23.64,"100",0.93,0,"primary"
"58","LM0237","E57aBJN","E5",11.02,11.02,"100",0,0,"primary"
"59","LM0238","E57aEUW","E5",15.31,15.31,"100",0.95,0,"primary"
"60","LM0239","E57aTXZ","E5",16.84,16.84,"100",1.33,0,"primary"
"61","LM0240","E57aCSX","E5",16.19,16.19,"100",1.14,0,"primary"
"62","LM0241","E57aIVW","E5",14.51,14.51,"100",0,0,"primary"
"63","LM0242","E57aSUZ","E5",15.65,15.65,"100",0.71,0,"primary"
"64","LM0243","E57aILY","E5",18.58,18.58,"100",1.44,0,"primary"
"65","LM0244","E57aJMQ","E5",12.33,12.33,"100",1.51,0,"primary"
"66","LM0245","E57aCFJ","E5",16.71,16.71,"100",0,0,"primary"
"67","LM0246","E57aAHJ","E5",17.95,17.95,"100",1.33,0,"primary"
"68","LM0247","E57aACP","E5",25.21,25.21,"100",0,0,"primary"
"69","LM0248","E57aJOT","E5",17.99,17.99,"100",1.37,0,"primary"
"70","LM0249","E57aFGZ","E5",22.27,22.27,"100",0.59,0,"primary"
"71","LM0250","E57aCQW","E5",20.59,20.59,"100",0.85,0,"primary"
"72","LM0251","E57aBCK","E5",19.67,19.67,"100",1.8,0,"primary"
"73","LM0252","E57aLQW","E5",15.01,15.01,"100",1.19,0,"primary"
"74","LM0253","E57aLMX","E5",11.08,11.08,"100",0.62,0,"primary"
"75","LM0254","E57aACN","E5",20.16,20.16,"100",0.94,0,"primary"
"76","LM0255","E57aAKT","E5",14.65,14.65,"100",0,0,"primary"
"77","LM0256","E57aFIM","E5",25.63,25.63,"100",0,0,"primary"
"78","LM0257","E57aCEN","E5",19.57,19.57,"100",0,0,"primary"
"79","LM0258","E57aBMV","E5",17.53,17.53,"100",0.5,0,"primary"
"80","LM0259","E57aEGM","E5",24.62,24.62,"100",1.73,0,"primary"
"81","LM0260","E57aAEY","E5",20.11,20.11,"100",0.84,0,"primary"
"82","LM0261","E57aCNO","E5",15.38,15.38,"100",1.32,0,"primary"
"83","LM0262","E57aCTU","E5",15.24,15.24,"100",0.81,0,"primary"
"84","LM0263","E57aFGS","E5",18.47,18.47,"100",0.82,0,"primary"
"85","LM0264","E57aAQZ","E5",17.69,17.69,"100",0.94,0,"primary"
"86","LM0265","E57aMPQ","E5",23.29,23.29,"100",0,0,"primary"
"87","LM0266","E57aCTY","E5",18.04,18.04,"100",0,0,"primary"
