"","EH_ID","IFNy"
"1","LM0423",4707.99271384873
"2","LM0370",383.025330984155
"3","LM0368",421.682145518789
"4","LM0372",765.636464562178
"5","LM0375",922.187209845033
"6","LM0397",356.195557602697
"7","LM0419",250.421360638965
"8","LM0398",1286.61211824767
"9","LM0405",2108.63911866709
"10","LM0418",837.431675513534
"11","LM0382",428.309035238061
"12","LM0366",2332.43027172944
"13","LM0414",864.926234725698
"14","LM0383",2675.66345314537
"15","LM0388",617.953781540951
"16","LM0387",229.520020233371
"17","LM0371",1129.75416863189
"18","LM0403",252.567719042363
"19","LM0374",697.306892890507
"20","LM0421",698.674135876814
"21","LM0389",731.940324963097
"22","LM0406",531.223379481431
"23","LM0429",1566.29680433647
"24","LM0409",388.32615217109
"25","LM0390",1246.61004846969
"26","LM0378",407.308416306065
"27","LM0386",404.52711699525
"28","LM0381",1015.49933262755
"29","LM0391",3465.05935178928
"30","LM0385",125.092653639465
"31","LM0399",570.167305007469
"32","LM0369",71.4040264243091
"33","LM0376",215.56509605414
"34","LM0395",967.740618318314
"35","LM0394",278.250968900594
"36","LM0393",564.991686600378
"37","LM0379",968.994760899286
"38","LM0373",778.529916700914
"39","LM0377",89.2893862851217
"40","LM0392",459.759515209911
