"","labels","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean"
"98","E10bAHK",59,74,74,72,69.75
"99","E10bUZZ",40,32,43,27,35.5
"100","E10bIXJ",28,23,30,26,26.75
"101","E10bDFW",1,4,3,1,2.25
"102","E10bBAM",6,3,4,6,4.75
"103","E10bGSN",75,80,83,56,73.5
"104","E10bCBO",76,104,118,145,110.75
"105","E10bGYP",67,73,53,45,59.5
"106","E10bZQX",23,18,15,12,17
"107","E10bGFV",0,0,0,0,0
"108","E10bUZY",0,0,0,0,0
"109","E10bCYC",0,0,0,0,0
"110","E10bSDV",29,18,31,28,26.5
"111","E10bXOY",19,22,23,18,20.5
"112","E10bNPL",0,0,0,0,0
"113","E10bZNH",0,0,0,0,0
"114","E10bQTG",0,0,0,0,0
"115","E10bGDN",0,0,0,0,0
"116","E10bRFH",0,0,0,0,0
"117","E10bUQM",0,0,0,0,0
"118","E10bWQO",0,0,0,0,0
"119","E10bSOB",0,0,0,0,0
"120","E10bJFX",0,0,0,0,0
"121","E10bYFC",0,0,0,0,0
"122","E10bVLS",0,0,0,0,0
"123","E10bRMO",23,17,20,25,21.25
"124","E10bWMB",0,1,1,1,0.75
"125","E10bIMN",1,2,3,1,1.75
"126","E10bFTF",13,16,13,14,14
"127","E10bXZZ",0,0,0,0,0
"128","E10bJLF",0,0,0,0,0
"129","E10bDEM",0,0,0,0,0
"130","E10bJVK",16,30,11,17,18.5
"131","E10bMTZ",4,4,3,3,3.5
"132","E10bPZH",0,0,0,0,0
"133","E10bOKS",0,0,0,0,0
"134","E10bEEB",0,0,0,0,0
"135","E10bCQA",0,0,0,0,0
"136","E10bYFN",0,0,0,0,0
"137","E10bKJN",39,33,20,33,31.25
"138","E10bXES",84,80,67,90,80.25
"139","E10bRJY",11,5,9,13,9.5
"140","E10bZAK",13,28,21,20,20.5
"141","E10bBWZ",0,0,0,0,0
"142","E10bQBG",0,0,0,0,0
"143","E10bVIV",2,1,1,2,1.5
"144","E10bAHH",35,55,50,35,43.75
"145","E10bEJZ",2,3,5,4,3.5
"146","E10bLFS",14,23,15,15,16.75
"147","E10bMVN",0,0,0,0,0
"148","E10bLQS",0,0,0,0,0
"149","E10bTSD",0,0,0,0,0
"150","E10bVKF",0,2,1,2,1.25
"151","E10bPNK",0,0,0,0,0
"152","E10bVXW",0,0,0,0,0
"153","E10bYZU",0,0,0,0,0
"154","E10bOET",0,0,0,0,0
"155","E10bXCZ",0,0,0,0,0
"156","E10bPON",0,0,0,0,0
"157","E10bLCS",2,1,0,1,1
"158","E10bIFF",29,15,20,18,20.5
"159","E10bQSC.1",102,100,91,105,99.5
"160","E10bPSW",37,31,36,36,35
