EH_ID,experiment,labels,weight,weight_dpi0,relative_weight,feces_weight,dpi,infection
LM_0343,P3,P3aABJ,51.1,59.8,85.4515050167224,NA,11,primary
LM_0341,P3,P3aAHL,53.2,59.1,90.0169204737733,NA,11,primary
LM_0346,P3,P3aANQ,53.9,53.9,100,NA,0,primary
LM_0333,P3,P3aATV,49,52.7,92.9791271347249,1.72,8,primary
LM_0339,P3,P3aAWB,45.6,49.6,91.9354838709677,NA,2,primary
LM_0336,P3,P3aAZR,43.7,51.9,84.2003853564547,1.02,9,primary
LM_0332,P3,P3aBBD,47.6,61.2,77.7777777777778,0.27,10,primary
LM_0339,P3,P3aBEO,46.4,49.6,93.5483870967742,NA,9,primary
LM_0336,P3,P3aBOM,51,51.9,98.2658959537572,NA,4,primary
LM_0337,P3,P3aBSJ,40.8,44.7,91.2751677852349,2.49,11,primary
LM_0337,P3,P3aBUF,44.8,44.7,100.223713646532,NA,4,primary
LM_0343,P3,P3aBVL,51.8,59.8,86.6220735785953,NA,9,primary
LM_0339,P3,P3aBXM,49.6,49.6,100,NA,0,primary
LM_0345,P3,P3aCCY,57.3,60.7,94.3986820428336,4.44,9,primary
LM_0340,P3,P3aCES,54.5,54.5,100,NA,0,primary
LM_0335,P3,P3aCHZ,47.5,49.4,96.1538461538462,NA,6,primary
LM_0339,P3,P3aCMY,48.6,49.6,97.9838709677419,NA,1,primary
LM_0345,P3,P3aCNK,56.7,60.7,93.4102141680395,NA,11,primary
LM_0343,P3,P3aCNK,51.3,59.8,85.7859531772575,NA,10,primary
LM_0335,P3,P3aCNS,47.7,49.4,96.5587044534413,NA,4,primary
LM_0337,P3,P3aCNX,44.7,44.7,100,NA,0,primary
LM_0335,P3,P3aCTE,49.4,49.4,100,NA,0,primary
LM_0341,P3,P3aCWN,53.6,59.1,90.6937394247039,NA,9,primary
LM_0339,P3,P3aCXA,46.6,49.6,93.9516129032258,1.93,7,primary
LM_0342,P3,P3aCXB,52.6,57,92.280701754386,NA,8,primary
LM_0344,P3,P3aDAL,50.7,51.4,98.6381322957199,3.15,5,primary
LM_0336,P3,P3aDGB,46.6,51.9,89.7880539499037,NA,1,primary
LM_0336,P3,P3aDHR,49.6,51.9,95.5684007707129,NA,6,primary
LM_0343,P3,P3aDJM,51,59.8,85.2842809364548,1.13,7,primary
LM_0344,P3,P3aDNK,51.2,51.4,99.6108949416343,NA,4,primary
LM_0337,P3,P3aDQQ,45,44.7,100.671140939597,NA,6,primary
LM_0346,P3,P3aDSK,54.9,53.9,101.855287569573,NA,1,primary
LM_0343,P3,P3aDTY,56.2,59.8,93.9799331103679,2.77,4,primary
LM_0347,P3,P3aDUN,65.5,71.5,91.6083916083916,3.75,7,primary
LM_0334,P3,P3aDWK,50.7,50.7,100,NA,0,primary
LM_0338,P3,P3aDWO,46.4,51.3,90.448343079922,2.61,7,primary
LM_0346,P3,P3aDXD,52.4,53.9,97.2170686456401,3.7,8,primary
LM_0341,P3,P3aDYV,51.4,59.1,86.9712351945854,NA,8,primary
LM_0347,P3,P3aEDH,68,71.5,95.1048951048951,NA,4,primary
LM_0338,P3,P3aEEZ,46.4,51.3,90.448343079922,1.94,5,primary
LM_0333,P3,P3aENK,43.2,52.7,81.9734345351044,1.45,11,primary
LM_0337,P3,P3aETL,44.7,44.7,100,3.44,7,primary
LM_0333,P3,P3aEWW,51.8,52.7,98.292220113852,NA,1,primary
LM_0346,P3,P3aEXU,53.5,53.9,99.2578849721707,NA,2,primary
LM_0346,P3,P3aFJS,52.7,53.9,97.7736549165121,3.12,7,primary
LM_0345,P3,P3aFKH,58.5,60.7,96.3756177924217,NA,3,primary
LM_0335,P3,P3aFLM,43.6,49.4,88.2591093117409,2.8,9,primary
LM_0332,P3,P3aFOK,45.9,61.2,75,0.49,11,primary
LM_0340,P3,P3aFRB,51.4,54.5,94.3119266055046,NA,10,primary
LM_0332,P3,P3aFRJ,61.2,61.2,100,NA,0,primary
LM_0343,P3,P3aFUN,50.4,59.8,84.2809364548495,NA,8,primary
LM_0336,P3,P3aGBL,51.9,51.9,100,NA,0,primary
LM_0345,P3,P3aGFF,58,60.7,95.5518945634267,NA,4,primary
LM_0341,P3,P3aGPG,53.1,59.1,89.8477157360406,NA,10,primary
LM_0337,P3,P3aGTO,44.5,44.7,99.5525727069351,NA,5,primary
LM_0343,P3,P3aHAT,56.7,59.8,94.8160535117057,NA,2,primary
LM_0333,P3,P3aHEM,51.7,52.7,98.1024667931689,NA,3,primary
LM_0338,P3,P3aHEN,49.1,51.3,95.7115009746589,NA,10,primary
LM_0345,P3,P3aHHB,60.7,60.7,100,NA,0,primary
LM_0339,P3,P3aHIX,48.5,49.6,97.7822580645161,2.62,3,primary
LM_0340,P3,P3aHYV,50.7,54.5,93.0275229357798,NA,8,primary
LM_0333,P3,P3aIAK,51.5,52.7,97.7229601518027,NA,5,primary
