"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"197","E10aOMR","E10",0,0,0,0,0,0,1
"198","E10aOOZ","E10",0,0,0,0,0,0,1
"199","E10aOPZ","E10",0,0,0,0,0,0,1
"200","E10aOTB","E10",NA,NA,NA,NA,NA,NA,1
"201","E10aOVS","E10",0,0,0,0,0,0,1
"202","E10aOXT","E10",0,0,0,0,0,0,1
"203","E10aOZK","E10",0,0,0,0,0,0,1
"204","E10aPAU","E10",0,0,0,0,0,0,1
"205","E10aPHJ","E10",NA,NA,NA,NA,NA,NA,NA
"206","E10aPHT","E10",0,0,0,0,0,0,1
"207","E10aPIY","E10",14,12,8,9,10.75,219387.755102041,1
"208","E10aPKZ","E10",NA,NA,NA,NA,NA,NA,1
"209","E10aPMC","E10",5,2,2,0,2.25,132352.941176471,1
"210","E10aPMN","E10",0,0,0,0,0,0,1
"211","E10aPNK","E10",26,8,9,18,15.25,299019.607843137,1
"212","E10aPON","E10",0,0,0,0,0,0,1
"213","E10aPSI","E10",NA,NA,NA,NA,NA,NA,1
"214","E10aPSW","E10",0,0,0,0,0,0,1
"215","E10aPVS","E10",18,25,23,13,19.75,191747.572815534,1
"216","E10aPZH","E10",0,1,2,1,1,7142.85714285714,1
"217","E10aQBG","E10",0,0,2,0,0.5,2873.5632183908,1
"218","E10aQCJ","E10",7,1,10,4,5.5,137500,1
"219","E10aQDD","E10",NA,NA,NA,NA,NA,NA,1
"220","E10aQFC","E10",0,0,0,0,0,0,1
"221","E10aQHA","E10",0,0,0,0,0,0,1
"222","E10aQHK","E10",0,0,0,0,0,0,1
"223","E10aQIP","E10",NA,NA,NA,NA,NA,NA,NA
"224","E10aQJO","E10",0,0,0,0,0,0,1
"225","E10aQNV","E10",0,0,0,0,0,0,1
"226","E10aQPC","E10",0,0,0,0,0,0,1
"227","E10aQPG","E10",59,40,51,33,45.75,1830000,1
"228","E10aQRQ","E10",NA,NA,NA,NA,NA,NA,NA
"229","E10aQSC","E10",0,2,0,0,0.5,4424.77876106195,1
"230","E10aQSC.1","E10",0,0,0,0,0,0,1
"231","E10aQTG","E10",0,0,0,0,0,0,1
"232","E10aQUT","E10",3,4,2,3,3,13824.8847926267,1
"233","E10aQUW","E10",0,0,0,0,0,0,1
"234","E10aQWN","E10",NA,NA,NA,NA,NA,NA,1
"235","E10aQWZ","E10",0,0,0,0,0,0,1
"236","E10aQYJ","E10",NA,NA,NA,NA,NA,NA,1
"237","E10aQYU","E10",3,0,1,1,1.25,10964.9122807018,1
"238","E10aRBK","E10",4,3,0,1,2,27397.2602739726,1
"239","E10aRFH","E10",0,0,0,0,0,0,1
"240","E10aRHN","E10",0,0,0,0,0,0,1
"241","E10aRHO","E10",0,0,0,0,0,0,1
"242","E10aRIP","E10",NA,NA,NA,NA,NA,NA,NA
"243","E10aRJW","E10",NA,NA,NA,NA,NA,NA,NA
"244","E10aRJY","E10",0,0,0,0,0,0,1
"245","E10aRMO","E10",75,84,72,79,77.5,455882.352941177,1
"246","E10aRNY","E10",1,2,2,2,1.75,17676.7676767677,1
"247","E10aRPZ","E10",0,0,0,0,0,0,1
"248","E10aRQH","E10",NA,NA,NA,NA,NA,NA,1
"249","E10aRRD","E10",0,0,0,0,0,0,1
"250","E10aRVA","E10",0,0,0,0,0,0,1
"251","E10aRZO","E10",0,0,0,0,0,0,1
"252","E10aSAO","E10",NA,NA,NA,NA,NA,NA,1
"253","E10aSBP","E10",0,0,0,0,0,0,1
"254","E10aSDI","E10",23,19,18,12,18,281250,1
"255","E10aSDV","E10",0,0,0,0,0,0,1
"256","E10aSHK","E10",0,0,0,0,0,0,1
"257","E10aSIS","E10",0,0,0,0,0,0,1
"258","E10aSLC","E10",0,0,0,0,0,0,1
"259","E10aSLN","E10",0,0,0,0,0,0,1
"260","E10aSOB","E10",0,0,0,0,0,0,1
"261","E10aSPY","E10",NA,NA,NA,NA,NA,NA,1
"262","E10aSQR","E10",0,0,0,0,0,0,1
"263","E10aSTP","E10",0,0,0,0,0,0,1
"264","E10aSTP.1","E10",0,0,2,0,0.5,3968.25396825397,1
"265","E10aSUW","E10",0,0,0,0,0,0,1
"266","E10aSZL","E10",0,0,0,0,0,0,1
"267","E10aSZV","E10",0,0,0,0,0,0,1
"268","E10aSZX","E10",0,0,0,0,0,0,1
"269","E10aTCS","E10",34,24,31,33,30.5,250000,1
"270","E10aTDF","E10",0,0,0,0,0,0,1
"271","E10aTFM","E10",0,0,0,0,0,0,1
"272","E10aTHK","E10",0,0,0,0,0,0,1
"273","E10aTIK","E10",0,0,0,0,0,0,1
"274","E10aTJL","E10",0,0,0,0,0,0,1
"275","E10aTJP","E10",0,0,0,0,0,0,1
"276","E10aTSD","E10",14,11,13,12,12.5,93984.962406015,1
"277","E10aTSW","E10",NA,NA,NA,NA,NA,NA,1
"278","E10aTXB","E10",5,2,10,7,6,125000,1
"279","E10aUBS","E10",0,0,0,0,0,0,1
"280","E10aUEE","E10",0,0,0,0,0,0,1
"281","E10aUFL","E10",1,1,1,0,0.75,5395.68345323741,1
"282","E10aUGI","E10",0,0,0,0,0,0,1
"283","E10aUKB","E10",NA,NA,NA,NA,NA,NA,NA
"284","E10aULI","E10",NA,NA,NA,NA,NA,NA,NA
"285","E10aUMB","E10",4,8,4,6,5.5,134146.341463415,1
"286","E10aUOJ","E10",0,0,0,0,0,0,1
"287","E10aUOP","E10",0,0,0,0,0,0,1
"288","E10aUQM","E10",0,0,0,0,0,0,1
"289","E10aURA","E10",0,0,0,0,0,0,1
"290","E10aUTC","E10",0,0,0,0,0,0,1
"291","E10aUTY","E10",0,0,0,0,0,0,1
"292","E10aUZM","E10",0,0,0,0,0,0,1
"293","E10aUZY","E10",43,68,46,38,48.75,761718.75,1
"294","E10aUZZ","E10",0,0,0,0,0,0,1
"295","E10aVBF","E10",2,4,3,0,2.25,15517.2413793103,1
"296","E10aVDW","E10",NA,NA,NA,NA,NA,NA,NA
"297","E10aVEX","E10",2,0,1,0,0.75,5639.0977443609,1
"298","E10aVIS","E10",3,5,4,8,5,104166.666666667,1
"299","E10aVIV","E10",17,13,13,14,14.25,95637.5838926174,1
"300","E10aVIW","E10",NA,NA,NA,NA,NA,NA,1
"301","E10aVKD","E10",NA,NA,NA,NA,NA,NA,NA
"302","E10aVKD.1","E10",0,0,0,0,0,0,1
"303","E10aVKF","E10",67,81,81,86,78.75,2625000,1
"304","E10aVLS","E10",19,18,18,32,21.75,115691.489361702,1
"305","E10aVMB","E10",0,0,0,0,0,0,1
"306","E10aVMF","E10",0,0,0,0,0,0,1
"307","E10aVNF","E10",NA,NA,NA,NA,NA,NA,NA
"308","E10aVNV","E10",0,0,0,0,0,0,1
"309","E10aVPQ","E10",3,1,2,5,2.75,16566.265060241,1
"310","E10aVRV","E10",NA,NA,NA,NA,NA,NA,NA
"311","E10aVSN","E10",0,0,0,0,0,0,1
"312","E10aVVZ","E10",106,104,111,112,108.25,909663.865546219,1
"313","E10aVWS","E10",0,0,0,0,0,0,1
"314","E10aVXC","E10",0,0,0,0,0,0,1
"315","E10aVXQ","E10",7,12,7,7,8.25,82500,1
"316","E10aVXW","E10",12,18,12,16,14.5,273584.905660377,1
"317","E10aVYG","E10",0,0,0,0,0,0,1
"318","E10aWCG","E10",0,0,0,0,0,0,1
"319","E10aWDE","E10",0,0,0,0,0,0,1
"320","E10aWDE.1","E10",0,0,0,0,0,0,1
"321","E10aWDM","E10",NA,NA,NA,NA,NA,NA,1
"322","E10aWFI","E10",0,0,0,0,0,0,1
"323","E10aWGZ","E10",NA,NA,NA,NA,NA,NA,1
"324","E10aWJG","E10",NA,NA,NA,NA,NA,NA,NA
"325","E10aWMA","E10",0,0,0,0,0,0,1
"326","E10aWMB","E10",9,7,18,12,11.5,80985.9154929577,1
"327","E10aWOX","E10",32,29,15,26,25.5,1821428.57142857,1
"328","E10aWPM","E10",0,0,0,0,0,0,1
"329","E10aWQA","E10",3,3,1,3,2.5,17361.1111111111,1
"330","E10aWQO","E10",0,0,0,0,0,0,1
"331","E10aWQO.1","E10",0,0,0,0,0,0,1
"332","E10aWWH","E10",11,16,4,14,11.25,200892.857142857,1
