"","EH_ID","dpi","batch","labels","experiment","weight","weight_dpi0","feces_weight","relative_weight","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution","primary_infection","challenge_infection","mouse_strain","delta","IFNy_CEWE","Eim_MC"
"50","LM_0334",3,"b","P3bYNT","P3",46.3,47.3,NA,98.0972515856237,NA,NA,NA,NA,NA,NA,NA,"Eflab","UNI","NMRI",NA,NA,NA
"51","LM_0334",4,"a","P3aKYE","P3",49,50.7,NA,96.6469428007889,NA,NA,NA,NA,NA,NA,NA,"Eflab","UNI","NMRI",NA,NA,NA
"52","LM_0334",4,"b","P3bFWC","P3",46.5,47.3,NA,97.8858350951374,NA,NA,NA,NA,NA,NA,NA,"Eflab","UNI","NMRI",NA,NA,NA
"53","LM_0334",5,"a","P3aXBC","P3",48.5,50.7,NA,95.6607495069034,NA,NA,NA,NA,NA,NA,NA,"Eflab","UNI","NMRI",NA,NA,NA
"54","LM_0334",5,"b","P3bQTR","P3",46.9,47.3,1.6,98.3086680761099,0,0,0,1,0.25,3125,1,"Eflab","UNI","NMRI",NA,NA,NA
"55","LM_0334",6,"a","P3aWRE","P3",48.8,50.7,NA,96.2524654832347,NA,NA,NA,NA,NA,NA,NA,"Eflab","UNI","NMRI",NA,NA,NA
"56","LM_0334",6,"b","P3bQIT","P3",47,47.3,2.25,99.3657505285412,0,0,0,0,0,0,1,"Eflab","UNI","NMRI",NA,NA,NA
"57","LM_0334",7,"a","P3aJIX","P3",47.4,50.7,2.07,93.491124260355,5,5,3,4,4.25,41062.8019323672,1,"Eflab","UNI","NMRI",NA,NA,NA
"58","LM_0334",7,"b","P3bOYV","P3",46.2,47.3,1.59,97.6744186046512,0,0,NA,0,0,NA,1,"Eflab","UNI","NMRI",NA,NA,NA
"59","LM_0334",8,"a","P3aURW","P3",44.6,50.7,0.95,87.9684418145957,4,5,7,8,6,126315.789473684,1,"Eflab","UNI","NMRI",NA,NA,NA
"60","LM_0334",8,"b","P3bRLW","P3",45.1,47.3,2.15,95.3488372093024,0,0,0,0,0,0,1,"Eflab","UNI","NMRI",-4.94,47.4564142166688,"neg"
"61","LM_0334",9,"a","P3aKEG","P3",42.3,50.7,1.06,83.4319526627219,10,6,3,6,6.25,117924.528301887,1,"Eflab","UNI","NMRI",NA,NA,NA
"62","LM_0334",10,"a","P3aJVR","P3",40.2,50.7,0.57,79.2899408284024,0,0,1,1,0.5,17543.8596491228,1,"Eflab","UNI","NMRI",NA,NA,NA
"63","LM_0334",11,"a","P3aJIH","P3",39.4,50.7,0.85,77.7120315581854,0,0,0,0,0,0,1,"Eflab","UNI","NMRI",NA,NA,NA
"64","LM_0335",0,"a","P3aCTE","P3",49.4,49.4,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"65","LM_0335",0,"b","P3bTTH","P3",47,47,NA,100,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
"66","LM_0335",1,"a","P3aSRB","P3",48.2,49.4,NA,97.5708502024292,NA,NA,NA,NA,NA,NA,NA,"E88","UNI","NMRI",NA,NA,NA
