"EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"LM_0368","E10aJRO","E10",21.51,21.51,100,NA,0,"primary"
"LM_0368","E10aSLC","E10",20.23,21.51,94.0492794049279,0.87,1,"primary"
"LM_0368","E10aKVT","E10",20.99,21.51,97.582519758252,1.17,2,"primary"
"LM_0368","E10aYQD","E10",20.86,21.51,96.978149697815,1.29,3,"primary"
"LM_0368","E10aOZK","E10",19.59,21.51,91.0739191073919,1.21,4,"primary"
"LM_0368","E10aZGP","E10",18.37,21.51,85.4021385402139,0.59,5,"primary"
"LM_0368","E10aDFW","E10",19.34,21.51,89.9116689911669,0.77,6,"primary"
"LM_0368","E10aYFC","E10",19.89,21.51,92.4686192468619,0.94,7,"primary"
"LM_0368","E10aBWZ","E10",20.39,21.51,94.793119479312,1.24,8,"primary"
"LM_0368","E10aPMN","E10",20.57,21.51,95.629939562994,1.22,9,"primary"
"LM_0368","E10aJXJ","E10",20.54,21.51,95.4904695490469,1.13,10,"primary"
"LM_0368","E10aYOK","E10",20.99,21.51,97.582519758252,1.65,11,"primary"
"LM_0369","E10aXZT","E10",19.22,19.22,100,NA,0,"primary"
"LM_0369","E10aSZL","E10",18.56,19.22,96.5660770031218,2.13,1,"primary"
"LM_0369","E10aQJO","E10",18.73,19.22,97.4505723204995,1.56,2,"primary"
"LM_0369","E10aZXG","E10",18.06,19.22,93.9646201873049,2.3,3,"primary"
"LM_0369","E10aEDH","E10",18.49,19.22,96.2018730489074,1.82,4,"primary"
"LM_0369","E10aKSO","E10",17.85,19.22,92.8720083246618,1.63,5,"primary"
"LM_0369","E10aBAM","E10",16.67,19.22,86.732570239334,1.22,6,"primary"
"LM_0369","E10aVLS","E10",17.68,19.22,91.9875130072841,1.88,7,"primary"
"LM_0369","E10aQBG","E10",17.82,19.22,92.7159209157128,1.74,8,"primary"
"LM_0369","E10aYKG","E10",17.37,19.22,90.3746097814776,1.93,9,"primary"
"LM_0369","E10aDQH","E10",17.54,19.22,91.2591050988554,2.2,10,"primary"
"LM_0369","E10aNKZ","E10",17.19,19.22,89.4380853277836,1.41,11,"primary"
"LM_0370","E10aWJG","E10",16.25,16.25,100,NA,0,"primary"
"LM_0370","E10aXTF","E10",16.49,16.25,101.476923076923,1,1,"primary"
"LM_0370","E10aNJY","E10",16.47,16.25,101.353846153846,0.98,2,"primary"
"LM_0370","E10aZAD","E10",16.62,16.25,102.276923076923,1.09,3,"primary"
"LM_0370","E10aAEM","E10",15.6,16.25,96,1.29,4,"primary"
"LM_0370","E10aCNW","E10",15.17,16.25,93.3538461538462,1.27,5,"primary"
"LM_0370","E10aGSN","E10",16.11,16.25,99.1384615384615,1.24,6,"primary"
"LM_0370","E10aRMO","E10",16.71,16.25,102.830769230769,1.7,7,"primary"
"LM_0370","E10aVIV","E10",17.26,16.25,106.215384615385,1.49,8,"primary"
"LM_0370","E10aWQA","E10",17.93,16.25,110.338461538462,1.44,9,"primary"
"LM_0370","E10aBRU","E10",17.78,16.25,109.415384615385,1.01,10,"primary"
"LM_0370","E10aAYM","E10",17.38,16.25,106.953846153846,1.22,11,"primary"
"LM_0371","E10aRIP","E10",16.15,16.15,100,NA,0,"primary"
"LM_0371","E10aOOZ","E10",15.89,16.15,98.390092879257,0.94,1,"primary"
"LM_0371","E10aQWZ","E10",14.9,16.15,92.2600619195046,1.2,2,"primary"
"LM_0371","E10aTIK","E10",15.31,16.15,94.7987616099071,1.38,3,"primary"
"LM_0371","E10aGNT","E10",13.89,16.15,86.0061919504644,1.2,4,"primary"
"LM_0371","E10aKBG","E10",12.62,16.15,78.1424148606811,0.2,5,"primary"
"LM_0371","E10aBRN","E10",NA,16.15,NA,NA,6,"primary"
"LM_0371","E10aNMG","E10",NA,16.15,NA,NA,7,"primary"
"LM_0371","E10aJIT","E10",NA,16.15,NA,NA,8,"primary"
"LM_0371","E10aOTB","E10",NA,16.15,NA,NA,9,"primary"
"LM_0371","E10aYFE.1","E10",NA,16.15,NA,NA,10,"primary"
"LM_0371","E10aWGZ","E10",NA,16.15,NA,NA,11,"primary"
"LM_0372","E10aFRH","E10",22.87,22.87,100,NA,0,"primary"
"LM_0372","E10aUZM","E10",22.88,22.87,100.04372540446,1.27,1,"primary"
"LM_0372","E10aZIH","E10",23.07,22.87,100.8745080892,1.42,2,"primary"
"LM_0372","E10aDMH","E10",21.19,22.87,92.6541320507215,1.15,3,"primary"
"LM_0372","E10aBKA","E10",20.32,22.87,88.8500218627022,1.21,4,"primary"
"LM_0372","E10aFZA","E10",19.75,22.87,86.3576738084827,1.17,5,"primary"
"LM_0372","E10aCBO","E10",20.42,22.87,89.2872759073022,1.04,6,"primary"
"LM_0372","E10aWMB","E10",20.89,22.87,91.3423699169217,1.42,7,"primary"
"LM_0372","E10aAHH","E10",20.55,22.87,89.855706165282,1.53,8,"primary"
"LM_0372","E10aCGR","E10",21.28,22.87,93.0476606908614,1.54,9,"primary"
"LM_0372","E10aAAX","E10",21.18,22.87,92.6104066462615,1.42,10,"primary"
"LM_0372","E10aTFM","E10",20.99,22.87,91.7796239615216,1.58,11,"primary"
"LM_0373","E10aOLO","E10",25.04,25.04,100,NA,0,"primary"
"LM_0373","E10aSTP","E10",24.47,25.04,97.723642172524,2.87,1,"primary"
"LM_0373","E10aCZQ","E10",24.4,25.04,97.444089456869,1.32,2,"primary"
"LM_0373","E10aIVO","E10",23.39,25.04,93.4105431309904,1.39,3,"primary"
"LM_0373","E10aQUT","E10",22.78,25.04,90.9744408945687,2.17,4,"primary"
"LM_0373","E10aBXR","E10",22.55,25.04,90.055910543131,0.92,5,"primary"
"LM_0373","E10aGYP","E10",22.21,25.04,88.6980830670927,1.43,6,"primary"
"LM_0373","E10aIMN","E10",22.12,25.04,88.3386581469649,1.41,7,"primary"
"LM_0373","E10aEJZ","E10",22.63,25.04,90.3753993610224,2.34,8,"primary"
"LM_0373","E10aIMD","E10",23.22,25.04,92.7316293929712,1.82,9,"primary"
"LM_0373","E10aWQO.1","E10",22.99,25.04,91.8130990415336,1.64,10,"primary"
"LM_0373","E10aAXX","E10",23.24,25.04,92.8115015974441,1.94,11,"primary"
"LM_0374","E10aLTC","E10",17.27,17.27,100,NA,0,"primary"
"LM_0374","E10aUGI","E10",16.52,17.27,95.6572090330052,0.91,1,"primary"
"LM_0374","E10aCBY","E10",16.2,17.27,93.8042848870874,0.64,2,"primary"
"LM_0374","E10aYRA","E10",15.88,17.27,91.9513607411697,0.86,3,"primary"
"LM_0374","E10aVXQ","E10",14.91,17.27,86.3346844238564,1,4,"primary"
"LM_0374","E10aMFO","E10",14.28,17.27,82.6867400115808,0.83,5,"primary"
"LM_0374","E10aHRM","E10",12.59,17.27,72.9009843659525,0.44,6,"primary"
"LM_0374","E10aPKZ","E10",NA,17.27,NA,NA,7,"primary"
"LM_0374","E10aJCW","E10",NA,17.27,NA,NA,8,"primary"
"LM_0374","E10aFZY","E10",NA,17.27,NA,NA,9,"primary"
"LM_0374","E10aGAW","E10",NA,17.27,NA,NA,10,"primary"
"LM_0374","E10aTSW","E10",NA,17.27,NA,NA,11,"primary"
"LM_0375","E10aJGM","E10",15.05,15.05,100,NA,0,"primary"
"LM_0375","E10aVMB","E10",14.35,15.05,95.3488372093023,0.51,1,"primary"
"LM_0375","E10aMFI","E10",14.63,15.05,97.2093023255814,0.61,2,"primary"
"LM_0375","E10aKZX","E10",14.54,15.05,96.6112956810631,1.2,3,"primary"
"LM_0375","E10aFHY","E10",12.78,15.05,84.9169435215947,2.05,4,"primary"
"LM_0375","E10aLEJ","E10",12.66,15.05,84.1196013289036,1,5,"primary"
"LM_0375","E10aZQX","E10",12.87,15.05,85.5149501661129,1.82,6,"primary"
"LM_0375","E10aFTF","E10",14.36,15.05,95.4152823920266,1.59,7,"primary"
"LM_0375","E10aLFS","E10",15.22,15.05,101.129568106312,1.84,8,"primary"
"LM_0375","E10aGMG","E10",14.95,15.05,99.3355481727575,1.77,9,"primary"
"LM_0375","E10aCLD","E10",15.42,15.05,102.458471760797,1.46,10,"primary"
"LM_0375","E10aQHA","E10",15.24,15.05,101.262458471761,1.34,11,"primary"
"LM_0376","E10aPHJ","E10",17.77,17.77,100,NA,0,"primary"
"LM_0376","E10aNED","E10",17.27,17.77,97.1862689926843,1.28,1,"primary"
"LM_0376","E10aERA","E10",17.47,17.77,98.3117613956106,1.07,2,"primary"
"LM_0376","E10aUTC","E10",17.53,17.77,98.6494091164885,1.52,3,"primary"
"LM_0376","E10aQSC","E10",16.52,17.77,92.9656724817108,1.13,4,"primary"
"LM_0376","E10aGCI","E10",15.68,17.77,88.2386043894204,0.96,5,"primary"
"LM_0376","E10aGFV","E10",16.67,17.77,93.8097917839055,0.89,6,"primary"
"LM_0376","E10aXZZ","E10",16.26,17.77,91.5025323579066,1.17,7,"primary"
"LM_0376","E10aMVN","E10",16.31,17.77,91.7839054586382,1.11,8,"primary"
"LM_0376","E10aOMR","E10",16.47,17.77,92.6842993809792,0.88,9,"primary"
"LM_0376","E10aKOV","E10",16.73,17.77,94.1474395047834,1.12,10,"primary"
"LM_0376","E10aYJX","E10",16.87,17.77,94.9352841868318,1.11,11,"primary"
"LM_0377","E10aFWR","E10",18.02,18.02,100,NA,0,"primary"
"LM_0377","E10aWDE","E10",17.98,18.02,99.7780244173141,1.09,1,"primary"
"LM_0377","E10aDBR","E10",17.16,18.02,95.2275249722531,1.07,2,"primary"
