EH_ID,Target,Value,Quality,Call
AA0298,IDO1,999,0,Flag
AA0338,IDO1,11.0181183142729,0.864639778911441,Pass
AA0301,IDO1,20.506295071602,1,Pass
AA0550,IDO1,8.50468436155596,0.701041738471883,Pass
AA0303,IDO1,23.7565968920982,1,Pass
AA0395,IDO1,9.65195054909329,0.768111865823125,Pass
AA0298,IDO1,22.1003492904441,0.634875545022499,Flag
AA0338,IDO1,11.0206595127546,0.506420146956143,Flag
AA0301,IDO1,19.3770549346473,1,Pass
AA0550,IDO1,13.0923060894749,0.530508089179039,Flag
AA0303,IDO1,20.3479957420081,1,Pass
AA0395,IDO1,14.565799887599,0.569954107861025,Flag
AA0319,IDO1,999,0,Flag
AA0793,IDO1,15.6135680843461,1,Pass
AA0320,IDO1,10.7614015882426,0.986970826310247,Pass
AA0620,IDO1,24.1699160398573,1,Pass
AA0323,IDO1,10.2756103197323,0.942910725319715,Pass
AA0782,IDO1,9.12814578232219,0.54711758953381,Flag
AA0319,IDO1,999,0,Flag
AA0793,IDO1,10.8616526019317,0.881870100490942,Pass
AA0320,IDO1,10.5559135562883,0.907609275573104,Pass
AA0620,IDO1,22.1960490361952,0.882037664245541,Pass
AA0323,IDO1,10.2892589713245,0.541325919211197,Flag
AA0782,IDO1,15.1505069109186,0.505166271040717,Flag
AA0332,IDO1,999,0,Flag
AA0537,IDO1,13.191321302098,0.97556350900436,Pass
AA0334,IDO1,13.2212961832397,0.950747494130128,Pass
AA0536,IDO1,9.4773869626499,0.645884675226993,Flag
AA0336,IDO1,13.3053178877608,0.965979710626741,Pass
AA0551,IDO1,12.6215627336927,0.960774464240467,Pass
AA0332,IDO1,20.2504075739797,0.867128646834057,Pass
AA0537,IDO1,10.751637668881,0.54743317900862,Flag
AA0334,IDO1,12.4745595314746,0.94294911733611,Pass
AA0536,IDO1,12.5263507539125,0.58164373423851,Flag
AA0336,IDO1,12.477239231169,0.871529179836392,Pass
AA0551,IDO1,12.3149381588628,0.803346485027853,Pass
AA0396,IDO1,19.6751554109207,1,Pass
AA0546,IDO1,14.4856093709564,1,Pass
AA0397,IDO1,22.0920331352708,1,Pass
AA0538,IDO1,10.5525327185809,0.791819424207596,Pass
AA0400,IDO1,999,0,Flag
AA0553,IDO1,11.8064111289169,0.94852525062099,Pass
AA0396,IDO1,15.7675109635043,1,Pass
AA0546,IDO1,13.6742764341778,0.575393454171367,Flag
AA0397,IDO1,18.8451156513033,1,Pass
AA0538,IDO1,10.3094871596175,0.49096639254976,Flag
AA0400,IDO1,999,0,Flag
AA0553,IDO1,11.8135863991912,0.872885675852415,Pass
AA0539,IDO1,10.8796078801776,0.947358760583299,Pass
AA0431,IDO1,10.9473648519825,1,Pass
AA0794,IDO1,10.7038873366324,0.719943163311961,Pass
AA0429,IDO1,10.0397388610554,0.76856031571929,Pass
AA0549,IDO1,10.3854946428512,0.944705577475818,Pass
AA0428,IDO1,16.1839696102404,1,Pass
AA0539,IDO1,10.6477872158846,0.851328905508705,Pass
AA0431,IDO1,10.3013638188539,0.720283285995458,Pass
AA0794,IDO1,18.1812971497106,0.691319391244672,Pass
AA0429,IDO1,12.0706305596544,0.493087990467597,Flag
AA0549,IDO1,15.0823629251731,0.491613490157944,Flag
AA0428,IDO1,11.1339824103277,0.799091244080016,Pass
