"","experiment","labels","EH_ID","dpi","weight","batch","relative_weight","weight_dpi0","feces_weight","infection_history","primary_infection","challenge_infection","mouse_strain","sex","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","OPG","dilution"
"1","E10","E10aAAX","LM_0372",10,21.18,"a",92.6104066462615,22.87,1.42,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"2","E10","E10aABE","LM_0394",2,16.01,"a",110.566298342541,14.48,0.83,"UNI:UNI","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"3","E10","E10aADZ","LM_0381",8,11.74,"a",79.3243243243243,14.8,0.34,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,8,3,15,11,9.25,272058.823529412,1
"4","E10","E10aAEM","LM_0370",4,15.6,"a",96,16.25,1.29,"E64:E64","E64",NA,"PWD_PWD",NA,20,16,15,7,14.5,112403.100775194,1
"5","E10","E10aAEX","LM_0383",9,11.17,"a",79.5584045584046,14.04,NA,"E88:E88","E88",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,1
"6","E10","E10aAFG","LM_0384",1,19.29,"a",100.051867219917,19.28,1.01,"E88:E64","E88",NA,"SCHUNT_SCHUNT",NA,0,0,0,0,0,0,1
"7","E10","E10aAHH","LM_0372",8,20.55,"a",89.855706165282,22.87,1.53,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,0,0,0,3,0.75,4901.96078431373,1
"8","E10","E10aAHK","LM_0397",5,17.81,"a",96.5311653116531,18.45,1.35,"UNI:E64","UNI",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"9","E10","E10aAOU","LM_0380",5,20.08,"a",101.311806256307,19.82,0.98,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,4,4,5,7,5,51020.4081632653,1
"10","E10","E10aAQA","LM_0399",0,15.27,"a",100,15.27,NA,"UNI:E88","UNI",NA,"PWD_PWD",NA,NA,NA,NA,NA,NA,NA,NA
"11","E10","E10aAWA","LM_0383",4,13.27,"a",94.5156695156695,14.04,0.81,"E88:E88","E88",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"12","E10","E10aAXX","LM_0373",11,23.24,"a",92.8115015974441,25.04,1.94,"E64:E88","E64",NA,"SCHUNT_SCHUNT",NA,1,2,0,0,0.75,3865.9793814433,1
"13","E10","E10aAYM","LM_0370",11,17.38,"a",106.953846153846,16.25,1.22,"E64:E64","E64",NA,"PWD_PWD",NA,0,0,0,0,0,0,1
"14","E10","E10aBAA","LM_0381",5,14.54,"a",98.2432432432432,14.8,0.87,"E88:E88","E88",NA,"SCHUNT_SCHUNT",NA,1,3,4,4,3,34482.7586206897,1
"15","E10","E10aBAM","LM_0369",6,16.67,"a",86.732570239334,19.22,1.22,"E64:E64","E64",NA,"SCHUNT_SCHUNT",NA,18,21,18,16,18.25,149590.163934426,1
