EH_ID,Eim_MC,delta
LM_0352,TRUE,3.95306666666666
LM_0353,TRUE,3.20803333333334
LM_0354,FALSE,-7.57086666666667
LM_0355,FALSE,-5.20748333333334
LM_0356,TRUE,-7.3878
LM_0357,TRUE,-4.1202
LM_0358,TRUE,-5.42953333333333
LM_0359,FALSE,-8.60266666666667
LM_0361,TRUE,-4.80946666666667
LM_0363,FALSE,-8.59073333333333
LM_0364,TRUE,4.01653333333333
LM_0365,TRUE,1.439
LM_0367,FALSE,-7.04906666666666
LM_0366,TRUE,2.18866753084627
