labels,EH_ID,dpi,weight,relative_weight,feces_weight,weight_dpi0,experiment,dissection_dpi
EPT,LM0146,0,19.8,100,845,19.8,E4,
EHR,LM0147,0,15.6,100,1198,15.6,E4,
IMX,LM0148,0,17.6,100,1027,17.6,E4,
AHT,LM0149,0,20.7,100,0.82,20.7,E4,
PVX,LM0150,0,19.3,100,1.12,19.3,E4,
IKQ,LM0151,0,29.5,100,1.92,29.5,E4,
FNQ,LM0152,0,18.1,100,0.79,18.1,E4,
OQV,LM0153,0,12.7,100,0.48,12.7,E4,
CRY,LM0154,0,15,100,0.55,15,E4,
PVY,LM0155,0,NA,NA,NA,NA,E4,
CRX,LM0156,0,17.6,100,1.01,17.6,E4,
LOR,LM0157,0,25.9,100,0.61,25.9,E4,
CTU,LM0158,0,30.1,100,0.59,30.1,E4,
GKT,LM0159,0,15.8,100,0.86,15.8,E4,
RSY,LM0160,0,12.4,100,0.69,12.4,E4,
DEO,LM0161,0,36.6,100,1.22,36.6,E4,
FPR,LM0162,0,17.3,100,0.64,17.3,E4,
KWY,LM0163,0,17.3,100,1.03,17.3,E4,
HMS,LM0164,0,23.8,100,0.85,23.8,E4,
GOU,LM0165,0,20.3,100,0.53,20.3,E4,
GRV,LM0166,0,30.2,100,1,30.2,E4,
AFO,LM0167,0,13.5,100,0.57,13.5,E4,
BKN,LM0168,0,27,100,1.21,27,E4,
GIQ,LM0169,0,14.7,100,0.72,14.7,E4,
BGN,LM0170,0,22.4,100,0.4,22.4,E4,
CHV,LM0171,0,14,100,0.37,14,E4,
EFQ,LM0172,0,19,100,1.1,19,E4,
HLN,LM0173,0,15.3,100,1.58,15.3,E4,
CHR,LM0174,0,16.9,100,0.7,16.9,E4,
PST,LM0175,0,26.5,100,1.17,26.5,E4,
CIL,LM0176,0,22.5,100,0.46,22.5,E4,
ANR,LM0177,0,14.8,100,1.18,14.8,E4,
CHI,LM0178,0,18.1,100,0.9,18.1,E4,
IOW,LM0146,1,19.6,98.989898989899,1.07,19.8,E4,
DPX,LM0147,1,16.1,103.205128205128,1.1,15.6,E4,
DFR,LM0148,1,17.3,98.2954545454546,1.65,17.6,E4,
AOQ,LM0149,1,20.8,100.48309178744,1.39,20.7,E4,
GHY,LM0150,1,19.5,101.036269430052,1.33,19.3,E4,
JUZ,LM0151,1,29.8,101.016949152542,1.23,29.5,E4,
FHR,LM0152,1,18,99.4475138121547,1.02,18.1,E4,
EFO,LM0153,1,12.3,96.8503937007874,0.42,12.7,E4,
HUW,LM0154,1,15.1,100.666666666667,0.56,15,E4,
GSW,LM0155,1,NA,NA,,NA,E4,
JPR,LM0156,1,17.9,101.704545454545,1.03,17.6,E4,
QVY,LM0157,1,25.9,100,0.76,25.9,E4,
HVW,LM0158,1,30.5,101.328903654485,1.4,30.1,E4,
IMQ,LM0159,1,16.1,101.898734177215,1.49,15.8,E4,
DMU,LM0160,1,11.5,92.741935483871,0.11,12.4,E4,
BKS,LM0161,1,35.9,98.0874316939891,0.84,36.6,E4,
BHY,LM0162,1,17,98.2658959537572,1.05,17.3,E4,
ARS,LM0163,1,17.5,101.156069364162,1.24,17.3,E4,
APV,LM0164,1,23.5,98.7394957983193,1.21,23.8,E4,
FYZ,LM0165,1,20.8,102.463054187192,1.07,20.3,E4,
PWX,LM0166,1,30.2,100,1.31,30.2,E4,
ANP,LM0167,1,13.4,99.2592592592593,0.52,13.5,E4,
DKP,LM0168,1,26.5,98.1481481481482,2.12,27,E4,
OPT,LM0169,1,14.9,101.360544217687,0.64,14.7,E4,
DHK,LM0170,1,22.2,99.1071428571429,0.77,22.4,E4,
JKM,LM0171,1,14,100,0.45,14,E4,
LSZ,LM0172,1,18.8,98.9473684210526,2.31,19,E4,
ILM,LM0173,1,14.5,94.7712418300653,1.44,15.3,E4,
BCP,LM0174,1,16.6,98.2248520710059,1.06,16.9,E4,
AFM,LM0175,1,26.2,98.8679245283019,1.1,26.5,E4,
AIQ,LM0176,1,22.8,101.333333333333,0.71,22.5,E4,
HIR,LM0177,1,15.5,104.72972972973,0.63,14.8,E4,
JMX,LM0178,1,18,99.4475138121547,1.28,18.1,E4,
BJK,LM0146,2,19.8,100,1.29,19.8,E4,
BEX,LM0147,2,16.6,106.410256410256,0.84,15.6,E4,
FMO,LM0148,2,17.5,99.4318181818182,0.97,17.6,E4,
BCK,LM0149,2,20.7,100,1.12,20.7,E4,
GLU,LM0150,2,18.5,95.8549222797928,0.85,19.3,E4,
HJL,LM0151,2,31,105.084745762712,1.47,29.5,E4,
AJX,LM0152,2,17.9,98.8950276243094,0.77,18.1,E4,
FKX,LM0153,2,12.5,98.4251968503937,0.4,12.7,E4,
DFW,LM0154,2,14.3,95.3333333333334,0.81,15,E4,
MQU,LM0155,2,,NA,,NA,E4,
GVX,LM0156,2,17.7,100.568181818182,1,17.6,E4,
ADG,LM0157,2,26.6,102.702702702703,0.72,25.9,E4,
MWX,LM0158,2,31.6,104.983388704319,0.52,30.1,E4,
BEZ,LM0159,2,15.3,96.8354430379747,0.83,15.8,E4,
IJS,LM0160,2,10.9,87.9032258064516,0.18,12.4,E4,
DGM,LM0161,2,36.9,100.819672131148,1.07,36.6,E4,
DKO,LM0162,2,17.2,99.4219653179191,0.86,17.3,E4,
GHL,LM0163,2,17.5,101.156069364162,0.56,17.3,E4,
ILO,LM0164,2,24.2,101.680672268908,0.86,23.8,E4,
GMO,LM0165,2,18.5,91.1330049261084,0.56,20.3,E4,
CEL,LM0166,2,31.1,102.980132450331,0.83,30.2,E4,
LRU,LM0167,2,13.6,100.740740740741,0.28,13.5,E4,
OSZ,LM0168,2,27.8,102.962962962963,0.8,27,E4,
KRX,LM0169,2,14.9,101.360544217687,0.4,14.7,E4,
FOZ,LM0170,2,22.8,101.785714285714,0.98,22.4,E4,
