"","EH_ID","pop","infHistory","counts"
"1","LM_0227","CD4","E88:E64",44.9
"2","LM_0227","Treg","E88:E64",6.385
"3","LM_0227","Div_Treg","E88:E64",16.205
"4","LM_0227","Treg17","E88:E64",13.52
"5","LM_0227","Treg_prop","E88:E64",93.605
"6","LM_0227","Th1","E88:E64",6.78
"7","LM_0227","Div_Th1","E88:E64",71.2
"8","LM_0227","Th17","E88:E64",0.89
"9","LM_0227","Div_Th17","E88:E64",46.875
"10","LM_0227","CD8","E88:E64",14.39
"11","LM_0227","Act_CD8","E88:E64",11.5
"12","LM_0227","Div_Act_CD8","E88:E64",49.52
"13","LM_0227","IFNy_CD4","E88:E64",4.915
"14","LM_0227","IL17A_CD4","E88:E64",0.415
"15","LM_0227","IFNy_CD8","E88:E64",21.74
"16","LM_0228","CD4","E88:E64",46.145
"17","LM_0228","Treg","E88:E64",7.005
"18","LM_0228","Div_Treg","E88:E64",21.365
"19","LM_0228","Treg17","E88:E64",11.565
"20","LM_0228","Treg_prop","E88:E64",92.97
"21","LM_0228","Th1","E88:E64",10.92
"22","LM_0228","Div_Th1","E88:E64",75.115
"23","LM_0228","Th17","E88:E64",1.075
"24","LM_0228","Div_Th17","E88:E64",42.39
"25","LM_0228","CD8","E88:E64",13.84
"26","LM_0228","Act_CD8","E88:E64",13.205
"27","LM_0228","Div_Act_CD8","E88:E64",59.09
"28","LM_0228","IFNy_CD4","E88:E64",9.085
"29","LM_0228","IL17A_CD4","E88:E64",0.385
"30","LM_0228","IFNy_CD8","E88:E64",27.535
"31","LM_0229","CD4","E88:E88",56.22
"32","LM_0229","Treg","E88:E88",7.15
"33","LM_0229","Div_Treg","E88:E88",12.455
"34","LM_0229","Treg17","E88:E88",9.505
"35","LM_0229","Treg_prop","E88:E88",92.845
"36","LM_0229","Th1","E88:E88",2.965
"37","LM_0229","Div_Th1","E88:E88",19.84
"38","LM_0229","Th17","E88:E88",1.63
"39","LM_0229","Div_Th17","E88:E88",30.055
"40","LM_0229","CD8","E88:E88",10.02
"41","LM_0229","Act_CD8","E88:E88",10.915
"42","LM_0229","Div_Act_CD8","E88:E88",11.535
"43","LM_0229","IFNy_CD4","E88:E88",3.045
"44","LM_0229","IL17A_CD4","E88:E88",0.575
"45","LM_0229","IFNy_CD8","E88:E88",41.36
"46","LM_0231","CD4","E88:E64",40.59
"47","LM_0231","Treg","E88:E64",6.45
"48","LM_0231","Div_Treg","E88:E64",23.76
"49","LM_0231","Treg17","E88:E64",12.78
"50","LM_0231","Treg_prop","E88:E64",93.505
