"","labels","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","primary","challenge","infHistory","OPG"
"1","P3aABJ","LM_0343",11,51.1,59.8,NA,85.4515050167224,"E139","UNI","E139:UNI",NA
"2","P3aAHL","LM_0341",11,53.2,59.1,NA,90.0169204737733,"E139","E88","E139:E88",NA
"3","P3aANQ","LM_0346",0,53.9,53.9,NA,100,"UNI","UNI","UNI:UNI",NA
"4","P3aATV","LM_0333",8,49,52.7,1.72,92.9791271347249,"Eflab","E64","Eflab:E64",47238.3720930233
"5","P3aAWB","LM_0339",2,45.6,49.6,NA,91.9354838709677,"E64","E64","E64:E64",NA
"6","P3aAZR","LM_0336",9,43.7,51.9,1.02,84.2003853564547,"E88","E64","E88:E64",116421.568627451
"7","P3aBBD","LM_0332",10,47.6,61.2,0.27,77.7777777777778,"Eflab","E88","Eflab:E88",18518.5185185185
"8","P3aBEO","LM_0339",9,46.4,49.6,NA,93.5483870967742,"E64","E64","E64:E64",NA
"9","P3aBOM","LM_0336",4,51,51.9,NA,98.2658959537572,"E88","E64","E88:E64",NA
"10","P3aBSJ","LM_0337",11,40.8,44.7,2.49,91.2751677852349,"E88","UNI","E88:UNI",3012.04819277108
"11","P3aBUF","LM_0337",4,44.8,44.7,NA,100.223713646532,"E88","UNI","E88:UNI",NA
"12","P3aBVL","LM_0343",9,51.8,59.8,NA,86.6220735785953,"E139","UNI","E139:UNI",NA
"13","P3aBXM","LM_0339",0,49.6,49.6,NA,100,"E64","E64","E64:E64",NA
"14","P3aCCY","LM_0345",9,57.3,60.7,4.44,94.3986820428336,"UNI","E64","UNI:E64",NA
"15","P3aCES","LM_0340",0,54.5,54.5,NA,100,"E64","UNI","E64:UNI",NA
"16","P3aCHZ","LM_0335",6,47.5,49.4,NA,96.1538461538462,"E88","UNI","E88:UNI",NA
"17","P3aCMY","LM_0339",1,48.6,49.6,NA,97.9838709677419,"E64","E64","E64:E64",NA
"18","P3aCNK","LM_0345",11,56.7,60.7,NA,93.4102141680395,"UNI","E64","UNI:E64",NA
"19","P3aCNK","LM_0343",10,51.3,59.8,NA,85.7859531772575,"E139","UNI","E139:UNI",NA
"20","P3aCNS","LM_0335",4,47.7,49.4,NA,96.5587044534413,"E88","UNI","E88:UNI",NA
"21","P3aCNX","LM_0337",0,44.7,44.7,NA,100,"E88","UNI","E88:UNI",NA
"22","P3aCTE","LM_0335",0,49.4,49.4,NA,100,"E88","UNI","E88:UNI",NA
"23","P3aCWN","LM_0341",9,53.6,59.1,NA,90.6937394247039,"E139","E88","E139:E88",NA
"24","P3aCXA","LM_0339",7,46.6,49.6,1.93,93.9516129032258,"E64","E64","E64:E64",275906.735751295
"25","P3aCXB","LM_0342",8,52.6,57,NA,92.280701754386,"E139","E64","E139:E64",NA
"26","P3aDAL","LM_0344",5,50.7,51.4,3.15,98.6381322957199,"UNI","E88","UNI:E88",0
"27","P3aDGB","LM_0336",1,46.6,51.9,NA,89.7880539499037,"E88","E64","E88:E64",NA
"28","P3aDHR","LM_0336",6,49.6,51.9,NA,95.5684007707129,"E88","E64","E88:E64",NA
"29","P3aDJM","LM_0343",7,51,59.8,1.13,85.2842809364548,"E139","UNI","E139:UNI",19911.5044247788
"30","P3aDNK","LM_0344",4,51.2,51.4,NA,99.6108949416343,"UNI","E88","UNI:E88",NA
"31","P3aDQQ","LM_0337",6,45,44.7,NA,100.671140939597,"E88","UNI","E88:UNI",NA
"32","P3aDSK","LM_0346",1,54.9,53.9,NA,101.855287569573,"UNI","UNI","UNI:UNI",NA
"33","P3aDTY","LM_0343",4,56.2,59.8,2.77,93.9799331103679,"E139","UNI","E139:UNI",0
"34","P3aDUN","LM_0347",7,65.5,71.5,3.75,91.6083916083916,"E88","E88","E88:E88",91000
"35","P3aDWK","LM_0334",0,50.7,50.7,NA,100,"Eflab","UNI","Eflab:UNI",NA
"36","P3aDWO","LM_0338",7,46.4,51.3,2.61,90.448343079922,"E64","E88","E64:E88",43582.3754789272
"37","P3aDXD","LM_0346",8,52.4,53.9,3.7,97.2170686456401,"UNI","UNI","UNI:UNI",0
"38","P3aDYV","LM_0341",8,51.4,59.1,NA,86.9712351945854,"E139","E88","E139:E88",NA
"39","P3aEDH","LM_0347",4,68,71.5,NA,95.1048951048951,"E88","E88","E88:E88",NA
"40","P3aEEZ","LM_0338",5,46.4,51.3,1.94,90.448343079922,"E64","E88","E64:E88",68943.2989690722
"41","P3aENK","LM_0333",11,43.2,52.7,1.45,81.9734345351044,"Eflab","E64","Eflab:E64",0
"42","P3aETL","LM_0337",7,44.7,44.7,3.44,100,"E88","UNI","E88:UNI",18895.3488372093
"43","P3aEWW","LM_0333",1,51.8,52.7,NA,98.292220113852,"Eflab","E64","Eflab:E64",NA
"44","P3aEXU","LM_0346",2,53.5,53.9,NA,99.2578849721707,"UNI","UNI","UNI:UNI",NA
