experiment,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,oocyst_mean
E3,AB,4,2,2,5,1,3.25
E3,AC,0,0,0,0,1,0
E3,AD,17,19,22,20,1,19.5
E3,AE,1,0,1,0,1,0.5
E3,AF,0,0,0,0,1,0
E3,AJ,0,0,0,0,1,0
E3,AK,0,0,1,0,1,0.25
E3,AM,0,0,0,0,1,0
E3,AN,2,0,0,0,1,0.5
E3,AO,10,7,9,6,1,8
E3,AQ,6,4,8,9,1,6.75
E3,AR,0,0,0,0,1,0
E3,AS,0,0,0,0,1,0
E3,AT,0,0,0,0,1,0
E3,AU,55,57,78,60,1,62.5
E3,AV,76,93,83,117,1,92.25
E3,AX,0,0,0,0,1,0
E3,AY,0,0,0,0,1,0
E3,BC,0,0,0,0,1,0
E3,BD,0,0,1,0,1,0.25
E3,BF,0,0,0,0,1,0
E3,BG,2,0,5,2,1,2.25
E3,BH,24,11,14,15,1,16
E3,BI,0,0,0,0,1,0
E3,BJ,0,0,0,0,1,0
E3,BL,0,0,0,0,1,0
E3,BM,0,0,0,0,1,0
E3,BN,151,182,133,219,1,171.25
E3,BO,0,0,0,0,1,0
E3,BS,0,0,0,0,1,0
E3,BT,51,65,74,69,1,64.75
E3,BU,4,3,4,9,1,5
E3,BW,0,0,0,0,1,0
E3,BX,80,73,90,101,1,86
E3,BY,137,120,146,120,1,130.75
E3,BZ,117,104,206,172,1,149.75
E3,CD,60,74,93,71,1,74.5
E3,CE,0,0,0,0,1,0
E3,CH,0,0,0,0,1,0
E3,CJ,27,44,62,77,1,52.5
E3,CK,2,4,1,2,1,2.25
E3,CL,0,0,0,0,1,0
E3,CM,15,8,8,9,1,10
E3,CN,3,1,2,2,1,2
E3,CO,0,0,0,0,1,0
E3,CP,80,78,90,86,1,83.5
E3,CR,1,0,1,1,1,0.75
E3,CS,1,0,1,0,1,0.5
E3,CT,44,72,101,48,1,66.25
E3,CU,20,30,33,30,1,28.25
E3,CX,50,29,27,31,1,34.25
E3,CY,2,0,3,0,1,1.25
E3,DE,24,25,26,26,1,25.25
E3,DF,43,31,46,32,1,38
E3,DG,0,1,3,4,1,2
E3,DH,0,0,0,0,1,0
E3,DI,0,1,0,0,1,0.25
E3,DJ,0,0,0,0,1,0
E3,DK,0,0,0,0,1,0
E3,DM,0,0,0,0,1,0
E3,DN,0,0,0,0,1,0
E3,DO,2,5,4,5,1,4
E3,DQ,0,0,0,0,1,0
E3,DS,0,0,0,0,1,0
E3,DU,0,0,0,0,1,0
E3,DV,23,46,54,51,1,43.5
E3,DW,63,73,62,51,1,62.25
E3,DX,0,0,0,0,1,0
E3,DY,1,1,7,5,1,3.5
