labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean
MLZ,0,0,0,0,0
CQB,0,0,0,0,0
WXZ,0,0,0,0,0
YMB,0,0,0,0,0
RBK,0,0,0,0,0
FMM,0,0,0,0,0
SBW,0,0,0,0,0
PYV,0,0,0,0,0
LKJ,0,0,0,0,0
WTX,0,0,0,0,0
JRA,0,0,0,0,0
IWL,0,0,0,0,0
IAN,0,0,0,0,0
HOK,0,0,0,0,0
CSP,0,0,0,0,0
FFV,0,0,0,0,0
QCB,0,0,0,0,0
HYK,0,0,0,0,0
ULK,0,0,0,0,0
PWT,0,0,0,0,0
NUP,0,0,0,0,0
JKP,0,0,0,0,0
YCB,0,0,0,0,0
PDV,0,0,0,0,0
EBR,0,0,0,0,0
IXP,0,0,0,0,0
GTM,0,0,0,0,0
MLG,0,0,0,0,0
IMU,0,0,0,0,0
MCM,0,0,0,0,0
LZA,0,0,0,0,0
UXA,0,0,0,0,0
WGQ,0,0,0,0,0
OYK,0,,0,0,0
DJM,1,0,1,0,"0,5"
WXG,0,0,0,0,0
ZLQ,0,1,0,2,"0,75"
KHA,0,0,0,0,0
YZQ,0,0,0,0,0
RBY,0,0,0,0,0
JAT,0,0,0,0,0
QNF,0,0,0,0,0
BUU,0,0,0,0,0
LHZ,0,0,0,0,0
ICV,0,0,0,0,0
GEE,2,1,0,0,"0,75"
JWS,1,0,0,1,"0,5"
STL,2,1,0,1,1
SMO,0,0,0,0,0
JZP,0,0,0,0,0
CES,0,0,0,0,0
RIY,0,0,0,0,0
TXK,0,0,0,0,0
VDY,0,0,0,0,0
OSQ,0,0,0,0,0
UMZ,123,111,117,109,115
DGJ,85,90,87,74,84
PBN,46,30,39,37,38
YFR,0,0,0,0,0
WAH,0,0,0,0,0
IYG,0,0,0,0,0
KDS,0,0,0,0,0
VYO,60,71,57,49,"59,25"
LUN,14,12,16,11,"13,25"
UNW,28,31,35,29,"30,75"
EWJ,10,11,9,13,"10,75"
IOZ,24,17,20,19,20
EES,67,59,64,69,"64,75"
ZCF,16,21,19,17,"18,25"
KAB,0,0,0,0,0
BBB,0,0,0,0,0
RAP,0,0,0,0,0
WKZ,0,0,0,0,0
SLQ,86,65,69,71,"72,75"
NZN,115,121,108,109,"113,25"
NRH,58,77,68,69,68
KBF,48,54,44,53,"49,75"
SLR,3,9,7,4,"5,75"
XFH,14,6,11,7,"9,5"
YPF,135,163,141,129,142
OKV,130,119,121,138,127
WWU,0,0,0,0,0
IAM,0,0,0,0,0
KGL,0,0,0,0,0
POY,0,0,0,0,0
LVS,6,4,5,3,"4,5"
OIR,4,3,1,1,"2,25"
JEY,15,12,11,10,12
JIL,21,9,17,11,"14,5"
VUW,18,14,15,12,"14,75"
VVV,4,5,5,4,"4,5"
HHA,3,4,5,6,"4,5"
EJB,33,41,29,37,35
YNP,18,19,14,21,18
KJY,0,0,0,0,0
YNV,0,0,0,0,0
PQS,0,0,0,0,0
XOQ,0,0,0,0,0
MOP,0,0,0,0,0
GAB,3,2,1,0,"1,5"
RXD,50,45,39,47,"45,25"
IFU,67,75,64,71,"69,25"
QSH,0,0,0,0,0
XUM,0,0,0,0,0
RLM,1,1,1,0,"0,75"
SMQ,20,23,20,19,"20,5"
GXY,0,0,0,0,0
OOO,29,32,27,24,28
JOV,0,0,0,0,0
