"","labels","EH_ID","dpi","weight","weight_dpi0","faeces_weight","wloss","batch","primary","challenge","infHistory","oocyst_1","oocyst_2","oocyst_3","oocyst_4","AVG","N.oocyst","OPG"
"1","2AGV","LM_0336",5,46,52.3,0.67,95.4110898661568,"b","E88","E64","E88:E64",23,16,21,27,21.75,108750,162313.432835821
"2","2AHV","LM_0337",6,44.4,44.9,1.59,98.8864142538975,"b","E88","UNI","E88:UNI",0,0,0,0,0,0,0
"3","2BPM","LM_0342",3,51.2,55.6,1.87,94.2446043165468,"b","E139","E64","E139:E64",2,0,1,0,0.75,3750,2005.34759358289
"4","2BPO","LM_0341",7,54.5,58.1,1.98,93.8037865748709,"b","E139","E88","E139:E88",48,54,53,59,53.5,267500,135101.01010101
"5","2BQA","LM_0343",8,52.9,56.5,1.62,93.6283185840708,"b","E139","UNI","E139:UNI",0,0,0,0,0,0,0
"6","2BUX","LM_0339",5,44.7,48.5,1.11,95.2577319587629,"b","E64","E64","E64:E64",34,16,27,22,24.75,123750,111486.486486486
"7","2BWS","LM_0336",7,43.8,52.3,0.88,83.7476099426386,"b","E88","E64","E88:E64",18,22,19,20,19.75,98750,112215.909090909
"8","2CRA","LM_0332",7,49.8,51.3,2.9,97.0760233918129,"b","Eflab","E88","Eflab:E88",8,2,5,4,4.75,23750,8189.65517241379
"9","2DGY","LM_0333",5,47.4,50,1.69,97,"b","Eflab","E64","Eflab:E64",10,13,13,19,13.75,68750,40680.4733727811
"10","2EFI","LM_0346",5,52.1,53.2,1.04,98.3082706766917,"b","UNI","UNI","UNI:UNI",1,0,2,1,1,5000,4807.69230769231
"11","2FLD","LM_0340",8,49.7,53.6,2.44,92.7238805970149,"b","E64","UNI","E64:UNI",0,0,0,0,0,0,0
"12","2FMI","LM_0347",8,60.4,69.1,2.65,87.4095513748191,"b","E88","E88","E88:E88",0,2,0,1,0.75,3750,1415.09433962264
"13","2FPD","LM_0340",7,50.9,53.6,1.67,94.9626865671642,"b","E64","UNI","E64:UNI",2,0,0,0,0.5,2500,1497.00598802395
"14","2FWG","LM_0338",8,48.3,50.2,1.5,96.2151394422311,"b","E64","E88","E64:E88",8,5,9,10,8,40000,26666.6666666667
"15","2FYX","LM_0345",7,54.8,59.2,1.96,92.5675675675675,"b","UNI","E64","UNI:E64",98,92,82,79,87.75,438750,223852.040816327
"16","2HYO","LM_0345",4,56.7,59.2,2.13,97.8040540540541,"b","UNI","E64","UNI:E64",2,2,2,4,2.5,12500,5868.54460093897
"17","2IIT","LM_0335",8,45.6,47,1.78,97.0212765957447,"b","E88","UNI","E88:UNI",0,0,0,0,0,0,0
"18","2INX","LM_0336",4,49.9,52.3,2.12,91.9694072657744,"b","E88","E64","E88:E64",0,0,0,0,0,0,0
"19","2IPY","LM_0336",3,48.1,52.3,1.81,95.9847036328872,"b","E88","E64","E88:E64",0,0,0,0,0,0,0
"20","2JAH","LM_0342",4,52.2,55.6,2.74,92.0863309352518,"b","E139","E64","E139:E64",1,0,0,0,0.25,1250,456.204379562044
"21","2JRF","LM_0333",7,45.5,50,1.99,91,"b","Eflab","E64","Eflab:E64",71,67,77,81,74,370000,185929.648241206
"22","2JVY","LM_0343",6,54.3,56.5,2.02,96.1061946902655,"b","E139","UNI","E139:UNI",0,0,0,0,0,0,0
"23","2KMJ","LM_0337",8,43.2,44.9,1.43,96.2138084632517,"b","E88","UNI","E88:UNI",1,0,0,0,0.25,1250,874.125874125874
"24","2LAV","LM_0343",7,54,56.5,2.25,95.5752212389381,"b","E139","UNI","E139:UNI",0,0,0,0,0,0,0
"25","2LBS","LM_0339",6,44.1,48.5,0.88,90.9278350515464,"b","E64","E64","E64:E64",10,11,6,8,8.75,43750,49715.9090909091
"26","2LCA","LM_0340",6,51.2,53.6,1.72,95.5223880597015,"b","E64","UNI","E64:UNI",0,0,0,0,0,0,0
"27","2LFC","LM_0345",6,55.3,59.2,1,93.4121621621621,"b","UNI","E64","UNI:E64",56,64,49,57,56.5,282500,282500
"28","2LOR","LM_0343",5,54.6,56.5,1.8,97.5221238938053,"b","E139","UNI","E139:UNI",0,0,0,0,0,0,0
"29","2LSG","LM_0347",7,63,69.1,2.57,91.1722141823444,"b","E88","E88","E88:E88",0,0,0,0,0,0,0
"30","2MUY","LM_0333",6,46.3,50,0.97,92.6,"b","Eflab","E64","Eflab:E64",32,34,29,39,33.5,167500,172680.412371134
"31","2NQG","LM_0341",8,52.5,58.1,0.79,90.3614457831325,"b","E139","E88","E139:E88",0,0,1,3,1,5000,6329.11392405063
"32","2NSX","LM_0337",5,44.2,44.9,1.58,96.6592427616927,"b","E88","UNI","E88:UNI",0,0,0,0,0,0,0
"33","2NYU","LM_0336",6,44.4,52.3,0.78,84.8948374760994,"b","E88","E64","E88:E64",8,8,4,5,6.25,31250,40064.1025641026
"34","2OKR","LM_0345",5,57.9,59.2,2.02,95.777027027027,"b","UNI","E64","UNI:E64",50,42,41,47,45,225000,111386.138613861
"35","2ONI","LM_0335",7,46,47,2.44,97.8723404255319,"b","E88","UNI","E88:UNI",0,0,0,0,0,0,0
"36","2OYV","LM_0334",7,46.2,47.3,1.59,97.6744186046512,"b","Eflab","UNI","Eflab:UNI",0,0,NA,0,0,0,0
"37","2PFK","LM_0333",4,48.5,50,1.84,98,"b","Eflab","E64","Eflab:E64",0,0,0,0,0,0,0
"38","2QAP","LM_0337",7,43.9,44.9,1.49,97.7728285077951,"b","E88","UNI","E88:UNI",1,1,0,1,0.75,3750,2516.77852348993
"39","2QIT","LM_0334",6,47,47.3,2.25,99.3657505285412,"b","Eflab","UNI","Eflab:UNI",0,0,0,0,0,0,0
"40","2QOV","LM_0340",5,52.3,53.6,1.37,98.5074626865672,"b","E64","UNI","E64:UNI",0,0,0,0,0,0,0
"41","2QTR","LM_0334",5,46.9,47.3,1.6,98.3086680761099,"b","Eflab","UNI","Eflab:UNI",0,0,0,1,0.25,1250,781.25
"42","2RLW","LM_0334",8,45.1,47.3,2.15,95.3488372093024,"b","Eflab","UNI","Eflab:UNI",0,0,0,0,0,0,0
"43","2RMA","LM_0335",6,46.3,47,1.51,98.5106382978723,"b","E88","UNI","E88:UNI",0,0,0,0,0,0,0
"44","2SNM","LM_0339",4,46.2,48.5,1.65,95.4639175257732,"b","E64","E64","E64:E64",0,0,0,0,0,0,0
"45","2TBI","LM_0332",8,50.6,51.3,2.4,98.635477582846,"b","Eflab","E88","Eflab:E88",0,0,0,0,0,0,0
"46","2TMN","LM_0333",3,49,50,3.18,97.8,"b","Eflab","E64","Eflab:E64",0,0,0,0,0,0,0
"47","2UHH","LM_0339",7,42,48.5,1.11,86.5979381443299,"b","E64","E64","E64:E64",6,7,7,10,7.5,37500,33783.7837837838
"48","2VEO","LM_0339",3,46.3,48.5,1.73,97.7319587628866,"b","E64","E64","E64:E64",0,0,0,0,0,0,0
"49","2VJA","LM_0346",8,49.4,53.2,1.87,92.8571428571429,"b","UNI","UNI","UNI:UNI",0,0,0,0,0,0,0
"50","2VLZ","LM_0346",7,51.2,53.2,1.66,96.2406015037594,"b","UNI","UNI","UNI:UNI",0,0,0,0,0,0,0
"51","2XFC","LM_0342",7,46.5,55.6,1.14,83.6330935251799,"b","E139","E64","E139:E64",3,1,2,3,2.25,11250,9868.42105263158
"52","2XMO","LM_0338",7,49.5,50.2,1.48,98.605577689243,"b","E64","E88","E64:E88",2,4,8,9,5.75,28750,19425.6756756757
"53","2XXV","LM_0345",3,57.9,59.2,3.55,95.4391891891892,"b","UNI","E64","UNI:E64",0,0,0,0,0,0,0
"54","2XYA","LM_0346",6,51.2,53.2,1.08,96.2406015037594,"b","UNI","UNI","UNI:UNI",0,0,0,0,0,0,0
"55","2YVL","LM_0342",6,48.5,55.6,1.21,87.2302158273381,"b","E139","E64","E139:E64",9,9,11,7,9,45000,37190.0826446281
"56","2ZBW","LM_0342",5,50.1,55.6,1.9,93.8848920863309,"b","E139","E64","E139:E64",16,24,28,27,23.75,118750,62500
"57","2ZGF","LM_0335",5,46.4,47,1.49,98.5106382978723,"b","E88","UNI","E88:UNI",0,0,0,0,0,0,0
