experiment,EH_ID,oocyst_mean,dilution,OPG,labels,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,feces_weight
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,NA,,,,,,NA
P1,NA,0,1,0,,,,,,1.38
P1,NA,0,1,0,,,,,,1.193
P1,NA,0,1,0,,,,,,1.012
P1,NA,0,1,0,,,,,,1.66
P1,NA,0,1,0,,,,,,2.355
P1,NA,0,1,0,,,,,,1.528
P1,NA,0,1,0,,,,,,1.107
P1,NA,0,1,0,,,,,,1.945
P1,NA,0,1,0,,,,,,1.416
P1,NA,0,1,0,,,,,,1.391
P1,NA,0,1,0,,,,,,2.307
P1,NA,0,1,0,,,,,,2.517
P1,NA,0,1,0,,,,,,1.933
P1,NA,0,1,0,,,,,,1.344
P1,NA,0,1,0,,,,,,1.224
P1,NA,0,1,0,,,,,,2.301
P1,NA,0,1,0,,,,,,1.244
P1,NA,0,1,0,,,,,,1.339
P1,NA,0,1,0,,,,,,2.292
P1,NA,0,1,0,,,,,,1.772
P1,NA,0,1,0,,,,,,2.333
P1,NA,0,1,0,,,,,,0.944
P1,NA,0,1,0,,,,,,1.271
P1,NA,0,1,0,,,,,,1.628
P1,NA,0,1,0,,,,,,1.353
P1,NA,0,1,0,,,,,,1.404
P1,NA,8.5,1,74692,,,,,,1.138
P1,NA,33.5,1,249256,,,,,,1.344
P1,NA,92,1,671533,,,,,,1.37
P1,NA,62.5,1,558036,,,,,,1.12
P1,NA,0,1,0,,,,,,1.957
P1,NA,0,1,0,,,,,,1.228
P1,NA,0,1,0,,,,,,1.209
P1,NA,0,1,0,,,,,,1.346
P1,NA,31.75,1,206035,,,,,,1.541
P1,NA,23.25,1,171334,,,,,,1.357
P1,NA,NA,1,NA,,,,,,1.248
P1,NA,NA,1,NA,,,,,,1.301
P1,NA,0,1,0,,,,,,1.258
P1,NA,0,1,0,,,,,,1.21
P1,NA,0,1,0,,,,,,1.418
P1,NA,0,1,0,,,,,,2.187
P1,NA,9,1,43626,,,,,,2.063
P1,NA,7.5,1,33906,,,,,,2.212
P1,NA,34,2,56629,,,,,,1.501
P1,NA,1.5,1,8955,,,,,,1.675
P1,NA,0,1,0,,,,,,0.989
P1,NA,0,1,0,,,,,,1.325
P1,NA,0,1,0,,,,,,1.652
P1,NA,0,1,0,,,,,,1.835
P1,NA,1,1,6398,,,,,,1.563
P1,NA,0.5,1,3436,,,,,,1.455
P1,NA,0.25,1,1497,,,,,,1.67
P1,NA,0.25,1,1659,,,,,,1.507
P1,NA,0,1,0,,,,,,1.462
P1,NA,0,1,0,,,,,,1.904
P1,NA,0,1,0,,,,,,1.305
P1,NA,0,1,0,,,,,,1.526
P1,NA,0,1,0,,,,,,2.186
P1,NA,0,1,0,,,,,,2.126
P1,NA,0,1,0,,,,,,1.697
P1,NA,0,1,0,,,,,,2.624
P1,NA,0,1,0,,,,,,1.378
P1,NA,0,1,0,,,,,,1.937
