,labels,EH_ID,dpi,infHistory,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,weight,weight_dpi0,feces_weight,relative_weight,day_change,batch,primary,challenge,Eim_MC,delta,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8,label,IFNy_MES,IFNy_CEWE,total_oocysts,OPG,experiment,dilution
35,P4aDIW,LM_0349,10,E139:E88,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
48,P4aEOW,LM_0349,4,E139:E88,0,0,0,0,0,44.81,50.5,1.92,88.7326732673267,-6.57425742574259,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
64,P4aFNW,LM_0349,0,E139:E88,NA,NA,NA,NA,NA,50.5,50.5,NA,100,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
67,P4aFST,LM_0349,1,E139:E88,1,0,0,0,0.25,48.05,50.5,2.79,95.1485148514852,-4.85148514851485,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,1792.1146953405,P4,1
82,P4aHBW,LM_0349,2,E139:E88,1,1,0,0,0.5,47.76,50.5,1.86,94.5742574257426,-0.574257425742573,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,5376.34408602151,P4,1
84,P4aHEA,LM_0349,8,E139:E88,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
87,P4aHPG,LM_0349,6,E139:E88,83,94,87,79,85.75,40.02,50.5,1.07,79.2475247524753,-6.59405940594058,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1715000,1602803.73831776,P4,1
91,P4aHTT,LM_0349,9,E139:E88,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
136,P4aMRP,LM_0349,7,E139:E88,1,0,2,0,0.75,37.04,50.5,0.25,73.3465346534653,-5.90099009900992,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,60000,P4,1
142,P4aNGT,LM_0349,3,E139:E88,0,0,1,2,0.75,48.13,50.5,2.67,95.3069306930693,0.732673267326746,a,E139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,5617.97752808989,P4,1
