,labels,EH_ID,dpi,infHistory,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,weight,weight_dpi0,feces_weight,relative_weight,day_change,batch,primary,challenge,Eim_MC,delta,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8,label,IFNy_MES,IFNy_CEWE,total_oocysts,OPG,experiment,dilution
268,P4bFFV,LM_0352,2,E64:E88,0,0,0,0,0,41.48,42.12,1.56,98.4805318138652,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
299,P4bIMU,LM_0352,3,E64:E88,0,0,0,0,0,39.94,42.12,1.33,94.8243114909782,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
307,P4bJEY,LM_0352,7,E64:E88,15,12,11,10,12,39.9,42.12,2.79,94.7293447293447,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240000,86021.5053763441,P4,1
330,P4bMLZ,LM_0352,1,E64:E88,0,0,0,0,0,41.73,42.12,1.2,99.0740740740741,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
335,P4bNRH,LM_0352,6,E64:E88,58,77,68,69,68,39.05,42.12,1.44,92.7113010446344,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1360000,944444.444444444,P4,1
368,P4bRXD,LM_0352,8,E64:E88,50,45,39,47,"45,25",38.93,42.12,2.53,92.4264007597341,NA,b,NA,E88,TRUE,3.95306666666666,mLN,14.6,14,26.7,7.63,8.13,60.6,3.7,62.1,6.58,11.4,24.4,5.82,38.3,P4bRXD,536.176207632468,566.870157402793,905000,357707.509881423,P4,1
369,P4bRXD,LM_0352,8,E64:E88,50,45,39,47,"45,25",38.93,42.12,2.53,92.4264007597341,NA,b,NA,E88,TRUE,3.95306666666666,Spleen,13.2,19.1,22.5,1.81,10.6,37.2,1.35,37,6.11,29.5,17,8.74,51,P4bRXD,536.176207632468,566.870157402793,905000,357707.509881423,P4,1
374,P4bSMO,LM_0352,4,E64:E88,0,0,0,0,0,40.15,42.12,1.95,95.3228869895537,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
383,P4bTMO,LM_0352,0,E64:E88,NA,NA,NA,NA,NA,42.12,42.12,NA,100,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
401,P4bVYO,LM_0352,5,E64:E88,60,71,57,49,"59,25",40.24,42.12,2.32,95.5365622032289,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185000,510775.862068966,P4,1
13,P4aBIO,LM_0353,5,E64:E88,12,9,6,6,8.25,36.76,45.1,0.26,81.5077605321508,-8.66962305986696,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165000,634615.384615385,P4,1
15,P4aBPY,LM_0353,1,E64:E88,2,0,0,1,0.75,42.6,45.1,1.95,94.4567627494457,-5.54323725055433,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,7692.30769230769,P4,1
22,P4aCNF,LM_0353,8,E64:E88,8,6,5,7,6.5,39.43,45.1,1.92,87.4279379157428,5.23281596452328,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130000,67708.3333333333,P4,1
41,P4aEBU,LM_0353,10,E64:E88,0,0,0,0,0,41.47,45.1,3.04,91.9512195121951,1.50776053215077,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
62,P4aFFO,LM_0353,4,E64:E88,0,0,0,0,0,40.67,45.1,1.84,90.1773835920177,-3.48115299334813,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
74,P4aGDW,LM_0353,0,E64:E88,NA,NA,NA,NA,NA,45.1,45.1,NA,100,NA,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
90,P4aHRY,LM_0353,11,E64:E88,0,0,1,0,0.25,41.23,45.1,2.03,91.4190687361419,-0.532150776053214,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,2463.05418719212,P4,1
124,P4aLLW,LM_0353,2,E64:E88,1,0,0,1,0.5,42.9,45.1,1.63,95.1219512195122,0.665188470066525,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,6134.96932515337,P4,1
132,P4aMGT,LM_0353,6,E64:E88,94,61,72,81,77,35.3,45.1,0.32,78.270509977827,-3.23725055432372,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1540000,4812500,P4,1
148,P4aNWE,LM_0353,9,E64:E88,0,0,0,0,0,40.79,45.1,2.55,90.4434589800443,3.01552106430155,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
152,P4aOBO,LM_0353,3,E64:E88,2,0,1,1,1,42.24,45.1,3.17,93.6585365853659,-1.46341463414633,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,6309.14826498423,P4,1
208,P4aULK,LM_0353,7,E64:E88,71,69,72,77,72.25,37.07,45.1,1.79,82.1951219512195,3.92461197339246,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445000,807262.569832402,P4,1
255,P4bCQB,LM_0353,1,E64:E88,0,0,0,0,0,44.18,43.86,2.28,100.729594163247,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
256,P4bCSP,LM_0353,2,E64:E88,0,0,0,0,0,43.68,43.86,1.86,99.5896032831737,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
296,P4bIFU,LM_0353,8,E64:E88,67,75,64,71,"69,25",40.5,43.86,1.93,92.3392612859097,NA,b,NA,E88,TRUE,3.20803333333334,mLN,17.9,11.8,34.5,11.5,13.1,63.5,3.16,64.2,9.98,16.2,22.8,8.4,37.7,P4bIFU,550.746923994069,459.582673472966,1385000,717616.580310881,P4,1
297,P4bIFU,LM_0353,8,E64:E88,67,75,64,71,"69,25",40.5,43.86,1.93,92.3392612859097,NA,b,NA,E88,TRUE,3.20803333333334,Spleen,12.3,15.9,31,2.47,17.5,47.5,1.79,33,5.02,27,17.3,15.6,34.9,P4bIFU,550.746923994069,459.582673472966,1385000,717616.580310881,P4,1
308,P4bJIL,LM_0353,7,E64:E88,21,9,17,11,"14,5",40.74,43.86,1.57,92.8864569083448,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290000,184713.375796178,P4,1
314,P4bJZP,LM_0353,4,E64:E88,0,0,0,0,0,43.25,43.86,2.01,98.609211126311,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
316,P4bKBF,LM_0353,6,E64:E88,48,54,44,53,"49,75",40.94,43.86,1.62,93.3424532603739,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,995000,614197.530864198,P4,1
325,P4bLUN,LM_0353,5,E64:E88,14,12,16,11,"13,25",42.52,43.86,2.25,96.9448244414045,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265000,117777.777777778,P4,1
329,P4bMLG,LM_0353,3,E64:E88,0,0,0,0,0,43.01,43.86,1.91,98.062015503876,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
380,P4bSTT,LM_0353,0,E64:E88,NA,NA,NA,NA,NA,43.86,43.86,NA,100,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
16,P4aBRM,LM_0354,5,E64:E64,74,79,81,64,74.5,39.71,45,1.25,88.2444444444445,-4.08888888888887,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490000,1192000,P4,1
39,P4aDYG,LM_0354,10,E64:E64,0,0,0,0,0,41.57,45,3.22,92.3777777777778,-1.15555555555557,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
46,P4aENX,LM_0354,9,E64:E64,0,1,1,0,0.5,42.09,45,2.13,93.5333333333334,-0.24444444444444,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,4694.83568075117,P4,1
56,P4aEWR,LM_0354,7,E64:E64,9,9,10,8,9,40.88,45,2.34,90.8444444444445,0.51111111111112,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180000,76923.0769230769,P4,1
63,P4aFGV,LM_0354,8,E64:E64,1,3,4,2,2.5,42.2,45,2.98,93.7777777777778,2.93333333333334,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,16778.5234899329,P4,1
66,P4aFQG,LM_0354,0,E64:E64,NA,NA,NA,NA,NA,45,45,NA,100,NA,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
81,P4aGZU,LM_0354,11,E64:E64,0,0,0,0,0,42.05,45,1.98,93.4444444444445,1.06666666666666,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
86,P4aHIS,LM_0354,4,E64:E64,0,2,0,1,0.75,41.55,45,1.72,92.3333333333333,-2.48888888888889,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,8720.93023255814,P4,1
106,P4aJKC,LM_0354,3,E64:E64,0,1,0,2,0.75,42.67,45,1.43,94.8222222222222,-1.02222222222223,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,10489.5104895105,P4,1
161,P4aOWQ,LM_0354,6,E64:E64,58,63,68,64,63.25,40.65,45,1.72,90.3333333333333,2.08888888888887,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1265000,735465.11627907,P4,1
205,P4aUGT,LM_0354,2,E64:E64,0,0,0,0,0,43.13,45,0.77,95.8444444444445,-1.53333333333333,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
231,P4aYED,LM_0354,1,E64:E64,0,1,0,0,0.25,43.82,45,1.04,97.3777777777778,-2.62222222222222,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,4807.69230769231,P4,1
260,P4bDJM,LM_0354,3,E64:E64,1,0,1,0,"0,5",41.81,41.65,1.18,100.384153661465,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,8474.57627118644,P4,1
277,P4bGEE,LM_0354,4,E64:E64,2,1,0,0,"0,75",39.66,41.65,1.52,95.2220888355342,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,9868.42105263158,P4,1
324,P4bLKJ,LM_0354,1,E64:E64,0,0,0,0,0,42.12,41.65,1.57,101.128451380552,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
326,P4bLVS,LM_0354,7,E64:E64,6,4,5,3,"4,5",40.1,41.65,1.75,96.2785114045618,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90000,51428.5714285714,P4,1
331,P4bMOP,LM_0354,8,E64:E64,0,0,0,0,0,40.49,41.65,3.03,97.2148859543818,NA,b,NA,E64,FALSE,-7.57086666666667,Spleen,14,16.1,27.9,3.36,20.8,43.9,1.93,42,5.89,27.3,23.7,13.5,41.6,P4bMOP,1724.6254375087,256.089697167021,0,0,P4,1
332,P4bMOP,LM_0354,8,E64:E64,0,0,0,0,0,40.49,41.65,3.03,97.2148859543818,NA,b,NA,E64,FALSE,-7.57086666666667,mLN,27.2,11.5,25.6,9.05,4.78,54.9,2.17,42.7,8.93,12.4,30.6,2.85,23.7,P4bMOP,1724.6254375087,256.089697167021,0,0,P4,1
336,P4bNUP,LM_0354,2,E64:E64,0,0,0,0,0,42.96,41.65,1.27,103.145258103241,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
353,P4bPSE,LM_0354,0,E64:E64,NA,NA,NA,NA,NA,41.65,41.65,NA,100,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
372,P4bSLQ,LM_0354,6,E64:E64,86,65,69,71,"72,75",40.19,41.65,1.67,96.4945978391357,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455000,871257.48502994,P4,1
390,P4bUMZ,LM_0354,5,E64:E64,123,111,117,109,115,39.81,41.65,1.91,95.5822328931573,NA,b,NA,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300000,1204188.48167539,P4,1
1,P4aAAA,LM_0355,7,E64:UNI,25,41,29,33,32,43.1,43.9,2.15,98.1776765375854,2.50569476082005,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640000,297674.418604651,P4,1
25,P4aCPK,LM_0355,10,E64:UNI,0,0,0,0,0,44.52,43.9,2.32,101.412300683371,-0.136674259681101,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
26,P4aCRR,LM_0355,2,E64:UNI,1,0,0,0,0.25,43.39,43.9,0.86,98.8382687927107,0.113895216400906,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,5813.95348837209,P4,1
34,P4aDHR,LM_0355,6,E64:UNI,148,151,131,137,141.75,42,43.9,1.33,95.6719817767654,4.78359908883827,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2835000,2131578.94736842,P4,1
49,P4aERQ,LM_0355,3,E64:UNI,0,2,0,0,0.5,43.56,43.9,1.55,99.2255125284738,0.387243735763093,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,6451.61290322581,P4,1
76,P4aGFH,LM_0355,11,E64:UNI,4,6,5,7,5.5,45.33,43.9,1.6,103.257403189066,1.84510250569477,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110000,68750,P4,1
94,P4aIGA,LM_0355,1,E64:UNI,0,0,0,0,0,43.34,43.9,1.57,98.7243735763098,-1.27562642369018,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
121,P4aLBB,LM_0355,5,E64:UNI,26,30,24,21,25.25,39.9,43.9,1,90.8883826879271,-1.09339407744876,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505000,505000,P4,1
128,P4aLWB,LM_0355,8,E64:UNI,8,7,6,3,6,43.85,43.9,2.36,99.8861047835991,1.70842824601367,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,50847.4576271186,P4,1
144,P4aNJL,LM_0355,9,E64:UNI,0,0,0,0,0,44.58,43.9,2.08,101.548974943052,1.66287015945331,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
199,P4aTYQ,LM_0355,0,E64:UNI,NA,NA,NA,NA,NA,43.9,43.9,NA,100,NA,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
227,P4aXLA,LM_0355,4,E64:UNI,0,0,0,0,0,40.38,43.9,1.36,91.9817767653759,-7.24373576309795,a,E64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
312,P4bJRA,LM_0355,1,E64:UNI,0,0,0,0,0,46.45,45.85,2.3,101.308615049073,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
315,P4bKAB,LM_0355,6,E64:UNI,0,0,0,0,0,46.84,45.85,2.58,102.159214830971,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
319,P4bKHA,LM_0355,3,E64:UNI,0,0,0,0,0,46.23,45.85,2.01,100.82878953108,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
320,P4bKJY,LM_0355,8,E64:UNI,0,0,0,0,0,48.37,45.85,2.87,105.496183206107,NA,b,NA,UNI,FALSE,-5.20748333333334,Spleen,13.7,15.6,20.2,2.13,15.1,14.7,1.38,12.4,4.29,25.2,4.35,12.9,31,P4bKJY,825.920504970049,275.954929080042,0,0,P4,1
321,P4bKJY,LM_0355,8,E64:UNI,0,0,0,0,0,48.37,45.85,2.87,105.496183206107,NA,b,NA,UNI,FALSE,-5.20748333333334,mLN,52.6,14.4,8.07,3.23,4.83,15.8,1.53,13.3,15.4,13.7,6.07,3.05,21.5,P4bKJY,825.920504970049,275.954929080042,0,0,P4,1
358,P4bQNF,LM_0355,4,E64:UNI,0,0,0,0,0,46.35,45.85,1.91,101.090512540894,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
387,P4bULK,LM_0355,2,E64:UNI,0,0,0,0,0,47.03,45.85,1.59,102.57360959651,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
394,P4bVAG,LM_0355,0,E64:UNI,NA,NA,NA,NA,NA,45.85,45.85,NA,100,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
407,P4bWWU,LM_0355,7,E64:UNI,0,0,0,0,0,47.55,45.85,2.97,103.70774263904,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
420,P4bYFR,LM_0355,5,E64:UNI,0,0,0,0,0,46.51,45.85,2.74,101.43947655398,NA,b,NA,UNI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
38,P4aDYE,LM_0356,7,E88:E88,12,21,17,19,17.25,37.78,40.7,1.29,92.8255528255528,-4.02948402948404,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345000,267441.860465116,P4,1
55,P4aEWQ,LM_0356,6,E88:E88,19,21,17,19,19,39.42,40.7,1.98,96.8550368550369,1.03194103194105,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380000,191919.191919192,P4,1
57,P4aEXA,LM_0356,9,E88:E88,104,97,109,102,103,34.55,40.7,1.12,84.8894348894349,-4.61916461916462,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2060000,1839285.71428571,P4,1
88,P4aHQE,LM_0356,5,E88:E88,48,36,39,44,41.75,39,40.7,1.77,95.8230958230958,-3.53808353808354,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835000,471751.412429379,P4,1
134,P4aMMF,LM_0356,10,E88:E88,18,17,19,12,16.5,35.87,40.7,1.41,88.1326781326781,3.24324324324324,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330000,234042.553191489,P4,1
140,P4aNDH,LM_0356,11,E88:E88,0,1,1,0,0.5,37.51,40.7,2.17,92.1621621621621,4.02948402948402,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,4608.29493087558,P4,1
154,P4aODF,LM_0356,0,E88:E88,NA,NA,NA,NA,NA,40.7,40.7,NA,100,NA,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
175,P4aQKW,LM_0356,2,E88:E88,0,0,0,0,0,39.08,40.7,1.15,96.019656019656,-1.00737100737101,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
188,P4aSBT,LM_0356,4,E88:E88,0,0,0,0,0,40.44,40.7,1.71,99.3611793611793,0,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
191,P4aSOS,LM_0356,3,E88:E88,0,0,0,0,0,40.44,40.7,1.4,99.3611793611793,3.34152334152334,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
204,P4aUGP,LM_0356,1,E88:E88,0,0,0,0,0,39.49,40.7,1.22,97.027027027027,-2.97297297297298,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
232,P4aYSI,LM_0356,8,E88:E88,106,109,111,121,111.75,36.43,40.7,0.54,89.5085995085995,-3.31695331695332,a,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2235000,4138888.88888889,P4,1
249,P4bBSE,LM_0356,0,E88:E88,NA,NA,NA,NA,NA,39.94,39.94,NA,100,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4,1
254,P4bCES,LM_0356,4,E88:E88,0,0,0,0,0,40.01,39.94,1.79,100.175262894342,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
349,P4bPDV,LM_0356,2,E88:E88,0,0,0,0,0,40.91,39.94,1.32,102.428642964447,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
360,P4bQSH,LM_0356,8,E88:E88,0,0,0,0,0,38.55,39.94,3.24,96.5197796695043,NA,b,NA,E88,TRUE,-7.3878,mLN,28.4,15.2,24.9,8.36,11.6,54.6,3.03,43.8,7.77,19.5,26.5,9.34,36.9,P4bQSH,1516.52782888452,238.721489574293,0,0,P4,1
361,P4bQSH,LM_0356,8,E88:E88,0,0,0,0,0,38.55,39.94,3.24,96.5197796695043,NA,b,NA,E88,TRUE,-7.3878,Spleen,16.3,20.5,21.4,2.74,18,47.7,2.44,48.8,4.88,43,25.1,13.5,54.9,P4bQSH,1516.52782888452,238.721489574293,0,0,P4,1
373,P4bSLR,LM_0356,6,E88:E88,3,9,7,4,"5,75",37.94,39.94,1.81,94.9924887330996,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115000,63535.9116022099,P4,1
391,P4bUNW,LM_0356,5,E88:E88,28,31,35,29,"30,75",39.26,39.94,2.18,98.2974461692539,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615000,282110.091743119,P4,1
393,P4bUXA,LM_0356,3,E88:E88,0,0,0,0,0,39.95,39.94,1.43,100.025037556335,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
399,P4bVUW,LM_0356,7,E88:E88,18,14,15,12,"14,75",38.72,39.94,2.2,96.9454181271908,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295000,134090.909090909,P4,1
422,P4bYMB,LM_0356,1,E88:E88,0,0,0,0,0,40.47,39.94,1.49,101.326990485729,NA,b,NA,E88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,P4,1
